Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,6c5c,1.000,28.07,0.70368,41.7878,0.16,0.05,99.84,0.70
Jh 4d 2h,7c6c,1.000,15.41,0.00017,0.01886,0.10,-1.09,99.90,0.00
Jh 4d 2h,8c7c,1.000,15.85,-0.00003,-0.00279,0.09,-1.14,99.91,0.00
Jh 4d 2h,9c7c,1.000,14.29,-0.00035,-0.04122,0.08,-1.26,99.92,0.00
Jh 4d 2h,9c8c,1.000,15.91,-0.00017,-0.01816,0.09,-1.22,99.91,0.00
Jh 4d 2h,Tc7c,1.000,14.42,-0.00049,-0.05622,0.08,-1.35,99.92,0.00
Jh 4d 2h,Tc8c,1.000,16.13,-0.00017,-0.01791,0.08,-1.30,99.92,0.00
Jh 4d 2h,Tc9c,1.000,17.51,-0.00005,-0.00487,0.08,-1.28,99.92,0.00
Jh 4d 2h,Jc8c,1.000,63.05,3.53972,93.5634,0.13,2.73,99.87,3.54
Jh 4d 2h,Jc9c,1.000,62.90,3.49711,92.6617,0.14,2.71,99.86,3.50
Jh 4d 2h,JcTc,1.000,63.54,3.38365,88.7557,0.16,2.72,99.84,3.38
Jh 4d 2h,JcTd,1.000,63.71,3.45214,90.3083,0.14,2.69,99.86,3.45
Jh 4d 2h,JcTh,1.000,66.27,4.1301,103.865,0.18,3.52,99.82,4.13
Jh 4d 2h,JcTs,1.000,63.57,3.38469,88.74,0.16,2.72,99.84,3.39
Jh 4d 2h,Qc6c,1.000,16.82,0.0002,0.01958,0.10,-0.99,99.90,0.00
Jh 4d 2h,Qc7c,1.000,15.71,-0.00008,-0.00867,0.10,-1.08,99.90,0.00
Jh 4d 2h,Qc8c,1.000,17.15,0.0001,0.00955,0.10,-1.07,99.90,0.00
Jh 4d 2h,Qc9c,1.000,18.44,0.00024,0.02145,0.10,-1.04,99.90,0.00
Jh 4d 2h,QcTc,1.000,20.80,0.00038,0.03056,0.10,-1.07,99.90,0.00
Jh 4d 2h,QcJc,1.000,68.26,4.66671,113.938,0.23,4.20,99.77,4.67
Jh 4d 2h,QcTd,1.000,20.82,0.00046,0.03692,0.11,-0.98,99.89,0.00
Jh 4d 2h,QcJd,1.000,68.37,4.71751,115.006,0.23,4.25,99.77,4.72
Jh 4d 2h,QcTh,1.000,24.00,0.0014,0.09715,0.15,-0.72,99.85,0.00
Jh 4d 2h,QcTs,1.000,20.73,0.00038,0.03071,0.10,-1.08,99.90,0.00
