Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,6c5c,1.000,28.07,0.70306,41.751,0.16,-0.32,99.84,0.70
Jh 4d 2h,7c6c,1.000,15.41,-0.00074,-0.08054,0.10,-2.05,99.90,0.00
Jh 4d 2h,8c7c,1.000,15.85,-0.00087,-0.09127,0.09,-2.07,99.91,0.00
Jh 4d 2h,9c7c,1.000,14.29,-0.00112,-0.13028,0.08,-2.19,99.92,0.00
Jh 4d 2h,9c8c,1.000,15.91,-0.00091,-0.09517,0.09,-2.09,99.91,0.00
Jh 4d 2h,Tc7c,1.000,14.42,-0.00119,-0.13802,0.08,-2.27,99.92,0.00
Jh 4d 2h,Tc8c,1.000,16.13,-0.00084,-0.08651,0.08,-2.12,99.92,0.00
Jh 4d 2h,Tc9c,1.000,17.51,-0.00066,-0.06275,0.08,-2.03,99.92,0.00
Jh 4d 2h,Jc8c,1.000,63.05,3.54175,93.6171,0.13,4.27,99.87,3.54
Jh 4d 2h,Jc9c,1.000,62.90,3.49892,92.7096,0.14,4.04,99.86,3.50
Jh 4d 2h,JcTc,1.000,63.54,3.38564,88.8079,0.16,3.95,99.84,3.38
Jh 4d 2h,JcTd,1.000,63.71,3.45373,90.3499,0.14,3.81,99.86,3.45
Jh 4d 2h,JcTh,1.000,66.27,4.13251,103.926,0.18,4.88,99.82,4.13
Jh 4d 2h,JcTs,1.000,63.57,3.38665,88.7913,0.16,3.94,99.84,3.39
Jh 4d 2h,Qc6c,1.000,16.82,-0.00096,-0.09538,0.10,-2.10,99.90,0.00
Jh 4d 2h,Qc7c,1.000,15.71,-0.0012,-0.127,0.10,-2.24,99.90,0.00
Jh 4d 2h,Qc8c,1.000,17.15,-0.00098,-0.09516,0.10,-2.17,99.90,0.00
Jh 4d 2h,Qc9c,1.000,18.44,-0.00074,-0.06699,0.10,-2.01,99.90,0.00
Jh 4d 2h,QcTc,1.000,20.80,-0.00051,-0.04089,0.10,-1.97,99.90,0.00
Jh 4d 2h,QcJc,1.000,68.26,4.66912,113.997,0.23,5.25,99.77,4.67
Jh 4d 2h,QcTd,1.000,20.82,-0.00072,-0.05781,0.11,-2.09,99.89,0.00
Jh 4d 2h,QcJd,1.000,68.37,4.71994,115.065,0.23,5.32,99.77,4.72
Jh 4d 2h,QcTh,1.000,24.00,-0.00018,-0.01228,0.15,-1.78,99.85,0.00
Jh 4d 2h,QcTs,1.000,20.73,-0.00049,-0.03942,0.10,-1.98,99.90,0.00
Jh 4d 2h,QcJs,1.000,68.26,4.66917,113.998,0.23,5.25,99.77,4.67
Jh 4d 2h,Kc2c,1.000,45.06,0.91852,33.9722,0.12,0.03,99.88,0.92
Jh 4d 2h,Kc3c,1.000,19.77,-0.00116,-0.09752,0.10,-2.20,99.90,0.00
Jh 4d 2h,Kc4c,1.000,47.96,1.10769,38.4911,0.11,0.11,99.89,1.11
Jh 4d 2h,Kc5c,1.000,20.10,-0.00095,-0.07846,0.11,-2.12,99.89,0.00
Jh 4d 2h,Kc6c,1.000,19.70,-0.00104,-0.0883,0.10,-2.14,99.90,0.00
Jh 4d 2h,Kc7c,1.000,18.68,-0.00129,-0.11512,0.09,-2.28,99.91,0.00
Jh 4d 2h,Kc8c,1.000,18.89,-0.00127,-0.11184,0.09,-2.31,99.91,0.00
Jh 4d 2h,Kc9c,1.000,20.14,-0.00115,-0.09546,0.09,-2.19,99.91,0.00
Jh 4d 2h,KcTc,1.000,22.61,-0.00087,-0.06383,0.09,-2.13,99.91,0.00
Jh 4d 2h,KcJc,1.000,70.90,5.47299,128.657,0.29,6.31,99.71,5.47
Jh 4d 2h,KcQc,1.000,27.45,-0.00009,-0.0052,0.13,-1.66,99.87,0.00
Jh 4d 2h,Kc8d,1.000,18.97,-0.00134,-0.11727,0.09,-2.34,99.91,0.00
Jh 4d 2h,Kc9d,1.000,20.17,-0.00136,-0.11233,0.09,-2.32,99.91,0.00
Jh 4d 2h,KcTd,1.000,22.65,-0.00105,-0.07714,0.10,-2.23,99.90,0.00
Jh 4d 2h,KcJd,1.000,71.02,5.52831,129.741,0.29,6.34,99.71,5.53
Jh 4d 2h,KcQd,1.000,27.56,-0.00009,-0.00518,0.15,-1.57,99.85,0.00
Jh 4d 2h,Kc8h,1.000,22.01,-0.00085,-0.06444,0.11,-2.07,99.89,0.00
Jh 4d 2h,Kc9h,1.000,23.25,-0.00067,-0.04799,0.11,-2.01,99.89,0.00
Jh 4d 2h,KcTh,1.000,25.90,-0.00048,-0.03068,0.13,-1.91,99.87,0.00
Jh 4d 2h,KcQh,1.000,30.93,0.33076,17.8228,0.14,-1.09,99.86,0.33
Jh 4d 2h,Kc8s,1.000,18.89,-0.00127,-0.11185,0.09,-2.31,99.91,0.00
Jh 4d 2h,Kc9s,1.000,20.08,-0.00113,-0.09381,0.09,-2.19,99.91,0.00
Jh 4d 2h,KcTs,1.000,22.55,-0.00084,-0.06233,0.09,-2.14,99.91,0.00
Jh 4d 2h,KcJs,1.000,70.90,5.47304,128.658,0.29,6.31,99.71,5.47
Jh 4d 2h,KcQs,1.000,27.45,-0.00009,-0.00526,0.13,-1.66,99.87,0.00
Jh 4d 2h,Ac2c,1.000,46.34,0.65841,23.6809,0.11,-0.28,99.89,0.66
Jh 4d 2h,Ac3c,1.000,35.87,0.27145,12.6127,0.15,-0.80,99.85,0.27
Jh 4d 2h,Ac4c,1.000,49.08,0.86641,29.4191,0.09,-0.17,99.91,0.87
Jh 4d 2h,Ac5c,1.000,36.85,0.26855,12.1457,0.15,-0.81,99.85,0.27
Jh 4d 2h,Ac6c,1.000,26.94,-0.00152,-0.09375,0.08,-2.23,99.92,0.00
Jh 4d 2h,Ac7c,1.000,27.68,-0.00152,-0.09167,0.08,-2.27,99.92,0.00
Jh 4d 2h,Ac8c,1.000,28.67,-0.00144,-0.0836,0.08,-2.27,99.92,0.00
Jh 4d 2h,Ac9c,1.000,30.87,-0.00109,-0.05881,0.08,-2.17,99.92,0.00
Jh 4d 2h,AcTc,1.000,35.65,-0.00015,-0.00683,0.08,-1.97,99.92,0.00
Jh 4d 2h,Ac2d,1.000,46.40,0.67962,24.4109,0.11,-0.30,99.89,0.68
Jh 4d 2h,Ac3d,1.000,35.88,0.28151,13.0782,0.15,-0.90,99.85,0.28
Jh 4d 2h,Ac5d,1.000,36.86,0.28064,12.6888,0.14,-0.91,99.86,0.28
Jh 4d 2h,Ac6d,1.000,26.91,-0.00152,-0.09411,0.08,-2.23,99.92,0.00
Jh 4d 2h,Ac7d,1.000,27.66,-0.00151,-0.09115,0.08,-2.28,99.92,0.00
Jh 4d 2h,Ac8d,1.000,28.67,-0.00142,-0.08276,0.08,-2.28,99.92,0.00
Jh 4d 2h,Ac9d,1.000,30.97,-0.0012,-0.06465,0.08,-2.24,99.92,0.00
Jh 4d 2h,AcTd,1.000,35.78,-0.00029,-0.01367,0.09,-2.09,99.91,0.00
Jh 4d 2h,AcJd,1.000,75.53,7.11231,156.949,0.86,8.49,99.14,7.10
Jh 4d 2h,Ac3h,1.000,37.92,0.51965,22.8394,0.15,-0.68,99.85,0.52
Jh 4d 2h,Ac4h,1.000,51.18,1.38849,45.2121,0.11,0.79,99.89,1.39
Jh 4d 2h,Ac5h,1.000,38.99,0.55082,23.548,0.14,-0.57,99.86,0.55
Jh 4d 2h,Ac6h,1.000,29.46,-0.00104,-0.05856,0.09,-2.09,99.91,0.00
Jh 4d 2h,Ac7h,1.000,30.31,-0.00102,-0.05609,0.09,-2.09,99.91,0.00
Jh 4d 2h,Ac8h,1.000,31.48,-0.00093,-0.04945,0.09,-2.05,99.91,0.00
Jh 4d 2h,Ac9h,1.000,33.81,-0.00052,-0.0257,0.09,-1.99,99.91,0.00
Jh 4d 2h,AcTh,1.000,38.76,0.00054,0.02321,0.12,-1.76,99.88,0.00
Jh 4d 2h,Ac2s,1.000,46.32,0.64427,23.1807,0.10,-0.45,99.90,0.65
Jh 4d 2h,Ac3s,1.000,35.81,0.2656,12.3632,0.15,-0.96,99.85,0.27
Jh 4d 2h,Ac4s,1.000,49.08,0.85523,29.042,0.09,-0.28,99.91,0.86
Jh 4d 2h,Ac5s,1.000,36.79,0.2619,11.8641,0.15,-0.98,99.85,0.26
Jh 4d 2h,Ac6s,1.000,26.83,-0.00147,-0.09141,0.08,-2.23,99.92,0.00
Jh 4d 2h,Ac7s,1.000,27.57,-0.00148,-0.08949,0.08,-2.27,99.92,0.00
Jh 4d 2h,Ac8s,1.000,28.57,-0.00141,-0.08202,0.08,-2.28,99.92,0.00
Jh 4d 2h,Ac9s,1.000,30.87,-0.00109,-0.05886,0.08,-2.17,99.92,0.00
Jh 4d 2h,AcTs,1.000,35.65,-0.00015,-0.00684,0.08,-1.97,99.92,0.00
Jh 4d 2h,AcJs,1.000,75.38,7.0563,156.016,0.77,8.40,99.23,7.05
Jh 4d 2h,6d6c,1.000,46.92,0.5566,19.7732,0.11,-1.17,99.89,0.56
Jh 4d 2h,6d5d,1.000,31.13,1.30294,69.7563,0.21,0.65,99.79,1.30
Jh 4d 2h,7d7c,1.000,47.78,0.59463,20.7419,0.11,-1.18,99.89,0.60
Jh 4d 2h,7d6d,1.000,19.16,-0.00003,-0.00304,0.12,-1.84,99.88,0.00
Jh 4d 2h,8d8c,1.000,49.94,0.90706,30.2729,0.10,-0.45,99.90,0.91
Jh 4d 2h,8d7d,1.000,19.61,-0.00008,-0.00703,0.11,-1.86,99.89,0.00
Jh 4d 2h,9d9c,1.000,52.40,1.32946,42.2837,0.09,0.01,99.91,1.33
Jh 4d 2h,9d7d,1.000,18.14,-0.00055,-0.05017,0.10,-2.05,99.90,0.00
Jh 4d 2h,9d8d,1.000,19.68,-0.0002,-0.01681,0.11,-1.90,99.89,0.00
Jh 4d 2h,TdTc,1.000,56.12,1.93909,57.584,0.09,0.78,99.91,1.94
Jh 4d 2h,Td7d,1.000,18.28,-0.00059,-0.05363,0.10,-2.09,99.90,0.00
Jh 4d 2h,Td8d,1.000,19.91,-0.00014,-0.01176,0.10,-1.94,99.90,0.00
Jh 4d 2h,Td9d,1.000,21.21,0.00007,0.00567,0.11,-1.83,99.89,0.00
Jh 4d 2h,JdTc,1.000,63.66,3.43669,89.9817,0.16,4.04,99.84,3.44
Jh 4d 2h,Jd8d,1.000,64.90,4.34943,111.701,0.21,5.38,99.79,4.35
Jh 4d 2h,Jd9d,1.000,64.75,4.31416,111.046,0.20,5.09,99.80,4.31
Jh 4d 2h,JdTd,1.000,65.36,4.21642,107.51,0.26,4.90,99.74,4.21
Jh 4d 2h,JdTh,1.000,66.36,4.18222,105.04,0.18,5.03,99.82,4.18
Jh 4d 2h,JdTs,1.000,63.66,3.43669,89.9817,0.16,4.04,99.84,3.44
Jh 4d 2h,QdTc,1.000,20.82,-0.00056,-0.04491,0.10,-1.96,99.90,0.00
Jh 4d 2h,QdJc,1.000,68.40,4.76288,116.057,0.19,5.25,99.81,4.76
Jh 4d 2h,Qd6d,1.000,20.68,-0.00029,-0.02358,0.14,-1.84,99.86,0.00
Jh 4d 2h,Qd7d,1.000,19.66,-0.00057,-0.04819,0.12,-2.00,99.88,0.00
Jh 4d 2h,Qd8d,1.000,21.03,-0.00029,-0.02318,0.13,-1.92,99.87,0.00
Jh 4d 2h,Qd9d,1.000,22.24,-0.00006,-0.00433,0.14,-1.79,99.86,0.00
Jh 4d 2h,QdTd,1.000,24.48,0.00003,0.0018,0.14,-1.73,99.86,0.00
Jh 4d 2h,QdJd,1.000,69.86,5.43952,129.774,0.38,6.22,99.62,5.44
Jh 4d 2h,QdTh,1.000,24.09,-0.00031,-0.02127,0.16,-1.78,99.84,0.00
Jh 4d 2h,QdTs,1.000,20.82,-0.00056,-0.04491,0.10,-1.96,99.90,0.00
Jh 4d 2h,QdJs,1.000,68.40,4.76288,116.057,0.19,5.25,99.81,4.76
Jh 4d 2h,Kd8c,1.000,18.96,-0.00136,-0.11941,0.09,-2.34,99.91,0.00
Jh 4d 2h,Kd9c,1.000,20.15,-0.0012,-0.0994,0.09,-2.21,99.91,0.00
Jh 4d 2h,KdTc,1.000,22.64,-0.00089,-0.06586,0.09,-2.15,99.91,0.00
Jh 4d 2h,KdJc,1.000,71.03,5.55409,130.314,0.23,6.30,99.77,5.55
Jh 4d 2h,KdQc,1.000,27.56,0,-0.00016,0.15,-1.56,99.85,0.00
Jh 4d 2h,Kd2d,1.000,47.86,1.8965,66.0436,0.18,1.48,99.82,1.90
Jh 4d 2h,Kd3d,1.000,23.47,-0.00031,-0.02226,0.13,-1.93,99.87,0.00
Jh 4d 2h,Kd5d,1.000,23.80,-0.00007,-0.00471,0.14,-1.84,99.86,0.00
Jh 4d 2h,Kd6d,1.000,23.48,-0.00028,-0.01998,0.13,-1.89,99.87,0.00
Jh 4d 2h,Kd7d,1.000,22.54,-0.00062,-0.04565,0.12,-2.08,99.88,0.00
Jh 4d 2h,Kd8d,1.000,22.75,-0.00059,-0.04311,0.11,-2.10,99.89,0.00
Jh 4d 2h,Kd9d,1.000,23.92,-0.00046,-0.032,0.12,-1.98,99.88,0.00
Jh 4d 2h,KdTd,1.000,26.27,0.00008,0.00537,0.12,-1.80,99.88,0.00
Jh 4d 2h,KdJd,1.000,72.40,6.2217,143.219,0.62,7.32,99.38,6.21
Jh 4d 2h,KdQd,1.000,30.99,0.37902,20.3836,0.12,-1.15,99.88,0.38
Jh 4d 2h,Kd8h,1.000,22.09,-0.00094,-0.07129,0.12,-2.08,99.88,0.00
Jh 4d 2h,Kd9h,1.000,23.33,-0.00075,-0.05387,0.12,-2.02,99.88,0.00
Jh 4d 2h,KdTh,1.000,25.99,-0.00058,-0.03747,0.14,-1.91,99.86,0.00
Jh 4d 2h,KdQh,1.000,31.04,0.29259,15.7088,0.15,-0.97,99.85,0.29
Jh 4d 2h,Kd8s,1.000,18.96,-0.00136,-0.11941,0.09,-2.34,99.91,0.00
Jh 4d 2h,Kd9s,1.000,20.15,-0.0012,-0.0994,0.09,-2.21,99.91,0.00
Jh 4d 2h,KdTs,1.000,22.64,-0.00089,-0.06586,0.09,-2.15,99.91,0.00
Jh 4d 2h,KdJs,1.000,71.03,5.55409,130.314,0.23,6.30,99.77,5.55
Jh 4d 2h,KdQs,1.000,27.56,0,-0.00016,0.15,-1.56,99.85,0.00
Jh 4d 2h,Ad2c,1.000,46.37,0.68848,24.7441,0.10,-0.50,99.90,0.69
Jh 4d 2h,Ad3c,1.000,35.84,0.30024,13.9618,0.17,-1.07,99.83,0.30
Jh 4d 2h,Ad4c,1.000,49.32,0.92642,31.3087,0.09,-0.20,99.91,0.93
Jh 4d 2h,Ad5c,1.000,36.89,0.3009,13.5956,0.16,-0.95,99.84,0.30
Jh 4d 2h,Ad6c,1.000,26.89,-0.00165,-0.1022,0.09,-2.26,99.91,0.00
Jh 4d 2h,Ad7c,1.000,27.64,-0.0017,-0.10265,0.09,-2.32,99.91,0.00
Jh 4d 2h,Ad8c,1.000,28.65,-0.00162,-0.09437,0.09,-2.32,99.91,0.00
Jh 4d 2h,Ad9c,1.000,30.95,-0.00126,-0.06789,0.09,-2.21,99.91,0.00
Jh 4d 2h,AdTc,1.000,35.74,-0.00024,-0.01107,0.09,-2.01,99.91,0.00
Jh 4d 2h,AdJc,1.000,75.70,7.14661,157.337,0.63,8.61,99.37,7.14
Jh 4d 2h,Ad2d,1.000,49.02,1.75373,59.622,0.16,1.42,99.84,1.75
Jh 4d 2h,Ad3d,1.000,38.78,1.1555,49.6668,0.23,0.39,99.77,1.16
Jh 4d 2h,Ad5d,1.000,39.78,1.16277,48.7204,0.22,0.45,99.78,1.16
Jh 4d 2h,Ad6d,1.000,30.40,-0.00053,-0.02909,0.12,-1.92,99.88,0.00
Jh 4d 2h,Ad7d,1.000,31.12,-0.00056,-0.02986,0.12,-1.98,99.88,0.00
Jh 4d 2h,Ad8d,1.000,32.09,-0.00041,-0.0214,0.12,-1.97,99.88,0.00
Jh 4d 2h,Ad9d,1.000,34.17,-0.00011,-0.00522,0.12,-1.96,99.88,0.00
Jh 4d 2h,AdTd,1.000,38.72,0.0431,1.85538,0.12,-1.71,99.88,0.05
Jh 4d 2h,Ad3h,1.000,37.96,0.55691,24.4498,0.16,-0.69,99.84,0.56
Jh 4d 2h,Ad4h,1.000,51.42,1.4609,47.3509,0.11,1.02,99.89,1.46
Jh 4d 2h,Ad5h,1.000,39.09,0.59457,25.3524,0.16,-0.52,99.84,0.60
Jh 4d 2h,Ad6h,1.000,29.53,-0.00121,-0.06845,0.10,-2.11,99.90,0.00
Jh 4d 2h,Ad7h,1.000,30.39,-0.00121,-0.06646,0.10,-2.09,99.90,0.00
Jh 4d 2h,Ad8h,1.000,31.56,-0.00112,-0.05904,0.11,-2.04,99.89,0.00
Jh 4d 2h,Ad9h,1.000,33.90,-0.00073,-0.03581,0.11,-2.01,99.89,0.00
Jh 4d 2h,AdTh,1.000,38.85,0.00033,0.01405,0.13,-1.80,99.87,0.00
Jh 4d 2h,Ad2s,1.000,46.37,0.68848,24.7441,0.10,-0.50,99.90,0.69
Jh 4d 2h,Ad3s,1.000,35.84,0.30024,13.9618,0.17,-1.07,99.83,0.30
Jh 4d 2h,Ad4s,1.000,49.32,0.92642,31.3087,0.09,-0.20,99.91,0.93
Jh 4d 2h,Ad5s,1.000,36.89,0.3009,13.5956,0.16,-0.95,99.84,0.30
Jh 4d 2h,Ad6s,1.000,26.89,-0.00165,-0.1022,0.09,-2.26,99.91,0.00
Jh 4d 2h,Ad7s,1.000,27.64,-0.0017,-0.10265,0.09,-2.32,99.91,0.00
Jh 4d 2h,Ad8s,1.000,28.65,-0.00162,-0.09437,0.09,-2.32,99.91,0.00
Jh 4d 2h,Ad9s,1.000,30.95,-0.00126,-0.06789,0.09,-2.21,99.91,0.00
Jh 4d 2h,AdTs,1.000,35.74,-0.00024,-0.01107,0.09,-2.01,99.91,0.00
Jh 4d 2h,AdJs,1.000,75.70,7.14662,157.337,0.63,8.61,99.37,7.14
Jh 4d 2h,6h6c,1.000,49.26,1.08753,36.7988,0.14,0.32,99.86,1.09
Jh 4d 2h,6h6d,1.000,49.33,1.12742,38.0896,0.13,0.26,99.87,1.13
Jh 4d 2h,6h5h,1.000,51.98,5.10778,163.782,0.95,5.34,99.05,5.11
Jh 4d 2h,7h7c,1.000,50.22,1.1548,38.326,0.13,0.38,99.87,1.16
Jh 4d 2h,7h7d,1.000,50.30,1.20726,40.001,0.13,0.31,99.87,1.21
Jh 4d 2h,7h6h,1.000,44.31,2.99179,112.521,0.19,2.38,99.81,2.99
Jh 4d 2h,8h8c,1.000,52.48,1.50497,47.7992,0.13,0.72,99.87,1.51
Jh 4d 2h,8h8d,1.000,52.57,1.55682,49.3535,0.13,0.70,99.87,1.56
Jh 4d 2h,8h7h,1.000,44.85,3.06444,113.867,0.21,2.60,99.79,3.07
Jh 4d 2h,9h9c,1.000,54.90,2.00391,60.831,0.12,1.22,99.88,2.00
Jh 4d 2h,9h9d,1.000,55.01,2.05342,62.2135,0.12,1.09,99.88,2.05
Jh 4d 2h,9h7h,1.000,44.05,2.8994,109.708,0.20,2.25,99.80,2.90
Jh 4d 2h,9h8h,1.000,45.12,3.20352,118.344,0.24,2.91,99.76,3.20
Jh 4d 2h,ThTc,1.000,58.77,2.63035,74.5928,0.11,1.91,99.89,2.63
Jh 4d 2h,ThTd,1.000,58.90,2.68236,75.9075,0.11,1.87,99.89,2.68
Jh 4d 2h,Th7h,1.000,44.40,2.9716,111.538,0.21,2.23,99.79,2.97
Jh 4d 2h,Th8h,1.000,45.49,3.29267,120.646,0.24,2.70,99.76,3.29
Jh 4d 2h,Th9h,1.000,46.35,3.54071,127.324,0.31,3.25,99.69,3.54
Jh 4d 2h,QhTc,1.000,24.28,0.00046,0.03124,0.14,-1.58,99.86,0.00
Jh 4d 2h,QhJc,1.000,70.96,5.59859,131.488,0.28,6.56,99.72,5.60
Jh 4d 2h,QhTd,1.000,24.37,0.00038,0.02623,0.16,-1.57,99.84,0.00
