Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 4d 2h,6c5c,0.998,28.06,0.69995,41.5774,0.04,0.54,99.70,0.70,0.26,0.00
Jh 4d 2h,7c6c,0.999,15.40,-0.0015,-0.16179,0.08,-1.43,0.03,-1.13,99.89,0.00
Jh 4d 2h,8c7c,0.999,15.84,-0.0015,-0.158,0.07,-1.60,0.03,-1.09,99.90,0.00
Jh 4d 2h,9c7c,0.999,14.29,-0.00151,-0.17626,0.05,-1.83,0.05,-1.25,99.90,0.00
Jh 4d 2h,9c8c,0.999,15.90,-0.00149,-0.15656,0.05,-1.74,0.05,-1.06,99.89,0.00
Jh 4d 2h,Tc7c,0.999,14.41,-0.00152,-0.17535,0.05,-1.95,0.05,-1.24,99.90,0.00
Jh 4d 2h,Tc8c,0.999,16.13,-0.0015,-0.15497,0.05,-1.81,0.05,-1.01,99.89,0.00
Jh 4d 2h,Tc9c,0.999,17.50,-0.0015,-0.14329,0.06,-1.77,0.06,-0.89,99.89,0.00
Jh 4d 2h,Jc8c,0.999,63.03,3.53648,93.517,0.03,3.19,99.93,3.54,0.04,0.00
Jh 4d 2h,Jc9c,0.999,62.87,3.49388,92.6157,0.03,3.18,99.93,3.50,0.05,0.00
Jh 4d 2h,JcTc,0.998,63.51,3.38013,88.6996,0.03,3.20,99.92,3.38,0.05,0.00
Jh 4d 2h,JcTd,0.999,63.69,3.44868,90.2529,0.03,3.13,99.92,3.45,0.05,0.00
Jh 4d 2h,JcTh,0.998,66.25,4.12768,103.844,0.10,4.09,99.86,4.13,0.04,0.00
Jh 4d 2h,JcTs,0.998,63.54,3.38115,88.6837,0.03,3.22,99.92,3.38,0.05,0.00
Jh 4d 2h,Qc6c,0.999,16.81,-0.00149,-0.14746,0.10,-1.28,0.03,-0.84,99.87,0.00
Jh 4d 2h,Qc7c,0.999,15.71,-0.00151,-0.16077,0.08,-1.52,0.03,-0.93,99.89,0.00
Jh 4d 2h,Qc8c,0.999,17.15,-0.00152,-0.14767,0.09,-1.48,0.03,-0.79,99.88,0.00
Jh 4d 2h,Qc9c,0.999,18.44,-0.0015,-0.13534,0.09,-1.34,0.04,-0.63,99.87,0.00
Jh 4d 2h,QcTc,0.999,20.79,-0.0015,-0.12028,0.10,-1.26,0.05,-0.39,99.85,0.00
Jh 4d 2h,QcJc,0.998,68.24,4.66477,113.933,0.09,4.44,99.88,4.67,0.03,0.00
Jh 4d 2h,QcTd,0.999,20.82,-0.00148,-0.1188,0.11,-1.19,0.05,-0.43,99.84,0.00
Jh 4d 2h,QcJd,0.998,68.34,4.71569,115.004,0.09,4.48,99.88,4.72,0.03,0.00
Jh 4d 2h,QcTh,0.999,24.00,-0.00151,-0.1051,0.19,-0.76,5.73,0.00,94.09,0.00
Jh 4d 2h,QcTs,0.999,20.73,-0.0015,-0.12075,0.10,-1.29,0.05,-0.40,99.85,0.00
Jh 4d 2h,QcJs,0.998,68.24,4.66482,113.934,0.09,4.44,99.88,4.67,0.03,0.00
Jh 4d 2h,Kc2c,0.999,45.04,0.91396,33.8183,0.04,0.89,99.76,0.92,0.20,0.00
Jh 4d 2h,Kc3c,0.999,19.76,-0.00151,-0.12708,0.09,-1.35,0.03,-0.91,99.88,0.00
Jh 4d 2h,Kc4c,0.999,47.94,1.10298,38.3442,0.03,0.83,99.81,1.10,0.16,0.00
Jh 4d 2h,Kc5c,0.999,20.10,-0.00148,-0.12261,0.10,-1.20,0.04,-0.84,99.87,0.00
Jh 4d 2h,Kc6c,0.999,19.69,-0.00151,-0.12765,0.09,-1.40,0.03,-0.86,99.88,0.00
Jh 4d 2h,Kc7c,0.999,18.67,-0.00153,-0.13686,0.08,-1.65,0.03,-0.96,99.90,0.00
Jh 4d 2h,Kc8c,0.999,18.89,-0.00154,-0.13601,0.08,-1.70,0.03,-0.91,99.90,0.00
Jh 4d 2h,Kc9c,0.999,20.14,-0.00154,-0.12748,0.08,-1.66,0.03,-0.82,99.89,0.00
Jh 4d 2h,KcTc,0.999,22.61,-0.00154,-0.1135,0.08,-1.57,0.04,-0.53,99.88,0.00
Jh 4d 2h,KcJc,0.997,70.88,5.46882,128.599,0.38,5.31,99.61,5.47,0.02,0.00
Jh 4d 2h,KcQc,0.999,27.45,-0.00142,-0.08594,0.20,-0.69,2.14,0.00,97.66,0.00
Jh 4d 2h,Kc8d,0.999,18.97,-0.00154,-0.13563,0.08,-1.69,0.03,-0.88,99.90,0.00
Jh 4d 2h,Kc9d,0.999,20.16,-0.00155,-0.12843,0.08,-1.69,0.03,-0.81,99.89,0.00
Jh 4d 2h,KcTd,0.999,22.65,-0.00152,-0.11186,0.09,-1.47,0.04,-0.56,99.87,0.00
Jh 4d 2h,KcJd,0.997,71.00,5.52428,129.686,0.34,5.32,99.65,5.53,0.01,0.00
Jh 4d 2h,KcQd,0.999,27.56,-0.00137,-0.08258,0.21,-0.60,0.09,-0.12,99.70,0.00
Jh 4d 2h,Kc8h,0.999,22.01,-0.00151,-0.11419,0.10,-1.26,0.04,-0.58,99.86,0.00
