Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 4d 2h,6c5c,0.998,28.07,0.70199,41.6878,0.04,0.55,99.70,0.70,0.26,0.00
Jh 4d 2h,7c6c,0.999,15.41,-0.00149,-0.16098,0.08,-1.42,0.03,-1.13,99.89,0.00
Jh 4d 2h,8c7c,0.999,15.85,-0.0015,-0.15725,0.07,-1.59,0.03,-1.09,99.90,0.00
Jh 4d 2h,9c7c,0.999,14.29,-0.00151,-0.17563,0.05,-1.83,0.05,-1.24,99.90,0.00
Jh 4d 2h,9c8c,0.999,15.91,-0.00149,-0.15593,0.05,-1.73,0.05,-1.06,99.89,0.00
Jh 4d 2h,Tc7c,0.999,14.42,-0.00151,-0.17477,0.05,-1.94,0.05,-1.24,99.90,0.00
Jh 4d 2h,Tc8c,0.999,16.13,-0.00149,-0.15436,0.05,-1.80,0.05,-1.01,99.89,0.00
Jh 4d 2h,Tc9c,0.999,17.51,-0.0015,-0.14269,0.06,-1.76,0.06,-0.89,99.89,0.00
Jh 4d 2h,Jc8c,0.999,63.05,3.54435,93.6858,0.03,3.20,99.93,3.55,0.04,0.00
Jh 4d 2h,Jc9c,0.999,62.90,3.50133,92.7736,0.03,3.18,99.93,3.50,0.05,0.00
Jh 4d 2h,JcTc,0.998,63.54,3.38755,88.8579,0.03,3.21,99.92,3.39,0.05,0.00
Jh 4d 2h,JcTd,0.999,63.71,3.45639,90.4194,0.03,3.14,99.92,3.46,0.05,0.00
Jh 4d 2h,JcTh,0.998,66.27,4.13593,104.012,0.10,4.10,99.86,4.14,0.04,0.00
Jh 4d 2h,JcTs,0.998,63.57,3.38856,88.8416,0.03,3.22,99.92,3.39,0.05,0.00
Jh 4d 2h,Qc6c,0.999,16.82,-0.00148,-0.1466,0.10,-1.27,0.03,-0.84,99.87,0.00
Jh 4d 2h,Qc7c,0.999,15.71,-0.00151,-0.15996,0.08,-1.52,0.03,-0.93,99.89,0.00
Jh 4d 2h,Qc8c,0.999,17.15,-0.00151,-0.14692,0.09,-1.48,0.03,-0.79,99.88,0.00
Jh 4d 2h,Qc9c,0.999,18.44,-0.00149,-0.13454,0.09,-1.33,0.04,-0.62,99.87,0.00
Jh 4d 2h,QcTc,0.999,20.80,-0.00149,-0.11943,0.10,-1.26,0.05,-0.38,99.85,0.00
Jh 4d 2h,QcJc,0.998,68.26,4.67218,114.072,0.09,4.45,99.88,4.67,0.03,0.00
Jh 4d 2h,QcTd,0.999,20.82,-0.00147,-0.11802,0.11,-1.19,0.05,-0.42,99.84,0.00
Jh 4d 2h,QcJd,0.998,68.37,4.7232,115.145,0.09,4.49,99.88,4.72,0.03,0.00
Jh 4d 2h,QcTh,0.999,24.00,-0.0013,-0.08999,0.19,-0.75,5.73,0.00,94.09,0.00
Jh 4d 2h,QcTs,0.999,20.73,-0.00149,-0.11992,0.10,-1.28,0.05,-0.39,99.85,0.00
Jh 4d 2h,QcJs,0.998,68.26,4.67223,114.073,0.09,4.45,99.88,4.67,0.03,0.00
Jh 4d 2h,Kc2c,0.999,45.06,0.91771,33.942,0.04,0.90,99.76,0.92,0.20,0.00
Jh 4d 2h,Kc3c,0.999,19.77,-0.0015,-0.12644,0.09,-1.35,0.03,-0.90,99.88,0.00
Jh 4d 2h,Kc4c,0.999,47.96,1.10687,38.4627,0.03,0.84,99.81,1.11,0.16,0.00
Jh 4d 2h,Kc5c,0.999,20.10,-0.00147,-0.12193,0.10,-1.19,0.04,-0.84,99.87,0.00
Jh 4d 2h,Kc6c,0.999,19.70,-0.0015,-0.12701,0.09,-1.39,0.03,-0.85,99.88,0.00
