Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 4d 2h,6c5c,0.998,28.06,0.70049,41.6092,0.04,1.85,99.70,0.70,0.26,0.00
Jh 4d 2h,7c6c,0.999,15.40,0.00017,0.01851,0.08,0.68,0.03,-1.13,99.89,0.00
Jh 4d 2h,8c7c,0.999,15.84,-0.00002,-0.00185,0.07,0.48,0.03,-1.09,99.90,0.00
Jh 4d 2h,9c7c,0.999,14.29,-0.00043,-0.05001,0.05,0.37,0.05,-1.25,99.90,0.00
Jh 4d 2h,9c8c,0.999,15.90,-0.00041,-0.04343,0.05,0.28,0.05,-1.06,99.89,0.00
Jh 4d 2h,Tc7c,0.999,14.41,-0.0004,-0.04625,0.05,0.40,0.05,-1.24,99.90,0.00
Jh 4d 2h,Tc8c,0.999,16.13,-0.00036,-0.03676,0.05,0.34,0.05,-1.01,99.89,0.00
Jh 4d 2h,Tc9c,0.999,17.50,-0.00033,-0.03104,0.06,0.32,0.06,-0.89,99.89,0.00
Jh 4d 2h,Jc8c,0.999,63.03,3.53657,93.5193,0.03,3.51,99.93,3.54,0.04,0.00
Jh 4d 2h,Jc9c,0.999,62.87,3.49397,92.6181,0.03,3.52,99.93,3.50,0.05,0.00
Jh 4d 2h,JcTc,0.998,63.51,3.38022,88.7021,0.03,3.50,99.92,3.38,0.05,0.00
Jh 4d 2h,JcTd,0.999,63.69,3.44883,90.2568,0.03,3.63,99.92,3.45,0.05,0.00
Jh 4d 2h,JcTh,0.998,66.25,4.12719,103.831,0.10,3.59,99.86,4.13,0.04,0.00
Jh 4d 2h,JcTs,0.998,63.54,3.38124,88.6862,0.03,3.51,99.92,3.38,0.05,0.00
Jh 4d 2h,Qc6c,0.999,16.81,0.00056,0.05592,0.10,0.88,0.03,-0.84,99.87,0.00
Jh 4d 2h,Qc7c,0.999,15.71,0.00029,0.03102,0.08,0.66,0.03,-0.93,99.89,0.00
Jh 4d 2h,Qc8c,0.999,17.15,0.00038,0.03726,0.09,0.72,0.03,-0.79,99.88,0.00
Jh 4d 2h,Qc9c,0.999,18.44,0.00031,0.02812,0.09,0.59,0.04,-0.63,99.87,0.00
Jh 4d 2h,QcTc,0.999,20.79,0.00021,0.01698,0.10,0.38,0.05,-0.39,99.85,0.00
Jh 4d 2h,QcJc,0.998,68.24,4.66441,113.924,0.09,4.06,99.88,4.67,0.03,0.00
Jh 4d 2h,QcTd,0.999,20.82,0.00068,0.0547,0.11,0.84,0.05,-0.43,99.84,0.00
Jh 4d 2h,QcJd,0.998,68.34,4.71537,114.996,0.09,4.14,99.88,4.72,0.03,0.00
Jh 4d 2h,QcTh,0.999,24.00,0.0021,0.14572,0.19,1.16,5.73,0.00,94.09,0.00
Jh 4d 2h,QcTs,0.999,20.73,0.00018,0.01433,0.10,0.37,0.05,-0.40,99.85,0.00
Jh 4d 2h,QcJs,0.998,68.24,4.66446,113.925,0.09,4.06,99.88,4.67,0.03,0.00
Jh 4d 2h,Kc2c,0.999,45.04,0.91429,33.8307,0.04,1.78,99.76,0.92,0.20,0.00
Jh 4d 2h,Kc3c,0.999,19.76,0.00047,0.03985,0.09,0.87,0.03,-0.91,99.88,0.00
Jh 4d 2h,Kc4c,0.999,47.94,1.10316,38.3505,0.03,1.44,99.81,1.10,0.16,0.00
Jh 4d 2h,Kc5c,0.999,20.10,0.00066,0.05433,0.10,0.99,0.04,-0.84,99.87,0.00
Jh 4d 2h,Kc6c,0.999,19.69,0.00044,0.03763,0.09,0.82,0.03,-0.86,99.88,0.00
Jh 4d 2h,Kc7c,0.999,18.67,0.00023,0.02035,0.08,0.63,0.03,-0.96,99.90,0.00
Jh 4d 2h,Kc8c,0.999,18.89,0.00024,0.02125,0.08,0.64,0.03,-0.91,99.90,0.00
Jh 4d 2h,Kc9c,0.999,20.14,0.00016,0.01306,0.08,0.54,0.03,-0.82,99.89,0.00
Jh 4d 2h,KcTc,0.999,22.61,0.00019,0.01394,0.08,0.47,0.04,-0.53,99.88,0.00
Jh 4d 2h,KcJc,0.997,70.88,5.46501,128.51,0.38,4.30,99.61,5.47,0.02,0.00
Jh 4d 2h,KcQc,0.999,27.45,0.00059,0.03557,0.20,0.31,2.14,0.00,97.66,0.00
Jh 4d 2h,Kc8d,0.999,18.97,0.00025,0.02192,0.08,0.64,0.03,-0.88,99.90,0.00
Jh 4d 2h,Kc9d,0.999,20.16,0.00018,0.01477,0.08,0.57,0.03,-0.81,99.89,0.00
Jh 4d 2h,KcTd,0.999,22.65,0.00052,0.03796,0.09,0.85,0.04,-0.56,99.87,0.00
Jh 4d 2h,KcJd,0.997,71.00,5.52093,129.608,0.34,4.34,99.65,5.53,0.01,0.00
