Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 4d 2h,6c5c,0.998,28.06,0.69962,41.5575,0.04,-0.28,99.70,0.70,0.26,0.00
Jh 4d 2h,7c6c,0.999,15.40,-0.00245,-0.26529,0.08,-2.64,0.03,-1.13,99.89,0.00
Jh 4d 2h,8c7c,0.999,15.84,-0.00232,-0.24356,0.07,-2.74,0.03,-1.09,99.90,0.00
Jh 4d 2h,9c7c,0.999,14.29,-0.00212,-0.24731,0.05,-3.07,0.05,-1.25,99.90,0.00
Jh 4d 2h,9c8c,0.999,15.90,-0.00219,-0.22986,0.05,-3.05,0.05,-1.06,99.89,0.00
Jh 4d 2h,Tc7c,0.999,14.41,-0.00203,-0.23483,0.05,-3.03,0.05,-1.24,99.90,0.00
Jh 4d 2h,Tc8c,0.999,16.13,-0.00211,-0.21756,0.05,-2.95,0.05,-1.01,99.89,0.00
Jh 4d 2h,Tc9c,0.999,17.50,-0.00221,-0.2102,0.06,-3.01,0.06,-0.89,99.89,0.00
Jh 4d 2h,Jc8c,0.999,63.03,3.53606,93.506,0.03,1.69,99.93,3.54,0.04,0.00
Jh 4d 2h,Jc9c,0.999,62.87,3.49346,92.6046,0.03,1.59,99.93,3.50,0.05,0.00
Jh 4d 2h,JcTc,0.998,63.51,3.37964,88.6869,0.03,1.62,99.92,3.38,0.05,0.00
Jh 4d 2h,JcTd,0.999,63.69,3.44823,90.2411,0.03,1.65,99.92,3.45,0.05,0.00
Jh 4d 2h,JcTh,0.998,66.25,4.12707,103.828,0.10,3.47,99.86,4.13,0.04,0.00
Jh 4d 2h,JcTs,0.998,63.54,3.38066,88.6708,0.03,1.63,99.92,3.38,0.05,0.00
Jh 4d 2h,Qc6c,0.999,16.81,-0.00266,-0.26325,0.10,-2.51,0.03,-0.84,99.87,0.00
Jh 4d 2h,Qc7c,0.999,15.71,-0.00249,-0.26385,0.08,-2.70,0.03,-0.93,99.89,0.00
Jh 4d 2h,Qc8c,0.999,17.15,-0.00254,-0.24684,0.09,-2.67,0.03,-0.79,99.88,0.00
Jh 4d 2h,Qc9c,0.999,18.44,-0.00273,-0.24711,0.09,-2.66,0.04,-0.63,99.87,0.00
Jh 4d 2h,QcTc,0.999,20.79,-0.00276,-0.22151,0.10,-2.48,0.05,-0.39,99.85,0.00
Jh 4d 2h,QcJc,0.998,68.24,4.66408,113.916,0.09,3.70,99.88,4.67,0.03,0.00
Jh 4d 2h,QcTd,0.999,20.82,-0.00286,-0.22889,0.11,-2.49,0.05,-0.43,99.84,0.00
Jh 4d 2h,QcJd,0.998,68.34,4.71484,114.983,0.09,3.57,99.88,4.72,0.03,0.00
Jh 4d 2h,QcTh,0.999,24.00,-0.00372,-0.25845,0.19,-1.93,5.73,0.00,94.09,0.00
Jh 4d 2h,QcTs,0.999,20.73,-0.00274,-0.22024,0.10,-2.51,0.05,-0.40,99.85,0.00
Jh 4d 2h,QcJs,0.998,68.24,4.66412,113.917,0.09,3.70,99.88,4.67,0.03,0.00
Jh 4d 2h,Kc2c,0.999,45.04,0.91369,33.8085,0.04,0.18,99.76,0.92,0.20,0.00
