Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,6c5c,1.000,30.49,3.39294,185.449,96.02,3.40,3.98,3.28
Jh 4d 2h,7c5c,1.000,18.62,1.51583,135.685,36.30,1.70,63.70,1.41
Jh 4d 2h,7c6c,1.000,18.00,1.45798,135.028,56.22,1.62,43.78,1.25
Jh 4d 2h,8c6c,1.000,17.84,1.36018,127.049,35.12,1.62,64.88,1.22
Jh 4d 2h,8c7c,1.000,18.06,1.40891,130.024,61.37,1.56,38.63,1.17
Jh 4d 2h,9c6c,1.000,16.36,1.10325,112.422,10.41,1.48,89.59,1.06
Jh 4d 2h,9c7c,1.000,16.61,1.16808,117.238,34.03,1.46,65.97,1.02
Jh 4d 2h,9c8c,1.000,17.89,1.30259,121.379,47.94,1.53,52.06,1.09
Jh 4d 2h,9c8d,1.000,17.94,1.37268,127.556,55.91,1.57,44.09,1.12
Jh 4d 2h,9c8h,1.000,20.88,1.77305,141.553,90.04,1.82,9.96,1.37
Jh 4d 2h,9c8s,1.000,17.89,1.30286,121.405,47.98,1.53,52.02,1.09
Jh 4d 2h,Tc7c,1.000,16.92,1.1931,117.556,28.87,1.49,71.13,1.07
Jh 4d 2h,Tc8c,1.000,18.25,1.43008,130.574,58.06,1.62,41.94,1.17
Jh 4d 2h,Tc9c,1.000,20.40,1.55307,126.874,52.52,1.76,47.48,1.32
Jh 4d 2h,Tc8d,1.000,18.30,1.5329,139.581,72.83,1.66,27.17,1.19
Jh 4d 2h,Tc9d,1.000,20.46,1.7411,141.86,80.70,1.83,19.30,1.37
Jh 4d 2h,Tc8h,1.000,21.23,1.8462,144.915,92.62,1.88,7.38,1.44
Jh 4d 2h,Tc9h,1.000,23.50,2.06232,146.237,91.45,2.10,8.55,1.69
Jh 4d 2h,Tc8s,1.000,18.25,1.43266,130.809,59.01,1.62,40.99,1.17
Jh 4d 2h,Tc9s,1.000,20.40,1.55288,126.859,52.50,1.76,47.50,1.32
Jh 4d 2h,Jc7c,1.000,71.56,5.3125,123.738,7.03,5.03,92.97,5.33
Jh 4d 2h,Jc8c,1.000,71.76,5.22989,121.466,29.35,5.04,70.65,5.31
Jh 4d 2h,Jc9c,1.000,72.44,5.3233,122.469,49.55,5.21,50.45,5.43
Jh 4d 2h,JcTc,1.000,73.62,5.4826,124.121,71.05,5.41,28.95,5.66
Jh 4d 2h,Jc8d,1.000,71.89,5.27082,122.197,23.78,5.07,76.22,5.33
Jh 4d 2h,Jc9d,1.000,72.53,5.39593,123.986,29.94,5.29,70.06,5.44
Jh 4d 2h,JcTd,1.000,73.64,5.5188,124.912,67.12,5.44,32.88,5.68
Jh 4d 2h,Jc8h,1.000,73.75,5.36571,121.261,86.96,5.32,13.04,5.65
Jh 4d 2h,Jc9h,1.000,74.60,5.62159,125.59,79.36,5.58,20.64,5.78
Jh 4d 2h,JcTh,1.000,75.72,5.88947,129.634,91.06,5.88,8.94,6.04
Jh 4d 2h,Jc8s,1.000,71.81,5.23059,121.402,30.74,5.05,69.26,5.31
Jh 4d 2h,Jc9s,1.000,72.44,5.32321,122.467,49.60,5.21,50.40,5.43
Jh 4d 2h,JcTs,1.000,73.57,5.47387,124.01,69.93,5.40,30.07,5.65
Jh 4d 2h,Qc7c,1.000,19.64,1.21854,103.386,19.73,1.42,80.27,1.17
Jh 4d 2h,Qc8c,1.000,21.88,1.41329,107.666,49.23,1.62,50.77,1.21
Jh 4d 2h,Qc9c,1.000,24.80,1.54652,103.923,49.03,1.72,50.97,1.38
Jh 4d 2h,QcTc,1.000,27.65,1.80249,108.646,50.45,1.99,49.55,1.62
Jh 4d 2h,QcJc,1.000,76.74,6.12763,133.084,53.99,5.94,46.01,6.34
Jh 4d 2h,Qc8d,1.000,21.93,1.54457,117.363,67.83,1.69,32.17,1.24
Jh 4d 2h,Qc9d,1.000,24.87,1.75043,117.314,78.96,1.84,21.04,1.42
Jh 4d 2h,QcTd,1.000,27.76,1.88834,113.38,68.68,2.00,31.32,1.64
Jh 4d 2h,QcJd,1.000,76.82,6.2466,135.533,33.38,5.98,66.62,6.38
Jh 4d 2h,Qc8h,1.000,24.77,1.88145,126.608,92.49,1.91,7.51,1.48
Jh 4d 2h,Qc9h,1.000,27.83,2.01832,120.882,80.05,2.09,19.95,1.73
Jh 4d 2h,QcTh,1.000,30.74,2.15447,116.812,65.26,2.26,34.74,1.96
Jh 4d 2h,Qc8s,1.000,21.88,1.41336,107.671,49.32,1.62,50.68,1.21
