Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,6c5c,1.000,30.49,3.11456,170.234,96.02,3.11,3.98,3.28
Jh 4d 2h,7c5c,1.000,18.62,0.66104,59.171,36.30,-0.65,63.70,1.41
Jh 4d 2h,7c6c,1.000,18.00,0.0917,8.49276,56.22,-0.81,43.78,1.25
Jh 4d 2h,8c6c,1.000,17.84,0.46814,43.7273,35.12,-0.92,64.88,1.22
Jh 4d 2h,8c7c,1.000,18.06,-0.15041,-13.8807,61.37,-0.98,38.63,1.17
Jh 4d 2h,9c6c,1.000,16.36,0.82724,84.2956,10.41,-1.17,89.59,1.06
Jh 4d 2h,9c7c,1.000,16.61,0.2539,25.4833,34.03,-1.23,65.97,1.02
Jh 4d 2h,9c8c,1.000,17.89,0.03449,3.21366,47.94,-1.12,52.06,1.09
Jh 4d 2h,9c8d,1.000,17.94,-0.17267,-16.0453,55.91,-1.19,44.09,1.12
Jh 4d 2h,9c8h,1.000,20.88,-0.67661,-54.0174,90.04,-0.90,9.96,1.37
Jh 4d 2h,9c8s,1.000,17.89,0.03339,3.11157,47.98,-1.12,52.02,1.09
Jh 4d 2h,Tc7c,1.000,16.92,0.41382,40.7734,28.87,-1.21,71.13,1.07
Jh 4d 2h,Tc8c,1.000,18.25,-0.1821,-16.6266,58.06,-1.16,41.94,1.17
Jh 4d 2h,Tc9c,1.000,20.40,0.15858,12.9548,52.52,-0.89,47.48,1.32
Jh 4d 2h,Tc8d,1.000,18.30,-0.56914,-51.8242,72.83,-1.23,27.17,1.19
Jh 4d 2h,Tc9d,1.000,20.46,-0.57337,-46.7163,80.70,-1.04,19.30,1.37
Jh 4d 2h,Tc8h,1.000,21.23,-0.6674,-52.3872,92.62,-0.84,7.38,1.44
Jh 4d 2h,Tc9h,1.000,23.50,-0.38923,-27.5997,91.45,-0.58,8.55,1.69
Jh 4d 2h,Tc8s,1.000,18.25,-0.1987,-18.1424,59.01,-1.15,40.99,1.17
Jh 4d 2h,Tc9s,1.000,20.40,0.15921,13.0065,52.51,-0.89,47.49,1.32
Jh 4d 2h,Jc7c,1.000,71.56,5.53898,129.013,7.03,8.25,92.97,5.33
Jh 4d 2h,Jc8c,1.000,71.76,6.13765,142.549,29.35,8.13,70.65,5.31
Jh 4d 2h,Jc9c,1.000,72.44,6.72103,154.625,49.55,8.03,50.45,5.43
Jh 4d 2h,JcTc,1.000,73.62,7.46298,168.955,71.05,8.20,28.95,5.66
Jh 4d 2h,Jc8d,1.000,71.89,6.02422,139.664,23.78,8.24,76.22,5.33
Jh 4d 2h,Jc9d,1.000,72.53,6.0909,139.955,29.94,7.61,70.06,5.44
Jh 4d 2h,JcTd,1.000,73.64,7.30404,165.319,67.12,8.10,32.88,5.68
Jh 4d 2h,Jc8h,1.000,73.75,8.34291,188.544,86.96,8.75,13.04,5.65
Jh 4d 2h,Jc9h,1.000,74.60,7.90303,176.559,79.36,8.46,20.64,5.78
Jh 4d 2h,JcTh,1.000,75.72,7.94108,174.792,91.06,8.13,8.94,6.04
Jh 4d 2h,Jc8s,1.000,71.81,6.18231,143.491,30.74,8.14,69.26,5.31
Jh 4d 2h,Jc9s,1.000,72.44,6.72256,154.66,49.60,8.03,50.40,5.43
Jh 4d 2h,JcTs,1.000,73.57,7.45974,169,69.93,8.24,30.07,5.65
Jh 4d 2h,Qc7c,1.000,19.64,0.80561,68.3514,19.73,-0.67,80.27,1.17
Jh 4d 2h,Qc8c,1.000,21.88,0.15013,11.4374,49.23,-0.94,50.77,1.21
