Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 4d 2h,2c,6c5c,0.960,16.27,2.90124,148.594,94.52,2.90,0.35,2.65,5.13,2.85
Jh 4d 2h,2c,7c5c,0.363,7.57,0.80521,88.6105,1.26,0.68,0.58,0.66,98.16,0.81
Jh 4d 2h,2c,7c6c,0.562,8.15,0.86177,88.0707,1.09,0.75,0.55,0.68,98.36,0.86
Jh 4d 2h,2c,8c6c,0.351,8.18,0.85974,87.6125,0.92,0.73,0.56,0.68,98.52,0.86
Jh 4d 2h,2c,8c7c,0.614,8.30,0.86474,86.816,1.03,0.79,0.87,0.72,98.10,0.87
Jh 4d 2h,2c,9c6c,0.104,8.17,0.87162,88.9191,1.22,0.78,0.80,0.74,97.99,0.87
Jh 4d 2h,2c,9c7c,0.340,8.29,0.87421,87.8469,1.49,0.85,1.95,0.79,96.56,0.88
Jh 4d 2h,2c,9c8c,0.479,8.32,0.86878,87.0648,1.18,0.84,2.26,0.78,96.56,0.87
Jh 4d 2h,2c,9c8d,0.559,8.32,0.86717,86.8308,1.13,0.83,0.81,0.73,98.06,0.87
Jh 4d 2h,2c,9c8h,0.900,8.47,0.89421,87.9415,0.79,0.74,0.87,0.79,98.34,0.90
Jh 4d 2h,2c,9c8s,0.480,8.32,0.86883,87.0702,1.18,0.84,2.26,0.78,96.56,0.87
Jh 4d 2h,2c,Tc7c,0.289,8.39,0.88841,88.2851,1.16,0.83,0.72,0.72,98.12,0.89
Jh 4d 2h,2c,Tc8c,0.581,8.41,0.87843,87.0543,0.99,0.82,0.76,0.70,98.25,0.88
Jh 4d 2h,2c,Tc9c,0.525,8.50,0.88694,86.9741,7.62,0.89,1.62,0.77,90.76,0.89
Jh 4d 2h,2c,Tc8d,0.728,8.42,0.87719,86.8546,0.77,0.81,0.56,0.65,98.67,0.88
Jh 4d 2h,2c,Tc9d,0.807,8.44,0.88568,87.4864,0.81,0.83,0.59,0.65,98.60,0.89
Jh 4d 2h,2c,Tc8h,0.926,8.57,0.90564,88.0765,0.64,0.73,0.50,0.71,98.85,0.91
Jh 4d 2h,2c,Tc9h,0.914,8.61,0.92378,89.4265,0.63,0.78,0.50,0.70,98.87,0.93
Jh 4d 2h,2c,Tc8s,0.590,8.41,0.87831,87.0425,0.99,0.82,0.77,0.70,98.24,0.88
Jh 4d 2h,2c,Tc9s,0.525,8.50,0.88698,86.9784,7.67,0.89,1.62,0.77,90.71,0.89
Jh 4d 2h,2c,Jc7c,0.070,72.45,9.68292,111.38,0.35,9.30,1.39,9.57,98.26,9.69
Jh 4d 2h,2c,Jc8c,0.293,72.64,9.68006,111.049,0.43,9.38,1.82,9.59,97.75,9.68
Jh 4d 2h,2c,Jc9c,0.495,73.61,9.88058,111.85,0.96,9.72,2.26,9.82,96.78,9.88
Jh 4d 2h,2c,JcTc,0.710,74.92,10.2029,113.484,9.63,10.18,4.80,10.17,85.57,10.21
Jh 4d 2h,2c,Jc8d,0.238,72.63,9.66096,110.841,0.49,9.35,2.10,9.59,97.41,9.66
Jh 4d 2h,2c,Jc9d,0.299,73.34,9.79994,111.359,1.90,9.68,4.75,9.78,93.35,9.80
Jh 4d 2h,2c,JcTd,0.671,74.77,10.165,113.297,15.88,10.15,5.96,10.15,78.17,10.17
