Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 4d 2h,2c,6c5c,0.960,15.53,1.81023,97.1652,94.52,1.77,0.35,1.49,5.13,2.50
Jh 4d 2h,2c,7c5c,0.363,6.79,0.30105,36.9376,1.26,-0.74,0.58,-0.76,98.16,0.32
Jh 4d 2h,2c,7c6c,0.562,7.47,0.37647,42.0111,1.09,-0.67,0.55,-0.75,98.36,0.39
Jh 4d 2h,2c,8c6c,0.351,7.61,0.46873,51.3376,0.92,-0.64,0.56,-0.70,98.52,0.49
Jh 4d 2h,2c,8c7c,0.614,7.67,0.49272,53.5629,1.03,-0.59,0.87,-0.66,98.10,0.51
Jh 4d 2h,2c,9c6c,0.104,7.63,0.411,44.8775,1.22,-0.71,0.80,-0.75,97.99,0.43
Jh 4d 2h,2c,9c7c,0.340,7.69,0.436,47.2452,1.49,-0.64,1.95,-0.70,96.56,0.48
Jh 4d 2h,2c,9c8c,0.479,7.83,0.55575,59.1235,1.18,-0.60,2.26,-0.66,96.56,0.60
Jh 4d 2h,2c,9c8d,0.559,7.84,0.63751,67.7834,1.13,-0.61,0.81,-0.72,98.06,0.66
Jh 4d 2h,2c,9c8h,0.900,8.01,0.62495,65.0054,0.79,-0.79,0.87,-0.73,98.34,0.65
Jh 4d 2h,2c,9c8s,0.480,7.83,0.55569,59.1177,1.18,-0.60,2.26,-0.66,96.56,0.60
Jh 4d 2h,2c,Tc7c,0.289,7.91,0.54898,57.8495,1.16,-0.56,0.72,-0.67,98.12,0.57
Jh 4d 2h,2c,Tc8c,0.581,8.05,0.65858,68.1717,0.99,-0.51,0.76,-0.65,98.25,0.68
Jh 4d 2h,2c,Tc9c,0.525,8.14,0.5724,58.5746,7.62,-0.56,1.62,-0.69,90.76,0.69
Jh 4d 2h,2c,Tc8d,0.728,8.06,0.70119,72.534,0.77,-0.52,0.56,-0.70,98.67,0.72
Jh 4d 2h,2c,Tc9d,0.807,8.14,0.73116,74.8447,0.81,-0.48,0.59,-0.67,98.60,0.75
Jh 4d 2h,2c,Tc8h,0.926,8.23,0.69559,70.4187,0.64,-0.69,0.50,-0.71,98.85,0.71
Jh 4d 2h,2c,Tc9h,0.914,8.22,0.78273,79.3088,0.63,-0.45,0.50,-0.54,98.87,0.80
Jh 4d 2h,2c,Tc8s,0.590,8.05,0.6587,68.1849,0.99,-0.52,0.77,-0.65,98.24,0.68
Jh 4d 2h,2c,Tc9s,0.525,8.14,0.57187,58.5204,7.67,-0.56,1.62,-0.69,90.71,0.69
Jh 4d 2h,2c,Jc7c,0.070,70.00,8.90228,105.975,0.35,8.94,1.39,9.25,98.26,8.90
Jh 4d 2h,2c,Jc8c,0.293,70.31,8.93288,105.874,0.43,9.04,1.82,9.28,97.75,8.93
Jh 4d 2h,2c,Jc9c,0.495,71.19,9.1649,107.276,0.96,9.40,2.26,9.52,96.78,9.15
Jh 4d 2h,2c,JcTc,0.710,72.86,9.58395,109.616,9.63,9.95,4.80,9.93,85.57,9.52
Jh 4d 2h,2c,Jc8d,0.238,70.30,8.91436,105.673,0.49,9.00,2.10,9.28,97.41,8.91
Jh 4d 2h,2c,Jc9d,0.299,71.17,9.2167,107.912,1.90,9.39,4.75,9.50,93.35,9.20
Jh 4d 2h,2c,JcTd,0.671,72.76,9.59711,109.92,15.88,9.91,5.96,9.91,78.17,9.51
Jh 4d 2h,2c,Jc8h,0.870,70.24,8.90464,105.646,0.44,9.07,2.74,9.30,96.82,8.89
Jh 4d 2h,2c,Jc9h,0.794,71.40,9.28153,108.328,2.62,9.50,9.46,9.54,87.93,9.25
Jh 4d 2h,2c,JcTh,0.911,73.11,9.92691,113.158,61.71,10.02,10.02,9.99,28.26,9.71
Jh 4d 2h,2c,Jc8s,0.307,70.41,8.9458,105.884,0.43,9.05,1.83,9.29,97.74,8.94
Jh 4d 2h,2c,Jc9s,0.496,71.19,9.16433,107.269,0.96,9.40,2.26,9.52,96.78,9.15
Jh 4d 2h,2c,JcTs,0.699,72.76,9.5619,109.514,9.37,9.93,4.74,9.91,85.89,9.50
Jh 4d 2h,2c,Qc7c,0.197,9.94,0.10296,8.63585,88.73,0.04,2.09,-0.08,9.18,0.75
Jh 4d 2h,2c,Qc8c,0.492,10.17,0.60378,49.4566,39.92,0.02,2.96,-0.09,57.12,1.05
Jh 4d 2h,2c,Qc9c,0.490,10.33,0.43762,35.2877,47.80,-0.07,6.77,-0.11,45.43,1.05
Jh 4d 2h,2c,QcTc,0.504,10.60,0.84603,66.5219,23.06,0.05,2.03,-0.10,74.91,1.12
Jh 4d 2h,2c,QcJc,0.540,76.55,10.9293,118.972,48.41,11.21,3.57,11.14,48.02,10.63
Jh 4d 2h,2c,Qc8d,0.678,10.19,0.92649,75.778,12.30,0.02,1.44,-0.14,86.26,1.07
Jh 4d 2h,2c,Qc9d,0.790,10.33,1.01725,82.0293,5.93,0.06,1.28,-0.10,92.79,1.09
