Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 4d 2h,2c,6c5c,0.960,17.37,4.8013,230.32,94.52,4.88,0.35,4.67,5.13,3.44
Jh 4d 2h,2c,7c5c,0.363,8.63,1.49839,144.694,1.26,3.14,0.58,3.13,98.16,1.47
Jh 4d 2h,2c,7c6c,0.562,8.98,1.47077,136.417,1.09,3.15,0.55,3.10,98.36,1.44
Jh 4d 2h,2c,8c6c,0.351,8.98,1.36932,127.09,0.92,3.13,0.56,3.09,98.52,1.34
Jh 4d 2h,2c,8c7c,0.614,9.06,1.29064,118.767,1.03,3.19,0.87,3.13,98.10,1.25
Jh 4d 2h,2c,9c6c,0.104,8.96,1.40451,130.595,1.22,3.13,0.80,3.10,97.99,1.37
Jh 4d 2h,2c,9c7c,0.340,9.04,1.3421,123.712,1.49,3.19,1.95,3.15,96.56,1.28
Jh 4d 2h,2c,9c8c,0.479,9.03,1.28588,118.625,1.18,3.18,2.26,3.13,96.56,1.22
Jh 4d 2h,2c,9c8d,0.559,9.04,1.20987,111.573,1.13,3.20,0.81,3.12,98.06,1.17
Jh 4d 2h,2c,9c8h,0.900,9.15,1.27548,116.138,0.79,3.16,0.87,3.20,98.34,1.24
Jh 4d 2h,2c,9c8s,0.480,9.03,1.2861,118.645,1.18,3.18,2.26,3.13,96.56,1.22
Jh 4d 2h,2c,Tc7c,0.289,9.58,1.33954,116.574,1.16,3.27,0.72,3.19,98.12,1.30
Jh 4d 2h,2c,Tc8c,0.581,9.57,1.25694,109.439,0.99,3.26,0.76,3.16,98.25,1.22
Jh 4d 2h,2c,Tc9c,0.525,9.86,1.43758,121.538,7.62,3.28,1.62,3.19,90.76,1.25
Jh 4d 2h,2c,Tc8d,0.728,9.58,1.20812,105.143,0.77,3.28,0.56,3.15,98.67,1.18
Jh 4d 2h,2c,Tc9d,0.807,9.86,1.2121,102.492,0.81,3.34,0.59,3.21,98.60,1.18
Jh 4d 2h,2c,Tc8h,0.926,9.69,1.26477,108.759,0.64,3.25,0.50,3.23,98.85,1.24
Jh 4d 2h,2c,Tc9h,0.914,9.98,1.25005,104.393,0.63,3.43,0.50,3.36,98.87,1.23
Jh 4d 2h,2c,Tc8s,0.590,9.57,1.25691,109.436,0.99,3.26,0.77,3.16,98.24,1.22
