Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,2c,6c5c,0.040,18.98,2.51504,220.861,0.40,2.34,98.77,2.52,0.83,2.37
Jh 4d 2h,2c,7c5c,0.637,10.27,1.52633,247.659,0.41,1.24,97.25,1.53,2.34,1.50
Jh 4d 2h,2c,7c6c,0.438,10.50,1.48428,235.658,0.41,1.16,37.57,1.49,62.02,1.49
Jh 4d 2h,2c,8c6c,0.649,10.36,1.46278,235.355,0.41,1.13,72.17,1.46,27.42,1.46
Jh 4d 2h,2c,8c7c,0.386,10.42,1.45812,233.144,0.42,1.14,41.57,1.46,58.01,1.46
Jh 4d 2h,2c,9c6c,0.896,10.32,1.4505,234.141,0.43,1.15,50.42,1.45,49.15,1.45
Jh 4d 2h,2c,9c7c,0.660,10.39,1.44317,231.501,0.45,1.16,88.54,1.45,11.01,1.44
Jh 4d 2h,2c,9c8c,0.521,10.26,1.43028,232.27,0.46,1.14,67.92,1.43,31.62,1.43
Jh 4d 2h,2c,9c8d,0.441,10.26,1.4636,237.792,0.47,1.17,66.31,1.46,33.22,1.47
Jh 4d 2h,2c,9c8h,0.100,10.31,1.55695,251.596,0.52,1.37,98.38,1.56,1.11,1.53
Jh 4d 2h,2c,9c8s,0.520,10.26,1.42947,232.146,0.46,1.14,66.98,1.43,32.56,1.43
Jh 4d 2h,2c,Tc7c,0.711,11.11,1.48715,223.063,0.47,1.20,88.62,1.49,10.91,1.48
Jh 4d 2h,2c,Tc8c,0.419,10.99,1.47475,223.63,0.47,1.18,83.96,1.48,15.56,1.47
Jh 4d 2h,2c,Tc9c,0.475,11.30,1.47643,217.786,0.48,1.22,89.57,1.48,9.95,1.47
Jh 4d 2h,2c,Tc8d,0.272,10.99,1.50809,228.805,0.48,1.21,83.75,1.51,15.77,1.51
Jh 4d 2h,2c,Tc9d,0.193,11.35,1.51431,222.358,0.49,1.27,93.89,1.52,5.62,1.51
Jh 4d 2h,2c,Tc8h,0.074,11.03,1.59991,241.711,0.53,1.41,98.52,1.60,0.95,1.58
Jh 4d 2h,2c,Tc9h,0.086,11.52,1.62944,235.652,0.45,1.36,98.81,1.63,0.74,1.60
Jh 4d 2h,2c,Tc8s,0.410,10.99,1.47384,223.499,0.47,1.18,83.68,1.48,15.84,1.47
Jh 4d 2h,2c,Tc9s,0.475,11.30,1.4761,217.743,0.48,1.22,89.55,1.48,9.97,1.47
Jh 4d 2h,2c,Jc7c,0.930,81.97,5.75199,116.947,0.46,5.43,89.53,5.75,10.01,5.75
Jh 4d 2h,2c,Jc8c,0.707,81.90,5.72282,116.46,0.44,5.39,59.21,5.72,40.35,5.72
Jh 4d 2h,2c,Jc9c,0.505,81.82,5.7355,116.828,0.38,5.35,98.46,5.74,1.16,5.72
Jh 4d 2h,2c,JcTc,0.290,81.97,5.7735,117.384,0.37,5.40,99.27,5.78,0.36,5.73
Jh 4d 2h,2c,Jc8d,0.762,81.91,5.70675,116.115,0.43,5.38,48.37,5.71,51.20,5.71
Jh 4d 2h,2c,Jc9d,0.701,81.86,5.71001,116.249,0.39,5.33,92.76,5.71,6.85,5.71
Jh 4d 2h,2c,JcTd,0.329,81.99,5.76766,117.245,0.38,5.40,99.26,5.77,0.36,5.73
Jh 4d 2h,2c,Jc8h,0.130,82.22,5.74641,116.477,0.41,5.38,57.03,5.75,42.55,5.75
Jh 4d 2h,2c,Jc9h,0.206,82.12,5.71751,116.044,0.42,5.40,84.42,5.72,15.16,5.71
Jh 4d 2h,2c,JcTh,0.089,82.17,5.7907,117.453,0.41,5.48,99.22,5.79,0.36,5.74
Jh 4d 2h,2c,Jc8s,0.693,81.90,5.72326,116.466,0.44,5.39,59.11,5.72,40.45,5.72
Jh 4d 2h,2c,Jc9s,0.504,81.82,5.73553,116.829,0.38,5.35,98.46,5.74,1.16,5.72
Jh 4d 2h,2c,JcTs,0.301,81.97,5.77326,117.38,0.37,5.40,99.27,5.77,0.36,5.73
Jh 4d 2h,2c,Qc7c,0.803,14.83,1.56936,176.402,0.55,1.33,96.23,1.57,3.23,1.55
Jh 4d 2h,2c,Qc8c,0.508,14.94,1.56151,174.201,0.56,1.31,96.84,1.56,2.60,1.55
Jh 4d 2h,2c,Qc9c,0.510,14.99,1.54298,171.551,0.63,1.33,33.61,1.55,65.76,1.54
Jh 4d 2h,2c,QcTc,0.496,15.47,1.58562,170.785,0.63,1.36,55.21,1.59,44.16,1.58
Jh 4d 2h,2c,QcJc,0.460,83.04,5.95565,119.536,0.36,5.59,99.39,5.96,0.25,5.93
Jh 4d 2h,2c,Qc8d,0.322,14.98,1.59258,177.233,0.59,1.34,96.61,1.59,2.81,1.58
Jh 4d 2h,2c,Qc9d,0.210,15.17,1.58569,174.225,0.64,1.37,64.08,1.59,35.28,1.58
Jh 4d 2h,2c,QcTd,0.313,15.54,1.60001,171.621,0.62,1.37,61.64,1.60,37.75,1.60
Jh 4d 2h,2c,QcJd,0.666,83.12,5.98084,119.923,0.36,5.61,99.40,5.98,0.25,5.95
Jh 4d 2h,2c,Qc8h,0.075,15.18,1.67967,184.41,0.69,1.52,98.16,1.68,1.14,1.65
Jh 4d 2h,2c,Qc9h,0.200,15.48,1.6895,181.851,0.62,1.46,98.25,1.69,1.14,1.68
Jh 4d 2h,2c,QcTh,0.347,15.92,1.65755,173.565,0.56,1.40,82.25,1.66,17.19,1.65
Jh 4d 2h,2c,Qc8s,0.507,14.94,1.56032,174.062,0.57,1.31,96.83,1.56,2.60,1.55
Jh 4d 2h,2c,Qc9s,0.510,14.99,1.54291,171.554,0.63,1.33,32.89,1.55,66.47,1.54
Jh 4d 2h,2c,QcTs,0.312,15.48,1.58634,170.797,0.64,1.37,61.60,1.59,37.77,1.59
Jh 4d 2h,2c,QcJs,0.458,83.04,5.95506,119.526,0.36,5.59,99.39,5.96,0.25,5.93
Jh 4d 2h,2c,Kc3c,0.236,24.89,1.39129,93.1452,0.19,1.07,94.34,1.39,5.46,1.36
Jh 4d 2h,2c,Kc4c,0.517,75.49,5.01028,110.624,0.31,4.68,79.13,5.01,20.56,5.01
Jh 4d 2h,2c,Kc5c,0.168,25.09,1.38771,92.1739,0.29,1.07,90.58,1.39,9.13,1.37
Jh 4d 2h,2c,Kc6c,0.259,25.94,1.36551,87.7224,0.30,1.01,4.17,1.35,95.52,1.37
Jh 4d 2h,2c,Kc7c,0.858,26.91,1.32146,81.8431,0.37,0.98,7.43,1.32,92.20,1.32
Jh 4d 2h,2c,Kc8c,0.970,27.98,1.34319,80.0068,0.25,0.95,1.32,1.31,98.43,1.34
Jh 4d 2h,2c,Kc9c,0.953,30.14,1.47993,81.8482,0.20,0.97,0.17,1.31,99.63,1.48
Jh 4d 2h,2c,KcTc,0.911,33.31,1.67425,83.7815,0.14,1.02,0.13,1.38,99.73,1.68
Jh 4d 2h,2c,KcJc,0.320,85.22,6.53577,127.827,0.40,6.19,99.49,6.54,0.12,6.46
Jh 4d 2h,2c,KcQc,0.780,40.32,2.21459,91.5363,0.12,1.25,0.04,1.76,99.85,2.22
Jh 4d 2h,2c,Kc7d,0.833,26.99,1.33991,82.753,0.37,1.00,28.93,1.34,70.70,1.34
Jh 4d 2h,2c,Kc8d,0.954,28.13,1.35479,80.2798,0.30,0.98,1.58,1.34,98.12,1.36
Jh 4d 2h,2c,Kc9d,0.863,30.42,1.49919,82.1499,0.21,1.02,0.19,1.36,99.60,1.50
Jh 4d 2h,2c,KcTd,0.816,33.44,1.68675,84.065,0.15,1.05,0.13,1.41,99.72,1.69
