Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,6c5c,1.000,29.85,2.22347,124.155,64.06,2.22,35.94,2.22
Jh 4d 2h,7c5c,1.000,18.20,0.6044,55.3358,1.10,0.52,98.90,0.61
Jh 4d 2h,7c6c,1.000,18.02,0.56542,52.2901,0.67,0.42,99.33,0.57
Jh 4d 2h,8c6c,1.000,18.31,0.53278,48.505,0.57,0.36,99.43,0.53
Jh 4d 2h,8c7c,1.000,18.76,0.46195,41.0503,0.61,0.31,99.39,0.46
Jh 4d 2h,9c6c,1.000,17.64,0.48097,45.4367,0.43,0.26,99.57,0.48
Jh 4d 2h,9c7c,1.000,17.85,0.4318,40.3148,0.44,0.21,99.56,0.43
Jh 4d 2h,9c8c,1.000,19.68,0.44228,37.4595,0.73,0.32,99.27,0.44
Jh 4d 2h,9c8d,1.000,19.67,0.44802,37.9586,0.67,0.29,99.33,0.45
Jh 4d 2h,9c8h,1.000,22.85,0.59974,43.752,18.89,0.60,81.11,0.60
Jh 4d 2h,9c8s,1.000,19.58,0.44134,37.5713,0.65,0.30,99.35,0.44
Jh 4d 2h,Tc7c,1.000,18.33,0.4572,41.5826,0.40,0.20,99.60,0.46
Jh 4d 2h,Tc8c,1.000,20.15,0.47694,39.4407,0.73,0.35,99.27,0.48
Jh 4d 2h,Tc9c,1.000,22.35,0.58677,43.7507,1.52,0.52,98.48,0.59
Jh 4d 2h,Tc8d,1.000,20.16,0.48501,40.0941,0.69,0.33,99.31,0.49
Jh 4d 2h,Tc9d,1.000,22.35,0.60141,44.8378,1.47,0.52,98.53,0.60
Jh 4d 2h,Tc8h,1.000,23.39,0.63727,45.402,11.11,0.64,88.89,0.64
Jh 4d 2h,Tc9h,1.000,25.50,0.79187,51.7516,55.95,0.79,44.05,0.79
Jh 4d 2h,Tc8s,1.000,20.05,0.47547,39.5179,0.65,0.33,99.35,0.48
Jh 4d 2h,Tc9s,1.000,22.26,0.58568,43.8528,1.22,0.50,98.78,0.59
Jh 4d 2h,Jc7c,1.000,71.76,5.0004,116.137,48.24,5.00,51.76,5.00
Jh 4d 2h,Jc8c,1.000,71.87,4.99803,115.909,68.68,5.00,31.32,5.00
Jh 4d 2h,Jc9c,1.000,72.43,5.11883,117.783,54.49,5.12,45.51,5.12
Jh 4d 2h,JcTc,1.000,73.49,5.33821,121.066,46.48,5.34,53.52,5.34
Jh 4d 2h,Jc8d,1.000,72.10,5.02797,116.228,29.51,5.03,70.49,5.03
Jh 4d 2h,Jc9d,1.000,72.65,5.15012,118.145,28.60,5.15,71.40,5.15
Jh 4d 2h,JcTd,1.000,73.64,5.37425,121.641,48.35,5.37,51.65,5.37
Jh 4d 2h,Jc8h,1.000,74.31,5.51064,123.604,48.09,5.51,51.91,5.51
Jh 4d 2h,Jc9h,1.000,74.80,5.64088,125.694,62.73,5.64,37.27,5.64
Jh 4d 2h,JcTh,1.000,75.98,5.88785,129.155,56.91,5.89,43.09,5.89
Jh 4d 2h,Jc8s,1.000,71.94,5.00469,115.945,69.97,5.01,30.03,5.00
Jh 4d 2h,Jc9s,1.000,72.51,5.1255,117.814,56.87,5.13,43.13,5.13
