Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,6c5c,1.000,29.85,1.44166,80.5002,64.06,1.00,35.94,2.22
Jh 4d 2h,7c5c,1.000,18.20,0.58168,53.2556,1.10,-1.55,98.90,0.61
Jh 4d 2h,7c6c,1.000,18.02,0.55253,51.0979,0.67,-1.51,99.33,0.57
Jh 4d 2h,8c6c,1.000,18.31,0.52182,47.5074,0.57,-1.56,99.43,0.53
Jh 4d 2h,8c7c,1.000,18.76,0.44998,39.9871,0.61,-1.64,99.39,0.46
Jh 4d 2h,9c6c,1.000,17.64,0.47224,44.6123,0.43,-1.75,99.57,0.48
Jh 4d 2h,9c7c,1.000,17.85,0.42289,39.4826,0.44,-1.82,99.56,0.43
Jh 4d 2h,9c8c,1.000,19.68,0.42763,36.219,0.73,-1.69,99.27,0.44
Jh 4d 2h,9c8d,1.000,19.67,0.43422,36.79,0.67,-1.76,99.33,0.45
Jh 4d 2h,9c8h,1.000,22.85,0.21275,15.5208,18.89,-1.45,81.11,0.60
Jh 4d 2h,9c8s,1.000,19.58,0.4285,36.4782,0.65,-1.69,99.35,0.44
Jh 4d 2h,Tc7c,1.000,18.33,0.44897,40.8344,0.40,-1.86,99.60,0.46
Jh 4d 2h,Tc8c,1.000,20.15,0.46218,38.2202,0.73,-1.67,99.27,0.48
Jh 4d 2h,Tc9c,1.000,22.35,0.55623,41.4735,1.52,-1.49,98.48,0.59
Jh 4d 2h,Tc8d,1.000,20.16,0.47069,38.9103,0.69,-1.74,99.31,0.49
Jh 4d 2h,Tc9d,1.000,22.35,0.57111,42.5789,1.47,-1.54,98.53,0.60
Jh 4d 2h,Tc8h,1.000,23.39,0.40059,28.5396,11.11,-1.50,88.89,0.64
Jh 4d 2h,Tc9h,1.000,25.50,-0.37921,-24.7832,55.95,-1.30,44.05,0.79
Jh 4d 2h,Tc8s,1.000,20.05,0.4625,38.4404,0.65,-1.67,99.35,0.48
Jh 4d 2h,Tc9s,1.000,22.26,0.56125,42.0242,1.22,-1.50,98.78,0.59
Jh 4d 2h,Jc7c,1.000,71.76,6.00135,139.385,48.24,7.08,51.76,5.00
Jh 4d 2h,Jc8c,1.000,71.87,6.64646,154.138,68.68,7.40,31.32,5.00
Jh 4d 2h,Jc9c,1.000,72.43,6.49536,149.457,54.49,7.64,45.51,5.12
Jh 4d 2h,JcTc,1.000,73.49,6.13374,139.108,46.48,7.05,53.52,5.34
Jh 4d 2h,Jc8d,1.000,72.10,5.46764,126.392,29.51,6.52,70.49,5.03
Jh 4d 2h,Jc9d,1.000,72.65,5.93033,136.043,28.60,7.88,71.40,5.15
Jh 4d 2h,JcTd,1.000,73.64,6.37819,144.364,48.35,7.45,51.65,5.37
Jh 4d 2h,Jc8h,1.000,74.31,7.29896,163.716,48.09,9.23,51.91,5.51
Jh 4d 2h,Jc9h,1.000,74.80,8.08504,180.156,62.73,9.54,37.27,5.64
Jh 4d 2h,JcTh,1.000,75.98,8.04229,176.415,56.91,9.67,43.09,5.89
