Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,6c5c,1.000,29.85,2.10921,117.775,64.06,2.22,35.94,1.91
Jh 4d 2h,7c5c,1.000,18.20,0.00775,0.70968,1.10,0.52,98.90,0.00
Jh 4d 2h,7c6c,1.000,18.02,0.0041,0.37897,0.67,0.42,99.33,0.00
Jh 4d 2h,8c6c,1.000,18.31,0.00331,0.30092,0.57,0.36,99.43,0.00
Jh 4d 2h,8c7c,1.000,18.76,0.00332,0.2946,0.61,0.31,99.39,0.00
Jh 4d 2h,9c6c,1.000,17.64,0.00189,0.17846,0.43,0.26,99.57,0.00
Jh 4d 2h,9c7c,1.000,17.85,0.00185,0.17304,0.44,0.21,99.56,0.00
Jh 4d 2h,9c8c,1.000,19.68,0.00461,0.39008,0.73,0.32,99.27,0.00
Jh 4d 2h,9c8d,1.000,19.67,0.00423,0.35826,0.67,0.29,99.33,0.00
Jh 4d 2h,9c8h,1.000,22.85,0.12057,8.79586,18.89,0.60,81.11,0.01
Jh 4d 2h,9c8s,1.000,19.58,0.00413,0.35121,0.65,0.30,99.35,0.00
Jh 4d 2h,Tc7c,1.000,18.33,0.00156,0.14186,0.40,0.20,99.60,0.00
Jh 4d 2h,Tc8c,1.000,20.15,0.00433,0.35829,0.73,0.35,99.27,0.00
Jh 4d 2h,Tc9c,1.000,22.35,0.01133,0.84501,1.52,0.52,98.48,0.00
Jh 4d 2h,Tc8d,1.000,20.16,0.0041,0.33912,0.69,0.33,99.31,0.00
Jh 4d 2h,Tc9d,1.000,22.35,0.01124,0.83798,1.47,0.52,98.53,0.00
Jh 4d 2h,Tc8h,1.000,23.39,0.07596,5.41179,11.11,0.64,88.89,0.01
Jh 4d 2h,Tc9h,1.000,25.50,0.45006,29.4133,55.95,0.79,44.05,0.01
Jh 4d 2h,Tc8s,1.000,20.05,0.00384,0.31933,0.65,0.33,99.35,0.00
Jh 4d 2h,Tc9s,1.000,22.26,0.00946,0.70868,1.22,0.50,98.78,0.00
Jh 4d 2h,Jc7c,1.000,71.76,5.60317,130.137,48.24,5.00,51.76,6.16
Jh 4d 2h,Jc8c,1.000,71.87,5.35421,124.169,68.68,5.00,31.32,6.13
Jh 4d 2h,Jc9c,1.000,72.43,5.64769,129.952,54.49,5.12,45.51,6.28
Jh 4d 2h,JcTc,1.000,73.49,5.99823,136.035,46.48,5.34,53.52,6.57
Jh 4d 2h,Jc8d,1.000,72.10,5.88364,136.008,29.51,5.03,70.49,6.24
Jh 4d 2h,Jc9d,1.000,72.65,6.01436,137.971,28.60,5.15,71.40,6.36
Jh 4d 2h,JcTd,1.000,73.64,6.03696,136.641,48.35,5.37,51.65,6.66
Jh 4d 2h,Jc8h,1.000,74.31,6.25223,140.237,48.09,5.51,51.91,6.94
Jh 4d 2h,Jc9h,1.000,74.80,6.19027,137.936,62.73,5.64,37.27,7.11
Jh 4d 2h,JcTh,1.000,75.98,6.58402,144.426,56.91,5.89,43.09,7.50
Jh 4d 2h,Jc8s,1.000,71.94,5.34815,123.902,69.97,5.01,30.03,6.15
Jh 4d 2h,Jc9s,1.000,72.51,5.62898,129.387,56.87,5.13,43.13,6.29
Jh 4d 2h,JcTs,1.000,73.49,6.00257,136.133,46.12,5.34,53.88,6.57
Jh 4d 2h,Qc7c,1.000,20.26,0.00616,0.50668,0.94,0.44,99.06,0.00
Jh 4d 2h,Qc8c,1.000,21.99,0.01116,0.84598,1.46,0.48,98.54,0.00
Jh 4d 2h,Qc9c,1.000,24.16,0.07168,4.94468,9.12,0.67,90.88,0.01
Jh 4d 2h,QcTc,1.000,26.67,0.33698,21.0576,37.39,0.82,62.61,0.05
Jh 4d 2h,QcJc,1.000,76.89,6.85897,148.676,66.22,6.36,33.78,7.83
Jh 4d 2h,Qc8d,1.000,22.02,0.01073,0.81205,1.37,0.48,98.63,0.00
Jh 4d 2h,Qc9d,1.000,24.18,0.10671,7.35426,14.00,0.69,86.00,0.01
Jh 4d 2h,QcTd,1.000,26.78,0.62437,38.8577,69.05,0.85,30.95,0.11
Jh 4d 2h,QcJd,1.000,77.01,6.91342,149.626,66.79,6.41,33.21,7.93
Jh 4d 2h,Qc8h,1.000,25.25,0.60219,39.7541,78.17,0.76,21.83,0.02
Jh 4d 2h,Qc9h,1.000,27.32,1.04155,63.5359,81.85,0.97,18.15,1.38
Jh 4d 2h,QcTh,1.000,30.03,1.45429,80.7218,78.77,1.25,21.23,2.20
Jh 4d 2h,Qc8s,1.000,21.90,0.00921,0.70055,1.17,0.47,98.83,0.00
Jh 4d 2h,Qc9s,1.000,24.08,0.05075,3.51305,6.19,0.66,93.81,0.01
Jh 4d 2h,QcTs,1.000,26.67,0.33817,21.132,37.55,0.82,62.45,0.05
Jh 4d 2h,QcJs,1.000,76.89,6.85901,148.677,66.27,6.36,33.73,7.83
Jh 4d 2h,Kc2c,1.000,52.26,2.27632,72.6006,59.19,2.15,40.81,2.46
Jh 4d 2h,Kc3c,1.000,25.20,0.01363,0.90151,1.74,0.56,98.26,0.00
Jh 4d 2h,Kc4c,1.000,55.97,2.2454,66.8628,45.49,2.51,54.51,2.02
Jh 4d 2h,Kc5c,1.000,25.98,0.02331,1.49553,3.11,0.61,96.89,0.00
Jh 4d 2h,Kc6c,1.000,26.27,0.00869,0.55139,1.21,0.52,98.79,0.00
Jh 4d 2h,Kc7c,1.000,25.84,0.0044,0.28383,0.70,0.36,99.30,0.00
Jh 4d 2h,Kc8c,1.000,26.66,0.00452,0.28272,0.68,0.35,99.32,0.00
Jh 4d 2h,Kc9c,1.000,28.78,0.01303,0.75424,1.69,0.52,98.31,0.00
Jh 4d 2h,KcTc,1.000,31.55,0.0387,2.04463,4.56,0.71,95.44,0.01
Jh 4d 2h,KcJc,1.000,79.27,7.82545,164.539,71.59,7.36,28.41,9.01
Jh 4d 2h,KcQc,1.000,36.16,1.3007,59.959,50.96,1.28,49.04,1.32
Jh 4d 2h,Kc7d,1.000,25.87,0.00402,0.25878,0.63,0.34,99.37,0.00
Jh 4d 2h,Kc8d,1.000,26.71,0.00462,0.2882,0.68,0.35,99.32,0.00
Jh 4d 2h,Kc9d,1.000,28.83,0.01578,0.91232,2.11,0.52,97.89,0.00
Jh 4d 2h,KcTd,1.000,31.67,0.06013,3.16452,7.35,0.73,92.65,0.01
Jh 4d 2h,KcJd,1.000,79.40,7.82266,164.2,75.72,7.42,24.28,9.09
Jh 4d 2h,KcQd,1.000,36.29,1.08395,49.786,69.26,1.32,30.74,0.56
Jh 4d 2h,Kc7h,1.000,28.82,0.05925,3.42596,8.56,0.62,91.44,0.01
Jh 4d 2h,Kc8h,1.000,29.87,0.17948,10.0156,31.88,0.65,68.12,-0.04
Jh 4d 2h,Kc9h,1.000,31.91,0.62833,32.8227,78.14,0.79,21.86,0.05
Jh 4d 2h,KcTh,1.000,34.89,0.91159,43.5509,67.62,1.09,32.38,0.53
Jh 4d 2h,KcQh,1.000,39.56,2.4054,101.34,65.96,1.80,34.04,3.59
Jh 4d 2h,Kc7s,1.000,25.76,0.00388,0.25072,0.62,0.34,99.38,0.00
Jh 4d 2h,Kc8s,1.000,26.58,0.00407,0.25526,0.61,0.33,99.39,0.00
Jh 4d 2h,Kc9s,1.000,28.71,0.011,0.63847,1.37,0.50,98.63,0.00
Jh 4d 2h,KcTs,1.000,31.55,0.03871,2.04534,4.57,0.71,95.43,0.01
Jh 4d 2h,KcJs,1.000,79.27,7.82463,164.522,71.64,7.36,28.36,9.01
Jh 4d 2h,KcQs,1.000,36.16,1.30168,60.0042,51.04,1.28,48.96,1.33
Jh 4d 2h,Ac2c,1.000,54.87,2.13562,64.8645,61.71,2.10,38.29,2.19
Jh 4d 2h,Ac3c,1.000,43.75,1.90828,72.6948,57.50,1.84,42.50,2.00
Jh 4d 2h,Ac4c,1.000,58.52,2.60114,74.0779,46.27,2.55,53.73,2.64
Jh 4d 2h,Ac5c,1.000,46.14,1.99313,71.996,61.18,1.92,38.82,2.11
Jh 4d 2h,Ac6c,1.000,38.91,0.00865,0.37034,1.30,0.54,98.70,0.00
Jh 4d 2h,Ac7c,1.000,41.23,0.00637,0.25734,0.98,0.53,99.02,0.00
Jh 4d 2h,Ac8c,1.000,44.21,0.00789,0.29731,1.14,0.66,98.86,0.00
Jh 4d 2h,Ac9c,1.000,47.29,0.02196,0.77392,2.10,0.90,97.90,0.00
Jh 4d 2h,AcTc,1.000,51.77,0.61597,19.8308,13.43,1.34,86.57,0.50
Jh 4d 2h,AcJc,1.000,83.77,9.69362,192.868,66.14,9.13,33.86,10.78
