Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 4d 2h,6c5c,0.359,27.90,1.73203,103.463,13.85,2.37,86.06,1.63,0.10,0.00
Jh 4d 2h,7c5c,0.989,17.37,0.0015,0.14383,0.17,0.97,0.02,-0.51,99.81,0.00
Jh 4d 2h,7c6c,0.993,16.88,0.00093,0.09136,0.13,0.82,0.02,-0.67,99.85,0.00
Jh 4d 2h,8c6c,0.994,17.34,0.00082,0.0787,0.13,0.75,0.02,-0.68,99.86,0.00
Jh 4d 2h,8c7c,0.994,18.54,0.00106,0.0949,0.14,0.86,0.02,-0.64,99.84,0.00
Jh 4d 2h,9c6c,0.996,16.64,0.00064,0.06368,0.11,0.69,0.01,-0.76,99.88,0.00
Jh 4d 2h,9c7c,0.996,17.59,0.00081,0.07661,0.12,0.76,0.02,-0.66,99.86,0.00
Jh 4d 2h,9c8c,0.993,19.76,0.00117,0.09874,0.17,0.78,0.02,-0.54,99.81,0.00
Jh 4d 2h,9c8d,0.993,19.76,0.0012,0.10147,0.17,0.76,0.03,-0.50,99.80,0.00
Jh 4d 2h,9c8h,0.811,22.80,0.00484,0.35379,0.49,1.02,0.07,-0.24,99.43,0.00
Jh 4d 2h,9c8s,0.994,19.70,0.00112,0.09472,0.16,0.76,0.02,-0.54,99.81,0.00
Jh 4d 2h,Tc7c,0.996,17.59,0.00055,0.05191,0.11,0.61,0.01,-0.74,99.88,0.00
Jh 4d 2h,Tc8c,0.993,19.71,0.00084,0.071,0.14,0.67,0.02,-0.58,99.83,0.00
Jh 4d 2h,Tc9c,0.985,21.49,0.00144,0.11204,0.21,0.76,0.04,-0.37,99.76,0.00
Jh 4d 2h,Tc8d,0.993,19.65,0.00084,0.07133,0.15,0.64,0.02,-0.55,99.83,0.00
Jh 4d 2h,Tc9d,0.985,21.48,0.00148,0.11458,0.22,0.73,0.04,-0.33,99.74,0.00
Jh 4d 2h,Tc8h,0.889,22.66,0.00289,0.21249,0.34,0.90,0.05,-0.28,99.61,0.00
Jh 4d 2h,Tc9h,0.440,24.42,0.00683,0.46625,0.63,1.10,0.10,-0.11,99.27,0.00
Jh 4d 2h,Tc8s,0.994,19.67,0.0008,0.06819,0.14,0.66,0.02,-0.59,99.84,0.00
Jh 4d 2h,Tc9s,0.988,21.47,0.00141,0.10932,0.20,0.76,0.03,-0.38,99.76,0.00
Jh 4d 2h,Jc7c,0.518,65.10,3.96162,101.416,0.53,3.71,99.43,3.96,0.03,0.00
Jh 4d 2h,Jc8c,0.313,65.53,3.99768,101.678,4.87,3.82,95.10,4.01,0.03,0.00
Jh 4d 2h,Jc9c,0.455,66.18,4.18537,105.407,1.02,3.98,98.95,4.19,0.03,0.00
Jh 4d 2h,JcTc,0.535,66.96,4.37027,108.77,20.17,4.30,79.79,4.39,0.03,0.00
Jh 4d 2h,Jc8d,0.705,65.70,4.02869,102.201,21.70,3.93,78.27,4.06,0.03,0.00
Jh 4d 2h,Jc9d,0.714,66.40,4.2259,106.079,15.49,4.13,84.48,4.24,0.03,0.00
Jh 4d 2h,JcTd,0.517,67.09,4.44097,110.321,19.41,4.44,80.56,4.44,0.03,0.00
Jh 4d 2h,Jc8h,0.519,67.97,4.66851,114.48,16.75,4.26,83.23,4.75,0.03,0.00
Jh 4d 2h,Jc9h,0.373,68.53,4.7824,116.306,31.44,4.46,68.53,4.93,0.03,0.00
Jh 4d 2h,JcTh,0.431,69.67,4.8172,115.233,82.88,4.74,17.09,5.20,0.03,0.00
Jh 4d 2h,Jc8s,0.300,65.53,3.99996,101.731,4.54,3.83,95.43,4.01,0.03,0.00
Jh 4d 2h,Jc9s,0.431,66.20,4.18816,105.447,1.05,4.01,98.92,4.19,0.03,0.00
Jh 4d 2h,JcTs,0.539,66.97,4.36985,108.759,20.33,4.30,79.64,4.39,0.03,0.00
Jh 4d 2h,Qc7c,0.991,19.18,0.00201,0.17441,0.18,1.17,0.01,-0.37,99.81,0.00
Jh 4d 2h,Qc8c,0.985,21.50,0.00302,0.23396,0.27,1.15,0.02,-0.26,99.71,0.00
Jh 4d 2h,Qc9c,0.909,23.46,0.0073,0.51863,0.57,1.29,0.07,-0.09,99.36,0.00
Jh 4d 2h,QcTc,0.626,25.78,0.01585,1.02472,1.20,1.33,10.97,0.00,87.83,0.00
Jh 4d 2h,QcJc,0.338,70.55,5.75641,135.983,1.38,5.47,98.60,5.76,0.01,0.00
Jh 4d 2h,Qc8d,0.986,21.36,0.00288,0.22457,0.27,1.09,0.03,-0.24,99.70,0.00
Jh 4d 2h,Qc9d,0.860,23.41,0.00729,0.51941,0.60,1.22,0.08,-0.06,99.32,0.00
Jh 4d 2h,QcTd,0.310,25.99,0.01483,0.95087,1.20,1.24,56.93,0.00,41.87,0.00
Jh 4d 2h,QcJd,0.332,70.57,5.74176,135.603,1.34,5.47,98.65,5.75,0.01,0.00
Jh 4d 2h,Qc8h,0.218,24.34,0.03122,2.13829,1.44,1.40,61.82,0.02,36.74,0.00
Jh 4d 2h,Qc9h,0.181,26.17,0.88705,56.4977,52.68,1.55,45.13,0.15,2.18,0.00
Jh 4d 2h,QcTh,0.212,28.84,1.40287,81.0726,74.14,1.75,25.38,0.42,0.48,0.00
Jh 4d 2h,Qc8s,0.988,21.36,0.00271,0.21157,0.25,1.11,0.02,-0.27,99.73,0.00
Jh 4d 2h,Qc9s,0.938,23.38,0.00659,0.47001,0.52,1.27,0.06,-0.10,99.42,0.00
Jh 4d 2h,QcTs,0.625,25.78,0.01584,1.02448,1.20,1.33,10.97,0.00,87.83,0.00
Jh 4d 2h,QcJs,0.337,70.55,5.75687,135.992,1.38,5.47,98.60,5.76,0.01,0.00
Jh 4d 2h,Kc2c,0.408,49.10,1.50642,51.1333,45.56,1.97,54.31,1.12,0.14,0.00
Jh 4d 2h,Kc3c,0.983,24.97,0.00285,0.18997,0.24,1.24,0.02,-0.39,99.74,0.00
Jh 4d 2h,Kc4c,0.545,53.47,1.58807,49.5006,0.15,2.06,99.76,1.59,0.10,0.00
Jh 4d 2h,Kc5c,0.969,26.18,0.00334,0.21236,0.27,1.26,0.03,-0.26,99.70,0.00
Jh 4d 2h,Kc6c,0.988,26.65,0.00192,0.12006,0.18,1.15,0.02,-0.40,99.80,0.00
Jh 4d 2h,Kc7c,0.993,26.89,0.00177,0.10971,0.17,1.11,0.02,-0.34,99.81,0.00
Jh 4d 2h,Kc8c,0.993,27.81,0.00206,0.12317,0.18,1.17,0.03,-0.30,99.79,0.00
Jh 4d 2h,Kc9c,0.983,29.41,0.00351,0.19899,0.28,1.30,0.04,-0.20,99.68,0.00
Jh 4d 2h,KcTc,0.954,31.58,0.00421,0.22239,0.35,1.23,0.31,-0.03,99.34,0.00
Jh 4d 2h,KcJc,0.284,73.76,7.22175,163.172,37.18,7.04,62.80,7.33,0.02,0.00
Jh 4d 2h,KcQc,0.490,36.27,0.78747,36.1886,27.29,1.37,72.38,0.57,0.33,0.00
Jh 4d 2h,Kc7d,0.994,26.96,0.00175,0.10822,0.17,1.10,0.02,-0.36,99.81,0.00
