Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 4d 2h,6c5c,0.359,27.90,1.37643,82.2217,13.85,-0.19,86.06,1.63,0.10,0.00
Jh 4d 2h,7c5c,0.989,17.37,-0.00492,-0.47224,0.17,-2.88,0.02,-0.51,99.81,0.00
Jh 4d 2h,7c6c,0.993,16.88,-0.00365,-0.36079,0.13,-2.78,0.02,-0.67,99.85,0.00
Jh 4d 2h,8c6c,0.994,17.34,-0.00377,-0.36234,0.13,-2.92,0.02,-0.68,99.86,0.00
Jh 4d 2h,8c7c,0.994,18.54,-0.00416,-0.37358,0.14,-2.95,0.02,-0.64,99.84,0.00
Jh 4d 2h,9c6c,0.996,16.64,-0.00344,-0.34486,0.11,-3.11,0.01,-0.76,99.88,0.00
Jh 4d 2h,9c7c,0.996,17.59,-0.00389,-0.36826,0.12,-3.13,0.02,-0.66,99.86,0.00
Jh 4d 2h,9c8c,0.993,19.76,-0.00488,-0.41148,0.17,-2.83,0.02,-0.54,99.81,0.00
Jh 4d 2h,9c8d,0.993,19.76,-0.00512,-0.43148,0.17,-2.85,0.03,-0.50,99.80,0.00
Jh 4d 2h,9c8h,0.811,22.80,-0.01148,-0.83877,0.49,-2.30,0.07,-0.24,99.43,0.00
Jh 4d 2h,9c8s,0.994,19.70,-0.00481,-0.40681,0.16,-2.85,0.02,-0.54,99.81,0.00
Jh 4d 2h,Tc7c,0.996,17.59,-0.00368,-0.34903,0.11,-3.36,0.01,-0.74,99.88,0.00
Jh 4d 2h,Tc8c,0.993,19.71,-0.00456,-0.38545,0.14,-3.07,0.02,-0.58,99.83,0.00
Jh 4d 2h,Tc9c,0.985,21.49,-0.00574,-0.44497,0.21,-2.72,0.04,-0.37,99.76,0.00
Jh 4d 2h,Tc8d,0.993,19.65,-0.00475,-0.4026,0.15,-3.08,0.02,-0.55,99.83,0.00
Jh 4d 2h,Tc9d,0.985,21.48,-0.0061,-0.47299,0.22,-2.71,0.04,-0.33,99.74,0.00
Jh 4d 2h,Tc8h,0.889,22.66,-0.00866,-0.63667,0.34,-2.51,0.05,-0.28,99.61,0.00
Jh 4d 2h,Tc9h,0.440,24.42,-0.01456,-0.99363,0.63,-2.29,0.10,-0.11,99.27,0.00
Jh 4d 2h,Tc8s,0.994,19.67,-0.0045,-0.3811,0.14,-3.08,0.02,-0.59,99.84,0.00
Jh 4d 2h,Tc9s,0.988,21.47,-0.00566,-0.43945,0.20,-2.73,0.03,-0.38,99.76,0.00
Jh 4d 2h,Jc7c,0.518,65.10,3.97141,101.667,0.53,5.54,99.43,3.96,0.03,0.00
Jh 4d 2h,Jc8c,0.313,65.53,4.1456,105.44,4.87,6.86,95.10,4.01,0.03,0.00
Jh 4d 2h,Jc9c,0.455,66.18,4.20982,106.023,1.02,6.37,98.95,4.19,0.03,0.00
Jh 4d 2h,JcTc,0.535,66.96,4.81646,119.876,20.17,6.51,79.79,4.39,0.03,0.00
Jh 4d 2h,Jc8d,0.705,65.70,4.53825,115.128,21.70,6.28,78.27,4.06,0.03,0.00
Jh 4d 2h,Jc9d,0.714,66.40,4.59489,115.342,15.49,6.51,84.48,4.24,0.03,0.00
Jh 4d 2h,JcTd,0.517,67.09,4.8579,120.678,19.41,6.58,80.56,4.44,0.03,0.00
Jh 4d 2h,Jc8h,0.519,67.97,5.23031,128.256,16.75,7.61,83.23,4.75,0.03,0.00
Jh 4d 2h,Jc9h,0.373,68.53,5.87017,142.76,31.44,7.92,68.53,4.93,0.03,0.00
Jh 4d 2h,JcTh,0.431,69.67,7.87603,188.405,82.88,8.43,17.09,5.20,0.03,0.00
Jh 4d 2h,Jc8s,0.300,65.53,4.13662,105.206,4.54,6.84,95.43,4.01,0.03,0.00
Jh 4d 2h,Jc9s,0.431,66.20,4.2131,106.075,1.05,6.37,98.92,4.19,0.03,0.00
Jh 4d 2h,JcTs,0.539,66.97,4.81931,119.946,20.33,6.51,79.64,4.39,0.03,0.00
Jh 4d 2h,Qc7c,0.991,19.18,-0.00528,-0.45916,0.18,-2.98,0.01,-0.37,99.81,0.00
Jh 4d 2h,Qc8c,0.985,21.50,-0.00736,-0.5705,0.27,-2.73,0.02,-0.26,99.71,0.00
Jh 4d 2h,Qc9c,0.909,23.46,-0.01363,-0.96839,0.57,-2.38,0.07,-0.09,99.36,0.00
Jh 4d 2h,QcTc,0.626,25.78,-0.02832,-1.83133,1.20,-2.36,10.97,0.00,87.83,0.00
Jh 4d 2h,QcJc,0.338,70.55,5.78703,136.706,1.38,7.68,98.60,5.76,0.01,0.00
Jh 4d 2h,Qc8d,0.986,21.36,-0.0076,-0.59263,0.27,-2.79,0.03,-0.24,99.70,0.00
Jh 4d 2h,Qc9d,0.860,23.41,-0.0147,-1.04659,0.60,-2.42,0.08,-0.06,99.32,0.00
Jh 4d 2h,QcTd,0.310,25.99,-0.02873,-1.8425,1.20,-2.40,56.93,0.00,41.87,0.00
Jh 4d 2h,QcJd,0.332,70.57,5.76591,136.173,1.34,7.28,98.65,5.75,0.01,0.00
Jh 4d 2h,Qc8h,0.218,24.34,-0.02147,-1.46998,1.44,-2.25,61.82,0.02,36.74,0.00
Jh 4d 2h,Qc9h,0.181,26.17,-1.01239,-64.4808,52.68,-2.05,45.13,0.15,2.18,0.00
Jh 4d 2h,QcTh,0.212,28.84,-1.31176,-75.8072,74.14,-1.91,25.38,0.42,0.48,0.00
Jh 4d 2h,Qc8s,0.988,21.36,-0.00699,-0.54556,0.25,-2.78,0.02,-0.27,99.73,0.00
Jh 4d 2h,Qc9s,0.938,23.38,-0.01271,-0.90609,0.52,-2.42,0.06,-0.10,99.42,0.00
Jh 4d 2h,QcTs,0.625,25.78,-0.02832,-1.83128,1.20,-2.36,10.97,0.00,87.83,0.00
Jh 4d 2h,QcJs,0.337,70.55,5.78748,136.716,1.38,7.68,98.60,5.76,0.01,0.00
Jh 4d 2h,Kc2c,0.408,49.10,0.12419,4.21536,45.56,-1.07,54.31,1.12,0.14,0.00
Jh 4d 2h,Kc3c,0.983,24.97,-0.00649,-0.43351,0.24,-2.70,0.02,-0.39,99.74,0.00
Jh 4d 2h,Kc4c,0.545,53.47,1.58646,49.4505,0.15,0.96,99.76,1.59,0.10,0.00
Jh 4d 2h,Kc5c,0.969,26.18,-0.00753,-0.47961,0.27,-2.75,0.03,-0.26,99.70,0.00
Jh 4d 2h,Kc6c,0.988,26.65,-0.00474,-0.2967,0.18,-2.64,0.02,-0.40,99.80,0.00
Jh 4d 2h,Kc7c,0.993,26.89,-0.00494,-0.30601,0.17,-2.91,0.02,-0.34,99.81,0.00
Jh 4d 2h,Kc8c,0.993,27.81,-0.00547,-0.32789,0.18,-2.94,0.03,-0.30,99.79,0.00
Jh 4d 2h,Kc9c,0.983,29.41,-0.00742,-0.42074,0.28,-2.64,0.04,-0.20,99.68,0.00
Jh 4d 2h,KcTc,0.954,31.58,-0.00908,-0.479,0.35,-2.57,0.31,-0.03,99.34,0.00
Jh 4d 2h,KcJc,0.284,73.76,8.03642,181.579,37.18,9.23,62.80,7.33,0.02,0.00
Jh 4d 2h,KcQc,0.490,36.27,-0.07455,-3.42617,27.29,-1.79,72.38,0.57,0.33,0.00
Jh 4d 2h,Kc7d,0.994,26.96,-0.00505,-0.31191,0.17,-2.95,0.02,-0.36,99.81,0.00
Jh 4d 2h,Kc8d,0.993,27.91,-0.0058,-0.34657,0.19,-2.94,0.03,-0.27,99.78,0.00
Jh 4d 2h,Kc9d,0.979,29.53,-0.00802,-0.45268,0.30,-2.62,0.05,-0.16,99.65,0.00
Jh 4d 2h,KcTd,0.927,31.65,-0.00965,-0.50811,0.37,-2.58,0.46,-0.02,99.17,0.00
Jh 4d 2h,KcJd,0.243,73.88,7.86728,177.489,36.41,8.75,63.57,7.36,0.02,0.00
Jh 4d 2h,KcQd,0.307,36.34,0.56411,25.87,1.44,-1.72,98.32,0.60,0.24,0.00
Jh 4d 2h,Kc7h,0.914,29.93,-0.01058,-0.58914,0.43,-2.44,0.07,-0.05,99.50,0.00
Jh 4d 2h,Kc8h,0.681,30.75,-0.01737,-0.94157,0.75,-2.31,26.69,0.00,72.56,0.00
Jh 4d 2h,Kc9h,0.219,32.04,0.03173,1.65059,0.56,-2.19,84.83,0.05,14.61,0.00
Jh 4d 2h,KcTh,0.324,34.61,0.20539,9.89158,4.70,-2.00,94.58,0.32,0.72,0.00
Jh 4d 2h,KcQh,0.340,39.72,-1.04761,-43.962,93.96,-1.19,5.92,1.22,0.12,0.00
Jh 4d 2h,Kc7s,0.994,26.81,-0.00481,-0.29932,0.16,-2.94,0.02,-0.35,99.82,0.00
Jh 4d 2h,Kc8s,0.994,27.80,-0.00541,-0.32451,0.18,-2.94,0.03,-0.30,99.79,0.00
Jh 4d 2h,Kc9s,0.986,29.39,-0.00727,-0.41251,0.27,-2.65,0.05,-0.20,99.68,0.00
Jh 4d 2h,KcTs,0.954,31.58,-0.00908,-0.47901,0.35,-2.57,0.31,-0.03,99.34,0.00
Jh 4d 2h,KcJs,0.284,73.76,8.02843,181.398,36.74,9.23,63.24,7.33,0.02,0.00
Jh 4d 2h,KcQs,0.490,36.27,-0.07558,-3.47346,27.34,-1.79,72.34,0.57,0.33,0.00
Jh 4d 2h,Ac2c,0.383,51.97,0.26335,8.44503,52.94,-0.40,46.91,1.03,0.15,0.00
Jh 4d 2h,Ac3c,0.425,43.27,0.62125,23.9282,34.69,-0.34,65.17,1.14,0.14,0.00
Jh 4d 2h,Ac4c,0.537,56.37,1.76091,52.0631,10.83,2.33,89.08,1.69,0.09,0.00
Jh 4d 2h,Ac5c,0.388,46.48,0.57757,20.709,36.85,-0.39,63.01,1.15,0.14,0.00
Jh 4d 2h,Ac6c,0.987,40.79,-0.00371,-0.15171,0.16,-2.03,0.08,-0.45,99.76,0.00
Jh 4d 2h,Ac7c,0.990,44.33,-0.00388,-0.1459,0.17,-2.09,0.14,-0.27,99.70,0.00
Jh 4d 2h,Ac8c,0.989,46.15,-0.00353,-0.12765,0.13,-2.06,0.67,-0.14,99.21,0.00
Jh 4d 2h,Ac9c,0.979,46.76,-0.00384,-0.13704,0.13,-1.99,1.42,-0.09,98.46,0.00
Jh 4d 2h,AcTc,0.866,48.52,0.01596,0.54824,0.26,-1.90,94.32,0.02,5.42,0.00
Jh 4d 2h,AcJc,0.339,79.62,13.2198,276.741,99.95,13.20,0.04,10.55,0.01,0.00
Jh 4d 2h,AcQc,0.574,51.59,0.72634,23.4628,1.67,-0.96,98.13,0.76,0.20,0.00
Jh 4d 2h,AcKc,0.725,51.71,0.64291,20.7206,5.17,-1.03,94.62,0.74,0.21,0.00
Jh 4d 2h,Ac2d,0.637,51.89,0.41418,13.3024,43.90,-0.37,55.95,1.04,0.15,0.00
Jh 4d 2h,Ac3d,0.494,43.45,0.88448,33.9246,20.03,-0.27,79.83,1.18,0.14,0.00
Jh 4d 2h,Ac5d,0.518,46.58,0.70427,25.1992,32.36,-0.36,67.52,1.23,0.13,0.00
Jh 4d 2h,Ac6d,0.983,41.02,-0.00443,-0.18011,0.19,-2.14,0.10,-0.39,99.71,0.00
Jh 4d 2h,Ac7d,0.989,44.47,-0.0041,-0.1536,0.17,-2.10,0.15,-0.26,99.67,0.00
Jh 4d 2h,Ac8d,0.985,46.36,-0.00388,-0.13945,0.14,-2.10,0.81,-0.11,99.05,0.00
Jh 4d 2h,Ac9d,0.965,47.04,-0.00477,-0.16911,0.18,-2.01,2.07,-0.05,97.75,0.00
Jh 4d 2h,AcTd,0.817,48.53,0.00918,0.31517,0.29,-1.93,97.36,0.02,2.35,0.00
Jh 4d 2h,AcJd,0.431,79.47,13.2859,278.622,99.95,13.26,0.04,10.62,0.01,0.00
Jh 4d 2h,AcQd,0.669,51.59,0.71293,23.0339,5.13,-0.79,94.68,0.80,0.19,0.00
Jh 4d 2h,AcKd,0.752,51.77,0.78125,25.1532,0.57,-0.89,99.24,0.79,0.19,0.00
Jh 4d 2h,Ac3h,0.576,45.40,0.38315,14.0643,68.64,-0.07,31.25,1.42,0.11,0.00
Jh 4d 2h,Ac4h,0.241,58.46,4.27687,121.934,88.10,4.54,11.83,2.33,0.06,0.00
Jh 4d 2h,Ac5h,0.679,48.82,1.15713,39.5047,95.75,1.15,4.17,1.61,0.09,0.00
Jh 4d 2h,Ac6h,0.377,43.86,-0.01236,-0.46973,0.79,-1.48,1.51,-0.03,97.70,0.00
Jh 4d 2h,Ac7h,0.592,47.18,0.00209,0.07365,0.45,-1.55,69.34,0.01,30.21,0.00
Jh 4d 2h,Ac8h,0.874,48.89,0.15668,5.34137,0.15,-1.45,98.11,0.16,1.74,0.00
Jh 4d 2h,Ac9h,0.845,49.19,0.18372,6.2244,0.25,-1.47,98.91,0.19,0.84,0.00
Jh 4d 2h,AcTh,0.559,51.53,0.5363,17.347,0.15,-1.25,99.58,0.54,0.26,0.00
Jh 4d 2h,AcQh,0.476,54.71,1.5789,48.102,12.36,1.44,87.55,1.60,0.09,0.00
Jh 4d 2h,AcKh,0.523,55.49,2.28625,68.6647,22.53,3.71,77.39,1.87,0.08,0.00
Jh 4d 2h,Ac2s,0.383,51.97,0.26387,8.46174,52.92,-0.40,46.94,1.03,0.15,0.00
Jh 4d 2h,Ac3s,0.425,43.27,0.62053,23.9003,34.69,-0.34,65.17,1.14,0.14,0.00
Jh 4d 2h,Ac4s,0.537,56.37,1.76153,52.0814,10.80,2.34,89.11,1.69,0.09,0.00
Jh 4d 2h,Ac5s,0.388,46.48,0.57779,20.7168,36.84,-0.39,63.03,1.15,0.14,0.00
Jh 4d 2h,Ac6s,0.987,40.79,-0.00372,-0.15179,0.16,-2.03,0.08,-0.45,99.76,0.00
Jh 4d 2h,Ac7s,0.990,44.33,-0.00388,-0.14579,0.17,-2.09,0.14,-0.27,99.70,0.00
Jh 4d 2h,Ac8s,0.989,46.15,-0.00353,-0.12756,0.13,-2.06,0.67,-0.14,99.21,0.00
Jh 4d 2h,Ac9s,0.979,46.76,-0.00384,-0.13697,0.13,-1.99,1.42,-0.09,98.46,0.00
Jh 4d 2h,AcTs,0.866,48.52,0.01596,0.54813,0.26,-1.89,94.32,0.02,5.42,0.00
Jh 4d 2h,AcJs,0.367,79.35,13.0832,274.806,99.95,13.06,0.04,10.49,0.01,0.00
Jh 4d 2h,AcQs,0.573,51.59,0.72486,23.415,1.75,-0.96,98.04,0.76,0.20,0.00
Jh 4d 2h,AcKs,0.725,51.71,0.64218,20.6971,5.21,-1.03,94.58,0.74,0.21,0.00
Jh 4d 2h,2d2c,0.388,90.78,24.7226,453.879,99.95,24.72,0.05,21.25,0.00,0.00
Jh 4d 2h,3d3c,0.552,49.20,0.55693,18.8672,5.53,-1.31,94.21,0.67,0.26,0.00
Jh 4d 2h,5d5c,0.603,53.88,0.99036,30.6346,17.24,-0.84,82.65,1.37,0.12,0.00
Jh 4d 2h,6d6c,0.534,53.67,1.35585,42.1042,0.23,-0.40,99.67,1.36,0.10,0.00
Jh 4d 2h,6d5d,0.331,30.93,1.57832,85.0363,76.90,1.36,23.03,2.32,0.07,0.00
Jh 4d 2h,7d7c,0.865,55.88,1.49639,44.6316,0.07,-0.59,99.83,1.50,0.10,0.00
Jh 4d 2h,7d5d,0.251,20.86,-0.02014,-1.60866,0.98,-2.04,0.15,-0.05,98.87,0.00
Jh 4d 2h,7d6d,0.915,20.44,-0.00886,-0.72236,0.41,-2.10,0.08,-0.24,99.51,0.00
Jh 4d 2h,8d8c,0.949,57.88,1.89803,54.6519,0.06,-0.48,99.86,1.90,0.08,0.00
Jh 4d 2h,8d6d,0.944,21.03,-0.00924,-0.73213,0.42,-2.17,0.08,-0.20,99.50,0.00
Jh 4d 2h,8d7d,0.907,22.44,-0.01135,-0.84288,0.51,-2.17,0.10,-0.19,99.39,0.00
Jh 4d 2h,9d8c,0.993,19.79,-0.00511,-0.42999,0.17,-2.84,0.03,-0.50,99.80,0.00
