Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,6c5c,1.000,30.34,1.7696,97.2078,0.82,1.88,99.18,1.77
Jh 4d 2h,7c6c,1.000,18.11,0.57862,53.2574,0.44,1.10,99.56,0.58
Jh 4d 2h,8c7c,1.000,18.20,0.49987,45.7828,0.37,1.01,99.63,0.50
Jh 4d 2h,9c8c,1.000,19.62,0.51552,43.7837,0.32,0.96,99.68,0.51
Jh 4d 2h,Tc8c,1.000,22.11,0.54654,41.2009,0.29,0.98,99.71,0.55
Jh 4d 2h,Tc9c,1.000,24.98,0.63455,42.334,0.32,1.04,99.68,0.63
Jh 4d 2h,Jc8c,1.000,71.45,4.90527,114.429,0.29,4.10,99.71,4.91
Jh 4d 2h,Jc9c,1.000,72.56,5.12929,117.824,0.39,4.40,99.61,5.13
Jh 4d 2h,JcTc,1.000,73.78,5.3124,120.003,0.48,4.76,99.52,5.32
Jh 4d 2h,JcTd,1.000,73.89,5.34549,120.569,0.40,4.94,99.60,5.35
Jh 4d 2h,JcTh,1.000,76.17,5.88294,128.73,0.62,5.33,99.38,5.89
Jh 4d 2h,JcTs,1.000,73.78,5.31242,120.003,0.48,4.76,99.52,5.32
Jh 4d 2h,Qc8c,1.000,26.18,0.59903,38.1317,0.45,1.14,99.55,0.60
Jh 4d 2h,Qc9c,1.000,29.04,0.69072,39.6371,0.52,1.13,99.48,0.69
Jh 4d 2h,QcTc,1.000,31.89,0.73113,38.2054,0.53,1.21,99.47,0.73
Jh 4d 2h,QcJc,1.000,76.93,6.19926,134.313,0.79,5.58,99.21,6.20
Jh 4d 2h,QcTd,1.000,31.98,0.77023,40.1384,0.56,1.24,99.44,0.77
Jh 4d 2h,QcJd,1.000,77.02,6.24311,135.096,0.74,5.61,99.26,6.25
Jh 4d 2h,QcTh,1.000,35.09,0.9886,46.9541,0.86,1.51,99.14,0.98
Jh 4d 2h,QcTs,1.000,31.89,0.73112,38.2046,0.53,1.21,99.47,0.73
Jh 4d 2h,QcJs,1.000,76.93,6.19923,134.312,0.79,5.58,99.21,6.20
Jh 4d 2h,Kc2c,1.000,54.23,2.138,65.7034,0.42,1.93,99.58,2.14
Jh 4d 2h,Kc3c,1.000,30.58,0.61253,33.3847,0.58,1.19,99.42,0.61
Jh 4d 2h,Kc4c,1.000,57.35,2.47142,71.819,0.33,2.39,99.67,2.47
Jh 4d 2h,Kc5c,1.000,31.14,0.6287,33.6541,0.67,1.25,99.33,0.62
Jh 4d 2h,Kc6c,1.000,31.10,0.59627,31.9509,0.42,1.14,99.58,0.59
Jh 4d 2h,Kc7c,1.000,30.95,0.53695,28.9153,0.34,1.01,99.66,0.54
Jh 4d 2h,Kc8c,1.000,32.61,0.54169,27.6886,0.29,0.96,99.71,0.54
Jh 4d 2h,Kc9c,1.000,35.50,0.61933,29.08,0.31,0.95,99.69,0.62
Jh 4d 2h,KcTc,1.000,38.35,0.68741,29.8724,0.34,1.16,99.66,0.69
Jh 4d 2h,KcJc,1.000,78.48,6.77453,143.863,0.96,5.92,99.04,6.78
Jh 4d 2h,KcQc,1.000,41.84,0.97247,38.7332,0.45,1.18,99.55,0.97
Jh 4d 2h,KcTd,1.000,38.45,0.71871,31.1545,0.37,1.19,99.63,0.72
Jh 4d 2h,KcJd,1.000,78.59,6.82487,144.738,0.88,5.96,99.12,6.83
Jh 4d 2h,KcQd,1.000,41.95,0.97699,38.8136,0.57,1.27,99.43,0.98
Jh 4d 2h,KcTh,1.000,41.47,0.89587,36.0077,0.64,1.38,99.36,0.89
Jh 4d 2h,KcQh,1.000,45.12,1.4978,55.3257,0.53,1.39,99.47,1.50
Jh 4d 2h,KcTs,1.000,38.35,0.68741,29.8722,0.34,1.16,99.66,0.69
Jh 4d 2h,KcJs,1.000,78.48,6.77451,143.863,0.96,5.92,99.04,6.78
Jh 4d 2h,KcQs,1.000,41.84,0.97246,38.7328,0.45,1.18,99.55,0.97
Jh 4d 2h,Ac2c,1.000,56.06,1.98279,58.9512,0.42,2.02,99.58,1.98
Jh 4d 2h,Ac3c,1.000,48.02,1.54838,53.7453,0.52,1.76,99.48,1.55
Jh 4d 2h,Ac4c,1.000,59.06,2.3592,66.5794,0.42,2.17,99.58,2.36
Jh 4d 2h,Ac5c,1.000,49.49,1.60513,54.0604,0.43,1.71,99.57,1.60
Jh 4d 2h,Ac6c,1.000,42.49,0.65007,25.5001,0.37,1.25,99.63,0.65
Jh 4d 2h,Ac7c,1.000,43.93,0.64469,24.4614,0.31,1.18,99.69,0.64
Jh 4d 2h,Ac8c,1.000,45.93,0.69484,25.2123,0.25,1.17,99.75,0.69
Jh 4d 2h,Ac9c,1.000,47.87,0.78721,27.4063,0.26,1.19,99.74,0.79
Jh 4d 2h,AcTc,1.000,50.71,0.96288,31.6453,0.29,1.41,99.71,0.96
Jh 4d 2h,Ac2d,1.000,56.13,2.01227,59.7496,0.40,1.96,99.60,2.01
Jh 4d 2h,Ac3d,1.000,48.09,1.56465,54.2312,0.51,1.79,99.49,1.56
Jh 4d 2h,Ac5d,1.000,49.57,1.62497,54.6357,0.42,1.81,99.58,1.62
Jh 4d 2h,Ac6d,1.000,42.59,0.67241,26.3139,0.39,1.24,99.61,0.67
Jh 4d 2h,Ac7d,1.000,44.05,0.68106,25.7704,0.32,1.27,99.68,0.68
