Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,6c5c,1.000,30.34,1.52582,83.8164,0.82,1.65,99.18,1.52
Jh 4d 2h,7c6c,1.000,18.11,0.00331,0.30441,0.44,0.36,99.56,0.00
Jh 4d 2h,8c7c,1.000,18.20,0.00264,0.24172,0.37,0.26,99.63,0.00
Jh 4d 2h,9c8c,1.000,19.62,0.00266,0.22618,0.32,0.24,99.68,0.00
Jh 4d 2h,Tc8c,1.000,22.11,0.00249,0.1874,0.29,0.24,99.71,0.00
Jh 4d 2h,Tc9c,1.000,24.98,0.00398,0.26537,0.32,0.34,99.68,0.00
Jh 4d 2h,Jc8c,1.000,71.45,5.82004,135.769,0.29,4.58,99.71,5.82
Jh 4d 2h,Jc9c,1.000,72.56,6.06814,139.39,0.39,4.89,99.61,6.07
Jh 4d 2h,JcTc,1.000,73.78,6.30699,142.47,0.48,5.11,99.52,6.31
Jh 4d 2h,JcTd,1.000,73.89,6.41679,144.733,0.40,5.11,99.60,6.42
Jh 4d 2h,JcTh,1.000,76.17,7.23164,158.242,0.62,5.72,99.38,7.24
Jh 4d 2h,JcTs,1.000,73.78,6.30779,142.488,0.48,5.11,99.52,6.31
Jh 4d 2h,Qc8c,1.000,26.18,0.005,0.31833,0.45,0.39,99.55,0.00
Jh 4d 2h,Qc9c,1.000,29.04,0.00998,0.57266,0.52,0.50,99.48,0.01
Jh 4d 2h,QcTc,1.000,31.89,0.01361,0.71126,0.53,0.54,99.47,0.01
Jh 4d 2h,QcJc,1.000,76.93,7.20575,156.119,0.79,6.07,99.21,7.21
Jh 4d 2h,QcTd,1.000,31.98,0.00977,0.50902,0.56,0.59,99.44,0.01
Jh 4d 2h,QcJd,1.000,77.02,7.2615,157.133,0.74,6.11,99.26,7.27
Jh 4d 2h,QcTh,1.000,35.09,0.72965,34.6553,0.86,0.86,99.14,0.73
Jh 4d 2h,QcTs,1.000,31.89,0.01361,0.71135,0.53,0.54,99.47,0.01
Jh 4d 2h,QcJs,1.000,76.93,7.20577,156.12,0.79,6.07,99.21,7.21
Jh 4d 2h,Kc2c,1.000,54.23,1.9814,60.8908,0.42,1.91,99.58,1.98
Jh 4d 2h,Kc3c,1.000,30.58,0.00557,0.30362,0.58,0.44,99.42,0.00
Jh 4d 2h,Kc4c,1.000,57.35,2.35261,68.3665,0.33,2.20,99.67,2.35
Jh 4d 2h,Kc5c,1.000,31.14,0.00705,0.37737,0.67,0.48,99.33,0.00
Jh 4d 2h,Kc6c,1.000,31.10,0.0039,0.20875,0.42,0.37,99.58,0.00
Jh 4d 2h,Kc7c,1.000,30.95,0.00265,0.14279,0.34,0.27,99.66,0.00
Jh 4d 2h,Kc8c,1.000,32.61,0.00263,0.1342,0.29,0.23,99.71,0.00
Jh 4d 2h,Kc9c,1.000,35.50,0.00422,0.19803,0.31,0.32,99.69,0.00
Jh 4d 2h,KcTc,1.000,38.35,0.00592,0.25734,0.34,0.41,99.66,0.00
Jh 4d 2h,KcJc,1.000,78.48,7.93455,168.497,0.96,6.67,99.04,7.95
Jh 4d 2h,KcQc,1.000,41.84,0.62758,24.9963,0.45,0.76,99.55,0.63
Jh 4d 2h,KcTd,1.000,38.45,0.00464,0.20125,0.37,0.46,99.63,0.00
Jh 4d 2h,KcJd,1.000,78.59,7.98997,169.447,0.88,6.72,99.12,8.00
Jh 4d 2h,KcQd,1.000,41.95,0.55611,22.093,0.57,0.81,99.43,0.55
Jh 4d 2h,KcTh,1.000,41.47,0.50789,20.4134,0.64,0.73,99.36,0.51
Jh 4d 2h,KcQh,1.000,45.12,1.25944,46.5209,0.53,1.32,99.47,1.26
Jh 4d 2h,KcTs,1.000,38.35,0.00592,0.25736,0.34,0.41,99.66,0.00
Jh 4d 2h,KcJs,1.000,78.48,7.93452,168.497,0.96,6.67,99.04,7.95
Jh 4d 2h,KcQs,1.000,41.84,0.62714,24.9788,0.45,0.76,99.55,0.63
Jh 4d 2h,Ac2c,1.000,56.06,2.24387,66.7136,0.42,1.75,99.58,2.25
Jh 4d 2h,Ac3c,1.000,48.02,1.28146,44.4803,0.52,1.36,99.48,1.28
Jh 4d 2h,Ac4c,1.000,59.06,2.77066,78.1912,0.42,2.13,99.58,2.77
Jh 4d 2h,Ac5c,1.000,49.49,1.31625,44.3311,0.43,1.38,99.57,1.32
Jh 4d 2h,Ac6c,1.000,42.49,0.00358,0.14042,0.37,0.40,99.63,0.00
Jh 4d 2h,Ac7c,1.000,43.93,0.00317,0.12021,0.31,0.35,99.69,0.00
Jh 4d 2h,Ac8c,1.000,45.93,0.00331,0.12005,0.25,0.34,99.75,0.00
Jh 4d 2h,Ac9c,1.000,47.87,0.00895,0.31145,0.26,0.43,99.74,0.01
Jh 4d 2h,AcTc,1.000,50.71,0.49777,16.3594,0.29,0.65,99.71,0.50
Jh 4d 2h,Ac2d,1.000,56.13,2.34649,69.6733,0.40,1.78,99.60,2.35
Jh 4d 2h,Ac3d,1.000,48.09,1.3055,45.2488,0.51,1.37,99.49,1.31
Jh 4d 2h,Ac5d,1.000,49.57,1.34884,45.3517,0.42,1.40,99.58,1.35
Jh 4d 2h,Ac6d,1.000,42.59,0.00369,0.14443,0.39,0.43,99.61,0.00
Jh 4d 2h,Ac7d,1.000,44.05,0.00305,0.11543,0.32,0.39,99.68,0.00
Jh 4d 2h,Ac8d,1.000,46.05,0.0028,0.10134,0.25,0.38,99.75,0.00
Jh 4d 2h,Ac9d,1.000,47.99,0.00375,0.13039,0.26,0.48,99.74,0.00
Jh 4d 2h,AcTd,1.000,50.82,0.40197,13.1832,0.33,0.69,99.67,0.40
Jh 4d 2h,AcJd,1.000,81.31,9.13733,187.303,2.75,7.64,97.25,9.18
Jh 4d 2h,Ac3h,1.000,49.90,1.59744,53.3592,0.59,1.58,99.41,1.60
Jh 4d 2h,Ac4h,1.000,60.93,3.53342,96.6578,0.57,2.60,99.43,3.54
Jh 4d 2h,Ac5h,1.000,51.55,1.96081,63.4,0.51,1.68,99.49,1.96
