Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
Jh 4d 2h,5c4c,1.000,43.84,9.60627,91.2996,7.51,9.55,92.49,9.61
Jh 4d 2h,6c5c,1.000,27.01,8.932,137.765,47.36,8.93,52.64,8.93
Jh 4d 2h,7c6c,1.000,13.53,2.93302,90.3053,57.51,2.93,42.49,2.94
Jh 4d 2h,8c7c,1.000,14.07,2.73202,80.903,40.29,2.73,59.71,2.74
Jh 4d 2h,9c8c,1.000,14.83,3.16918,89.0718,75.87,3.17,24.13,3.17
Jh 4d 2h,Tc8c,1.000,13.88,2.92042,87.6725,37.39,2.92,62.61,2.92
Jh 4d 2h,Tc9c,1.000,15.56,3.54994,95.0758,68.34,3.55,31.66,3.54
Jh 4d 2h,Jc9c,1.000,64.81,16.9405,108.914,2.91,16.89,97.09,16.94
Jh 4d 2h,JcTc,1.000,64.16,16.5543,107.5,8.97,16.56,91.03,16.55
Jh 4d 2h,Qc9c,1.000,16.27,3.8904,99.6151,27.38,3.89,72.62,3.89
Jh 4d 2h,QcTc,1.000,17.31,4.23247,101.888,40.49,4.23,59.51,4.23
Jh 4d 2h,QcJc,1.000,69.83,19.2871,115.086,5.78,19.27,94.22,19.29
Jh 4d 2h,QcJd,1.000,70.16,19.5453,116.072,3.77,19.49,96.23,19.55
Jh 4d 2h,QcJs,1.000,69.94,19.3218,115.116,5.21,19.30,94.79,19.32
Jh 4d 2h,Kc9c,1.000,17.06,4.12324,100.695,43.24,4.12,56.76,4.12
Jh 4d 2h,KcTc,1.000,18.09,4.46198,102.762,48.03,4.47,51.97,4.46
Jh 4d 2h,KcJc,1.000,72.97,22.1719,126.6,30.11,22.17,69.89,22.17
Jh 4d 2h,KcQc,1.000,22.88,5.56833,101.392,72.20,5.58,27.80,5.55
Jh 4d 2h,KcJd,1.000,73.27,22.4014,127.387,15.46,22.38,84.54,22.41
Jh 4d 2h,KcQd,1.000,22.98,5.89637,106.907,86.28,5.90,13.72,5.88
Jh 4d 2h,KcQh,1.000,26.54,7.94126,124.651,81.97,7.94,18.03,7.94
Jh 4d 2h,KcJs,1.000,73.05,22.204,126.64,29.55,22.21,70.45,22.20
Jh 4d 2h,KcQs,1.000,22.74,5.49631,100.729,33.80,5.48,66.20,5.51
Jh 4d 2h,Ac2c,1.000,42.74,8.04208,78.3929,3.22,7.98,96.78,8.04
Jh 4d 2h,Ac3c,1.000,31.96,9.02889,117.698,88.82,9.03,11.18,9.00
Jh 4d 2h,Ac4c,1.000,42.88,7.64802,74.3201,4.52,7.60,95.48,7.65
Jh 4d 2h,Ac5c,1.000,31.96,8.96602,116.878,95.41,8.97,4.59,8.87
Jh 4d 2h,Ac6c,1.000,19.81,3.0279,63.6875,96.53,3.03,3.47,2.88
Jh 4d 2h,Ac7c,1.000,19.88,2.62152,54.9435,54.86,2.62,45.14,2.62
Jh 4d 2h,Ac8c,1.000,20.55,2.75083,55.7813,32.40,2.75,67.60,2.75
Jh 4d 2h,Ac9c,1.000,21.79,3.07001,58.7089,29.33,3.06,70.67,3.08
Jh 4d 2h,AcTc,1.000,26.94,3.31066,51.1965,6.34,3.25,93.66,3.31
Jh 4d 2h,AcJc,1.000,78.99,28.6904,151.336,94.93,28.69,5.07,28.69
Jh 4d 2h,AcQc,1.000,37.44,5.67056,63.1017,2.34,5.49,97.66,5.67
Jh 4d 2h,AcKc,1.000,43.82,7.24599,68.8956,6.50,7.25,93.50,7.25
Jh 4d 2h,AcTd,1.000,27.16,3.40863,52.2926,9.46,3.36,90.54,3.41
Jh 4d 2h,AcJd,1.000,79.20,28.8549,151.799,92.19,28.85,7.81,28.86
Jh 4d 2h,AcQd,1.000,37.93,5.80063,63.7133,11.30,5.80,88.70,5.80
Jh 4d 2h,AcKd,1.000,44.20,7.38659,69.6385,6.76,7.36,93.24,7.39
Jh 4d 2h,AcTh,1.000,30.53,4.74094,64.6927,55.48,4.74,44.52,4.74
Jh 4d 2h,AcQh,1.000,41.52,7.59789,76.2389,68.26,7.60,31.74,7.59
