Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
Jh 4d 2h,5c4c,1.000,43.84,9.5824,91.0728,7.51,9.24,92.49,9.61
Jh 4d 2h,6c5c,1.000,27.01,9.25218,142.704,47.36,9.61,52.64,8.93
Jh 4d 2h,7c6c,1.000,13.53,3.78893,116.658,57.51,4.42,42.49,2.94
Jh 4d 2h,8c7c,1.000,14.07,3.37566,99.9631,40.29,4.33,59.71,2.74
Jh 4d 2h,9c8c,1.000,14.83,4.36426,122.66,75.87,4.74,24.13,3.17
Jh 4d 2h,Tc8c,1.000,13.88,3.46623,104.058,37.39,4.38,62.61,2.92
Jh 4d 2h,Tc9c,1.000,15.56,4.32662,115.877,68.34,4.69,31.66,3.54
Jh 4d 2h,Jc9c,1.000,64.81,16.9429,108.93,2.91,16.97,97.09,16.94
Jh 4d 2h,JcTc,1.000,64.16,16.5943,107.76,8.97,17.00,91.03,16.55
Jh 4d 2h,Qc9c,1.000,16.27,4.31012,110.362,27.38,5.42,72.62,3.89
Jh 4d 2h,QcTc,1.000,17.31,4.6799,112.659,40.49,5.34,59.51,4.23
Jh 4d 2h,QcJc,1.000,69.83,19.2579,114.912,5.78,18.77,94.22,19.29
Jh 4d 2h,QcJd,1.000,70.16,19.5346,116.009,3.77,19.21,96.23,19.55
Jh 4d 2h,QcJs,1.000,69.94,19.2974,114.97,5.21,18.83,94.79,19.32
Jh 4d 2h,Kc9c,1.000,17.06,4.79377,117.071,43.24,5.67,56.76,4.12
Jh 4d 2h,KcTc,1.000,18.09,4.93325,113.615,48.03,5.45,51.97,4.46
Jh 4d 2h,KcJc,1.000,72.97,22.0137,125.697,30.11,21.65,69.89,22.17
Jh 4d 2h,KcQc,1.000,22.88,6.44274,117.314,72.20,6.79,27.80,5.55
Jh 4d 2h,KcJd,1.000,73.27,22.3511,127.101,15.46,22.05,84.54,22.41
Jh 4d 2h,KcQd,1.000,22.98,6.83135,123.859,86.28,6.98,13.72,5.88
Jh 4d 2h,KcQh,1.000,26.54,8.74096,137.204,81.97,8.92,18.03,7.94
Jh 4d 2h,KcJs,1.000,73.05,22.0538,125.783,29.55,21.70,70.45,22.20
Jh 4d 2h,KcQs,1.000,22.74,5.90629,108.242,33.80,6.69,66.20,5.51
Jh 4d 2h,Ac2c,1.000,42.74,8.00791,78.0598,3.22,6.92,96.78,8.04
Jh 4d 2h,Ac3c,1.000,31.96,9.60307,125.183,88.82,9.68,11.18,9.00
Jh 4d 2h,Ac4c,1.000,42.88,7.6041,73.8933,4.52,6.63,95.48,7.65
Jh 4d 2h,Ac5c,1.000,31.96,9.80633,127.832,95.41,9.85,4.59,8.87
Jh 4d 2h,Ac6c,1.000,19.81,4.2938,90.3137,96.53,4.34,3.47,2.88
Jh 4d 2h,Ac7c,1.000,19.88,3.43504,71.9938,54.86,4.11,45.14,2.62
Jh 4d 2h,Ac8c,1.000,20.55,3.23686,65.6369,32.40,4.25,67.60,2.75
Jh 4d 2h,Ac9c,1.000,21.79,3.44562,65.8919,29.33,4.34,70.67,3.08
Jh 4d 2h,AcTc,1.000,26.94,3.34674,51.7544,6.34,3.82,93.66,3.31
Jh 4d 2h,AcJc,1.000,78.99,27.9315,147.333,94.93,27.89,5.07,28.69
Jh 4d 2h,AcQc,1.000,37.44,5.68353,63.246,2.34,6.05,97.66,5.67
Jh 4d 2h,AcKc,1.000,43.82,7.17666,68.2365,6.50,6.18,93.50,7.25
Jh 4d 2h,AcTd,1.000,27.16,3.45843,53.0567,9.46,3.89,90.54,3.41
Jh 4d 2h,AcJd,1.000,79.20,28.1427,148.052,92.19,28.08,7.81,28.86
Jh 4d 2h,AcQd,1.000,37.93,5.86344,64.4032,11.30,6.36,88.70,5.80
Jh 4d 2h,AcKd,1.000,44.20,7.33806,69.1811,6.76,6.64,93.24,7.39
Jh 4d 2h,AcTh,1.000,30.53,5.34365,72.9171,55.48,5.83,44.52,4.74
Jh 4d 2h,AcQh,1.000,41.52,8.01793,80.4538,68.26,8.22,31.74,7.59
Jh 4d 2h,AcKh,1.000,47.32,9.12299,80.3253,64.06,8.97,35.94,9.40
Jh 4d 2h,AcTs,1.000,26.94,3.34655,51.7515,6.35,3.82,93.65,3.31
Jh 4d 2h,AcJs,1.000,78.99,27.9308,147.33,94.94,27.89,5.06,28.69
Jh 4d 2h,AcQs,1.000,37.44,5.68345,63.2453,2.34,6.05,97.66,5.67
Jh 4d 2h,AcKs,1.000,43.82,7.17625,68.2324,6.51,6.18,93.49,7.25
Jh 4d 2h,2d2c,1.000,90.22,45.7837,211.443,99.88,45.79,0.12,44.56
Jh 4d 2h,3d3c,1.000,38.01,6.69882,73.4378,82.19,6.83,17.81,6.11
Jh 4d 2h,5d5c,1.000,38.42,6.65817,72.2175,75.09,6.81,24.91,6.20
Jh 4d 2h,6d6c,1.000,38.28,6.0942,66.3418,72.76,6.08,27.24,6.12
Jh 4d 2h,6d5d,1.000,30.03,10.2367,142.031,11.11,10.32,88.89,10.23
Jh 4d 2h,7d7c,1.000,39.64,6.11445,64.2656,14.34,6.17,85.66,6.11
Jh 4d 2h,7d6d,1.000,17.26,4.85921,117.325,61.21,5.37,38.79,4.06
Jh 4d 2h,8d8c,1.000,44.18,7.16631,67.5869,4.09,7.47,95.91,7.15
Jh 4d 2h,8d7d,1.000,17.81,4.41435,103.286,36.77,5.37,63.23,3.86
Jh 4d 2h,9d9c,1.000,49.07,8.88538,75.451,14.84,9.61,85.16,8.76
Jh 4d 2h,9d8d,1.000,18.58,5.30731,118.997,68.32,5.77,31.68,4.32
Jh 4d 2h,TdTc,1.000,54.42,11.0016,84.2267,1.05,11.87,98.95,10.99
Jh 4d 2h,Td8d,1.000,17.70,4.94311,116.337,56.89,5.52,43.11,4.18
Jh 4d 2h,Td9d,1.000,19.32,5.23838,112.973,39.22,5.90,60.78,4.81
Jh 4d 2h,JdJc,1.000,95.21,46.9849,205.624,35.34,45.32,64.66,47.90
Jh 4d 2h,Jd9d,1.000,66.72,18.56,115.909,3.73,18.43,96.27,18.57
Jh 4d 2h,JdTd,1.000,66.19,18.2549,114.907,4.50,18.38,95.50,18.25
Jh 4d 2h,QdJc,1.000,70.02,19.298,114.83,1.80,19.13,98.20,19.30
Jh 4d 2h,QdQc,1.000,76.14,29.1485,159.521,99.64,29.15,0.36,28.92
Jh 4d 2h,Qd9d,1.000,20.07,6.26108,129.958,60.97,6.74,39.03,5.51
Jh 4d 2h,QdTd,1.000,21.04,6.47112,128.147,62.93,6.77,37.07,5.97
Jh 4d 2h,QdJd,1.000,71.44,20.6633,120.522,3.49,20.52,96.51,20.67
Jh 4d 2h,QdJs,1.000,70.02,19.298,114.831,1.80,19.13,98.20,19.30
Jh 4d 2h,KdJc,1.000,73.17,22.1949,126.382,9.35,21.61,90.65,22.26
Jh 4d 2h,KdQc,1.000,23.00,6.74418,122.183,83.72,6.95,16.28,5.70
Jh 4d 2h,KdKc,1.000,79.65,32.8202,171.683,99.71,32.82,0.29,32.55
Jh 4d 2h,Kd9d,1.000,20.95,6.54364,130.138,63.81,7.09,36.19,5.57
Jh 4d 2h,KdTd,1.000,21.93,6.60638,125.531,57.02,7.05,42.98,6.02
Jh 4d 2h,KdJd,1.000,74.43,23.3156,130.521,38.64,22.98,61.36,23.52
Jh 4d 2h,KdQd,1.000,26.73,7.5315,117.409,12.35,8.46,87.65,7.40
Jh 4d 2h,KdQh,1.000,26.81,9.09583,141.358,92.70,9.17,7.30,8.12
Jh 4d 2h,KdJs,1.000,73.17,22.1948,126.382,9.35,21.61,90.65,22.26
Jh 4d 2h,KdQs,1.000,23.00,6.74417,122.183,83.72,6.95,16.28,5.70
Jh 4d 2h,AdTc,1.000,26.93,3.69638,57.195,20.49,4.20,79.51,3.57
Jh 4d 2h,AdJc,1.000,79.19,27.8463,146.508,91.49,27.77,8.51,28.64
Jh 4d 2h,AdQc,1.000,37.66,5.93912,65.7154,3.23,6.46,96.77,5.92
Jh 4d 2h,AdKc,1.000,44.24,7.46944,70.3532,3.08,6.89,96.92,7.49
Jh 4d 2h,AdAc,1.000,85.02,39.3475,192.83,99.83,39.35,0.17,38.48
Jh 4d 2h,Ad2d,1.000,45.97,10.3177,93.5167,2.24,9.15,97.76,10.34
Jh 4d 2h,Ad3d,1.000,34.97,10.8582,129.365,58.96,11.03,41.04,10.62
Jh 4d 2h,Ad5d,1.000,34.97,10.9218,130.122,87.38,10.98,12.62,10.51
Jh 4d 2h,Ad6d,1.000,23.45,5.8405,103.795,97.08,5.88,2.92,4.50
Jh 4d 2h,Ad7d,1.000,23.53,5.2828,93.5549,66.53,5.79,33.47,4.27
Jh 4d 2h,Ad8d,1.000,24.18,5.23476,90.1958,57.30,5.87,42.70,4.39
Jh 4d 2h,Ad9d,1.000,25.38,5.52262,90.6705,66.53,5.93,33.47,4.71
Jh 4d 2h,AdTd,1.000,30.37,5.13876,70.5107,21.16,5.64,78.84,5.01
Jh 4d 2h,AdJd,1.000,80.15,28.9371,150.432,98.57,28.93,1.43,29.72
Jh 4d 2h,AdQd,1.000,40.94,7.66441,77.9966,1.71,8.24,98.29,7.65
Jh 4d 2h,AdKd,1.000,47.17,9.21286,81.3825,15.95,8.53,84.05,9.34
Jh 4d 2h,AdTh,1.000,30.51,5.71533,78.04,65.99,6.08,34.01,5.02
Jh 4d 2h,AdQh,1.000,41.70,8.32258,83.1668,73.77,8.51,26.23,7.81
Jh 4d 2h,AdKh,1.000,47.72,9.46343,82.6331,35.63,9.27,64.37,9.57
Jh 4d 2h,AdTs,1.000,26.93,3.69638,57.1951,20.49,4.20,79.51,3.57
Jh 4d 2h,AdJs,1.000,79.19,27.846,146.507,91.45,27.77,8.55,28.64
Jh 4d 2h,AdQs,1.000,37.66,5.93912,65.7154,3.23,6.46,96.77,5.92
Jh 4d 2h,AdKs,1.000,44.24,7.46943,70.3532,3.08,6.89,96.92,7.49
Jh 4d 2h,3h3c,1.000,40.34,7.04083,72.7203,9.78,7.23,90.22,7.02
Jh 4d 2h,3h3d,1.000,40.39,7.10606,73.3134,9.04,7.25,90.96,7.09
