Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
Jh 4d 2h,5c4c,1.000,43.84,9.33601,88.731,7.51,5.96,92.49,9.61
Jh 4d 2h,6c5c,1.000,27.01,5.12142,78.9919,47.36,0.89,52.64,8.93
Jh 4d 2h,7c6c,1.000,13.53,-2.45577,-75.6112,57.51,-6.44,42.49,2.94
Jh 4d 2h,8c7c,1.000,14.07,-0.73151,-21.6621,40.29,-5.87,59.71,2.74
Jh 4d 2h,9c8c,1.000,14.83,-4.21577,-118.487,75.87,-6.56,24.13,3.17
Jh 4d 2h,Tc8c,1.000,13.88,-0.9573,-28.7386,37.39,-7.45,62.61,2.92
Jh 4d 2h,Tc9c,1.000,15.56,-3.64838,-97.7123,68.34,-6.98,31.66,3.54
Jh 4d 2h,Jc9c,1.000,64.81,17.0239,109.451,2.91,19.76,97.09,16.94
Jh 4d 2h,JcTc,1.000,64.16,16.5146,107.242,8.97,16.12,91.03,16.55
Jh 4d 2h,Qc9c,1.000,16.27,1.44538,37.0094,27.38,-5.04,72.62,3.89
Jh 4d 2h,QcTc,1.000,17.31,0.48036,11.5637,40.49,-5.03,59.51,4.23
Jh 4d 2h,QcJc,1.000,69.83,19.741,117.794,5.78,27.13,94.22,19.29
Jh 4d 2h,QcJd,1.000,70.16,19.7861,117.502,3.77,25.88,96.23,19.55
Jh 4d 2h,QcJs,1.000,69.94,19.7293,117.544,5.21,27.12,94.79,19.32
Jh 4d 2h,Kc9c,1.000,17.06,0.1323,3.23086,43.24,-5.11,56.76,4.12
Jh 4d 2h,KcTc,1.000,18.09,-0.54272,-12.4991,48.03,-5.95,51.97,4.46
Jh 4d 2h,KcJc,1.000,72.97,24.6573,140.792,30.11,30.43,69.89,22.17
Jh 4d 2h,KcQc,1.000,22.88,1.16311,21.1786,72.20,-0.53,27.80,5.55
Jh 4d 2h,KcJd,1.000,73.27,23.4251,133.208,15.46,29.00,84.54,22.41
Jh 4d 2h,KcQd,1.000,22.98,-0.26808,-4.8605,86.28,-1.24,13.72,5.88
Jh 4d 2h,KcQh,1.000,26.54,1.95356,30.6644,81.97,0.64,18.03,7.94
Jh 4d 2h,KcJs,1.000,73.05,24.5485,140.012,29.55,30.14,70.45,22.20
Jh 4d 2h,KcQs,1.000,22.74,3.46859,63.5675,33.80,-0.52,66.20,5.51
Jh 4d 2h,Ac2c,1.000,42.74,7.94712,77.4673,3.22,5.03,96.78,8.04
Jh 4d 2h,Ac3c,1.000,31.96,5.87943,76.6426,88.82,5.49,11.18,9.00
Jh 4d 2h,Ac4c,1.000,42.88,7.51053,72.984,4.52,4.56,95.48,7.65
Jh 4d 2h,Ac5c,1.000,31.96,5.42789,70.7564,95.41,5.26,4.59,8.87
Jh 4d 2h,Ac6c,1.000,19.81,-3.8062,-80.0579,96.53,-4.05,3.47,2.88
Jh 4d 2h,Ac7c,1.000,19.88,-0.97291,-20.3909,54.86,-3.93,45.14,2.62
Jh 4d 2h,Ac8c,1.000,20.55,0.51597,10.4628,32.40,-4.15,67.60,2.75
Jh 4d 2h,Ac9c,1.000,21.79,0.7348,14.0519,29.33,-4.91,70.67,3.08
Jh 4d 2h,AcTc,1.000,26.94,2.75568,42.6142,6.34,-5.51,93.66,3.31
Jh 4d 2h,AcJc,1.000,78.99,38.3078,202.066,94.93,38.82,5.07,28.69
Jh 4d 2h,AcQc,1.000,37.44,5.54552,61.7103,2.34,0.15,97.66,5.67
Jh 4d 2h,AcKc,1.000,43.82,7.24402,68.8769,6.50,7.22,93.50,7.25
Jh 4d 2h,AcTd,1.000,27.16,2.5757,39.5144,9.46,-5.45,90.54,3.41
Jh 4d 2h,AcJd,1.000,79.20,38.1061,200.467,92.19,38.89,7.81,28.86
Jh 4d 2h,AcQd,1.000,37.93,5.1245,56.2868,11.30,-0.18,88.70,5.80
Jh 4d 2h,AcKd,1.000,44.20,7.27336,68.5711,6.76,5.69,93.24,7.39
Jh 4d 2h,AcTh,1.000,30.53,0.19242,2.6257,55.48,-3.46,44.52,4.74
Jh 4d 2h,AcQh,1.000,41.52,3.45913,34.7096,68.26,1.54,31.74,7.59
Jh 4d 2h,AcKh,1.000,47.32,7.74521,68.1943,64.06,6.82,35.94,9.40
