Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,6c5c,1.000,28.36,2.86828,168.591,95.73,2.87,4.27,2.87
Jh 4d 2h,7c6c,1.000,15.30,0.6654,72.492,13.80,0.66,86.20,0.67
Jh 4d 2h,8c7c,1.000,15.96,0.65858,68.7854,42.05,0.66,57.95,0.66
Jh 4d 2h,9c8c,1.000,16.57,0.73562,73.976,53.45,0.74,46.55,0.74
Jh 4d 2h,Tc8c,1.000,15.48,0.63753,68.6255,11.41,0.63,88.59,0.64
Jh 4d 2h,Tc9c,1.000,17.19,0.85528,82.9209,70.53,0.86,29.47,0.85
Jh 4d 2h,Jc8c,1.000,66.86,4.9081,122.355,65.66,4.91,34.34,4.91
Jh 4d 2h,Jc9c,1.000,66.93,4.9064,122.17,61.62,4.91,38.38,4.91
Jh 4d 2h,JcTc,1.000,66.65,4.86006,121.536,95.05,4.86,4.95,4.85
Jh 4d 2h,JcTd,1.000,66.97,4.89674,121.867,91.92,4.90,8.08,4.90
Jh 4d 2h,JcTh,1.000,69.59,5.38509,128.972,91.83,5.39,8.17,5.39
Jh 4d 2h,JcTs,1.000,66.79,4.86867,121.483,94.31,4.87,5.69,4.87
Jh 4d 2h,Qc8c,1.000,15.63,0.7069,75.3647,12.96,0.70,87.04,0.71
Jh 4d 2h,Qc9c,1.000,17.38,0.91949,88.1667,69.11,0.92,30.89,0.92
Jh 4d 2h,QcTc,1.000,18.56,0.944,84.7623,95.03,0.95,4.97,0.92
Jh 4d 2h,QcJc,1.000,72.03,5.72426,132.452,67.33,5.72,32.67,5.72
Jh 4d 2h,QcTd,1.000,18.34,0.9282,84.3279,71.96,0.93,28.04,0.93
Jh 4d 2h,QcJd,1.000,72.35,5.7953,133.503,56.94,5.80,43.06,5.80
Jh 4d 2h,QcTh,1.000,21.58,1.51294,116.873,98.40,1.51,1.60,1.49
Jh 4d 2h,QcTs,1.000,18.27,0.90069,82.1524,49.92,0.90,50.08,0.90
Jh 4d 2h,QcJs,1.000,72.23,5.74667,132.601,67.32,5.75,32.68,5.75
Jh 4d 2h,Kc8c,1.000,16.52,0.68541,69.1483,1.78,0.62,98.22,0.69
Jh 4d 2h,Kc9c,1.000,18.07,0.76055,70.1294,21.74,0.76,78.26,0.76
Jh 4d 2h,KcTc,1.000,19.30,0.81249,70.1581,92.86,0.81,7.14,0.79
Jh 4d 2h,KcJc,1.000,72.19,5.86921,135.497,84.66,5.87,15.34,5.87
Jh 4d 2h,KcQc,1.000,25.40,1.24581,81.7303,95.30,1.25,4.70,1.24
Jh 4d 2h,KcTd,1.000,19.13,0.79562,69.331,61.09,0.80,38.91,0.80
Jh 4d 2h,KcJd,1.000,72.54,5.94856,136.678,79.03,5.95,20.97,5.95
Jh 4d 2h,KcQd,1.000,25.53,1.34645,87.8974,97.01,1.35,2.99,1.34
Jh 4d 2h,KcTh,1.000,22.48,1.32236,98.0276,97.92,1.32,2.08,1.30
Jh 4d 2h,KcQh,1.000,28.98,2.01124,115.668,97.09,2.01,2.91,2.01
Jh 4d 2h,KcTs,1.000,19.03,0.77159,67.5882,29.92,0.77,70.08,0.77
Jh 4d 2h,KcJs,1.000,72.39,5.89374,135.694,83.38,5.89,16.62,5.89
Jh 4d 2h,KcQs,1.000,25.40,1.24505,81.6805,95.20,1.25,4.80,1.24
Jh 4d 2h,Ac2c,1.000,47.48,2.42644,85.1677,77.13,2.43,22.87,2.43
Jh 4d 2h,Ac3c,1.000,35.37,2.79052,131.496,97.86,2.79,2.14,2.77
Jh 4d 2h,Ac4c,1.000,47.65,2.34861,82.1437,54.12,2.35,45.88,2.35
Jh 4d 2h,Ac5c,1.000,35.37,2.7521,129.686,95.49,2.75,4.51,2.75
Jh 4d 2h,Ac6c,1.000,24.38,0.48117,32.8927,34.91,0.48,65.09,0.48
