Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,6c5c,1.000,28.35,2.52177,148.247,87.94,2.57,12.06,2.19
Jh 4d 2h,7c6c,1.000,15.29,0.41169,44.8633,0.53,1.03,99.47,0.41
Jh 4d 2h,8c7c,1.000,15.95,0.3772,39.4066,0.65,1.08,99.35,0.37
Jh 4d 2h,9c8c,1.000,16.57,0.41845,42.0922,2.13,1.00,97.87,0.41
Jh 4d 2h,Tc8c,1.000,15.48,0.38897,41.8809,0.62,0.92,99.38,0.39
Jh 4d 2h,Tc9c,1.000,17.19,0.48153,46.6972,2.02,1.12,97.98,0.47
Jh 4d 2h,Jc8c,1.000,66.84,3.7393,93.2411,66.22,3.53,33.78,4.16
Jh 4d 2h,Jc9c,1.000,66.92,3.79819,94.5988,55.01,3.50,44.99,4.16
Jh 4d 2h,JcTc,1.000,66.63,3.65068,91.318,75.86,3.54,24.14,3.99
Jh 4d 2h,JcTd,1.000,66.95,3.7831,94.1765,69.97,3.68,30.03,4.03
Jh 4d 2h,JcTh,1.000,69.57,4.22872,101.302,68.62,4.04,31.38,4.64
Jh 4d 2h,JcTs,1.000,66.78,3.66847,91.5607,75.33,3.56,24.67,4.00
Jh 4d 2h,Qc8c,1.000,15.63,0.4266,45.4933,1.01,1.26,98.99,0.42
Jh 4d 2h,Qc9c,1.000,17.38,0.63344,60.7536,17.51,1.26,82.49,0.50
Jh 4d 2h,QcTc,1.000,18.56,0.6227,55.9239,18.94,1.19,81.06,0.49
Jh 4d 2h,QcJc,1.000,72.01,4.48652,103.833,65.13,4.19,34.87,5.04
Jh 4d 2h,QcTd,1.000,18.34,0.54415,49.447,4.11,1.31,95.89,0.51
Jh 4d 2h,QcJd,1.000,72.33,4.56322,105.142,63.39,4.24,36.61,5.12
Jh 4d 2h,QcTh,1.000,21.57,1.50242,116.085,86.28,1.60,13.72,0.87
Jh 4d 2h,QcTs,1.000,18.27,0.50499,46.0684,2.32,1.14,97.68,0.49
Jh 4d 2h,QcJs,1.000,72.21,4.51071,104.104,63.56,4.20,36.44,5.06
Jh 4d 2h,Kc8c,1.000,16.52,0.40927,41.3007,0.65,1.20,99.35,0.40
Jh 4d 2h,Kc9c,1.000,18.07,0.4594,42.3715,1.18,1.33,98.82,0.45
Jh 4d 2h,KcTc,1.000,19.30,0.46939,40.5418,1.75,1.37,98.25,0.45
Jh 4d 2h,KcJc,1.000,72.17,4.7299,109.225,79.33,4.63,20.67,5.13
Jh 4d 2h,KcQc,1.000,25.40,1.03569,67.9468,69.30,1.20,30.70,0.67
Jh 4d 2h,KcTd,1.000,19.12,0.48155,41.9734,1.12,1.46,98.88,0.47
Jh 4d 2h,KcJd,1.000,72.52,4.80347,110.397,78.45,4.69,21.55,5.22
Jh 4d 2h,KcQd,1.000,25.53,1.41322,92.2659,86.52,1.52,13.48,0.76
Jh 4d 2h,KcTh,1.000,22.48,1.39602,103.515,70.95,1.69,29.05,0.69
Jh 4d 2h,KcQh,1.000,28.98,1.76084,101.282,86.11,1.82,13.89,1.37
Jh 4d 2h,KcTs,1.000,19.02,0.46296,40.5628,0.91,1.33,99.09,0.46
Jh 4d 2h,KcJs,1.000,72.37,4.76901,109.829,78.66,4.67,21.34,5.15
Jh 4d 2h,KcQs,1.000,25.40,1.03283,67.759,68.76,1.20,31.24,0.67
Jh 4d 2h,Ac2c,1.000,47.47,1.97459,69.3283,85.00,2.05,15.00,1.57
Jh 4d 2h,Ac3c,1.000,35.37,2.38476,112.387,87.82,2.42,12.18,2.10
Jh 4d 2h,Ac4c,1.000,47.64,1.73046,60.5415,51.80,1.93,48.20,1.51
Jh 4d 2h,Ac5c,1.000,35.37,2.3175,109.218,83.11,2.37,16.89,2.04
Jh 4d 2h,Ac6c,1.000,24.38,0.31023,21.2094,0.48,0.94,99.52,0.31
Jh 4d 2h,Ac7c,1.000,24.59,0.29423,19.946,0.39,0.96,99.61,0.29
Jh 4d 2h,Ac8c,1.000,25.17,0.31476,20.8442,0.56,0.98,99.44,0.31
Jh 4d 2h,Ac9c,1.000,25.82,0.33459,21.5988,0.60,1.05,99.40,0.33
Jh 4d 2h,AcTc,1.000,29.95,0.38682,21.5291,0.48,0.95,99.52,0.38
Jh 4d 2h,AcJc,1.000,76.89,5.97308,129.466,75.52,5.77,24.48,6.58
Jh 4d 2h,AcQc,1.000,39.54,0.8688,36.6225,38.13,1.07,61.87,0.75
Jh 4d 2h,AcKc,1.000,46.96,1.38501,49.1579,41.07,1.69,58.93,1.17
Jh 4d 2h,Ac9d,1.000,25.87,0.33886,21.8349,0.48,1.02,99.52,0.34
Jh 4d 2h,AcTd,1.000,30.08,0.39824,22.0662,0.58,1.08,99.42,0.39
Jh 4d 2h,AcJd,1.000,77.08,6.07009,131.249,74.78,5.87,25.22,6.66
Jh 4d 2h,AcQd,1.000,39.70,1.30307,54.7039,75.17,1.46,24.83,0.82
Jh 4d 2h,AcKd,1.000,47.12,1.58356,56.0157,52.12,1.90,47.88,1.24
Jh 4d 2h,Ac9h,1.000,28.60,0.47076,27.435,4.74,1.25,95.26,0.43
Jh 4d 2h,AcTh,1.000,33.29,0.75827,37.9625,23.95,1.37,76.05,0.56
Jh 4d 2h,AcQh,1.000,42.94,1.73166,67.2104,69.51,1.87,30.49,1.41
Jh 4d 2h,AcKh,1.000,50.32,2.28509,75.6919,58.87,2.50,41.13,1.97
Jh 4d 2h,Ac9s,1.000,25.82,0.33462,21.6003,0.60,1.05,99.40,0.33
Jh 4d 2h,AcTs,1.000,29.95,0.38681,21.5289,0.48,0.95,99.52,0.38
Jh 4d 2h,AcJs,1.000,76.89,5.97286,129.461,75.54,5.77,24.46,6.58
Jh 4d 2h,AcQs,1.000,39.54,0.86874,36.6199,38.13,1.07,61.87,0.75
Jh 4d 2h,AcKs,1.000,46.96,1.38503,49.1583,41.06,1.69,58.94,1.17
Jh 4d 2h,2d2c,1.000,90.50,11.9939,220.872,78.82,11.66,21.18,13.24
Jh 4d 2h,3d3c,1.000,42.64,1.74578,68.2372,79.01,1.92,20.99,1.09
