Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 4d 2h,6c5c,0.121,27.96,1.80303,107.464,99.05,1.80,0.88,1.79,0.07,0.00
Jh 4d 2h,7c6c,0.995,15.22,-0.00142,-0.1555,0.13,-1.02,0.01,-0.74,99.86,0.00
Jh 4d 2h,8c7c,0.994,15.77,-0.00138,-0.14618,0.14,-0.90,0.01,-0.84,99.84,0.00
Jh 4d 2h,9c8c,0.979,16.12,-0.00131,-0.13589,0.19,-0.61,0.02,-0.66,99.79,0.00
Jh 4d 2h,Tc8c,0.994,14.68,-0.00132,-0.14972,0.14,-0.89,0.02,-0.63,99.85,0.00
Jh 4d 2h,Tc9c,0.980,16.09,-0.00129,-0.13347,0.19,-0.63,0.02,-0.40,99.79,0.00
Jh 4d 2h,Jc8c,0.338,61.68,3.26718,88.2834,47.67,3.27,52.29,3.27,0.04,0.00
Jh 4d 2h,Jc9c,0.450,61.81,3.30571,89.1334,27.07,3.31,72.89,3.31,0.04,0.00
Jh 4d 2h,JcTc,0.241,61.79,3.10261,83.6909,67.10,3.10,32.86,3.10,0.04,0.00
Jh 4d 2h,JcTd,0.300,61.96,3.12172,83.9664,42.84,3.12,57.11,3.12,0.04,0.00
Jh 4d 2h,JcTh,0.314,64.31,3.99385,103.508,64.67,4.00,35.30,3.99,0.03,0.00
Jh 4d 2h,JcTs,0.247,61.90,3.09089,83.2163,42.44,3.09,57.52,3.09,0.04,0.00
Jh 4d 2h,Qc8c,0.990,14.70,-0.00136,-0.15417,0.22,-0.57,0.02,-0.60,99.76,0.00
Jh 4d 2h,Qc9c,0.825,16.21,-0.00126,-0.12906,0.48,-0.24,0.04,-0.29,99.48,0.00
Jh 4d 2h,QcTc,0.811,16.91,-0.00116,-0.11478,0.40,-0.28,0.05,-0.14,99.55,0.00
Jh 4d 2h,QcJc,0.349,67.07,4.30068,106.878,14.93,4.30,85.04,4.30,0.03,0.00
Jh 4d 2h,QcTd,0.959,16.75,-0.00124,-0.12352,0.41,-0.27,0.06,-0.21,99.53,0.00
Jh 4d 2h,QcJd,0.366,67.36,4.4198,109.365,11.86,4.42,88.11,4.42,0.03,0.00
Jh 4d 2h,QcTh,0.137,19.75,0.22814,19.2479,89.24,0.23,9.68,0.23,1.08,0.00
Jh 4d 2h,QcTs,0.977,16.66,-0.00121,-0.12131,0.33,-0.35,0.04,-0.19,99.63,0.00
Jh 4d 2h,QcJs,0.364,67.07,4.3002,106.852,14.26,4.30,85.71,4.30,0.03,0.00
Jh 4d 2h,Kc8c,0.993,15.63,-0.00135,-0.14361,0.15,-0.83,0.02,-0.73,99.83,0.00
Jh 4d 2h,Kc9c,0.988,16.89,-0.00135,-0.13332,0.18,-0.67,0.02,-0.59,99.79,0.00
Jh 4d 2h,KcTc,0.982,17.63,-0.00125,-0.11862,0.20,-0.59,0.03,-0.30,99.77,0.00
Jh 4d 2h,KcJc,0.207,65.99,4.04901,102.267,20.36,4.05,79.61,4.05,0.03,0.00
Jh 4d 2h,KcQc,0.307,25.25,-0.00056,-0.03704,10.15,0.00,3.58,-0.01,86.27,0.00
Jh 4d 2h,KcTd,0.989,17.71,-0.00131,-0.12343,0.20,-0.62,0.03,-0.36,99.78,0.00
Jh 4d 2h,KcJd,0.216,66.30,4.14192,104.127,12.66,4.14,87.31,4.14,0.03,0.00
Jh 4d 2h,KcQd,0.135,25.73,-0.00143,-0.09239,6.04,-0.01,34.90,0.00,59.06,0.00
Jh 4d 2h,KcTh,0.291,20.49,-0.00074,-0.06048,1.24,-0.06,0.97,0.00,97.79,0.00
Jh 4d 2h,KcQh,0.139,28.93,0.8428,48.5563,89.16,0.84,10.65,0.84,0.19,0.00
Jh 4d 2h,KcTs,0.991,17.32,-0.00128,-0.12363,0.17,-0.68,0.03,-0.36,99.80,0.00
Jh 4d 2h,KcJs,0.213,66.11,4.05783,102.301,16.17,4.06,83.80,4.06,0.03,0.00
Jh 4d 2h,KcQs,0.312,25.25,-0.00057,-0.03759,9.30,0.00,3.53,-0.01,87.17,0.00
Jh 4d 2h,Ac2c,0.150,46.87,0.59272,21.0781,53.36,0.59,46.40,0.59,0.24,0.00
Jh 4d 2h,Ac3c,0.122,36.78,1.71842,77.8762,99.38,1.72,0.59,1.55,0.03,0.00
Jh 4d 2h,Ac4c,0.482,47.00,0.53469,18.9599,0.23,0.50,99.52,0.54,0.25,0.00
Jh 4d 2h,Ac5c,0.169,36.78,1.63498,74.0948,99.28,1.64,0.68,1.53,0.05,0.00
Jh 4d 2h,Ac6c,0.995,26.74,-0.0014,-0.08704,0.12,-1.01,0.02,-0.84,99.86,0.00
Jh 4d 2h,Ac7c,0.996,26.94,-0.00138,-0.08569,0.13,-0.99,0.02,-0.82,99.86,0.00
Jh 4d 2h,Ac8c,0.994,27.27,-0.00134,-0.08217,0.15,-0.82,0.02,-0.82,99.84,0.00
Jh 4d 2h,Ac9c,0.994,27.64,-0.00136,-0.08184,0.15,-0.78,0.02,-0.75,99.83,0.00
Jh 4d 2h,AcTc,0.995,31.70,-0.00134,-0.07026,0.14,-0.83,0.03,-0.50,99.83,0.00
Jh 4d 2h,AcJc,0.245,71.19,6.17649,144.606,56.19,6.18,43.79,6.18,0.02,0.00
Jh 4d 2h,AcQc,0.619,41.39,-0.00005,-0.00209,3.04,0.00,40.07,0.00,56.89,0.00
Jh 4d 2h,AcKc,0.589,46.95,0.11282,4.0052,1.78,0.11,97.17,0.11,1.04,0.00
Jh 4d 2h,Ac9d,0.995,27.69,-0.00136,-0.08214,0.15,-0.78,0.02,-0.75,99.82,0.00
Jh 4d 2h,AcTd,0.994,32.17,-0.0013,-0.06712,0.17,-0.65,0.04,-0.45,99.79,0.00
Jh 4d 2h,AcJd,0.252,71.39,6.24136,145.704,52.62,6.24,47.36,6.24,0.02,0.00
Jh 4d 2h,AcQd,0.248,41.27,0.01791,0.72343,14.72,0.02,69.19,0.02,16.09,0.00
Jh 4d 2h,AcKd,0.479,47.20,0.21768,7.68723,6.16,0.22,93.19,0.22,0.65,0.00
Jh 4d 2h,Ac9h,0.953,30.30,-0.00134,-0.07345,0.22,-0.51,0.05,-0.48,99.73,0.00
Jh 4d 2h,AcTh,0.760,34.48,-0.00111,-0.05384,0.41,-0.16,0.28,-0.17,99.31,0.00
Jh 4d 2h,AcQh,0.305,44.99,0.88563,32.8094,23.52,0.89,76.30,0.89,0.18,0.00
Jh 4d 2h,AcKh,0.411,50.76,1.27105,41.7369,24.29,1.27,75.60,1.27,0.11,0.00
Jh 4d 2h,Ac9s,0.994,27.64,-0.00136,-0.08184,0.15,-0.78,0.02,-0.75,99.83,0.00
Jh 4d 2h,AcTs,0.995,31.70,-0.00134,-0.07027,0.14,-0.83,0.03,-0.50,99.83,0.00
Jh 4d 2h,AcJs,0.245,71.19,6.17644,144.605,56.12,6.18,43.86,6.18,0.02,0.00
Jh 4d 2h,AcQs,0.619,41.39,-0.00005,-0.00185,3.04,0.00,40.08,0.00,56.89,0.00
Jh 4d 2h,AcKs,0.589,46.95,0.11282,4.00525,1.75,0.11,97.21,0.11,1.04,0.00
Jh 4d 2h,2d2c,0.212,87.27,15.3916,293.946,99.89,15.39,0.10,15.37,0.01,0.00
Jh 4d 2h,3d3c,0.210,41.98,0.03056,1.21306,36.11,0.04,49.47,0.04,14.41,0.00
Jh 4d 2h,5d5c,0.245,42.47,0.05186,2.03515,45.79,0.06,47.97,0.06,6.24,0.00
Jh 4d 2h,6d6c,0.573,43.88,-0.00169,-0.06432,0.88,-0.17,25.08,0.00,74.05,0.00
Jh 4d 2h,6d5d,0.206,30.95,2.39333,128.867,94.48,2.39,5.46,2.39,0.06,0.00
Jh 4d 2h,7d7c,0.635,46.82,-0.00048,-0.01707,1.43,-0.08,79.86,0.00,18.71,0.00
Jh 4d 2h,7d6d,0.919,18.89,-0.00133,-0.11738,0.25,-0.45,0.07,-0.27,99.68,0.00
Jh 4d 2h,8d8c,0.513,49.42,0.26446,8.91854,14.95,0.26,84.38,0.27,0.67,0.00
Jh 4d 2h,8d7d,0.951,19.45,-0.00127,-0.10864,0.32,-0.35,0.04,-0.33,99.64,0.00
Jh 4d 2h,9d9c,0.264,51.50,0.66896,21.6507,42.31,0.67,57.46,0.67,0.23,0.00
Jh 4d 2h,9d8d,0.791,19.82,-0.00099,-0.08288,0.64,-0.13,0.09,-0.18,99.28,0.00
Jh 4d 2h,TdTc,0.430,53.49,0.88745,27.653,0.06,0.67,99.78,0.89,0.16,0.00
Jh 4d 2h,Td8d,0.907,18.47,-0.00115,-0.10342,0.40,-0.26,0.06,-0.20,99.54,0.00
Jh 4d 2h,Td9d,0.159,19.82,0.00238,0.19997,1.39,0.00,36.59,0.01,62.02,0.00
Jh 4d 2h,JdTc,0.300,62.27,3.22335,86.2772,57.37,3.22,42.58,3.22,0.04,0.00
Jh 4d 2h,JdJc,0.373,93.34,19.3513,345.517,95.80,19.35,4.20,19.35,0.00,0.00
Jh 4d 2h,Jd8d,0.434,63.99,4.20208,109.452,48.25,4.20,51.72,4.20,0.03,0.00
Jh 4d 2h,Jd9d,0.418,63.98,4.21289,109.749,39.88,4.21,60.09,4.21,0.03,0.00
