Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 4d 2h,6c5c,0.121,28.35,3.29544,193.729,99.05,3.31,0.88,2.07,0.07,0.00
Jh 4d 2h,7c6c,0.995,15.29,-0.00007,-0.00763,0.13,-0.02,0.01,-0.34,99.86,0.00
Jh 4d 2h,8c7c,0.994,15.95,-0.00082,-0.08611,0.14,-0.53,0.01,-0.54,99.84,0.00
Jh 4d 2h,9c8c,0.979,16.57,-0.00013,-0.01277,0.19,-0.04,0.02,-0.27,99.79,0.00
Jh 4d 2h,Tc8c,0.994,15.48,-0.00044,-0.0472,0.14,-0.29,0.02,-0.26,99.85,0.00
Jh 4d 2h,Tc9c,0.980,17.19,0.00018,0.01727,0.19,0.09,0.02,0.04,99.79,0.00
Jh 4d 2h,Jc8c,0.338,66.84,5.14029,128.175,47.67,5.75,52.29,4.59,0.04,0.00
Jh 4d 2h,Jc9c,0.450,66.92,4.95457,123.4,27.07,5.88,72.89,4.61,0.04,0.00
Jh 4d 2h,JcTc,0.241,66.63,5.29605,132.475,67.10,5.78,32.86,4.31,0.04,0.00
Jh 4d 2h,JcTd,0.300,66.95,4.59223,114.319,42.84,4.93,57.11,4.35,0.04,0.00
Jh 4d 2h,JcTh,0.314,69.57,5.97442,143.121,64.67,6.36,35.30,5.27,0.03,0.00
Jh 4d 2h,JcTs,0.247,66.78,4.68635,116.966,42.44,5.21,57.52,4.30,0.04,0.00
Jh 4d 2h,Qc8c,0.990,15.63,0.00026,0.02783,0.22,0.14,0.02,-0.31,99.76,0.00
Jh 4d 2h,Qc9c,0.825,17.38,0.00295,0.28264,0.48,0.60,0.04,0.13,99.48,0.00
Jh 4d 2h,QcTc,0.811,18.56,0.00239,0.21421,0.40,0.55,0.05,0.35,99.55,0.00
Jh 4d 2h,QcJc,0.349,72.01,5.94625,137.616,14.93,7.14,85.04,5.74,0.03,0.00
Jh 4d 2h,QcTd,0.959,18.34,0.00275,0.24994,0.41,0.63,0.06,0.31,99.53,0.00
Jh 4d 2h,QcJd,0.366,72.33,5.97448,137.659,11.86,7.17,88.11,5.82,0.03,0.00
Jh 4d 2h,QcTh,0.137,21.57,1.4152,109.346,89.24,1.50,9.68,0.83,1.08,0.00
Jh 4d 2h,QcTs,0.977,18.27,0.00168,0.15289,0.33,0.48,0.04,0.29,99.63,0.00
Jh 4d 2h,QcJs,0.364,72.21,5.95703,137.484,14.26,7.14,85.71,5.76,0.03,0.00
Jh 4d 2h,Kc8c,0.993,16.52,-0.00066,-0.06617,0.15,-0.39,0.02,-0.50,99.83,0.00
Jh 4d 2h,Kc9c,0.988,18.07,-0.00011,-0.00985,0.18,-0.03,0.02,-0.26,99.79,0.00
Jh 4d 2h,KcTc,0.982,19.30,0.00038,0.03261,0.20,0.18,0.03,0.07,99.77,0.00
Jh 4d 2h,KcJc,0.207,72.17,5.98767,138.27,20.36,6.35,79.61,5.90,0.03,0.00
Jh 4d 2h,KcQc,0.307,25.40,0.25148,16.4982,10.15,2.35,3.58,0.35,86.27,0.00
Jh 4d 2h,KcTd,0.989,19.12,0.00048,0.04183,0.20,0.24,0.03,0.02,99.78,0.00
Jh 4d 2h,KcJd,0.216,72.52,6.02728,138.524,12.66,6.32,87.31,5.99,0.03,0.00
Jh 4d 2h,KcQd,0.135,25.53,0.26847,17.528,6.04,2.40,34.90,0.35,59.06,0.00
Jh 4d 2h,KcTh,0.291,22.48,0.02205,1.63469,1.24,1.30,0.97,0.61,97.79,0.00
Jh 4d 2h,KcQh,0.139,28.98,2.5614,147.33,89.16,2.71,10.65,1.34,0.19,0.00
Jh 4d 2h,KcTs,0.991,19.02,0.00013,0.0116,0.17,0.07,0.03,0.01,99.80,0.00
Jh 4d 2h,KcJs,0.213,72.37,5.98477,137.828,16.17,6.31,83.80,5.92,0.03,0.00
Jh 4d 2h,KcQs,0.312,25.40,0.23128,15.173,9.30,2.35,3.53,0.35,87.17,0.00
Jh 4d 2h,Ac2c,0.150,47.47,1.65892,58.245,53.36,2.02,46.40,1.25,0.24,0.00
Jh 4d 2h,Ac3c,0.122,35.37,2.99051,140.935,99.38,3.00,0.59,1.88,0.03,0.00
Jh 4d 2h,Ac4c,0.482,47.64,1.11728,39.089,0.23,1.80,99.52,1.12,0.25,0.00
Jh 4d 2h,Ac5c,0.169,35.37,2.55299,120.316,99.28,2.56,0.68,1.89,0.05,0.00
Jh 4d 2h,Ac6c,0.995,24.38,-0.00026,-0.0179,0.12,-0.11,0.02,-0.74,99.86,0.00
