Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
8h 4d 2h,6c5c,0.996,41.98,3.84694,152.742,48.35,3.85,51.62,3.85,0.03,0.00
8h 4d 2h,7c6c,0.998,31.16,1.46755,78.5021,1.63,1.47,98.29,1.47,0.09,0.00
8h 4d 2h,8c7c,0.998,63.24,3.8235,100.77,0.34,3.80,99.63,3.82,0.03,0.00
8h 4d 2h,9c7c,0.999,19.84,-0.00077,-0.06459,0.46,-0.10,0.13,-0.22,99.41,0.00
8h 4d 2h,9c8c,0.998,64.22,3.9823,103.353,8.86,3.98,91.11,3.98,0.03,0.00
8h 4d 2h,Tc7c,0.999,19.49,-0.00094,-0.07998,0.29,-0.22,0.11,-0.26,99.60,0.00
8h 4d 2h,Tc8c,0.998,64.90,4.27616,109.808,0.86,4.28,99.12,4.28,0.03,0.00
8h 4d 2h,Tc9c,0.999,19.55,-0.0008,-0.06854,0.44,-0.15,0.16,-0.10,99.40,0.00
8h 4d 2h,Jc8c,0.997,65.30,4.42701,112.991,4.19,4.43,95.78,4.43,0.03,0.00
8h 4d 2h,Jc9c,0.999,18.61,-0.00101,-0.09044,0.22,-0.34,0.08,-0.32,99.70,0.00
8h 4d 2h,JcTc,0.999,19.52,-0.00107,-0.09165,0.18,-0.46,0.07,-0.33,99.75,0.00
8h 4d 2h,JcTd,0.999,19.55,-0.00112,-0.09587,0.16,-0.52,0.07,-0.41,99.77,0.00
8h 4d 2h,JcTh,0.998,22.66,-0.00004,-0.00293,4.83,0.00,9.87,0.00,85.31,0.00
8h 4d 2h,JcTs,0.999,19.45,-0.00108,-0.09247,0.18,-0.48,0.07,-0.34,99.75,0.00
8h 4d 2h,Qc6c,0.999,21.11,-0.00106,-0.08374,0.19,-0.41,0.08,-0.37,99.73,0.00
8h 4d 2h,Qc7c,0.999,20.08,-0.00107,-0.08892,0.16,-0.49,0.06,-0.49,99.78,0.00
8h 4d 2h,Qc8c,0.998,65.34,4.46861,113.989,4.05,4.47,95.92,4.47,0.03,0.00
8h 4d 2h,Qc9c,0.999,20.22,-0.00104,-0.08533,0.19,-0.41,0.07,-0.38,99.74,0.00
8h 4d 2h,QcTc,0.999,21.24,-0.00107,-0.08421,0.17,-0.49,0.07,-0.33,99.76,0.00
8h 4d 2h,QcJc,0.999,24.21,-0.00108,-0.07413,0.16,-0.50,0.08,-0.31,99.75,0.00
8h 4d 2h,QcTd,0.999,21.29,-0.00111,-0.08719,0.16,-0.54,0.07,-0.40,99.78,0.00
