Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
8h 4d 2h,6c5c,0.996,42.01,3.86461,153.338,48.35,3.87,51.62,3.86,0.03,0.00
8h 4d 2h,7c6c,0.998,31.19,1.47818,78.9979,1.63,1.52,98.29,1.48,0.09,0.00
8h 4d 2h,8c7c,0.998,63.32,3.8512,101.371,0.34,3.84,99.63,3.85,0.03,0.00
8h 4d 2h,9c7c,0.999,19.86,-0.00061,-0.05152,0.46,-0.07,0.13,-0.21,99.41,0.00
8h 4d 2h,9c8c,0.998,64.30,4.0088,103.91,8.86,4.02,91.11,4.01,0.03,0.00
8h 4d 2h,Tc7c,0.999,19.51,-0.00084,-0.0715,0.29,-0.19,0.11,-0.25,99.60,0.00
8h 4d 2h,Tc8c,0.998,64.98,4.29909,110.261,0.86,4.31,99.12,4.30,0.03,0.00
8h 4d 2h,Tc9c,0.999,19.58,-0.00066,-0.05591,0.44,-0.12,0.16,-0.09,99.40,0.00
8h 4d 2h,Jc8c,0.997,65.38,4.45323,113.523,4.19,4.47,95.78,4.45,0.03,0.00
8h 4d 2h,Jc9c,0.999,18.63,-0.00093,-0.08335,0.22,-0.31,0.08,-0.31,99.70,0.00
8h 4d 2h,JcTc,0.999,19.53,-0.00101,-0.0861,0.18,-0.43,0.07,-0.32,99.75,0.00
8h 4d 2h,JcTd,0.999,19.56,-0.00107,-0.09079,0.16,-0.49,0.07,-0.40,99.77,0.00
8h 4d 2h,JcTh,0.998,22.67,0.00225,0.16564,4.83,0.03,9.87,0.01,85.31,0.00
8h 4d 2h,JcTs,0.999,19.47,-0.00102,-0.08711,0.18,-0.45,0.07,-0.33,99.75,0.00
8h 4d 2h,Qc6c,0.999,21.12,-0.001,-0.07873,0.19,-0.38,0.08,-0.36,99.73,0.00
8h 4d 2h,Qc7c,0.999,20.10,-0.00102,-0.08435,0.16,-0.46,0.06,-0.48,99.78,0.00
8h 4d 2h,Qc8c,0.998,65.41,4.49368,114.492,4.05,4.51,95.92,4.49,0.03,0.00
8h 4d 2h,Qc9c,0.999,20.24,-0.00097,-0.07952,0.19,-0.38,0.07,-0.37,99.74,0.00
8h 4d 2h,QcTc,0.999,21.24,-0.00101,-0.07933,0.17,-0.45,0.07,-0.32,99.76,0.00
8h 4d 2h,QcJc,0.999,24.21,-0.00102,-0.0699,0.16,-0.46,0.08,-0.30,99.75,0.00
8h 4d 2h,QcTd,0.999,21.29,-0.00106,-0.0826,0.16,-0.51,0.07,-0.39,99.78,0.00
8h 4d 2h,QcJd,0.999,24.32,-0.00105,-0.07212,0.16,-0.46,0.08,-0.37,99.75,0.00
8h 4d 2h,QcTh,0.999,24.46,0.00206,0.14024,3.62,0.03,10.22,0.01,86.17,0.00
8h 4d 2h,QcJh,0.999,27.63,0.00635,0.3832,3.28,0.04,61.90,0.01,34.81,0.00
8h 4d 2h,QcTs,0.999,21.18,-0.00102,-0.08018,0.17,-0.47,0.07,-0.33,99.76,0.00
8h 4d 2h,QcJs,0.999,24.21,-0.00102,-0.06995,0.16,-0.46,0.08,-0.30,99.75,0.00
8h 4d 2h,Kc2c,0.999,55.27,2.27125,68.4924,1.67,2.29,98.28,2.27,0.06,0.00
8h 4d 2h,Kc3c,0.999,25.64,-0.00106,-0.0691,0.13,-0.56,0.05,-0.60,99.81,0.00
8h 4d 2h,Kc4c,0.999,58.16,2.65678,76.1325,0.02,2.33,99.93,2.66,0.05,0.00
8h 4d 2h,Kc5c,0.999,27.18,-0.00091,-0.05577,0.25,-0.22,0.11,-0.34,99.65,0.00
8h 4d 2h,Kc6c,0.999,26.91,-0.00101,-0.06252,0.19,-0.38,0.08,-0.35,99.73,0.00
8h 4d 2h,Kc7c,0.999,26.07,-0.00102,-0.06519,0.16,-0.45,0.06,-0.48,99.78,0.00
8h 4d 2h,Kc8c,0.998,65.40,4.15564,105.895,6.80,4.17,93.17,4.16,0.03,0.00
8h 4d 2h,Kc9c,0.999,25.32,-0.00103,-0.06785,0.15,-0.53,0.06,-0.45,99.80,0.00
8h 4d 2h,KcTc,0.999,26.52,-0.00104,-0.06529,0.15,-0.55,0.06,-0.36,99.79,0.00
8h 4d 2h,KcJc,0.999,29.60,-0.00104,-0.05865,0.14,-0.54,0.08,-0.31,99.77,0.00
8h 4d 2h,KcQc,0.999,33.57,-0.00003,-0.00153,0.23,-0.37,27.98,0.00,71.79,0.00
8h 4d 2h,Kc8d,0.998,65.49,4.21131,107.174,1.85,4.23,98.12,4.21,0.03,0.00
8h 4d 2h,Kc9d,0.999,25.37,-0.00109,-0.07138,0.14,-0.58,0.05,-0.53,99.81,0.00
8h 4d 2h,KcTd,0.999,26.59,-0.00108,-0.06763,0.14,-0.60,0.06,-0.41,99.80,0.00
8h 4d 2h,KcJd,0.999,29.72,-0.00107,-0.06028,0.15,-0.52,0.08,-0.38,99.77,0.00
8h 4d 2h,KcQd,0.999,33.70,-0.00097,-0.04809,0.19,-0.33,2.33,-0.01,97.48,0.00
8h 4d 2h,Kc9h,0.999,28.23,-0.00032,-0.01885,0.60,0.01,0.24,-0.17,99.16,0.00
8h 4d 2h,KcTh,0.999,29.72,-0.00008,-0.00457,0.73,-0.02,1.84,0.01,97.43,0.00
8h 4d 2h,KcJh,0.999,33.02,0.01219,0.61552,1.69,0.06,80.07,0.01,18.24,0.00
8h 4d 2h,KcQh,0.999,37.14,0.37207,16.696,0.04,0.41,99.59,0.37,0.37,0.00
8h 4d 2h,Kc8s,0.998,65.40,4.15577,105.899,6.86,4.17,93.11,4.16,0.03,0.00
8h 4d 2h,Kc9s,0.999,25.27,-0.00104,-0.06835,0.14,-0.55,0.05,-0.46,99.80,0.00
8h 4d 2h,KcTs,0.999,26.46,-0.00104,-0.0658,0.14,-0.57,0.06,-0.36,99.79,0.00
8h 4d 2h,KcJs,0.999,29.60,-0.00104,-0.05865,0.14,-0.54,0.08,-0.31,99.77,0.00
8h 4d 2h,KcQs,0.999,33.57,-0.00002,-0.00117,0.23,-0.37,27.93,0.00,71.84,0.00
8h 4d 2h,Ac2c,0.999,56.93,1.92593,56.3785,1.01,1.94,98.92,1.93,0.07,0.00
8h 4d 2h,Ac3c,0.999,43.41,0.68036,26.1216,2.45,0.70,97.35,0.68,0.20,0.00
8h 4d 2h,Ac4c,0.999,59.64,2.34702,65.5857,0.02,2.08,99.92,2.35,0.05,0.00
8h 4d 2h,Ac5c,0.999,45.30,1.06822,39.2983,0.04,1.09,99.84,1.07,0.12,0.00
8h 4d 2h,Ac6c,0.999,37.15,-0.00107,-0.04817,0.15,-0.45,0.08,-0.53,99.78,0.00
8h 4d 2h,Ac7c,0.999,37.91,-0.00106,-0.04645,0.15,-0.42,0.08,-0.53,99.77,0.00
