Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
8h 4d 2h,6c5c,0.996,41.98,4.14759,164.679,48.35,4.47,51.62,3.85,0.03,0.00
8h 4d 2h,7c6c,0.998,31.16,1.46443,78.3354,1.63,1.28,98.29,1.47,0.09,0.00
8h 4d 2h,8c7c,0.998,63.24,3.8228,100.752,0.34,3.59,99.63,3.82,0.03,0.00
8h 4d 2h,9c7c,0.999,19.84,0.00557,0.46834,0.46,1.28,0.13,-0.22,99.41,0.00
8h 4d 2h,9c8c,0.998,64.22,3.99322,103.636,8.86,4.11,91.11,3.98,0.03,0.00
8h 4d 2h,Tc7c,0.999,19.49,0.00311,0.26564,0.29,1.16,0.11,-0.26,99.60,0.00
8h 4d 2h,Tc8c,0.998,64.90,4.27689,109.826,0.86,4.36,99.12,4.28,0.03,0.00
8h 4d 2h,Tc9c,0.999,19.55,0.0053,0.45151,0.44,1.25,0.16,-0.10,99.40,0.00
8h 4d 2h,Jc8c,0.997,65.30,4.42502,112.94,4.19,4.38,95.78,4.43,0.03,0.00
8h 4d 2h,Jc9c,0.999,18.61,0.00211,0.18918,0.22,1.08,0.08,-0.32,99.70,0.00
8h 4d 2h,JcTc,0.999,19.52,0.00131,0.11164,0.18,0.85,0.07,-0.33,99.75,0.00
8h 4d 2h,JcTd,0.999,19.55,0.00099,0.08422,0.16,0.76,0.07,-0.41,99.77,0.00
8h 4d 2h,JcTh,0.998,22.66,0.06571,4.83351,4.83,1.36,9.87,0.00,85.31,0.00
8h 4d 2h,JcTs,0.999,19.45,0.00122,0.10488,0.18,0.83,0.07,-0.34,99.75,0.00
8h 4d 2h,Qc6c,0.999,21.11,0.0022,0.17345,0.19,1.30,0.08,-0.37,99.73,0.00
8h 4d 2h,Qc7c,0.999,20.08,0.00142,0.11793,0.16,1.07,0.06,-0.49,99.78,0.00
8h 4d 2h,Qc8c,0.998,65.34,4.46232,113.828,4.05,4.31,95.92,4.47,0.03,0.00
8h 4d 2h,Qc9c,0.999,20.22,0.00162,0.13339,0.19,1.00,0.07,-0.38,99.74,0.00
8h 4d 2h,QcTc,0.999,21.24,0.00105,0.0825,0.17,0.75,0.07,-0.33,99.76,0.00
8h 4d 2h,QcJc,0.999,24.21,0.00093,0.06407,0.16,0.73,0.08,-0.31,99.75,0.00
8h 4d 2h,QcTd,0.999,21.29,0.00074,0.05776,0.16,0.64,0.07,-0.40,99.78,0.00
8h 4d 2h,QcJd,0.999,24.32,0.00074,0.05101,0.16,0.66,0.08,-0.38,99.75,0.00
8h 4d 2h,QcTh,0.999,24.45,0.04388,2.99111,3.62,1.21,10.22,0.00,86.17,0.00
8h 4d 2h,QcJh,0.999,27.63,0.03419,2.06262,3.28,1.02,61.90,0.00,34.81,0.00
8h 4d 2h,QcTs,0.999,21.18,0.00099,0.07755,0.17,0.73,0.07,-0.33,99.76,0.00
