Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
8h 4d 2h,6c5c,0.996,41.98,3.57318,141.873,48.35,3.28,51.62,3.85,0.03,0.00
8h 4d 2h,7c6c,0.998,31.16,1.48824,79.6091,1.63,2.74,98.29,1.47,0.09,0.00
8h 4d 2h,8c7c,0.998,63.24,3.8299,100.939,0.34,5.68,99.63,3.82,0.03,0.00
8h 4d 2h,9c7c,0.999,19.84,-0.00966,-0.81171,0.46,-2.05,0.13,-0.22,99.41,0.00
8h 4d 2h,9c8c,0.998,64.22,4.04307,104.93,8.86,4.67,91.11,3.98,0.03,0.00
8h 4d 2h,Tc7c,0.999,19.49,-0.00699,-0.59804,0.29,-2.30,0.11,-0.26,99.60,0.00
8h 4d 2h,Tc8c,0.998,64.90,4.28253,109.971,0.86,5.02,99.12,4.28,0.03,0.00
8h 4d 2h,Tc9c,0.999,19.55,-0.0091,-0.7754,0.44,-2.05,0.16,-0.10,99.40,0.00
8h 4d 2h,Jc8c,0.997,65.30,4.4939,114.698,4.19,6.02,95.78,4.43,0.03,0.00
8h 4d 2h,Jc9c,0.999,18.61,-0.00523,-0.46824,0.22,-2.26,0.08,-0.32,99.70,0.00
8h 4d 2h,JcTc,0.999,19.52,-0.00485,-0.41384,0.18,-2.53,0.07,-0.33,99.75,0.00
8h 4d 2h,JcTd,0.999,19.55,-0.00474,-0.40397,0.16,-2.72,0.07,-0.41,99.77,0.00
8h 4d 2h,JcTh,0.998,22.66,-0.1172,-8.62119,4.83,-2.43,9.87,0.00,85.31,0.00
8h 4d 2h,JcTs,0.999,19.45,-0.00474,-0.40596,0.18,-2.55,0.07,-0.34,99.75,0.00
8h 4d 2h,Qc6c,0.999,21.11,-0.00483,-0.38148,0.19,-2.39,0.08,-0.37,99.73,0.00
8h 4d 2h,Qc7c,0.999,20.08,-0.0044,-0.36493,0.16,-2.58,0.06,-0.49,99.78,0.00
8h 4d 2h,Qc8c,0.998,65.34,4.50943,115.03,4.05,5.48,95.92,4.47,0.03,0.00
8h 4d 2h,Qc9c,0.999,20.22,-0.0043,-0.35433,0.19,-2.14,0.07,-0.38,99.74,0.00
8h 4d 2h,QcTc,0.999,21.24,-0.00453,-0.35512,0.17,-2.48,0.07,-0.33,99.76,0.00
8h 4d 2h,QcJc,0.999,24.21,-0.00455,-0.31354,0.16,-2.62,0.08,-0.31,99.75,0.00
8h 4d 2h,QcTd,0.999,21.29,-0.00447,-0.34976,0.16,-2.67,0.07,-0.40,99.78,0.00
8h 4d 2h,QcJd,0.999,24.32,-0.00451,-0.30915,0.16,-2.60,0.08,-0.38,99.75,0.00
8h 4d 2h,QcTh,0.999,24.45,-0.0838,-5.71181,3.62,-2.32,10.22,0.00,86.17,0.00
8h 4d 2h,QcJh,0.999,27.63,-0.05278,-3.18397,3.28,-1.63,61.90,0.00,34.81,0.00
8h 4d 2h,QcTs,0.999,21.18,-0.00444,-0.34911,0.17,-2.51,0.07,-0.33,99.76,0.00
8h 4d 2h,QcJs,0.999,24.21,-0.00455,-0.31344,0.16,-2.62,0.08,-0.31,99.75,0.00
8h 4d 2h,Kc2c,0.999,55.19,2.24076,67.6706,1.67,1.47,98.28,2.26,0.06,0.00
8h 4d 2h,Kc3c,0.999,25.64,-0.00374,-0.24306,0.13,-2.60,0.05,-0.61,99.81,0.00
8h 4d 2h,Kc4c,0.999,58.07,2.63716,75.6843,0.02,1.92,99.93,2.64,0.05,0.00
8h 4d 2h,Kc5c,0.999,27.19,-0.0061,-0.37379,0.25,-2.32,0.11,-0.35,99.65,0.00
8h 4d 2h,Kc6c,0.999,26.91,-0.0047,-0.29139,0.19,-2.34,0.08,-0.36,99.73,0.00
8h 4d 2h,Kc7c,0.999,26.07,-0.00433,-0.27658,0.16,-2.53,0.06,-0.48,99.78,0.00
8h 4d 2h,Kc8c,0.998,65.32,4.17782,106.592,6.80,4.84,93.17,4.13,0.03,0.00
8h 4d 2h,Kc9c,0.999,25.33,-0.0037,-0.24375,0.15,-2.33,0.06,-0.46,99.80,0.00
8h 4d 2h,KcTc,0.999,26.53,-0.00412,-0.25897,0.15,-2.63,0.06,-0.36,99.79,0.00
8h 4d 2h,KcJc,0.999,29.61,-0.00408,-0.22982,0.14,-2.64,0.08,-0.31,99.77,0.00
8h 4d 2h,KcQc,0.999,33.59,-0.0054,-0.26804,0.23,-2.27,27.98,0.00,71.79,0.00
8h 4d 2h,Kc8d,0.998,65.41,4.20957,107.261,1.85,5.44,98.12,4.19,0.03,0.00
8h 4d 2h,Kc9d,0.999,25.38,-0.00389,-0.25525,0.14,-2.59,0.05,-0.54,99.81,0.00
8h 4d 2h,KcTd,0.999,26.60,-0.00401,-0.25156,0.14,-2.71,0.06,-0.41,99.80,0.00
8h 4d 2h,KcJd,0.999,29.73,-0.00403,-0.22573,0.15,-2.54,0.08,-0.38,99.77,0.00
8h 4d 2h,KcQd,0.999,33.71,-0.00493,-0.24374,0.19,-2.35,2.33,-0.02,97.48,0.00
8h 4d 2h,Kc9h,0.999,28.23,-0.01325,-0.7824,0.60,-2.13,0.24,-0.18,99.16,0.00
8h 4d 2h,KcTh,0.999,29.73,-0.01786,-1.00122,0.73,-2.43,1.84,-0.01,97.43,0.00
8h 4d 2h,KcJh,0.999,33.03,0.02379,1.20033,1.69,1.03,80.07,0.01,18.24,0.00
