Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
6h 4d 2h,2c,6c5c,0.988,70.69,10.2012,120.251,4.20,10.16,95.30,10.20,0.50,9.99
6h 4d 2h,2c,7c5c,0.821,26.75,5.45568,169.951,74.32,5.46,16.62,5.45,9.06,5.43
6h 4d 2h,2c,7c6c,0.531,69.38,9.3595,112.422,0.62,8.97,96.86,9.36,2.52,9.35
6h 4d 2h,2c,8c6c,0.423,69.49,9.39853,112.701,0.62,9.00,13.81,9.40,85.57,9.40
6h 4d 2h,2c,8c7c,0.570,19.52,3.68289,157.238,96.44,3.69,1.06,3.57,2.50,3.60
6h 4d 2h,2c,9c6c,0.579,69.69,9.4528,113.034,0.58,9.05,43.66,9.46,55.75,9.45
6h 4d 2h,2c,9c7c,0.229,10.73,1.58185,122.815,1.91,1.49,4.39,1.57,93.71,1.58
6h 4d 2h,2c,9c8c,0.474,10.80,1.54165,118.974,4.38,1.52,14.44,1.54,81.18,1.54
6h 4d 2h,2c,9c8d,0.633,10.81,1.54248,118.858,2.81,1.52,4.98,1.54,92.21,1.54
6h 4d 2h,2c,9c8h,0.790,10.99,1.60426,121.608,9.53,1.60,38.73,1.61,51.74,1.60
6h 4d 2h,2c,9c8s,0.475,10.80,1.54188,118.992,4.37,1.52,14.26,1.54,81.36,1.54
6h 4d 2h,2c,Tc7c,0.286,10.82,1.59465,122.855,2.36,1.49,11.19,1.59,86.45,1.60
6h 4d 2h,2c,Tc8c,0.556,10.88,1.55987,119.453,4.83,1.51,19.75,1.56,75.42,1.56
6h 4d 2h,2c,Tc9c,0.586,11.03,1.5998,120.827,12.90,1.59,41.67,1.60,45.43,1.60
6h 4d 2h,2c,Tc8d,0.754,10.90,1.5593,119.226,3.08,1.52,6.16,1.56,90.76,1.56
6h 4d 2h,2c,Tc9d,0.807,10.96,1.59336,121.17,7.24,1.58,15.36,1.59,77.40,1.60
6h 4d 2h,2c,Tc8h,0.861,11.08,1.62295,122.078,11.38,1.61,62.12,1.62,26.50,1.62
6h 4d 2h,2c,Tc9h,0.922,11.16,1.65447,123.508,13.61,1.65,37.68,1.66,48.71,1.66
6h 4d 2h,2c,Tc8s,0.557,10.88,1.56015,119.474,4.84,1.51,19.87,1.56,75.30,1.56
6h 4d 2h,2c,Tc9s,0.586,11.03,1.59987,120.832,12.90,1.59,41.53,1.60,45.57,1.60
6h 4d 2h,2c,Jc7c,0.604,11.50,1.6329,118.367,3.94,1.57,35.70,1.64,60.37,1.64
6h 4d 2h,2c,Jc8c,0.724,11.77,1.58719,112.35,17.48,1.58,35.41,1.59,47.11,1.59
6h 4d 2h,2c,Jc9c,0.108,12.04,1.68102,116.38,62.66,1.69,22.40,1.68,14.94,1.66
6h 4d 2h,2c,JcTc,0.134,12.53,1.7136,113.949,79.75,1.72,9.85,1.71,10.39,1.69
6h 4d 2h,2c,Jc8d,0.698,11.77,1.5863,112.278,8.25,1.58,20.04,1.58,71.71,1.59
6h 4d 2h,2c,Jc9d,0.267,11.84,1.66066,116.885,28.83,1.67,39.06,1.66,32.11,1.65
6h 4d 2h,2c,JcTd,0.490,12.36,1.6933,114.189,57.93,1.69,26.12,1.70,15.94,1.69
6h 4d 2h,2c,Jc8h,0.922,11.91,1.67196,117.025,22.50,1.68,65.93,1.67,11.56,1.65
6h 4d 2h,2c,Jc9h,0.885,11.92,1.71727,120.063,41.74,1.72,41.78,1.72,16.48,1.71
6h 4d 2h,2c,JcTh,0.825,12.58,1.7408,115.324,45.77,1.74,28.99,1.74,25.24,1.74
6h 4d 2h,2c,Jc8s,0.504,11.77,1.5878,112.393,17.23,1.58,35.22,1.59,47.55,1.59
