Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
6h 4d 2h,2c,6c5c,0.988,66.45,9.6393,120.889,4.20,9.66,95.30,9.64,0.50,9.37
6h 4d 2h,2c,7c5c,0.821,26.18,3.82528,121.77,74.32,3.72,16.62,3.74,9.06,4.81
6h 4d 2h,2c,7c6c,0.531,64.74,8.64411,111.261,0.62,8.13,96.86,8.65,2.52,8.37
6h 4d 2h,2c,8c6c,0.423,64.90,8.43733,108.333,0.62,8.18,13.81,8.71,85.57,8.40
6h 4d 2h,2c,8c7c,0.570,18.75,1.36065,60.4863,96.44,1.32,1.06,1.23,2.50,2.80
6h 4d 2h,2c,9c6c,0.579,65.10,8.59067,109.976,0.58,8.27,43.66,8.80,55.75,8.43
6h 4d 2h,2c,9c7c,0.229,10.16,0.69273,56.8299,1.91,-1.41,4.39,-1.11,93.71,0.82
6h 4d 2h,2c,9c8c,0.474,10.26,0.67773,55.0269,4.38,-1.37,14.44,-1.13,81.18,1.11
6h 4d 2h,2c,9c8d,0.633,10.26,1.04602,84.9358,2.81,-1.31,4.98,-1.08,92.21,1.23
6h 4d 2h,2c,9c8h,0.790,10.50,0.02316,1.83816,9.53,-1.25,38.73,-1.04,51.74,1.05
6h 4d 2h,2c,9c8s,0.475,10.26,0.68427,55.5582,4.37,-1.37,14.26,-1.13,81.36,1.11
6h 4d 2h,2c,Tc7c,0.286,10.37,0.65266,52.4719,2.36,-1.38,11.19,-1.06,86.45,0.93
6h 4d 2h,2c,Tc8c,0.556,10.47,0.67551,53.7587,4.83,-1.33,19.75,-1.07,75.42,1.26
6h 4d 2h,2c,Tc9c,0.586,10.70,0.03043,2.37102,12.90,-1.15,41.67,-0.95,45.43,1.26
6h 4d 2h,2c,Tc8d,0.754,10.47,1.12574,89.5964,3.08,-1.27,6.16,-1.03,90.76,1.35
6h 4d 2h,2c,Tc9d,0.807,10.69,0.8441,65.771,7.24,-1.09,15.36,-0.90,77.40,1.37
6h 4d 2h,2c,Tc8h,0.861,10.71,-0.41428,-32.2396,11.38,-1.21,62.12,-0.95,26.50,1.19
6h 4d 2h,2c,Tc9h,0.922,10.87,0.23284,17.8565,13.61,-1.06,37.68,-0.84,48.71,1.42
6h 4d 2h,2c,Tc8s,0.557,10.47,0.66862,53.2102,4.84,-1.33,19.87,-1.07,75.30,1.26
6h 4d 2h,2c,Tc9s,0.586,10.70,0.03272,2.54956,12.90,-1.15,41.53,-0.95,45.57,1.26
6h 4d 2h,2c,Jc7c,0.604,10.71,0.17423,13.5565,3.94,-1.26,35.70,-0.99,60.37,0.95
6h 4d 2h,2c,Jc8c,0.724,10.96,-0.0165,-1.25411,17.48,-1.23,35.41,-1.01,47.11,1.18
6h 4d 2h,2c,Jc9c,0.108,11.29,-0.63598,-46.9441,62.66,-1.01,22.40,-0.82,14.94,1.21
6h 4d 2h,2c,JcTc,0.134,11.55,-0.68399,-49.3457,79.75,-0.93,9.85,-0.72,10.39,1.26
6h 4d 2h,2c,Jc8d,0.698,10.96,0.64404,48.9671,8.25,-1.17,20.04,-0.99,71.71,1.31
6h 4d 2h,2c,Jc9d,0.267,11.29,-0.15836,-11.6897,28.83,-0.97,39.06,-0.77,32.11,1.32
6h 4d 2h,2c,JcTd,0.490,11.55,-0.53198,-38.3812,57.93,-0.95,26.12,-0.72,15.94,1.28
6h 4d 2h,2c,Jc8h,0.922,11.11,-0.66207,-49.6523,22.50,-1.11,65.93,-0.82,11.56,1.13
6h 4d 2h,2c,Jc9h,0.885,11.29,-0.47931,-35.3918,41.74,-0.96,41.78,-0.71,16.48,1.31
6h 4d 2h,2c,JcTh,0.825,11.60,-0.14652,-10.5226,45.77,-0.76,28.99,-0.54,25.24,1.42
6h 4d 2h,2c,Jc8s,0.504,10.96,-0.00759,-0.5774,17.23,-1.23,35.22,-1.01,47.55,1.18
6h 4d 2h,2c,Jc9s,0.108,11.29,-0.63651,-46.9834,62.70,-1.01,22.37,-0.82,14.93,1.20
6h 4d 2h,2c,JcTs,0.274,11.55,-0.6843,-49.3678,79.74,-0.93,9.85,-0.72,10.41,1.26
6h 4d 2h,2c,Qc7c,0.773,11.31,0.55344,40.7833,5.92,-1.19,14.04,-0.96,80.04,0.95
6h 4d 2h,2c,Qc8c,0.434,11.60,-0.6193,-44.4735,48.14,-1.15,31.34,-0.94,20.52,1.12
6h 4d 2h,2c,Qc9c,0.049,11.97,-0.62067,-43.1939,42.70,-0.95,45.99,-0.76,11.31,1.18
6h 4d 2h,2c,QcTc,0.072,12.22,-0.64397,-43.9269,81.37,-0.85,10.02,-0.64,8.61,1.31
6h 4d 2h,2c,QcJc,0.141,12.52,-0.58312,-38.8011,95.84,-0.65,1.00,-0.47,3.16,1.31
6h 4d 2h,2c,Qc8d,0.659,11.60,0.02778,1.99532,22.92,-1.11,30.61,-0.91,46.47,1.20
6h 4d 2h,2c,Qc9d,0.127,11.97,-0.36779,-25.596,31.80,-0.91,47.67,-0.71,20.53,1.26
6h 4d 2h,2c,QcTd,0.322,12.22,-0.57568,-39.2713,66.76,-0.86,22.52,-0.64,10.72,1.33
6h 4d 2h,2c,QcJd,0.443,12.52,-0.47685,-31.7343,90.81,-0.64,1.29,-0.47,7.89,1.45
6h 4d 2h,2c,Qc8h,0.900,11.56,-0.62254,-44.8881,16.86,-1.06,73.13,-0.75,10.01,1.03
6h 4d 2h,2c,Qc9h,0.654,11.76,-0.43895,-31.1105,26.05,-0.91,59.24,-0.65,14.71,1.24
6h 4d 2h,2c,QcTh,0.684,12.27,-0.29128,-19.7804,42.32,-0.68,44.44,-0.44,13.24,1.44
6h 4d 2h,2c,QcJh,0.876,12.11,-0.07991,-5.49917,56.06,-0.59,22.83,-0.34,21.11,1.57
6h 4d 2h,2c,Qc8s,0.433,11.60,-0.61705,-44.3121,47.96,-1.15,31.44,-0.94,20.60,1.12
6h 4d 2h,2c,Qc9s,0.049,11.97,-0.62068,-43.1942,43.08,-0.95,45.57,-0.76,11.35,1.18
6h 4d 2h,2c,QcTs,0.116,12.22,-0.64594,-44.0614,81.25,-0.85,10.20,-0.64,8.54,1.31
