Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
6h 4d 2h,2c,6c5c,0.012,78.66,6.51149,137.968,99.15,6.51,0.77,6.42,0.09,5.88
6h 4d 2h,2c,7c5c,0.179,28.35,3.38629,199.044,9.42,3.38,90.19,3.39,0.39,3.14
6h 4d 2h,2c,7c6c,0.469,78.08,5.98956,127.846,7.76,5.99,91.89,5.99,0.35,5.72
6h 4d 2h,2c,8c6c,0.577,78.12,5.99543,127.912,3.23,6.00,96.40,6.00,0.36,5.73
6h 4d 2h,2c,8c7c,0.430,19.74,2.13856,180.593,4.31,2.13,94.94,2.14,0.76,1.99
6h 4d 2h,2c,9c6c,0.421,78.41,6.04254,128.439,7.74,6.04,91.93,6.04,0.33,5.78
6h 4d 2h,2c,9c7c,0.771,10.61,0.93864,147.502,2.30,0.89,53.57,0.94,44.13,0.94
6h 4d 2h,2c,9c8c,0.526,10.38,0.82508,132.456,3.42,0.79,36.53,0.83,60.05,0.83
6h 4d 2h,2c,9c8d,0.367,10.39,0.85929,137.888,3.01,0.82,28.94,0.86,68.04,0.86
6h 4d 2h,2c,9c8h,0.210,10.50,1.06564,169.117,3.63,1.05,93.36,1.07,3.02,1.03
6h 4d 2h,2c,9c8s,0.525,10.38,0.82482,132.418,3.42,0.79,36.28,0.83,60.30,0.83
6h 4d 2h,2c,Tc7c,0.714,11.07,0.9975,150.233,4.29,0.98,50.47,1.00,45.25,1.00
6h 4d 2h,2c,Tc8c,0.444,10.85,0.8847,135.878,6.73,0.87,30.80,0.88,62.46,0.89
6h 4d 2h,2c,Tc9c,0.414,11.02,0.82359,124.543,6.53,0.81,75.07,0.82,18.41,0.82
6h 4d 2h,2c,Tc8d,0.246,10.86,0.91812,140.944,5.77,0.90,25.22,0.92,69.00,0.92
6h 4d 2h,2c,Tc9d,0.193,11.02,0.86855,131.409,7.09,0.86,66.47,0.87,26.44,0.87
6h 4d 2h,2c,Tc8h,0.139,10.97,1.12763,171.268,13.12,1.13,83.29,1.13,3.59,1.09
6h 4d 2h,2c,Tc9h,0.078,11.22,1.12571,167.24,8.95,1.12,88.40,1.13,2.64,1.07
6h 4d 2h,2c,Tc8s,0.443,10.85,0.88452,135.854,6.73,0.87,30.80,0.88,62.47,0.89
6h 4d 2h,2c,Tc9s,0.414,11.02,0.82329,124.498,6.52,0.81,74.85,0.82,18.64,0.82
6h 4d 2h,2c,Jc7c,0.396,12.62,0.94729,125.073,3.67,0.92,31.04,0.95,65.29,0.95
6h 4d 2h,2c,Jc8c,0.276,12.50,0.82271,109.719,6.29,0.81,68.49,0.82,25.22,0.82
6h 4d 2h,2c,Jc9c,0.892,12.46,0.74761,100.038,6.27,0.73,47.37,0.75,46.36,0.75
6h 4d 2h,2c,JcTc,0.866,13.49,0.81095,100.202,9.23,0.81,46.78,0.81,43.99,0.81
6h 4d 2h,2c,Jc8d,0.302,12.50,0.85422,113.927,4.75,0.83,22.82,0.85,72.43,0.86
6h 4d 2h,2c,Jc9d,0.733,12.40,0.79375,106.712,6.19,0.78,53.28,0.80,40.53,0.79
6h 4d 2h,2c,JcTd,0.510,13.65,0.8597,105.004,9.71,0.86,64.11,0.86,26.17,0.86
6h 4d 2h,2c,Jc8h,0.078,12.63,1.0673,140.81,5.31,1.06,91.09,1.07,3.60,1.03
6h 4d 2h,2c,Jc9h,0.115,13.07,1.06273,135.546,6.12,1.06,90.94,1.06,2.94,1.01
6h 4d 2h,2c,JcTh,0.175,14.16,1.05023,123.634,44.51,1.05,52.03,1.05,3.46,1.02
6h 4d 2h,2c,Jc8s,0.496,12.46,0.81965,109.648,6.20,0.80,39.11,0.82,54.69,0.82
6h 4d 2h,2c,Jc9s,0.892,12.46,0.74744,100.019,6.27,0.73,47.28,0.75,46.44,0.75
6h 4d 2h,2c,JcTs,0.726,13.52,0.81426,100.352,10.89,0.81,62.39,0.82,26.72,0.81
6h 4d 2h,2c,Qc7c,0.227,15.87,0.97191,102.083,3.14,0.95,89.69,0.97,7.17,0.96
6h 4d 2h,2c,Qc8c,0.566,15.99,0.84994,88.6163,4.45,0.83,77.85,0.85,17.71,0.85
6h 4d 2h,2c,Qc9c,0.951,16.33,0.81441,83.1052,1.41,0.78,2.95,0.81,95.64,0.82
6h 4d 2h,2c,QcTc,0.928,18.28,0.92191,84.0323,0.58,0.85,1.31,0.87,98.11,0.92
6h 4d 2h,2c,QcJc,0.859,22.15,1.16858,87.9193,0.34,0.94,0.39,1.10,99.28,1.17
6h 4d 2h,2c,Qc8d,0.341,16.09,0.88101,91.249,4.14,0.86,79.58,0.88,16.28,0.88
6h 4d 2h,2c,Qc9d,0.873,16.39,0.82819,84.2037,2.96,0.81,35.66,0.83,61.38,0.83
6h 4d 2h,2c,QcTd,0.678,18.65,0.93837,83.8758,1.69,0.92,14.39,0.94,83.93,0.94
6h 4d 2h,2c,QcJd,0.557,22.16,1.16635,87.7242,0.42,1.00,2.04,1.14,97.54,1.17
6h 4d 2h,2c,Qc8h,0.100,16.37,1.09265,111.257,5.57,1.09,91.92,1.09,2.52,1.03
6h 4d 2h,2c,Qc9h,0.346,17.45,1.07818,102.968,3.69,1.07,93.77,1.08,2.54,1.01
6h 4d 2h,2c,QcTh,0.316,19.39,1.08932,93.6519,9.68,1.08,87.19,1.09,3.13,1.03
6h 4d 2h,2c,QcJh,0.124,22.89,1.32873,96.7554,0.10,1.27,98.37,1.33,1.53,1.21
6h 4d 2h,2c,Qc8s,0.567,15.98,0.8496,88.5839,4.45,0.83,77.77,0.85,17.78,0.85
6h 4d 2h,2c,Qc9s,0.951,16.33,0.81441,83.1146,1.41,0.78,2.95,0.81,95.64,0.82
6h 4d 2h,2c,QcTs,0.884,18.49,0.93553,84.3207,0.78,0.88,1.96,0.90,97.26,0.94
6h 4d 2h,2c,QcJs,0.860,22.15,1.16855,87.9191,0.34,0.94,0.39,1.10,99.28,1.17
6h 4d 2h,2c,Kc3c,0.295,38.69,2.27407,97.9582,0.30,2.10,80.70,2.27,19.00,2.27
6h 4d 2h,2c,Kc4c,0.651,79.53,6.09244,127.677,0.66,6.06,99.07,6.09,0.27,5.77
6h 4d 2h,2c,Kc5c,0.426,38.67,2.27076,97.8596,0.26,2.06,53.71,2.27,46.03,2.27
6h 4d 2h,2c,Kc6c,0.012,80.88,6.75589,139.209,98.76,6.76,1.19,6.65,0.05,6.09
6h 4d 2h,2c,Kc7c,0.573,35.71,1.76707,82.4682,0.10,1.39,1.07,1.68,98.82,1.77
6h 4d 2h,2c,Kc8c,0.808,40.84,2.08248,84.9788,0.12,1.39,0.07,1.94,99.80,2.08
6h 4d 2h,2c,Kc9c,0.957,47.08,2.48213,87.8783,0.09,1.47,0.04,2.31,99.88,2.48
6h 4d 2h,2c,KcTc,0.923,53.18,2.86861,89.8958,0.08,1.72,0.04,2.78,99.88,2.87
6h 4d 2h,2c,KcJc,0.886,57.73,3.20744,92.6011,0.08,2.05,0.04,3.18,99.88,3.21
6h 4d 2h,2c,KcQc,0.831,59.44,3.33841,93.6051,0.08,2.23,0.05,3.30,99.87,3.34
6h 4d 2h,2c,Kc7d,0.105,35.84,1.78287,82.8998,0.10,1.42,1.24,1.70,98.66,1.78
6h 4d 2h,2c,Kc8d,0.576,41.02,2.10171,85.392,0.13,1.41,0.07,1.97,99.80,2.10
6h 4d 2h,2c,Kc9d,0.905,47.43,2.51192,88.2735,0.09,1.52,0.04,2.34,99.87,2.51
6h 4d 2h,2c,KcTd,0.668,53.33,2.88292,90.1032,0.08,1.79,0.04,2.81,99.88,2.88
6h 4d 2h,2c,KcJd,0.763,57.76,3.21135,92.668,0.08,2.08,0.04,3.19,99.88,3.21
6h 4d 2h,2c,KcQd,0.788,59.74,3.36721,93.944,0.08,2.26,0.05,3.32,99.87,3.37
6h 4d 2h,2c,Kc7h,0.151,36.42,1.85847,85.0478,0.17,1.68,10.79,1.83,89.04,1.86
6h 4d 2h,2c,Kc8h,0.243,41.79,2.19971,87.7199,0.15,1.60,0.09,2.11,99.77,2.20
6h 4d 2h,2c,Kc9h,0.605,48.63,2.60634,89.318,0.10,1.73,0.04,2.53,99.85,2.61
6h 4d 2h,2c,KcTh,0.734,54.23,2.98182,91.6434,0.09,1.94,0.04,2.92,99.87,2.98
