Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
8h 4d 2h,6c5c,1.000,42.19,4.69712,185.552,78.36,4.73,21.64,4.57
8h 4d 2h,7c5c,1.000,30.93,2.56704,138.313,75.50,2.67,24.50,2.26
8h 4d 2h,7c6c,1.000,32.13,2.78553,144.491,75.98,2.88,24.02,2.50
8h 4d 2h,8c6c,1.000,68.60,4.57806,111.234,80.78,4.55,19.22,4.70
8h 4d 2h,8c7c,1.000,68.09,4.29344,105.089,63.14,4.18,36.86,4.49
8h 4d 2h,9c6c,1.000,21.69,0.88582,68.08,15.25,1.56,84.75,0.76
8h 4d 2h,9c7c,1.000,21.95,1.38566,105.234,71.32,1.64,28.68,0.74
8h 4d 2h,9c8c,1.000,69.47,4.51923,108.42,76.97,4.45,23.03,4.74
8h 4d 2h,9c8d,1.000,69.63,4.59927,110.092,66.62,4.50,33.38,4.81
8h 4d 2h,9c8s,1.000,69.53,4.52608,108.485,77.39,4.46,22.61,4.74
8h 4d 2h,Tc7c,1.000,21.41,0.89597,69.7518,23.40,1.56,76.60,0.69
8h 4d 2h,Tc8c,1.000,70.58,4.81913,113.793,74.93,4.76,25.07,5.01
8h 4d 2h,Tc9c,1.000,22.90,1.42599,103.8,86.35,1.52,13.65,0.83
8h 4d 2h,Tc8d,1.000,70.76,4.87942,114.93,72.95,4.81,27.05,5.08
8h 4d 2h,Tc9d,1.000,22.90,1.7266,125.639,94.01,1.78,5.99,0.87
8h 4d 2h,Tc9h,1.000,25.90,1.57416,101.289,60.67,1.78,39.33,1.25
8h 4d 2h,Tc8s,1.000,70.65,4.8281,113.893,75.61,4.77,24.39,5.01
8h 4d 2h,Tc9s,1.000,22.81,1.56697,114.518,85.60,1.69,14.40,0.82
8h 4d 2h,Jc7c,1.000,20.94,0.60297,47.9819,1.57,1.49,98.43,0.59
8h 4d 2h,Jc8c,1.000,70.56,4.92637,116.363,67.46,4.87,32.54,5.03
8h 4d 2h,Jc9c,1.000,22.41,0.87152,64.8202,23.27,1.50,76.73,0.68
8h 4d 2h,JcTc,1.000,23.56,0.81812,57.8808,16.85,1.51,83.15,0.68
8h 4d 2h,Jc8d,1.000,70.75,5.0108,118.048,65.86,4.96,34.14,5.10
8h 4d 2h,Jc9d,1.000,22.42,1.42444,105.868,67.28,1.77,32.72,0.72
8h 4d 2h,JcTd,1.000,23.67,1.40863,99.1939,71.39,1.68,28.61,0.72
8h 4d 2h,Jc9h,1.000,25.50,1.7386,113.625,89.09,1.82,10.91,1.06
8h 4d 2h,JcTh,1.000,26.85,1.88882,117.265,91.01,1.96,8.99,1.15
8h 4d 2h,Jc8s,1.000,70.63,4.94066,116.588,69.06,4.90,30.94,5.04
8h 4d 2h,Jc9s,1.000,22.32,0.83029,62.0066,15.01,1.67,84.99,0.68
8h 4d 2h,JcTs,1.000,23.56,0.81821,57.8871,16.71,1.52,83.29,0.68
8h 4d 2h,Qc7c,1.000,23.29,0.60432,43.2516,1.35,1.52,98.65,0.59
8h 4d 2h,Qc8c,1.000,70.76,4.95186,116.635,65.92,4.85,34.08,5.14
8h 4d 2h,Qc9c,1.000,24.76,0.75731,50.9764,13.44,1.52,86.56,0.64
8h 4d 2h,QcTc,1.000,26.06,0.75102,48.0234,11.41,1.48,88.59,0.66
