Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
8h 4d 2h,6c5c,1.000,42.19,4.91086,193.996,78.36,4.57,21.64,6.14
8h 4d 2h,7c5c,1.000,30.93,2.26508,122.044,75.50,2.26,24.50,2.29
8h 4d 2h,7c6c,1.000,32.13,2.56661,133.135,75.98,2.50,24.02,2.78
8h 4d 2h,8c6c,1.000,68.60,4.94836,120.231,80.78,4.70,19.22,5.99
8h 4d 2h,8c7c,1.000,68.09,4.80272,117.555,63.14,4.49,36.86,5.34
8h 4d 2h,9c6c,1.000,21.69,0.12011,9.23138,15.25,0.77,84.75,0.00
8h 4d 2h,9c7c,1.000,21.95,0.53552,40.6704,71.32,0.75,28.68,0.01
8h 4d 2h,9c8c,1.000,69.47,4.97856,119.44,76.97,4.74,23.03,5.79
8h 4d 2h,9c8d,1.000,69.63,5.09837,122.038,66.62,4.81,33.38,5.68
8h 4d 2h,9c8s,1.000,69.53,4.97788,119.315,77.39,4.74,22.61,5.79
8h 4d 2h,Tc7c,1.000,21.41,0.16589,12.9145,23.40,0.69,76.60,0.00
8h 4d 2h,Tc8c,1.000,70.58,5.21262,123.084,74.93,5.01,25.07,5.83
8h 4d 2h,Tc9c,1.000,22.90,0.90396,65.8007,86.35,0.83,13.65,1.37
8h 4d 2h,Tc8d,1.000,70.76,5.3032,124.911,72.95,5.08,27.05,5.92
8h 4d 2h,Tc9d,1.000,22.90,0.86927,63.254,94.01,0.88,5.99,0.64
8h 4d 2h,Tc9h,1.000,25.90,1.7509,112.662,60.67,1.25,39.33,2.53
8h 4d 2h,Tc8s,1.000,70.65,5.2132,122.978,75.61,5.01,24.39,5.84
8h 4d 2h,Tc9s,1.000,22.81,0.79059,57.7783,85.60,0.82,14.40,0.60
8h 4d 2h,Jc7c,1.000,20.94,0.0104,0.82764,1.57,0.52,98.43,0.00
8h 4d 2h,Jc8c,1.000,70.56,5.32655,125.816,67.46,5.03,32.54,5.94
8h 4d 2h,Jc9c,1.000,22.41,0.16615,12.358,23.27,0.68,76.73,0.01
8h 4d 2h,JcTc,1.000,23.56,0.12836,9.0815,16.85,0.67,83.15,0.02
8h 4d 2h,Jc8d,1.000,70.75,5.38968,126.974,65.86,5.10,34.14,5.94
8h 4d 2h,Jc9d,1.000,22.42,0.48911,36.3516,67.28,0.72,32.72,0.01
8h 4d 2h,JcTd,1.000,23.67,0.52429,36.9197,71.39,0.72,28.61,0.03
8h 4d 2h,Jc9h,1.000,25.50,1.13277,74.0317,89.09,1.06,10.91,1.73
8h 4d 2h,JcTh,1.000,26.85,1.27675,79.2653,91.01,1.15,8.99,2.55
8h 4d 2h,Jc8s,1.000,70.63,5.30563,125.201,69.06,5.04,30.94,5.90
8h 4d 2h,Jc9s,1.000,22.32,0.10869,8.11715,15.01,0.67,84.99,0.01
8h 4d 2h,JcTs,1.000,23.56,0.12743,9.01563,16.71,0.67,83.29,0.02
8h 4d 2h,Qc7c,1.000,23.29,0.00869,0.62174,1.35,0.51,98.65,0.00
8h 4d 2h,Qc8c,1.000,70.76,5.44232,128.187,65.92,5.14,34.08,6.02
8h 4d 2h,Qc9c,1.000,24.76,0.09054,6.09426,13.44,0.64,86.56,0.01
8h 4d 2h,QcTc,1.000,26.06,0.08314,5.3165,11.41,0.65,88.59,0.01
8h 4d 2h,QcJc,1.000,29.08,0.5431,31.1218,63.98,0.72,36.02,0.22
8h 4d 2h,Qc8d,1.000,70.96,5.47248,128.543,68.30,5.22,31.70,6.02
8h 4d 2h,Qc9d,1.000,24.79,0.16675,11.2088,24.37,0.67,75.63,0.01
8h 4d 2h,QcTd,1.000,26.18,0.33812,21.5216,48.00,0.69,52.00,0.01
8h 4d 2h,QcJd,1.000,29.20,0.72756,41.5232,87.56,0.78,12.44,0.35
8h 4d 2h,Qc9h,1.000,27.88,1.00188,59.8925,94.55,0.97,5.45,1.48
8h 4d 2h,QcTh,1.000,29.38,1.09909,62.3504,92.10,1.09,7.90,1.23
8h 4d 2h,QcJh,1.000,32.45,1.32195,67.8925,88.86,1.23,11.14,2.07
8h 4d 2h,Qc8s,1.000,70.83,5.43725,127.945,65.97,5.15,34.03,5.99
8h 4d 2h,Qc9s,1.000,24.68,0.04846,3.27282,7.00,0.62,93.00,0.01
8h 4d 2h,QcTs,1.000,26.06,0.08167,5.2225,11.19,0.65,88.81,0.01
8h 4d 2h,QcJs,1.000,29.08,0.52885,30.3055,61.29,0.72,38.71,0.22
8h 4d 2h,Kc2c,1.000,56.72,2.27702,66.9129,59.50,2.38,40.50,2.12
8h 4d 2h,Kc3c,1.000,28.57,0.00335,0.19545,0.66,0.35,99.34,0.00
8h 4d 2h,Kc4c,1.000,60.47,2.84931,78.5386,43.16,2.92,56.84,2.79
8h 4d 2h,Kc5c,1.000,30.52,0.0292,1.59485,4.34,0.61,95.66,0.00
8h 4d 2h,Kc6c,1.000,30.93,0.02216,1.19414,3.40,0.59,96.60,0.00
8h 4d 2h,Kc7c,1.000,30.69,0.00685,0.37169,1.29,0.41,98.71,0.00
8h 4d 2h,Kc8c,1.000,71.50,5.81467,135.54,62.99,5.41,37.01,6.50
8h 4d 2h,Kc9c,1.000,31.62,0.02202,1.16086,3.72,0.49,96.28,0.00
8h 4d 2h,KcTc,1.000,33.26,0.0313,1.56815,4.36,0.54,95.64,0.01
8h 4d 2h,KcJc,1.000,36.23,0.08238,3.79019,8.71,0.67,91.29,0.03
8h 4d 2h,KcQc,1.000,39.22,0.71863,30.5352,56.76,0.95,43.24,0.41
8h 4d 2h,Kc7d,1.000,30.71,0.00559,0.30318,1.01,0.41,98.99,0.00
8h 4d 2h,Kc8d,1.000,71.72,5.78263,134.386,71.12,5.49,28.88,6.51
8h 4d 2h,Kc9d,1.000,31.69,0.03435,1.8067,5.98,0.52,94.02,0.00
8h 4d 2h,KcTd,1.000,33.40,0.11923,5.95007,19.19,0.58,80.81,0.01
8h 4d 2h,KcJd,1.000,36.36,0.40934,18.7644,55.69,0.70,44.31,0.04
8h 4d 2h,KcQd,1.000,39.36,0.96138,40.7127,87.92,1.02,12.08,0.50
8h 4d 2h,Kc7h,1.000,33.38,0.21869,10.9209,34.12,0.63,65.88,0.00
8h 4d 2h,Kc9h,1.000,34.65,0.84243,40.5222,94.58,0.81,5.42,1.35
8h 4d 2h,KcTh,1.000,36.47,1.00964,46.1375,84.61,0.96,15.39,1.28
8h 4d 2h,KcJh,1.000,39.49,1.11426,47.0227,73.28,1.14,26.72,1.05
8h 4d 2h,KcQh,1.000,42.55,1.7435,68.2881,75.07,1.52,24.93,2.41
8h 4d 2h,Kc7s,1.000,30.63,0.00561,0.30523,1.04,0.40,98.96,0.00
8h 4d 2h,Kc8s,1.000,71.57,5.81609,135.436,64.26,5.42,35.74,6.53
8h 4d 2h,Kc9s,1.000,31.56,0.01513,0.79898,2.44,0.47,97.56,0.00
8h 4d 2h,KcTs,1.000,33.26,0.03086,1.54643,4.28,0.54,95.72,0.01
8h 4d 2h,KcJs,1.000,36.23,0.08158,3.75344,8.63,0.67,91.37,0.03
8h 4d 2h,KcQs,1.000,39.22,0.71482,30.3733,56.25,0.95,43.75,0.41
8h 4d 2h,Ac2c,1.000,59.50,2.34239,65.6173,83.50,2.32,16.50,2.47
8h 4d 2h,Ac3c,1.000,48.09,1.52305,52.7842,61.95,1.61,38.05,1.38
8h 4d 2h,Ac4c,1.000,63.16,3.05625,80.6537,80.12,2.96,19.88,3.45
8h 4d 2h,Ac5c,1.000,51.42,2.25509,73.098,74.73,2.18,25.27,2.46
8h 4d 2h,Ac6c,1.000,45.52,0.03427,1.2548,4.00,0.81,96.00,0.00
8h 4d 2h,Ac7c,1.000,47.92,0.01714,0.59633,1.82,0.84,98.18,0.00
8h 4d 2h,Ac8c,1.000,74.92,6.56599,146.058,87.28,6.37,12.72,7.92
8h 4d 2h,Ac9c,1.000,51.95,0.90584,29.0609,63.14,1.19,36.86,0.42
8h 4d 2h,AcTc,1.000,55.49,1.27118,38.1828,29.92,1.59,70.08,1.14
8h 4d 2h,AcJc,1.000,57.95,1.74617,50.2186,53.35,1.92,46.65,1.55
8h 4d 2h,AcQc,1.000,59.05,2.11832,59.7895,66.94,2.16,33.06,2.03
8h 4d 2h,AcKc,1.000,59.41,2.05493,57.6512,65.74,2.10,34.26,1.97
8h 4d 2h,Ac2d,1.000,59.59,2.39516,66.9865,77.08,2.36,22.92,2.52
8h 4d 2h,Ac3d,1.000,48.18,1.51564,52.4318,54.94,1.63,45.06,1.38
8h 4d 2h,Ac5d,1.000,51.51,2.33321,75.4937,64.94,2.21,35.06,2.57
8h 4d 2h,Ac6d,1.000,45.63,0.06572,2.40074,7.61,0.84,92.39,0.00
8h 4d 2h,Ac7d,1.000,48.02,0.01807,0.62718,1.89,0.85,98.11,0.00
8h 4d 2h,Ac8d,1.000,75.09,6.65925,147.808,85.42,6.45,14.58,7.91
8h 4d 2h,Ac9d,1.000,52.10,1.13034,36.1588,85.66,1.23,14.34,0.53
8h 4d 2h,AcTd,1.000,55.64,1.26706,37.9533,17.83,1.63,82.17,1.19
8h 4d 2h,AcJd,1.000,58.07,1.76858,50.7581,37.99,1.96,62.01,1.65
