Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
8h 4d 2h,6c5c,0.216,40.05,4.93897,205.511,96.14,4.96,3.84,4.51,0.03,0.00
8h 4d 2h,7c5c,0.245,29.49,1.85124,104.61,18.80,2.89,81.11,1.61,0.09,0.00
8h 4d 2h,7c6c,0.240,30.53,2.14909,117.333,36.61,2.80,63.31,1.78,0.08,0.00
8h 4d 2h,8c6c,0.192,62.39,3.76604,100.603,70.68,3.78,29.29,3.73,0.03,0.00
8h 4d 2h,8c7c,0.369,62.54,3.51434,93.6531,14.90,3.33,85.06,3.55,0.04,0.00
8h 4d 2h,9c6c,0.848,20.71,0.00317,0.25544,0.23,1.42,0.03,-0.21,99.74,0.00
8h 4d 2h,9c7c,0.287,21.39,0.00412,0.32139,0.28,1.51,0.05,-0.18,99.67,0.00
8h 4d 2h,9c8c,0.230,63.29,3.54736,93.4103,34.33,3.43,65.64,3.61,0.04,0.00
8h 4d 2h,9c8d,0.334,63.67,3.72152,97.4179,10.79,3.49,89.18,3.75,0.03,0.00
8h 4d 2h,9c8s,0.226,63.29,3.55006,93.4796,33.94,3.43,66.02,3.61,0.04,0.00
8h 4d 2h,Tc7c,0.766,20.68,0.00351,0.2827,0.26,1.39,0.04,-0.27,99.70,0.00
8h 4d 2h,Tc8c,0.251,64.25,3.88359,100.743,0.22,3.57,99.75,3.89,0.03,0.00
8h 4d 2h,Tc9c,0.136,22.51,0.69202,51.2383,40.58,1.62,51.13,0.07,8.28,0.00
8h 4d 2h,Tc8d,0.270,64.55,3.99616,103.187,0.22,3.72,99.75,4.00,0.03,0.00
8h 4d 2h,Tc9d,0.060,22.49,0.10574,7.83632,0.45,1.65,95.65,0.10,3.90,0.00
8h 4d 2h,Tc9h,0.393,25.35,1.95547,128.566,83.58,2.24,16.12,0.52,0.29,0.00
8h 4d 2h,Tc8s,0.244,64.26,3.88432,100.752,0.21,3.57,99.76,3.89,0.03,0.00
8h 4d 2h,Tc9s,0.144,22.45,0.10752,7.98131,3.56,1.61,84.56,0.06,11.88,0.00
8h 4d 2h,Jc7c,0.984,20.33,0.00188,0.15425,0.16,1.22,0.02,-0.56,99.82,0.00
8h 4d 2h,Jc8c,0.325,63.96,3.88263,101.175,9.18,4.07,90.78,3.87,0.03,0.00
8h 4d 2h,Jc9c,0.767,22.20,0.00856,0.64304,0.50,1.72,0.20,-0.04,99.30,0.00
8h 4d 2h,JcTc,0.832,23.88,0.00913,0.637,0.69,1.33,0.41,0.00,98.90,0.00
8h 4d 2h,Jc8d,0.341,64.11,3.91453,101.773,0.30,4.18,99.66,3.91,0.03,0.00
8h 4d 2h,Jc9d,0.327,22.09,0.00918,0.69222,0.52,1.78,0.21,-0.03,99.27,0.00
8h 4d 2h,JcTd,0.286,23.98,0.00943,0.6556,0.69,1.37,2.14,0.00,97.16,0.00
8h 4d 2h,Jc9h,0.109,24.93,1.61744,108.136,64.86,2.34,34.47,0.29,0.67,0.00
8h 4d 2h,JcTh,0.090,26.99,1.47889,91.3192,75.30,1.82,24.31,0.44,0.39,0.00
8h 4d 2h,Jc8s,0.309,64.01,3.8723,100.833,2.33,4.12,97.64,3.87,0.03,0.00
8h 4d 2h,Jc9s,0.850,22.08,0.00747,0.56359,0.45,1.70,0.18,-0.05,99.38,0.00
8h 4d 2h,JcTs,0.833,23.88,0.00912,0.6362,0.69,1.33,0.41,-0.01,98.91,0.00
8h 4d 2h,Qc7c,0.986,23.85,0.00166,0.1159,0.14,1.23,0.02,-0.55,99.84,0.00
8h 4d 2h,Qc8c,0.341,64.45,4.07108,105.271,9.83,4.11,90.14,4.07,0.03,0.00
8h 4d 2h,Qc9c,0.866,25.81,0.00479,0.30965,0.31,1.59,0.11,-0.13,99.58,0.00
8h 4d 2h,QcTc,0.886,27.59,0.00529,0.31929,0.42,1.27,0.26,-0.03,99.32,0.00
8h 4d 2h,QcJc,0.360,31.09,0.01418,0.7601,0.81,1.41,69.64,0.00,29.55,0.00
8h 4d 2h,Qc8d,0.317,64.50,4.07608,105.32,1.63,4.03,98.34,4.08,0.03,0.00
8h 4d 2h,Qc9d,0.756,25.82,0.00539,0.34815,0.32,1.72,0.12,-0.11,99.56,0.00
8h 4d 2h,QcTd,0.520,27.60,0.00562,0.33965,0.44,1.29,0.28,-0.03,99.28,0.00
8h 4d 2h,QcJd,0.124,31.25,0.04701,2.50688,0.35,1.47,93.36,0.04,6.29,0.00
8h 4d 2h,Qc9h,0.054,28.56,1.13771,66.3888,50.97,2.08,47.19,0.16,1.83,0.00
8h 4d 2h,QcTh,0.079,30.59,0.53831,29.3244,14.65,1.65,84.80,0.35,0.55,0.00
8h 4d 2h,QcJh,0.111,34.46,1.63513,79.0839,68.68,2.15,31.00,0.52,0.32,0.00
8h 4d 2h,Qc8s,0.340,64.53,4.07542,105.26,5.49,4.14,94.48,4.07,0.03,0.00
8h 4d 2h,Qc9s,0.930,25.70,0.00435,0.28178,0.29,1.55,0.10,-0.13,99.61,0.00
8h 4d 2h,QcTs,0.888,27.59,0.00528,0.31901,0.42,1.27,0.26,-0.03,99.32,0.00
8h 4d 2h,QcJs,0.387,31.09,0.01413,0.75745,0.81,1.43,69.58,0.00,29.62,0.00
