Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
8h 4d 2h,6c5c,0.216,40.05,4.09038,170.201,96.14,4.07,3.84,4.51,0.03,0.00
8h 4d 2h,7c5c,0.245,29.49,1.27971,72.3135,18.80,-0.15,81.11,1.61,0.09,0.00
8h 4d 2h,7c6c,0.240,30.53,1.13237,61.824,36.61,0.02,63.31,1.78,0.08,0.00
8h 4d 2h,8c6c,0.192,62.39,5.56779,148.733,70.68,6.33,29.29,3.73,0.03,0.00
8h 4d 2h,8c7c,0.369,62.54,3.95128,105.297,14.90,6.26,85.06,3.55,0.04,0.00
8h 4d 2h,9c6c,0.848,20.71,-0.00481,-0.38749,0.23,-2.07,0.03,-0.21,99.74,0.00
8h 4d 2h,9c7c,0.287,21.39,-0.00628,-0.48953,0.28,-2.21,0.05,-0.18,99.67,0.00
8h 4d 2h,9c8c,0.230,63.29,4.31552,113.638,34.33,5.66,65.64,3.61,0.04,0.00
8h 4d 2h,9c8d,0.334,63.67,3.89841,102.048,10.79,5.13,89.18,3.75,0.03,0.00
8h 4d 2h,9c8s,0.226,63.29,4.29978,113.221,33.94,5.64,66.02,3.61,0.04,0.00
8h 4d 2h,Tc7c,0.766,20.68,-0.00581,-0.46852,0.26,-2.19,0.04,-0.27,99.70,0.00
8h 4d 2h,Tc8c,0.251,64.25,3.88759,100.846,0.22,5.42,99.75,3.89,0.03,0.00
8h 4d 2h,Tc9c,0.136,22.51,-0.66384,-49.1518,40.58,-1.72,51.13,0.07,8.28,0.00
8h 4d 2h,Tc8d,0.270,64.55,4.00029,103.294,0.22,5.58,99.75,4.00,0.03,0.00
8h 4d 2h,Tc9d,0.060,22.49,0.09012,6.67865,0.45,-1.79,95.65,0.10,3.90,0.00
8h 4d 2h,Tc9h,0.393,25.35,-1.02347,-67.2903,83.58,-1.32,16.12,0.52,0.29,0.00
8h 4d 2h,Tc8s,0.244,64.26,3.88827,100.854,0.21,5.42,99.76,3.89,0.03,0.00
8h 4d 2h,Tc9s,0.144,22.45,-0.01155,-0.85762,3.56,-1.74,84.56,0.06,11.88,0.00
8h 4d 2h,Jc7c,0.984,20.33,-0.00409,-0.33566,0.16,-2.45,0.02,-0.56,99.82,0.00
8h 4d 2h,Jc8c,0.325,63.96,3.96146,103.229,9.18,4.93,90.78,3.87,0.03,0.00
8h 4d 2h,Jc9c,0.767,22.20,-0.00995,-0.74685,0.50,-1.97,0.20,-0.04,99.30,0.00
8h 4d 2h,JcTc,0.832,23.88,-0.01389,-0.96957,0.69,-2.02,0.41,0.00,98.90,0.00
8h 4d 2h,Jc8d,0.341,64.11,3.91674,101.83,0.30,4.91,99.66,3.91,0.03,0.00
8h 4d 2h,Jc9d,0.327,22.09,-0.01044,-0.78779,0.52,-1.99,0.21,-0.03,99.27,0.00
8h 4d 2h,JcTd,0.286,23.98,-0.01417,-0.98468,0.69,-2.03,2.14,0.00,97.16,0.00
8h 4d 2h,Jc9h,0.109,24.93,-0.86871,-58.0783,64.86,-1.49,34.47,0.29,0.67,0.00
8h 4d 2h,JcTh,0.090,26.99,-1.05736,-65.2901,75.30,-1.55,24.31,0.44,0.39,0.00
8h 4d 2h,Jc8s,0.309,64.01,3.89055,101.308,2.33,4.90,97.64,3.87,0.03,0.00
8h 4d 2h,Jc9s,0.850,22.08,-0.00906,-0.68341,0.45,-2.01,0.18,-0.05,99.38,0.00
8h 4d 2h,JcTs,0.833,23.88,-0.01388,-0.96881,0.69,-2.02,0.41,-0.01,98.91,0.00
8h 4d 2h,Qc7c,0.986,23.85,-0.00382,-0.26695,0.14,-2.61,0.02,-0.55,99.84,0.00
8h 4d 2h,Qc8c,0.341,64.45,4.16138,107.606,9.83,5.02,90.14,4.07,0.03,0.00
8h 4d 2h,Qc9c,0.866,25.81,-0.00681,-0.43993,0.31,-2.14,0.11,-0.13,99.58,0.00
8h 4d 2h,QcTc,0.886,27.59,-0.00929,-0.56117,0.42,-2.19,0.26,-0.03,99.32,0.00
8h 4d 2h,QcJc,0.360,31.09,-0.01433,-0.76843,0.81,-2.12,69.64,0.00,29.55,0.00
8h 4d 2h,Qc8d,0.317,64.50,4.09127,105.713,1.63,4.96,98.34,4.08,0.03,0.00
8h 4d 2h,Qc9d,0.756,25.82,-0.00696,-0.4493,0.32,-2.12,0.12,-0.11,99.56,0.00
8h 4d 2h,QcTd,0.520,27.60,-0.00974,-0.58801,0.44,-2.17,0.28,-0.03,99.28,0.00
8h 4d 2h,QcJd,0.124,31.25,0.03457,1.84361,0.35,-2.05,93.36,0.04,6.29,0.00
8h 4d 2h,Qc9h,0.054,28.56,-0.78388,-45.7419,50.97,-1.69,47.19,0.16,1.83,0.00
8h 4d 2h,QcTh,0.079,30.59,0.04881,2.6587,14.65,-1.69,84.80,0.35,0.55,0.00
8h 4d 2h,QcJh,0.111,34.46,-0.85315,-41.2632,68.68,-1.48,31.00,0.52,0.32,0.00
8h 4d 2h,Qc8s,0.340,64.53,4.12293,106.487,5.49,5.00,94.48,4.07,0.03,0.00
8h 4d 2h,Qc9s,0.930,25.70,-0.00644,-0.41791,0.29,-2.19,0.10,-0.13,99.61,0.00
8h 4d 2h,QcTs,0.888,27.59,-0.00929,-0.56093,0.42,-2.19,0.26,-0.03,99.32,0.00
8h 4d 2h,QcJs,0.387,31.09,-0.01438,-0.77084,0.81,-2.11,69.58,0.00,29.62,0.00
8h 4d 2h,Kc2c,0.405,50.83,0.85959,28.1863,9.19,-0.54,90.68,1.00,0.14,0.00
8h 4d 2h,Kc3c,0.993,30.34,-0.00318,-0.17469,0.12,-2.47,0.03,-0.76,99.85,0.00
8h 4d 2h,Kc4c,0.568,54.98,1.67506,50.7741,0.09,-0.21,99.83,1.68,0.08,0.00
8h 4d 2h,Kc5c,0.957,32.50,-0.00432,-0.22175,0.18,-2.20,0.08,-0.43,99.74,0.00
8h 4d 2h,Kc6c,0.966,33.00,-0.0036,-0.18197,0.15,-2.16,0.07,-0.41,99.78,0.00
8h 4d 2h,Kc7c,0.987,33.03,-0.00359,-0.18116,0.14,-2.45,0.04,-0.54,99.82,0.00
8h 4d 2h,Kc8c,0.370,65.54,5.46433,138.955,44.71,6.67,55.27,4.49,0.03,0.00
8h 4d 2h,Kc9c,0.963,34.60,-0.00533,-0.25677,0.23,-2.24,0.16,-0.19,99.62,0.00
8h 4d 2h,KcTc,0.956,36.46,-0.00721,-0.32976,0.33,-2.14,0.75,-0.02,98.92,0.00
8h 4d 2h,KcJc,0.913,38.56,-0.01074,-0.46399,0.55,-1.92,22.08,0.00,77.37,0.00
8h 4d 2h,KcQc,0.432,40.23,0.14507,6.00936,0.17,-1.64,98.28,0.15,1.54,0.00
8h 4d 2h,Kc7d,0.990,33.04,-0.00357,-0.18013,0.14,-2.39,0.05,-0.54,99.81,0.00
8h 4d 2h,Kc8d,0.289,65.52,4.79317,121.93,33.27,5.46,66.70,4.46,0.03,0.00
8h 4d 2h,Kc9d,0.940,34.71,-0.00556,-0.26674,0.24,-2.17,0.17,-0.16,99.59,0.00
8h 4d 2h,KcTd,0.808,36.36,-0.0078,-0.35759,0.36,-2.06,0.89,-0.04,98.74,0.00
8h 4d 2h,KcJd,0.443,38.47,-0.01158,-0.50187,0.62,-1.79,26.19,0.00,73.19,0.00
8h 4d 2h,KcQd,0.121,40.10,0.20327,8.44879,0.19,-1.51,98.90,0.21,0.91,0.00
8h 4d 2h,Kc7h,0.659,35.47,-0.00461,-0.2167,0.20,-2.08,0.15,-0.29,99.65,0.00
8h 4d 2h,Kc9h,0.054,37.32,-1.0064,-44.9505,63.37,-1.65,33.18,0.12,3.45,0.00
8h 4d 2h,KcTh,0.154,39.12,-0.1847,-7.86913,28.38,-1.52,71.06,0.35,0.55,0.00
8h 4d 2h,KcJh,0.267,41.55,0.07259,2.91214,24.20,-1.21,75.46,0.48,0.34,0.00
