Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
8h 4d 2h,6c5c,1.000,41.44,3.91851,157.595,0.61,3.78,99.39,3.92
8h 4d 2h,7c6c,1.000,30.69,1.51192,82.1129,0.31,1.25,99.69,1.51
8h 4d 2h,8c7c,1.000,63.73,3.7452,97.9464,0.19,3.30,99.81,3.75
8h 4d 2h,9c8c,1.000,65.59,4.2436,107.835,0.16,3.73,99.84,4.24
8h 4d 2h,Tc8c,1.000,66.64,4.44854,111.259,0.20,4.05,99.80,4.45
8h 4d 2h,Tc9c,1.000,23.23,0.40604,29.128,0.25,0.08,99.75,0.41
8h 4d 2h,Jc8c,1.000,67.75,4.78181,117.634,0.24,4.44,99.76,4.78
8h 4d 2h,Jc9c,1.000,24.18,0.36705,25.2989,0.20,-0.04,99.80,0.37
8h 4d 2h,JcTc,1.000,26.17,0.32932,20.9761,0.17,-0.13,99.83,0.33
8h 4d 2h,JcTd,1.000,26.26,0.35735,22.6829,0.19,-0.08,99.81,0.36
8h 4d 2h,JcTh,1.000,29.36,0.45419,25.7825,0.43,0.26,99.57,0.46
8h 4d 2h,JcTs,1.000,26.17,0.32931,20.9757,0.17,-0.13,99.83,0.33
8h 4d 2h,Qc8c,1.000,68.90,5.15502,124.707,0.29,4.88,99.71,5.16
8h 4d 2h,Qc9c,1.000,26.83,0.34929,21.6977,0.18,-0.10,99.82,0.35
8h 4d 2h,QcTc,1.000,28.81,0.31068,17.9733,0.16,-0.19,99.84,0.31
8h 4d 2h,QcJc,1.000,30.72,0.32931,17.8666,0.16,-0.18,99.84,0.33
8h 4d 2h,QcTd,1.000,28.91,0.33765,19.4679,0.17,-0.14,99.83,0.34
8h 4d 2h,QcJd,1.000,30.82,0.36215,19.5853,0.17,-0.12,99.83,0.36
8h 4d 2h,QcTh,1.000,32.01,0.4273,22.245,0.37,0.20,99.63,0.43
8h 4d 2h,QcJh,1.000,34.06,0.50359,24.6444,0.34,0.26,99.66,0.50
8h 4d 2h,QcTs,1.000,28.81,0.31071,17.975,0.16,-0.19,99.84,0.31
8h 4d 2h,QcJs,1.000,30.72,0.32932,17.8671,0.16,-0.18,99.84,0.33
8h 4d 2h,Kc2c,1.000,53.76,2.02726,62.8469,0.19,1.61,99.81,2.03
8h 4d 2h,Kc3c,1.000,29.58,0.27678,15.5973,0.13,-0.34,99.87,0.28
8h 4d 2h,Kc4c,1.000,56.91,2.46291,72.1292,0.16,1.97,99.84,2.46
8h 4d 2h,Kc5c,1.000,31.34,0.33644,17.8918,0.16,-0.16,99.84,0.34
8h 4d 2h,Kc6c,1.000,31.36,0.33089,17.5848,0.14,-0.23,99.86,0.33
