Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
8h 4d 2h,6c5c,1.000,41.44,3.91917,157.622,0.61,3.89,99.39,3.92
8h 4d 2h,7c6c,1.000,30.69,1.51203,82.1189,0.31,1.28,99.69,1.51
8h 4d 2h,8c7c,1.000,63.73,3.74447,97.9273,0.19,2.91,99.81,3.75
8h 4d 2h,9c8c,1.000,65.59,4.24307,107.821,0.16,3.41,99.84,4.24
8h 4d 2h,Tc8c,1.000,66.64,4.44805,111.246,0.20,3.81,99.80,4.45
8h 4d 2h,Tc9c,1.000,23.23,0.40867,29.3167,0.25,1.12,99.75,0.41
8h 4d 2h,Jc8c,1.000,67.75,4.78057,117.604,0.24,3.93,99.76,4.78
8h 4d 2h,Jc9c,1.000,24.18,0.36912,25.4418,0.20,1.02,99.80,0.37
8h 4d 2h,JcTc,1.000,26.17,0.33132,21.1037,0.17,1.02,99.83,0.33
8h 4d 2h,JcTd,1.000,26.26,0.35966,22.8298,0.19,1.16,99.81,0.36
8h 4d 2h,JcTh,1.000,29.36,0.45784,25.9895,0.43,1.10,99.57,0.46
8h 4d 2h,JcTs,1.000,26.17,0.33132,21.1037,0.17,1.02,99.83,0.33
8h 4d 2h,Qc8c,1.000,68.90,5.15373,124.675,0.29,4.44,99.71,5.16
8h 4d 2h,Qc9c,1.000,26.83,0.35126,21.82,0.18,1.01,99.82,0.35
8h 4d 2h,QcTc,1.000,28.81,0.31271,18.0907,0.16,1.08,99.84,0.31
8h 4d 2h,QcJc,1.000,30.72,0.33148,17.9841,0.16,1.19,99.84,0.33
8h 4d 2h,QcTd,1.000,28.91,0.33991,19.5984,0.17,1.19,99.83,0.34
8h 4d 2h,QcJd,1.000,30.82,0.36447,19.7107,0.17,1.24,99.83,0.36
8h 4d 2h,QcTh,1.000,32.01,0.43151,22.4645,0.37,1.33,99.63,0.43
8h 4d 2h,QcJh,1.000,34.06,0.50689,24.8061,0.34,1.22,99.66,0.50
8h 4d 2h,QcTs,1.000,28.81,0.31274,18.0924,0.16,1.08,99.84,0.31
