Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
8h 4d 2h,6c5c,1.000,41.44,3.92134,157.709,0.61,4.25,99.39,3.92
8h 4d 2h,7c6c,1.000,30.69,1.51207,82.1212,0.31,1.30,99.69,1.51
8h 4d 2h,8c7c,1.000,63.73,3.74753,98.0073,0.19,4.55,99.81,3.75
8h 4d 2h,9c8c,1.000,65.59,4.24483,107.866,0.16,4.50,99.84,4.24
8h 4d 2h,Tc8c,1.000,66.64,4.44979,111.29,0.20,4.66,99.80,4.45
8h 4d 2h,Tc9c,1.000,23.23,0.40277,28.8937,0.25,-1.22,99.75,0.41
8h 4d 2h,Jc8c,1.000,67.75,4.78548,117.725,0.24,5.96,99.76,4.78
8h 4d 2h,Jc9c,1.000,24.18,0.36446,25.1204,0.20,-1.37,99.80,0.37
8h 4d 2h,JcTc,1.000,26.17,0.32677,20.8139,0.17,-1.60,99.83,0.33
8h 4d 2h,JcTd,1.000,26.26,0.3544,22.4958,0.19,-1.65,99.81,0.36
8h 4d 2h,JcTh,1.000,29.36,0.45009,25.5497,0.43,-0.70,99.57,0.46
8h 4d 2h,JcTs,1.000,26.17,0.32676,20.8133,0.17,-1.60,99.83,0.33
8h 4d 2h,Qc8c,1.000,68.90,5.15858,124.793,0.29,6.08,99.71,5.16
8h 4d 2h,Qc9c,1.000,26.83,0.34695,21.552,0.18,-1.42,99.82,0.35
8h 4d 2h,QcTc,1.000,28.81,0.30827,17.8342,0.16,-1.70,99.84,0.31
8h 4d 2h,QcJc,1.000,30.72,0.3269,17.7358,0.16,-1.70,99.84,0.33
8h 4d 2h,QcTd,1.000,28.91,0.3349,19.3095,0.17,-1.75,99.83,0.34
8h 4d 2h,QcJd,1.000,30.82,0.35943,19.4379,0.17,-1.71,99.83,0.36
8h 4d 2h,QcTh,1.000,32.01,0.42173,21.9552,0.37,-1.30,99.63,0.43
8h 4d 2h,QcJh,1.000,34.06,0.50004,24.4708,0.34,-0.77,99.66,0.50
8h 4d 2h,QcTs,1.000,28.81,0.3083,17.8359,0.16,-1.70,99.84,0.31
8h 4d 2h,QcJs,1.000,30.72,0.32691,17.7361,0.16,-1.70,99.84,0.33
8h 4d 2h,Kc2c,1.000,53.76,2.02818,62.8756,0.19,2.09,99.81,2.03
8h 4d 2h,Kc3c,1.000,29.58,0.27488,15.4901,0.13,-1.86,99.87,0.28
8h 4d 2h,Kc4c,1.000,56.91,2.46382,72.1557,0.16,2.53,99.84,2.46
