Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
8h 4d 2h,6c5c,1.000,41.44,4.34249,174.647,0.61,3.78,99.39,4.35
8h 4d 2h,7c6c,1.000,30.69,1.28381,69.7239,0.31,1.25,99.69,1.28
8h 4d 2h,8c7c,1.000,63.73,4.10067,107.243,0.19,3.30,99.81,4.10
8h 4d 2h,9c8c,1.000,65.59,4.53478,115.234,0.16,3.73,99.84,4.54
8h 4d 2h,Tc8c,1.000,66.64,4.8384,121.009,0.20,4.05,99.80,4.84
8h 4d 2h,Tc9c,1.000,23.23,0.01016,0.72858,0.25,0.08,99.75,0.01
8h 4d 2h,Jc8c,1.000,67.75,5.22322,128.493,0.24,4.44,99.76,5.23
8h 4d 2h,Jc9c,1.000,24.18,0.00332,0.22871,0.20,-0.04,99.80,0.00
8h 4d 2h,JcTc,1.000,26.17,0.00201,0.12799,0.17,-0.13,99.83,0.00
8h 4d 2h,JcTd,1.000,26.26,0.00147,0.09327,0.19,-0.08,99.81,0.00
8h 4d 2h,JcTh,1.000,29.36,0.50792,28.8323,0.43,0.26,99.57,0.51
8h 4d 2h,JcTs,1.000,26.17,0.00201,0.12802,0.17,-0.13,99.83,0.00
8h 4d 2h,Qc8c,1.000,68.90,5.55312,134.337,0.29,4.88,99.71,5.56
8h 4d 2h,Qc9c,1.000,26.83,0.00222,0.13806,0.18,-0.10,99.82,0.00
8h 4d 2h,QcTc,1.000,28.81,0.00142,0.08198,0.16,-0.19,99.84,0.00
8h 4d 2h,QcJc,1.000,30.72,0.00173,0.09378,0.16,-0.18,99.84,0.00
8h 4d 2h,QcTd,1.000,28.91,0.00109,0.06262,0.17,-0.14,99.83,0.00
8h 4d 2h,QcJd,1.000,30.82,0.00143,0.07753,0.17,-0.12,99.83,0.00
8h 4d 2h,QcTh,1.000,32.01,0.24164,12.5795,0.37,0.20,99.63,0.24
8h 4d 2h,QcJh,1.000,34.06,0.36983,18.0989,0.34,0.26,99.66,0.37
8h 4d 2h,QcTs,1.000,28.81,0.00142,0.08197,0.16,-0.19,99.84,0.00
8h 4d 2h,QcJs,1.000,30.72,0.00172,0.09358,0.16,-0.18,99.84,0.00
8h 4d 2h,Kc2c,1.000,53.76,1.96743,60.9923,0.19,1.61,99.81,1.97
8h 4d 2h,Kc3c,1.000,29.58,-0.00039,-0.02198,0.13,-0.34,99.87,0.00
8h 4d 2h,Kc4c,1.000,56.91,2.45116,71.785,0.16,1.97,99.84,2.45
8h 4d 2h,Kc5c,1.000,31.34,0.0006,0.03183,0.16,-0.16,99.84,0.00
8h 4d 2h,Kc6c,1.000,31.36,0.00013,0.00675,0.14,-0.23,99.86,0.00
8h 4d 2h,Kc7c,1.000,31.11,-0.00038,-0.02021,0.11,-0.39,99.89,0.00
8h 4d 2h,Kc8c,1.000,70.35,6.09542,144.413,0.39,5.38,99.61,6.10
8h 4d 2h,Kc9c,1.000,33.38,0.00104,0.05215,0.14,-0.24,99.86,0.00
8h 4d 2h,KcTc,1.000,35.37,0.00062,0.02914,0.13,-0.30,99.87,0.00
8h 4d 2h,KcJc,1.000,37.30,0.0009,0.04021,0.13,-0.28,99.87,0.00
8h 4d 2h,KcQc,1.000,39.21,0.09456,4.01942,0.14,-0.16,99.86,0.09
8h 4d 2h,KcTd,1.000,35.48,0.00045,0.02116,0.14,-0.25,99.86,0.00
8h 4d 2h,KcJd,1.000,37.41,0.00073,0.03234,0.14,-0.22,99.86,0.00
8h 4d 2h,KcQd,1.000,39.32,0.0457,1.93727,0.16,-0.10,99.84,0.05
8h 4d 2h,KcTh,1.000,38.49,0.15288,6.6202,0.27,0.09,99.73,0.15
8h 4d 2h,KcJh,1.000,40.55,0.31155,12.8044,0.21,0.17,99.79,0.31
8h 4d 2h,KcQh,1.000,42.60,0.69429,27.1603,0.19,0.46,99.81,0.69
8h 4d 2h,KcTs,1.000,35.37,0.00062,0.02903,0.13,-0.30,99.87,0.00
