Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
8h 4d 2h,5c4c,1.000,60.96,15.0476,102.847,63.45,15.05,36.55,15.05
8h 4d 2h,6c5c,1.000,43.11,16.2654,157.221,57.06,16.26,42.94,16.27
8h 4d 2h,7c6c,1.000,32.05,11.0252,143.325,53.22,11.02,46.78,11.03
8h 4d 2h,8c7c,1.000,64.51,17.3555,112.097,31.65,17.36,68.35,17.35
8h 4d 2h,9c8c,1.000,65.08,17.7569,113.684,15.55,17.75,84.45,17.76
8h 4d 2h,Tc8c,1.000,65.73,18.3611,116.386,1.48,18.01,98.52,18.37
8h 4d 2h,Tc9c,1.000,20.07,7.81077,162.123,82.56,7.81,17.44,7.81
8h 4d 2h,Jc9c,1.000,18.13,6.90333,158.675,80.67,6.90,19.33,6.91
8h 4d 2h,JcTc,1.000,17.36,6.4482,154.776,88.40,6.45,11.60,6.44
8h 4d 2h,Qc9c,1.000,18.18,6.63567,152.052,94.31,6.64,5.69,6.64
8h 4d 2h,QcTc,1.000,17.38,6.17226,147.933,74.60,6.17,25.40,6.17
8h 4d 2h,QcJc,1.000,19.39,5.5397,119.048,62.30,5.55,37.70,5.53
8h 4d 2h,QcJd,1.000,19.67,5.9114,125.242,82.19,5.91,17.81,5.90
8h 4d 2h,QcJh,1.000,23.31,7.93208,141.804,78.09,7.93,21.91,7.94
8h 4d 2h,QcJs,1.000,19.20,5.43747,117.991,44.31,5.43,55.69,5.44
8h 4d 2h,Kc9c,1.000,23.19,6.85461,123.17,98.32,6.86,1.68,6.65
8h 4d 2h,KcTc,1.000,22.69,6.39356,117.427,93.74,6.40,6.26,6.37
8h 4d 2h,KcJc,1.000,24.99,5.87755,97.9883,44.86,5.88,55.14,5.88
8h 4d 2h,KcQc,1.000,30.19,6.32535,87.2914,17.54,6.32,82.46,6.33
8h 4d 2h,KcJd,1.000,25.53,6.26112,102.19,81.99,6.26,18.01,6.25
8h 4d 2h,KcQd,1.000,30.50,6.75658,92.3031,46.54,6.75,53.46,6.76
8h 4d 2h,KcJh,1.000,29.52,8.21719,115.989,77.86,8.22,22.14,8.21
8h 4d 2h,KcQh,1.000,34.52,8.80117,106.221,67.06,8.80,32.94,8.80
8h 4d 2h,KcJs,1.000,24.84,5.78668,97.0499,29.65,5.77,70.35,5.79
8h 4d 2h,KcQs,1.000,30.08,6.27283,86.8984,9.12,6.22,90.88,6.28
8h 4d 2h,Ac2c,1.000,61.73,13.7689,92.9433,12.30,13.73,87.70,13.77
8h 4d 2h,Ac3c,1.000,41.97,9.91268,98.4149,61.38,9.92,38.62,9.91
8h 4d 2h,Ac4c,1.000,62.04,13.5755,91.1807,39.00,13.58,61.00,13.58
8h 4d 2h,Ac5c,1.000,43.07,10.6167,102.706,9.15,10.59,90.85,10.62
8h 4d 2h,Ac6c,1.000,33.50,6.42855,79.9626,98.17,6.43,1.83,6.18
8h 4d 2h,Ac7c,1.000,33.61,6.41696,79.5604,98.30,6.42,1.70,6.18
8h 4d 2h,Ac8c,1.000,68.23,18.5875,113.518,98.82,18.59,1.18,18.16
8h 4d 2h,Ac9c,1.000,33.50,6.51783,81.0644,98.63,6.52,1.37,6.18
