Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
8h 4d 2h,5c4c,1.000,60.96,15.7458,107.619,63.45,16.15,36.55,15.05
8h 4d 2h,6c5c,1.000,43.11,15.771,152.443,57.06,15.40,42.94,16.27
8h 4d 2h,7c6c,1.000,32.05,10.0961,131.247,53.22,9.28,46.78,11.03
8h 4d 2h,8c7c,1.000,64.51,17.9507,115.941,31.65,19.24,68.35,17.35
8h 4d 2h,9c8c,1.000,65.08,18.0556,115.596,15.55,19.67,84.45,17.76
8h 4d 2h,Tc8c,1.000,65.73,18.388,116.557,1.48,19.83,98.52,18.37
8h 4d 2h,Tc9c,1.000,20.07,6.7698,140.517,82.56,6.55,17.44,7.81
8h 4d 2h,Jc9c,1.000,18.13,5.94997,136.762,80.67,5.72,19.33,6.91
8h 4d 2h,JcTc,1.000,17.36,5.64763,135.56,88.40,5.54,11.60,6.44
8h 4d 2h,Qc9c,1.000,18.18,5.54333,127.022,94.31,5.48,5.69,6.64
8h 4d 2h,QcTc,1.000,17.38,5.56179,133.302,74.60,5.35,25.40,6.17
8h 4d 2h,QcJc,1.000,19.39,5.03884,108.284,62.30,4.74,37.70,5.53
8h 4d 2h,QcJd,1.000,19.67,5.36745,113.717,82.19,5.25,17.81,5.90
8h 4d 2h,QcJh,1.000,23.31,6.84703,122.406,78.09,6.54,21.91,7.94
8h 4d 2h,QcJs,1.000,19.20,5.07709,110.171,44.31,4.62,55.69,5.44
8h 4d 2h,Kc9c,1.000,23.19,5.15447,92.6201,98.32,5.13,1.68,6.65
8h 4d 2h,KcTc,1.000,22.69,4.95962,91.0904,93.74,4.87,6.26,6.37
8h 4d 2h,KcJc,1.000,24.99,5.1218,85.3886,44.86,4.19,55.14,5.88
8h 4d 2h,KcQc,1.000,30.19,6.00947,82.9323,17.54,4.52,82.46,6.33
8h 4d 2h,KcJd,1.000,25.53,4.99173,81.4723,81.99,4.71,18.01,6.25
8h 4d 2h,KcQd,1.000,30.50,5.75674,78.644,46.54,4.61,53.46,6.76
8h 4d 2h,KcJh,1.000,29.52,6.46653,91.2775,77.86,5.97,22.14,8.21
8h 4d 2h,KcQh,1.000,34.52,7.00372,84.5273,67.06,6.12,32.94,8.80
8h 4d 2h,KcJs,1.000,24.84,5.28345,88.6101,29.65,4.07,70.35,5.79
8h 4d 2h,KcQs,1.000,30.08,6.10688,84.5996,9.12,4.40,90.88,6.28
8h 4d 2h,Ac2c,1.000,61.73,13.8442,93.4513,12.30,14.34,87.70,13.77
8h 4d 2h,Ac3c,1.000,41.97,9.26361,91.9707,61.38,8.86,38.62,9.91
8h 4d 2h,Ac4c,1.000,62.04,13.8021,92.7028,39.00,14.16,61.00,13.58
8h 4d 2h,Ac5c,1.000,43.07,10.5263,101.832,9.15,9.60,90.85,10.62
8h 4d 2h,Ac6c,1.000,33.50,5.82179,72.4152,98.17,5.82,1.83,6.18
8h 4d 2h,Ac7c,1.000,33.61,5.47834,67.9229,98.30,5.47,1.70,6.18
8h 4d 2h,Ac8c,1.000,68.23,19.7728,120.757,98.82,19.79,1.18,18.16
8h 4d 2h,Ac9c,1.000,33.50,5.92735,73.7204,98.63,5.92,1.37,6.18
8h 4d 2h,AcTc,1.000,37.47,6.53108,72.6346,4.63,5.25,95.37,6.59
8h 4d 2h,AcJc,1.000,46.59,8.30332,74.259,0.48,5.87,99.52,8.32
8h 4d 2h,AcQc,1.000,56.07,10.7565,79.9353,0.61,9.87,99.39,10.76
8h 4d 2h,AcKc,1.000,62.10,13.1402,88.1589,15.22,14.23,84.78,12.95
8h 4d 2h,AcTd,1.000,38.06,6.17066,67.561,53.90,5.62,46.10,6.81
8h 4d 2h,AcJd,1.000,47.24,8.56436,75.5355,0.58,6.35,99.42,8.58
8h 4d 2h,AcQd,1.000,56.47,10.9383,80.7122,0.73,9.93,99.27,10.95
8h 4d 2h,AcKd,1.000,62.50,13.2282,88.1893,6.89,14.55,93.11,13.13
8h 4d 2h,AcTh,1.000,41.05,7.24489,73.5453,90.75,7.15,9.25,8.20
8h 4d 2h,AcJh,1.000,50.78,10.0435,82.4025,0.81,7.10,99.19,10.07
8h 4d 2h,AcQh,1.000,59.83,12.5263,87.2428,9.36,11.55,90.64,12.63
8h 4d 2h,AcKh,1.000,65.83,15.507,98.1535,67.54,15.60,32.46,15.31
8h 4d 2h,AcTs,1.000,37.47,6.531,72.6338,4.63,5.25,95.37,6.59
8h 4d 2h,AcJs,1.000,46.59,8.30321,74.2577,0.48,5.87,99.52,8.31
8h 4d 2h,AcQs,1.000,56.07,10.7565,79.9355,0.61,9.87,99.39,10.76
8h 4d 2h,AcKs,1.000,62.10,13.1398,88.1562,15.20,14.23,84.80,12.94
8h 4d 2h,2d2c,1.000,92.68,50.4406,226.774,99.62,50.46,0.38,45.36
8h 4d 2h,3d3c,1.000,56.71,11.3226,83.1863,82.83,11.28,17.17,11.51
8h 4d 2h,5d5c,1.000,57.74,11.8666,85.6377,33.14,11.73,66.86,11.94
8h 4d 2h,6d6c,1.000,58.24,12.2826,87.8702,12.96,12.02,87.04,12.32
8h 4d 2h,6d5d,1.000,45.62,17.3504,158.465,34.34,17.05,65.66,17.51
8h 4d 2h,7d7c,1.000,60.01,13.0477,90.5986,54.61,12.93,45.39,13.19
8h 4d 2h,7d6d,1.000,35.22,11.9661,141.575,25.94,11.00,74.06,12.30
8h 4d 2h,8d8c,1.000,94.79,53.9282,237.059,99.60,53.95,0.40,48.77
8h 4d 2h,8d7d,1.000,66.24,20.0565,126.161,59.70,20.80,40.30,18.96
8h 4d 2h,9d9c,1.000,62.72,15.1129,100.396,10.69,15.26,89.31,15.10
8h 4d 2h,9d8d,1.000,67.05,20.0037,124.299,23.15,21.67,76.85,19.50
8h 4d 2h,TdTc,1.000,65.37,18.9278,120.65,95.98,18.99,4.02,17.46
8h 4d 2h,Td8d,1.000,67.88,20.1219,123.523,3.36,21.83,96.64,20.06
8h 4d 2h,Td9d,1.000,23.91,8.28251,144.325,79.83,8.04,20.17,9.22
8h 4d 2h,JdJc,1.000,71.23,24.9714,146.065,91.63,25.05,8.37,24.11
8h 4d 2h,Jd9d,1.000,22.04,7.67008,144.995,73.11,7.40,26.89,8.41
8h 4d 2h,JdTd,1.000,21.43,6.98451,135.784,91.28,6.87,8.72,8.16
8h 4d 2h,QdJc,1.000,19.45,5.17453,110.854,86.48,5.05,13.52,5.99
8h 4d 2h,QdQc,1.000,77.66,33.0183,177.147,99.63,33.03,0.37,30.93
8h 4d 2h,Qd9d,1.000,22.12,6.97863,131.455,81.24,6.70,18.76,8.20
8h 4d 2h,QdTd,1.000,21.65,6.53177,125.702,80.17,6.16,19.83,8.02
8h 4d 2h,QdJd,1.000,23.82,7.31791,127.992,15.31,5.91,84.69,7.57
8h 4d 2h,QdJh,1.000,23.48,7.10488,126.076,89.74,6.95,10.26,8.43
8h 4d 2h,QdJs,1.000,19.45,5.17444,110.852,86.48,5.05,13.52,5.99
8h 4d 2h,KdJc,1.000,25.01,4.80421,80.0297,83.75,4.54,16.25,6.15
8h 4d 2h,KdQc,1.000,30.51,5.89063,80.4396,41.57,4.92,58.43,6.58
8h 4d 2h,KdKc,1.000,82.18,39.9148,202.367,99.71,39.93,0.29,36.10
8h 4d 2h,Kd9d,1.000,27.00,6.59937,101.845,93.12,6.48,6.88,8.19
8h 4d 2h,KdTd,1.000,26.83,6.42498,99.7624,82.63,6.09,17.37,8.03
8h 4d 2h,KdJd,1.000,29.37,7.71348,109.437,4.71,5.68,95.29,7.81
8h 4d 2h,KdQd,1.000,34.28,8.28947,100.764,7.36,6.01,92.64,8.47
8h 4d 2h,KdJh,1.000,29.64,6.67365,93.8219,89.74,6.46,10.26,8.53
8h 4d 2h,KdQh,1.000,34.92,7.15234,85.3469,78.02,6.60,21.98,9.13
8h 4d 2h,KdJs,1.000,25.01,4.80417,80.0292,83.75,4.54,16.25,6.15
8h 4d 2h,KdQs,1.000,30.51,5.89063,80.4396,41.57,4.92,58.43,6.58
8h 4d 2h,AdTc,1.000,37.53,4.86083,53.964,90.89,4.64,9.11,7.07
8h 4d 2h,AdJc,1.000,46.79,8.40812,74.8714,0.81,5.79,99.19,8.43
8h 4d 2h,AdQc,1.000,56.37,10.8978,80.5581,0.63,10.15,99.37,10.90
8h 4d 2h,AdKc,1.000,62.45,13.15,87.7323,4.70,14.55,95.30,13.08
8h 4d 2h,AdAc,1.000,89.84,46.8663,217.358,99.82,46.87,0.18,43.11
8h 4d 2h,Ad2d,1.000,64.01,16.2438,105.733,32.24,17.01,67.76,15.88
8h 4d 2h,Ad3d,1.000,44.63,10.2691,95.8623,72.52,9.65,27.48,11.91
8h 4d 2h,Ad5d,1.000,45.67,12.156,110.895,34.13,11.23,65.87,12.63
8h 4d 2h,Ad6d,1.000,36.61,6.24604,71.0915,94.66,6.15,5.34,7.94
8h 4d 2h,Ad7d,1.000,36.77,6.20806,70.3474,97.01,6.15,2.99,8.01
8h 4d 2h,Ad8d,1.000,70.11,21.8189,129.679,98.10,21.85,1.90,19.95
8h 4d 2h,Ad9d,1.000,36.77,6.64138,75.26,97.99,6.61,2.01,7.99
8h 4d 2h,AdTd,1.000,41.04,8.49416,86.234,3.03,6.38,96.97,8.56
8h 4d 2h,AdJd,1.000,49.89,10.1756,84.98,0.53,6.52,99.47,10.20
8h 4d 2h,AdQd,1.000,58.80,12.6171,89.409,0.95,12.73,99.05,12.62
8h 4d 2h,AdKd,1.000,64.62,15.8072,101.931,44.65,16.91,55.35,14.92
8h 4d 2h,AdTh,1.000,41.08,6.8988,69.9655,98.03,6.86,1.97,8.66
8h 4d 2h,AdJh,1.000,50.96,10.0838,82.4554,2.13,6.81,97.87,10.15
8h 4d 2h,AdQh,1.000,60.10,12.6272,87.5495,9.08,11.49,90.92,12.74
8h 4d 2h,AdKh,1.000,66.16,15.676,98.7281,32.03,16.35,67.97,15.36
8h 4d 2h,AdTs,1.000,37.53,4.86084,53.9641,90.89,4.64,9.11,7.07
8h 4d 2h,AdJs,1.000,46.79,8.40808,74.8711,0.81,5.79,99.19,8.43
8h 4d 2h,AdQs,1.000,56.37,10.8978,80.5576,0.63,10.15,99.37,10.90
8h 4d 2h,AdKs,1.000,62.45,13.15,87.7323,4.70,14.55,95.30,13.08
8h 4d 2h,3h3c,1.000,58.41,12.2732,87.5536,3.58,11.76,96.42,12.29
8h 4d 2h,3h3d,1.000,58.45,12.3338,87.9234,3.25,11.85,96.75,12.35
8h 4d 2h,4h4c,1.000,92.96,50.8393,227.868,99.61,50.86,0.39,45.73
8h 4d 2h,5h5c,1.000,59.41,12.7453,89.3828,9.77,13.09,90.23,12.71
8h 4d 2h,5h5d,1.000,59.46,12.793,89.6549,8.40,13.13,91.60,12.76
8h 4d 2h,5h4h,1.000,75.08,29.6385,164.479,99.39,29.66,0.61,26.92
8h 4d 2h,6h6c,1.000,59.99,13.2172,91.7996,2.15,13.48,97.85,13.21
8h 4d 2h,6h6d,1.000,60.04,13.3208,92.4497,1.80,13.56,98.20,13.32
8h 4d 2h,6h5h,1.000,62.29,27.3187,182.731,92.19,27.41,7.81,26.21
8h 4d 2h,7h7c,1.000,61.82,14.0533,94.7237,3.14,14.24,96.86,14.05
8h 4d 2h,7h7d,1.000,61.88,14.1387,95.2053,2.62,14.37,97.38,14.13
8h 4d 2h,7h6h,1.000,55.69,22.0633,165.086,2.66,22.62,97.34,22.05
8h 4d 2h,9h9c,1.000,64.65,16.7199,107.758,64.32,16.98,35.68,16.25
8h 4d 2h,9h9d,1.000,64.76,16.4872,106.079,19.93,16.94,80.07,16.37
8h 4d 2h,ThTc,1.000,67.75,20.18,124.1,70.84,20.77,29.16,18.74
8h 4d 2h,ThTd,1.000,68.06,19.7493,120.903,46.05,20.81,53.95,18.85
8h 4d 2h,Th9h,1.000,48.81,19.2259,164.13,9.74,19.15,90.26,19.23
8h 4d 2h,JhJc,1.000,74.04,27.2017,153.083,99.00,27.22,1.00,25.50
8h 4d 2h,JhJd,1.000,74.38,26.874,150.552,93.88,26.96,6.12,25.48
8h 4d 2h,Jh9h,1.000,47.80,18.9419,165.103,58.09,18.57,41.91,19.45
8h 4d 2h,JhTh,1.000,47.52,18.7894,164.763,93.37,18.74,6.63,19.48
8h 4d 2h,QhJc,1.000,23.46,6.90705,122.675,88.37,6.73,11.63,8.28
8h 4d 2h,QhQc,1.000,80.50,34.8163,180.215,99.36,34.83,0.64,32.50
8h 4d 2h,QhJd,1.000,23.78,7.33246,128.499,89.32,7.17,10.68,8.66
8h 4d 2h,QhQd,1.000,80.80,34.7963,179.445,98.97,34.82,1.03,32.35
8h 4d 2h,Qh9h,1.000,48.21,19.2687,166.54,53.54,18.89,46.46,19.70
8h 4d 2h,QhTh,1.000,48.13,19.6221,169.867,83.14,19.58,16.86,19.81
8h 4d 2h,QhJh,1.000,49.90,20.0851,167.71,95.99,20.07,4.01,20.34
8h 4d 2h,QhJs,1.000,23.46,6.90697,122.675,88.37,6.73,11.63,8.28
8h 4d 2h,KhJc,1.000,28.98,7.03807,101.199,88.40,6.89,11.60,8.17
8h 4d 2h,KhQc,1.000,34.91,7.89204,94.1925,39.17,6.93,60.83,8.51
8h 4d 2h,KhKc,1.000,84.93,41.2155,202.204,99.52,41.23,0.48,37.80
8h 4d 2h,KhJd,1.000,29.58,7.5606,106.486,90.26,7.45,9.74,8.60
8h 4d 2h,KhQd,1.000,35.29,8.05288,95.089,51.94,7.17,48.06,9.00
8h 4d 2h,KhKd,1.000,85.21,41.1786,201.361,99.39,41.20,0.61,37.76
8h 4d 2h,Kh9h,1.000,51.77,21.136,170.113,95.30,21.19,4.70,19.99
8h 4d 2h,KhTh,1.000,51.92,20.5079,164.594,84.54,20.59,15.46,20.05
8h 4d 2h,KhJh,1.000,54.17,20.4813,157.54,35.16,20.44,64.84,20.50
8h 4d 2h,KhQh,1.000,57.89,21.3541,153.698,78.62,21.35,21.38,21.38
8h 4d 2h,KhJs,1.000,28.98,7.03802,101.2,88.40,6.89,11.60,8.17
8h 4d 2h,KhQs,1.000,34.91,7.89203,94.1925,39.17,6.93,60.83,8.51
8h 4d 2h,AhTc,1.000,40.99,8.03411,81.6632,98.43,8.00,1.57,9.92
8h 4d 2h,AhJc,1.000,50.57,9.8448,81.1099,27.41,7.31,72.59,10.80
8h 4d 2h,AhQc,1.000,60.35,13.1012,90.4545,7.38,11.69,92.62,13.21
8h 4d 2h,AhKc,1.000,66.56,15.7961,98.8864,27.77,16.35,72.23,15.58
8h 4d 2h,AhAc,1.000,93.30,47.4026,211.69,99.56,47.41,0.44,44.74
8h 4d 2h,AhTd,1.000,41.52,8.38779,84.1798,98.46,8.36,1.54,10.21
8h 4d 2h,AhJd,1.000,51.18,10.0208,81.5736,33.68,7.93,66.32,11.08
8h 4d 2h,AhQd,1.000,60.70,13.1728,90.4161,15.35,11.91,84.65,13.40
8h 4d 2h,AhKd,1.000,66.93,15.7895,98.2984,12.86,16.11,87.14,15.74
