Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 13%,BET 13 EV,CHECK%,CHECK EV
8h 4d 2h,5c4c,1.000,60.96,20.2955,138.715,63.45,23.32,36.55,15.05
8h 4d 2h,6c5c,1.000,43.11,15.5666,150.467,57.06,15.04,42.94,16.27
8h 4d 2h,7c6c,1.000,32.05,6.75706,87.8398,53.22,3.00,46.78,11.03
8h 4d 2h,8c7c,1.000,64.51,19.8664,128.315,31.65,25.29,68.35,17.35
8h 4d 2h,9c8c,1.000,65.08,19.0837,122.178,15.55,26.28,84.45,17.76
8h 4d 2h,Tc8c,1.000,65.73,18.4719,117.089,1.48,25.51,98.52,18.37
8h 4d 2h,Tc9c,1.000,20.07,-0.41926,-8.70236,82.56,-2.16,17.44,7.81
8h 4d 2h,Jc9c,1.000,18.13,-1.48202,-34.0647,80.67,-3.49,19.33,6.91
8h 4d 2h,JcTc,1.000,17.36,-1.40503,-33.7249,88.40,-2.43,11.60,6.44
8h 4d 2h,Qc9c,1.000,18.18,-3.948,-90.466,94.31,-4.59,5.69,6.64
8h 4d 2h,QcTc,1.000,17.38,-0.44948,-10.773,74.60,-2.70,25.40,6.17
8h 4d 2h,QcJc,1.000,19.39,-0.59224,-12.7272,62.30,-4.30,37.70,5.53
8h 4d 2h,QcJd,1.000,19.67,-2.45992,-52.1172,82.19,-4.27,17.81,5.90
8h 4d 2h,QcJh,1.000,23.31,-1.07224,-19.1687,78.09,-3.60,21.91,7.94
8h 4d 2h,QcJs,1.000,19.20,1.10226,23.9188,44.31,-4.35,55.69,5.44
8h 4d 2h,Kc9c,1.000,23.19,-4.55975,-81.9336,98.32,-4.75,1.68,6.65
8h 4d 2h,KcTc,1.000,22.69,-2.42716,-44.5782,93.74,-3.01,6.26,6.37
8h 4d 2h,KcJc,1.000,24.99,1.16082,19.3528,44.86,-4.64,55.14,5.88
8h 4d 2h,KcQc,1.000,30.19,4.3807,60.4547,17.54,-4.77,82.46,6.33
8h 4d 2h,KcJd,1.000,25.53,-2.92912,-47.8075,81.99,-4.95,18.01,6.25
8h 4d 2h,KcQd,1.000,30.50,1.20547,16.4682,46.54,-5.17,53.46,6.76
8h 4d 2h,KcJh,1.000,29.52,-0.76829,-10.8447,77.86,-3.32,22.14,8.21
8h 4d 2h,KcQh,1.000,34.52,2.29884,27.7446,67.06,-0.89,32.94,8.80
8h 4d 2h,KcJs,1.000,24.84,2.68496,45.0303,29.65,-4.69,70.35,5.79
8h 4d 2h,KcQs,1.000,30.08,5.26881,72.9897,9.12,-4.79,90.88,6.28
8h 4d 2h,Ac2c,1.000,61.73,14.8611,100.316,12.30,22.61,87.70,13.77
8h 4d 2h,Ac3c,1.000,41.97,7.23777,71.8578,61.38,5.56,38.62,9.91
8h 4d 2h,Ac4c,1.000,62.04,16.6239,111.656,39.00,21.39,61.00,13.58
8h 4d 2h,Ac5c,1.000,43.07,10.2298,98.9631,9.15,6.36,90.85,10.62
8h 4d 2h,Ac6c,1.000,33.50,-2.79146,-34.722,98.17,-2.96,1.83,6.18
8h 4d 2h,Ac7c,1.000,33.61,-3.8553,-47.7997,98.30,-4.03,1.70,6.18
8h 4d 2h,Ac8c,1.000,68.23,28.7919,175.838,98.82,28.92,1.18,18.16
8h 4d 2h,Ac9c,1.000,33.50,-1.99699,-24.8372,98.63,-2.11,1.37,6.18
8h 4d 2h,AcTc,1.000,37.47,6.17601,68.6858,4.63,-2.43,95.37,6.59
8h 4d 2h,AcJc,1.000,46.59,8.26841,73.9468,0.48,-1.44,99.52,8.32
8h 4d 2h,AcQc,1.000,56.07,10.7629,79.9828,0.61,10.91,99.39,10.76
8h 4d 2h,AcKc,1.000,62.10,14.0435,94.2188,15.22,20.16,84.78,12.95
8h 4d 2h,AcTd,1.000,38.06,2.00528,21.9553,53.90,-2.11,46.10,6.81
8h 4d 2h,AcJd,1.000,47.24,8.52393,75.1789,0.58,-0.59,99.42,8.58
8h 4d 2h,AcQd,1.000,56.47,10.9431,80.7475,0.73,10.59,99.27,10.95
8h 4d 2h,AcKd,1.000,62.50,13.557,90.3819,6.89,19.33,93.11,13.13
8h 4d 2h,AcTh,1.000,41.05,0.77303,7.8473,90.75,0.02,9.25,8.20
8h 4d 2h,AcJh,1.000,50.78,10.0198,82.2083,0.81,4.19,99.19,10.07
8h 4d 2h,AcQh,1.000,59.83,12.2607,85.3929,9.36,8.71,90.64,12.63
8h 4d 2h,AcKh,1.000,65.83,15.7792,99.8761,67.54,16.00,32.46,15.31
8h 4d 2h,AcTs,1.000,37.47,6.17583,68.6838,4.63,-2.43,95.37,6.59
8h 4d 2h,AcJs,1.000,46.59,8.26828,73.9454,0.48,-1.45,99.52,8.31
8h 4d 2h,AcQs,1.000,56.07,10.7629,79.983,0.61,10.91,99.39,10.76
8h 4d 2h,AcKs,1.000,62.10,14.0416,94.2066,15.20,20.16,84.80,12.94
8h 4d 2h,2d2c,1.000,92.68,67.6431,304.114,99.62,67.73,0.38,45.36
8h 4d 2h,3d3c,1.000,56.71,5.22741,38.4056,82.83,3.93,17.17,11.51
8h 4d 2h,5d5c,1.000,57.74,9.46924,68.3368,33.14,4.49,66.86,11.94
8h 4d 2h,6d6c,1.000,58.24,11.2851,80.7342,12.96,4.32,87.04,12.32
8h 4d 2h,6d5d,1.000,45.62,17.6536,161.234,34.34,17.93,65.66,17.51
