Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
8h 4d 2h,6c5c,1.000,42.05,5.04305,199.865,93.88,5.04,6.12,5.04
8h 4d 2h,7c6c,1.000,31.26,3.05981,163.153,88.83,3.06,11.17,3.06
8h 4d 2h,8c7c,1.000,63.26,5.09892,134.347,96.51,5.10,3.49,5.09
8h 4d 2h,9c8c,1.000,64.19,5.21106,135.312,94.56,5.21,5.44,5.21
8h 4d 2h,Tc8c,1.000,65.11,5.29847,135.634,64.01,5.30,35.99,5.30
8h 4d 2h,Tc9c,1.000,19.84,1.20178,100.957,74.21,1.20,25.79,1.20
8h 4d 2h,Jc8c,1.000,65.19,5.34895,136.75,79.35,5.35,20.65,5.35
8h 4d 2h,Jc9c,1.000,19.10,1.12114,97.8117,66.62,1.12,33.38,1.12
8h 4d 2h,JcTc,1.000,18.89,0.87799,77.4826,88.26,0.88,11.74,0.87
8h 4d 2h,JcTd,1.000,18.72,0.91812,81.7584,81.42,0.92,18.58,0.92
8h 4d 2h,JcTh,1.000,21.90,1.46293,111.325,97.64,1.46,2.36,1.46
8h 4d 2h,JcTs,1.000,18.62,0.85041,76.1012,13.03,0.84,86.97,0.85
8h 4d 2h,Qc8c,1.000,65.68,5.39778,136.976,77.04,5.40,22.96,5.40
8h 4d 2h,Qc9c,1.000,19.25,0.99184,85.8905,75.45,0.99,24.55,0.99
8h 4d 2h,QcTc,1.000,19.07,0.76917,67.2327,80.93,0.77,19.07,0.76
8h 4d 2h,QcJc,1.000,21.38,0.93146,72.6276,94.17,0.93,5.83,0.91
8h 4d 2h,QcTd,1.000,18.92,0.80575,70.9702,74.97,0.81,25.03,0.81
8h 4d 2h,QcJd,1.000,21.25,0.98863,77.5393,85.89,0.99,14.11,0.99
8h 4d 2h,QcTh,1.000,22.29,1.33657,99.941,97.49,1.34,2.51,1.33
8h 4d 2h,QcJh,1.000,24.77,1.59512,107.311,93.38,1.60,6.62,1.60
8h 4d 2h,QcTs,1.000,18.80,0.75062,66.5429,6.59,0.73,93.41,0.75
8h 4d 2h,QcJs,1.000,21.13,0.89313,70.4541,32.10,0.89,67.90,0.89
8h 4d 2h,Kc8c,1.000,64.82,5.28031,135.77,88.98,5.28,11.02,5.28
8h 4d 2h,Kc9c,1.000,21.37,0.84958,66.2553,27.80,0.85,72.20,0.85
8h 4d 2h,KcTc,1.000,21.34,0.69761,54.49,3.95,0.69,96.05,0.70
8h 4d 2h,KcJc,1.000,23.59,0.81265,57.4197,52.76,0.81,47.24,0.81
8h 4d 2h,KcQc,1.000,27.97,1.01831,60.6792,56.38,1.02,43.62,1.02
8h 4d 2h,KcTd,1.000,21.24,0.71667,56.2251,8.27,0.71,91.73,0.72
8h 4d 2h,KcJd,1.000,23.51,0.86449,61.2767,45.47,0.86,54.53,0.86
8h 4d 2h,KcQd,1.000,28.12,1.08958,64.5764,85.60,1.09,14.40,1.09
8h 4d 2h,KcTh,1.000,24.69,1.19085,80.3816,93.03,1.19,6.97,1.19
8h 4d 2h,KcJh,1.000,27.11,1.43157,87.9977,92.16,1.43,7.84,1.43
8h 4d 2h,KcQh,1.000,31.88,1.69694,88.703,89.87,1.70,10.13,1.70
8h 4d 2h,KcTs,1.000,21.10,0.69904,55.2261,1.22,0.64,98.78,0.70
8h 4d 2h,KcJs,1.000,23.37,0.80598,57.4905,3.44,0.77,96.56,0.81
8h 4d 2h,KcQs,1.000,27.97,1.01828,60.6772,56.46,1.02,43.54,1.02
8h 4d 2h,Ac2c,1.000,58.32,3.70616,105.918,82.16,3.71,17.84,3.71
8h 4d 2h,Ac3c,1.000,39.80,2.77872,116.347,96.63,2.78,3.37,2.77
8h 4d 2h,Ac4c,1.000,58.60,3.65462,103.95,80.92,3.65,19.08,3.65
8h 4d 2h,Ac5c,1.000,40.97,3.13019,127.337,92.23,3.13,7.77,3.13
8h 4d 2h,Ac6c,1.000,31.28,0.8387,44.6893,59.67,0.84,40.33,0.84
8h 4d 2h,Ac7c,1.000,31.41,0.81211,43.0869,50.39,0.81,49.61,0.81
8h 4d 2h,Ac8c,1.000,66.44,5.31523,133.337,98.21,5.32,1.79,5.30
8h 4d 2h,Ac9c,1.000,31.03,0.71623,38.4653,54.68,0.72,45.32,0.72
8h 4d 2h,AcTc,1.000,34.33,0.8087,39.2604,2.22,0.77,97.78,0.81
