Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
8h 4d 2h,6c5c,1.000,42.05,5.20226,206.175,93.88,5.21,6.12,5.04
8h 4d 2h,7c6c,1.000,31.26,3.47085,185.07,88.83,3.52,11.17,3.06
8h 4d 2h,8c7c,1.000,63.26,4.88339,128.668,96.51,4.88,3.49,5.09
8h 4d 2h,9c8c,1.000,64.19,4.98854,129.534,94.56,4.98,5.44,5.21
8h 4d 2h,Tc8c,1.000,65.11,5.08653,130.209,64.01,4.97,35.99,5.30
8h 4d 2h,Tc9c,1.000,19.84,1.75159,147.144,74.21,1.94,25.79,1.20
8h 4d 2h,Jc8c,1.000,65.19,5.06448,129.477,79.35,4.99,20.65,5.35
8h 4d 2h,Jc9c,1.000,19.10,1.61015,140.474,66.62,1.86,33.38,1.12
8h 4d 2h,JcTc,1.000,18.89,1.39163,122.811,88.26,1.46,11.74,0.87
8h 4d 2h,JcTd,1.000,18.72,1.57458,140.216,81.42,1.72,18.58,0.92
8h 4d 2h,JcTh,1.000,21.90,2.04704,155.774,97.64,2.06,2.36,1.46
8h 4d 2h,JcTs,1.000,18.62,0.9293,83.1602,13.03,1.44,86.97,0.85
8h 4d 2h,Qc8c,1.000,65.68,5.13251,130.245,77.04,5.05,22.96,5.40
8h 4d 2h,Qc9c,1.000,19.25,1.37315,118.911,75.45,1.50,24.55,0.99
8h 4d 2h,QcTc,1.000,19.07,1.21186,105.928,80.93,1.32,19.07,0.76
8h 4d 2h,QcJc,1.000,21.38,1.26083,98.3097,94.17,1.28,5.83,0.91
8h 4d 2h,QcTd,1.000,18.92,1.31432,115.765,74.97,1.48,25.03,0.81
8h 4d 2h,QcJd,1.000,21.25,1.42928,112.1,85.89,1.50,14.11,0.99
8h 4d 2h,QcTh,1.000,22.29,1.91269,143.02,97.49,1.93,2.51,1.33
8h 4d 2h,QcJh,1.000,24.77,1.85104,124.527,93.38,1.87,6.62,1.60
8h 4d 2h,QcTs,1.000,18.80,0.78774,69.8337,6.59,1.29,93.41,0.75
8h 4d 2h,QcJs,1.000,21.13,1.00536,79.3073,32.10,1.24,67.90,0.89
8h 4d 2h,Kc8c,1.000,64.82,5.09893,131.107,88.98,5.08,11.02,5.28
