Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
8h 4d 2h,6c5c,1.000,42.05,5.37805,213.142,93.88,5.40,6.12,5.04
8h 4d 2h,7c6c,1.000,31.26,2.20562,117.607,88.83,2.10,11.17,3.06
8h 4d 2h,8c7c,1.000,63.26,7.01978,184.957,96.51,7.09,3.49,5.09
8h 4d 2h,9c8c,1.000,64.19,7.49304,194.566,94.56,7.62,5.44,5.21
8h 4d 2h,Tc8c,1.000,65.11,6.71877,171.992,64.01,7.52,35.99,5.30
8h 4d 2h,Tc9c,1.000,19.84,-0.26664,-22.3997,74.21,-0.78,25.79,1.20
8h 4d 2h,Jc8c,1.000,65.19,7.09614,181.418,79.35,7.55,20.65,5.35
8h 4d 2h,Jc9c,1.000,19.10,-0.20682,-18.0435,66.62,-0.87,33.38,1.12
8h 4d 2h,JcTc,1.000,18.89,-0.63905,-56.3954,88.26,-0.84,11.74,0.87
8h 4d 2h,JcTd,1.000,18.72,-0.6535,-58.1946,81.42,-1.01,18.58,0.92
8h 4d 2h,JcTh,1.000,21.90,0.82926,63.1049,97.64,0.81,2.36,1.46
8h 4d 2h,JcTs,1.000,18.62,0.62987,56.3651,13.03,-0.85,86.97,0.85
8h 4d 2h,Qc8c,1.000,65.68,7.05632,179.064,77.04,7.55,22.96,5.40
8h 4d 2h,Qc9c,1.000,19.25,-0.46118,-39.9369,75.45,-0.93,24.55,0.99
8h 4d 2h,QcTc,1.000,19.07,-0.70076,-61.2529,80.93,-1.05,19.07,0.76
8h 4d 2h,QcJc,1.000,21.38,-0.68801,-53.6457,94.17,-0.79,5.83,0.91
8h 4d 2h,QcTd,1.000,18.92,-0.63904,-56.2861,74.97,-1.12,25.03,0.81
8h 4d 2h,QcJd,1.000,21.25,-0.64547,-50.625,85.89,-0.91,14.11,0.99
8h 4d 2h,QcTh,1.000,22.29,-0.24441,-18.2753,97.49,-0.29,2.51,1.33
8h 4d 2h,QcJh,1.000,24.77,1.25743,84.5926,93.38,1.23,6.62,1.60
8h 4d 2h,QcTs,1.000,18.80,0.6332,56.1336,6.59,-1.05,93.41,0.75
8h 4d 2h,QcJs,1.000,21.13,0.35048,27.6476,32.10,-0.80,67.90,0.89
8h 4d 2h,Kc8c,1.000,64.82,6.8021,174.899,88.98,6.99,11.02,5.28
8h 4d 2h,Kc9c,1.000,21.37,0.29466,22.9791,27.80,-1.15,72.20,0.85
8h 4d 2h,KcTc,1.000,21.34,0.62312,48.672,3.95,-1.20,96.05,0.70
8h 4d 2h,KcJc,1.000,23.59,-0.136,-9.60969,52.76,-0.98,47.24,0.81
8h 4d 2h,KcQc,1.000,27.97,0.05588,3.32985,56.38,-0.69,43.62,1.02
8h 4d 2h,KcTd,1.000,21.24,0.5582,43.7923,8.27,-1.20,91.73,0.72
8h 4d 2h,KcJd,1.000,23.51,-0.01908,-1.35219,45.47,-1.08,54.53,0.86
8h 4d 2h,KcQd,1.000,28.12,-0.51457,-30.4974,85.60,-0.78,14.40,1.09
8h 4d 2h,KcTh,1.000,24.69,-0.68909,-46.513,93.03,-0.83,6.97,1.19
8h 4d 2h,KcJh,1.000,27.11,-0.33959,-20.8743,92.16,-0.49,7.84,1.43
8h 4d 2h,KcQh,1.000,31.88,2.11553,110.584,89.87,2.16,10.13,1.70
8h 4d 2h,KcTs,1.000,21.10,0.67652,53.4469,1.22,-1.21,98.78,0.70
8h 4d 2h,KcJs,1.000,23.37,0.74515,53.1514,3.44,-1.00,96.56,0.81
8h 4d 2h,KcQs,1.000,27.97,0.05472,3.26058,56.46,-0.69,43.54,1.02
8h 4d 2h,Ac2c,1.000,58.32,3.83743,109.669,82.16,3.87,17.84,3.71
8h 4d 2h,Ac3c,1.000,39.80,3.12977,131.046,96.63,3.14,3.37,2.77
8h 4d 2h,Ac4c,1.000,58.60,3.62009,102.968,80.92,3.61,19.08,3.65
8h 4d 2h,Ac5c,1.000,40.97,2.72515,110.86,92.23,2.69,7.77,3.13
8h 4d 2h,Ac6c,1.000,31.28,-0.3433,-18.2925,59.67,-1.14,40.33,0.84
8h 4d 2h,Ac7c,1.000,31.41,-0.18998,-10.0797,50.39,-1.18,49.61,0.81
8h 4d 2h,Ac8c,1.000,66.44,7.41585,186.033,98.21,7.45,1.79,5.30
8h 4d 2h,Ac9c,1.000,31.03,-0.35636,-19.1383,54.68,-1.25,45.32,0.72
8h 4d 2h,AcTc,1.000,34.33,0.77172,37.4652,2.22,-0.89,97.78,0.81
8h 4d 2h,AcJc,1.000,42.08,0.96409,38.1854,20.77,-0.24,79.23,1.28
8h 4d 2h,AcQc,1.000,50.01,1.76906,58.9518,44.89,1.33,55.11,2.13
8h 4d 2h,AcKc,1.000,56.77,2.89528,84.9967,69.74,2.79,30.26,3.13
8h 4d 2h,Ac9d,1.000,31.11,-0.55998,-30.0036,67.10,-1.19,32.90,0.73
8h 4d 2h,AcTd,1.000,34.52,0.66924,32.3146,9.18,-0.96,90.82,0.83
8h 4d 2h,AcJd,1.000,42.27,0.46023,18.1484,44.31,-0.63,55.69,1.33
8h 4d 2h,AcQd,1.000,50.21,1.26391,41.9559,47.63,0.27,52.37,2.16
8h 4d 2h,AcKd,1.000,56.96,2.78506,81.4896,68.24,2.61,31.76,3.16
8h 4d 2h,Ac9h,1.000,33.54,-0.59427,-29.5276,91.23,-0.75,8.77,0.97
