Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
8d 5h 3d,6c5c,1.000,58.67,3.11814,88.5799,56.73,3.12,43.27,3.12
8d 5h 3d,7c6c,1.000,42.29,4.27976,168.686,74.83,4.28,25.17,4.28
8d 5h 3d,8c7c,1.000,63.42,4.28239,112.54,69.68,4.28,30.32,4.28
8d 5h 3d,9c8c,1.000,64.38,4.3612,112.894,71.70,4.36,28.30,4.36
8d 5h 3d,Tc8c,1.000,64.95,4.39123,112.683,61.45,4.39,38.55,4.39
8d 5h 3d,Tc9c,1.000,19.73,0.71523,60.4337,11.92,0.72,88.08,0.72
8d 5h 3d,Jc8c,1.000,65.03,4.43223,113.589,72.46,4.43,27.54,4.43
8d 5h 3d,Jc9c,1.000,20.41,0.75846,61.9216,55.80,0.76,44.20,0.76
8d 5h 3d,JcTc,1.000,18.88,0.53043,46.8158,1.31,0.47,98.69,0.53
8d 5h 3d,JcTd,1.000,21.90,0.82789,63.0099,82.08,0.83,17.92,0.83
8d 5h 3d,JcTh,1.000,18.71,0.5538,49.3259,5.00,0.54,95.00,0.55
8d 5h 3d,JcTs,1.000,18.62,0.53199,47.6131,1.00,0.45,99.00,0.53
8d 5h 3d,Qc8c,1.000,65.52,4.49913,114.45,75.46,4.50,24.54,4.50
8d 5h 3d,Qc9c,1.000,20.50,0.66658,54.1825,23.41,0.67,76.59,0.67
8d 5h 3d,QcTc,1.000,19.06,0.48946,42.7892,1.65,0.43,98.35,0.49
8d 5h 3d,QcJc,1.000,21.37,0.53141,41.439,54.41,0.53,45.59,0.53
8d 5h 3d,QcTd,1.000,22.29,0.72526,54.238,84.36,0.73,15.64,0.72
8d 5h 3d,QcJd,1.000,24.77,0.95765,64.4327,80.06,0.96,19.94,0.96
8d 5h 3d,QcTh,1.000,18.92,0.51253,45.1528,1.99,0.46,98.01,0.51
8d 5h 3d,QcJh,1.000,21.25,0.55845,43.8064,45.61,0.56,54.39,0.56
8d 5h 3d,QcTs,1.000,18.80,0.4914,43.5683,0.88,0.39,99.12,0.49
8d 5h 3d,QcJs,1.000,21.13,0.52631,41.521,6.19,0.50,93.81,0.53
8d 5h 3d,Kc8c,1.000,64.66,4.3679,112.581,59.91,4.37,40.09,4.37
8d 5h 3d,Kc9c,1.000,22.55,0.60737,44.8943,1.52,0.55,98.48,0.61
8d 5h 3d,KcTc,1.000,21.34,0.47662,37.2316,0.53,0.32,99.47,0.48
8d 5h 3d,KcJc,1.000,23.59,0.49715,35.1291,1.66,0.46,98.34,0.50
8d 5h 3d,KcQc,1.000,27.97,0.5781,34.4454,17.63,0.58,82.37,0.58
8d 5h 3d,KcTd,1.000,24.69,0.63253,42.7016,33.75,0.63,66.25,0.63
8d 5h 3d,KcJd,1.000,27.11,0.81557,50.1383,80.39,0.82,19.61,0.82
8d 5h 3d,KcQd,1.000,31.88,1.05525,55.1621,79.40,1.06,20.60,1.06
8d 5h 3d,KcTh,1.000,21.24,0.49042,38.4813,0.66,0.35,99.34,0.49
8d 5h 3d,KcJh,1.000,23.51,0.51122,36.2409,1.96,0.46,98.04,0.51
8d 5h 3d,KcQh,1.000,28.12,0.59426,35.2211,40.26,0.59,59.74,0.59
8d 5h 3d,KcTs,1.000,21.09,0.47787,37.7557,0.40,0.27,99.60,0.48
8d 5h 3d,KcJs,1.000,23.36,0.49923,35.6115,0.90,0.41,99.10,0.50
8d 5h 3d,KcQs,1.000,27.97,0.57803,34.4413,17.55,0.58,82.45,0.58
8d 5h 3d,Ac2c,1.000,39.81,2.02804,84.915,68.14,2.03,31.86,2.03
8d 5h 3d,Ac3c,1.000,58.30,2.65054,75.7697,85.26,2.65,14.74,2.65
8d 5h 3d,Ac4c,1.000,40.89,2.33332,95.0974,77.92,2.33,22.08,2.33
8d 5h 3d,Ac5c,1.000,58.58,2.58346,73.5021,88.16,2.58,11.84,2.58
8d 5h 3d,Ac6c,1.000,32.26,0.49335,25.4887,2.77,0.48,97.23,0.49
8d 5h 3d,Ac7c,1.000,32.34,0.4964,25.5855,4.06,0.49,95.94,0.50
8d 5h 3d,Ac8c,1.000,66.27,4.43861,111.628,50.85,4.44,49.15,4.44
8d 5h 3d,Ac9c,1.000,31.90,0.41273,21.5647,0.90,0.31,99.10,0.41
8d 5h 3d,AcTc,1.000,34.33,0.41385,20.0899,0.40,0.21,99.60,0.41
8d 5h 3d,AcJc,1.000,42.08,0.63378,25.1047,2.09,0.60,97.91,0.63
8d 5h 3d,AcQc,1.000,50.01,1.17737,39.2411,19.77,1.18,80.23,1.18
8d 5h 3d,AcKc,1.000,56.76,2.05401,60.3135,46.94,2.05,53.06,2.05
8d 5h 3d,Ac9d,1.000,34.37,0.52523,25.4718,24.53,0.53,75.47,0.52
