Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
8d 5h 3d,6c5c,1.000,58.67,3.22662,91.6615,56.73,3.31,43.27,3.12
8d 5h 3d,7c6c,1.000,42.29,5.08178,200.298,74.83,5.35,25.17,4.28
8d 5h 3d,8c7c,1.000,63.42,5.8844,154.641,69.68,6.58,30.32,4.28
8d 5h 3d,9c8c,1.000,64.38,6.14004,158.941,71.70,6.84,28.30,4.36
8d 5h 3d,Tc8c,1.000,64.95,5.73343,147.125,61.45,6.58,38.55,4.39
8d 5h 3d,Tc9c,1.000,19.73,0.48468,40.9531,11.92,-1.22,88.08,0.72
8d 5h 3d,Jc8c,1.000,65.03,5.9536,152.579,72.46,6.53,27.54,4.43
8d 5h 3d,Jc9c,1.000,20.41,-0.38473,-31.4096,55.80,-1.29,44.20,0.76
8d 5h 3d,JcTc,1.000,18.88,0.5056,44.6246,1.31,-1.42,98.69,0.53
8d 5h 3d,JcTd,1.000,21.90,-0.68266,-51.957,82.08,-1.01,17.92,0.83
8d 5h 3d,JcTh,1.000,18.71,0.45318,40.3636,5.00,-1.47,95.00,0.55
8d 5h 3d,JcTs,1.000,18.62,0.51355,45.9624,1.00,-1.38,99.00,0.53
8d 5h 3d,Qc8c,1.000,65.52,5.95112,151.386,75.46,6.42,24.54,4.50
8d 5h 3d,Qc9c,1.000,20.50,0.20147,16.3765,23.41,-1.32,76.59,0.67
8d 5h 3d,QcTc,1.000,19.06,0.45886,40.1147,1.65,-1.42,98.35,0.49
8d 5h 3d,QcJc,1.000,21.37,-0.50845,-39.6485,54.41,-1.38,45.59,0.53
8d 5h 3d,QcTd,1.000,22.29,-0.86069,-64.3664,84.36,-1.15,15.64,0.72
8d 5h 3d,QcJd,1.000,24.77,-0.27416,-18.4458,80.06,-0.58,19.94,0.96
8d 5h 3d,QcTh,1.000,18.92,0.47347,41.7117,1.99,-1.50,98.01,0.51
8d 5h 3d,QcJh,1.000,21.25,-0.33947,-26.629,45.61,-1.41,54.39,0.56
8d 5h 3d,QcTs,1.000,18.80,0.47538,42.1484,0.88,-1.43,99.12,0.49
8d 5h 3d,QcJs,1.000,21.13,0.4082,32.2031,6.19,-1.40,93.81,0.53
8d 5h 3d,Kc8c,1.000,64.66,5.39564,139.071,59.91,6.08,40.09,4.37
8d 5h 3d,Kc9c,1.000,22.55,0.57629,42.5974,1.52,-1.49,98.48,0.61
8d 5h 3d,KcTc,1.000,21.34,0.46664,36.4517,0.53,-1.57,99.47,0.48
8d 5h 3d,KcJc,1.000,23.59,0.4639,32.7795,1.66,-1.54,98.34,0.50
8d 5h 3d,KcQc,1.000,27.97,0.24042,14.3254,17.63,-1.34,82.37,0.58
8d 5h 3d,KcTd,1.000,24.69,-0.06734,-4.54576,33.75,-1.44,66.25,0.63
8d 5h 3d,KcJd,1.000,27.11,-0.83779,-51.5044,80.39,-1.24,19.61,0.82
8d 5h 3d,KcQd,1.000,31.88,-0.25888,-13.5329,79.40,-0.60,20.60,1.06
8d 5h 3d,KcTh,1.000,21.24,0.4771,37.4366,0.66,-1.65,99.34,0.49
8d 5h 3d,KcJh,1.000,23.51,0.47151,33.4257,1.96,-1.56,98.04,0.51
8d 5h 3d,KcQh,1.000,28.12,-0.166,-9.8384,40.26,-1.29,59.74,0.59
8d 5h 3d,KcTs,1.000,21.09,0.47039,37.1642,0.40,-1.58,99.60,0.48
8d 5h 3d,KcJs,1.000,23.36,0.48147,34.3445,0.90,-1.55,99.10,0.50
8d 5h 3d,KcQs,1.000,27.97,0.24191,14.4141,17.55,-1.34,82.45,0.58
8d 5h 3d,Ac2c,1.000,39.81,2.29022,95.8923,68.14,2.41,31.86,2.03
8d 5h 3d,Ac3c,1.000,58.30,2.36964,67.7398,85.26,2.32,14.74,2.65
8d 5h 3d,Ac4c,1.000,40.89,2.35703,96.0637,77.92,2.36,22.08,2.33
8d 5h 3d,Ac5c,1.000,58.58,2.05064,58.3429,88.16,1.98,11.84,2.58
8d 5h 3d,Ac6c,1.000,32.26,0.43825,22.642,2.77,-1.51,97.23,0.49
8d 5h 3d,Ac7c,1.000,32.34,0.41653,21.4688,4.06,-1.48,95.94,0.50
