Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
8d 5h 3d,6c5c,0.433,53.56,1.75495,54.6101,0.24,1.68,99.69,1.76,0.07,0.00
8d 5h 3d,7c6c,0.252,39.97,4.10153,171.009,92.68,4.10,7.30,4.10,0.03,0.00
8d 5h 3d,8c7c,0.303,59.37,3.66476,102.884,86.89,3.67,13.07,3.66,0.03,0.00
8d 5h 3d,9c8c,0.283,60.66,3.7951,104.267,88.90,3.80,11.06,3.80,0.03,0.00
8d 5h 3d,Tc8c,0.386,60.82,3.68945,101.104,15.08,3.69,84.88,3.69,0.04,0.00
8d 5h 3d,Tc9c,0.881,18.00,-0.00103,-0.0956,0.45,-0.22,0.07,-0.09,99.48,0.00
8d 5h 3d,Jc8c,0.275,60.85,3.76474,103.108,34.34,3.77,65.63,3.77,0.03,0.00
8d 5h 3d,Jc9c,0.442,19.01,0.00027,0.02332,7.38,0.00,8.30,0.00,84.32,0.00
8d 5h 3d,JcTc,0.987,17.90,-0.00111,-0.10371,0.29,-0.36,0.04,-0.13,99.67,0.00
8d 5h 3d,JcTd,0.179,20.86,0.19008,15.1887,61.65,0.19,37.26,0.19,1.09,0.00
8d 5h 3d,JcTh,0.950,17.69,-0.00114,-0.10723,0.27,-0.41,0.04,-0.10,99.69,0.00
8d 5h 3d,JcTs,0.990,17.58,-0.00116,-0.10971,0.24,-0.46,0.04,-0.16,99.72,0.00
8d 5h 3d,Qc8c,0.245,61.41,3.88567,105.449,29.92,3.89,70.05,3.89,0.03,0.00
8d 5h 3d,Qc9c,0.766,19.30,-0.00044,-0.03821,1.38,-0.01,0.17,-0.22,98.46,0.00
8d 5h 3d,QcTc,0.983,18.40,-0.00117,-0.10569,0.30,-0.36,0.04,-0.26,99.66,0.00
8d 5h 3d,QcJc,0.456,21.49,0.00005,0.004,2.00,0.00,2.56,0.00,95.44,0.00
8d 5h 3d,QcTd,0.156,21.54,0.03564,2.75769,66.63,0.04,25.27,0.04,8.10,0.00
8d 5h 3d,QcJd,0.199,24.87,0.30766,20.6157,78.15,0.31,21.32,0.31,0.53,0.00
8d 5h 3d,QcTh,0.980,18.23,-0.00121,-0.11097,0.24,-0.47,0.04,-0.26,99.72,0.00
8d 5h 3d,QcJh,0.544,21.39,-0.00108,-0.08399,0.69,-0.15,0.23,-0.01,99.08,0.00
8d 5h 3d,QcTs,0.991,18.03,-0.00121,-0.11174,0.24,-0.47,0.04,-0.31,99.73,0.00
8d 5h 3d,QcJs,0.938,21.17,-0.0008,-0.06301,0.78,-0.10,0.17,-0.03,99.05,0.00
8d 5h 3d,Kc8c,0.401,60.67,3.74468,102.878,39.11,3.75,60.85,3.75,0.03,0.00
