Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
8d 5h 3d,6c5c,0.433,58.67,3.12177,88.683,0.24,2.78,99.69,3.12,0.07,0.00
8d 5h 3d,7c6c,0.252,42.29,5.12584,202.034,92.68,5.15,7.30,4.82,0.03,0.00
8d 5h 3d,8c7c,0.303,63.42,5.71011,150.061,86.89,5.86,13.07,4.74,0.03,0.00
8d 5h 3d,9c8c,0.283,64.38,6.04845,156.57,88.90,6.18,11.06,4.98,0.03,0.00
8d 5h 3d,Tc8c,0.386,64.95,4.93028,126.516,15.08,5.98,84.88,4.75,0.04,0.00
8d 5h 3d,Tc9c,0.881,19.73,0.00388,0.32747,0.45,0.82,0.07,0.25,99.48,0.00
8d 5h 3d,Jc8c,0.275,65.03,5.2828,135.388,34.34,5.93,65.63,4.95,0.03,0.00
8d 5h 3d,Jc9c,0.442,20.41,0.0881,7.19263,7.38,0.87,8.30,0.29,84.32,0.00
8d 5h 3d,JcTc,0.987,18.88,0.00243,0.21413,0.29,0.82,0.04,0.14,99.67,0.00
8d 5h 3d,JcTd,0.179,21.90,0.81334,61.9029,61.65,1.07,37.26,0.41,1.09,0.00
8d 5h 3d,JcTh,0.950,18.71,0.00184,0.16392,0.27,0.66,0.04,0.15,99.69,0.00
8d 5h 3d,JcTs,0.990,18.62,0.00184,0.16435,0.24,0.75,0.04,0.10,99.72,0.00
8d 5h 3d,Qc8c,0.245,65.52,5.50762,140.104,29.92,6.18,70.05,5.22,0.03,0.00
8d 5h 3d,Qc9c,0.766,20.50,0.02004,1.62889,1.38,1.42,0.17,0.30,98.46,0.00
8d 5h 3d,QcTc,0.983,19.06,0.00321,0.28051,0.30,1.07,0.04,0.05,99.66,0.00
8d 5h 3d,QcJc,0.456,21.37,0.03408,2.65785,2.00,1.34,2.56,0.28,95.44,0.00
8d 5h 3d,QcTd,0.156,22.29,0.71705,53.6245,66.63,0.97,25.27,0.29,8.10,0.00
8d 5h 3d,QcJd,0.199,24.77,1.21338,81.6384,78.15,1.38,21.32,0.63,0.53,0.00
8d 5h 3d,QcTh,0.980,18.92,0.00245,0.2156,0.24,1.00,0.04,0.10,99.72,0.00
