Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 7d 2h,6c5c,1.000,16.35,0.01306,1.33186,0.09,-1.05,99.91,0.01
Jh 7d 2h,7c6c,1.000,52.33,1.5021,47.8395,0.16,0.86,99.84,1.50
Jh 7d 2h,8c7c,1.000,54.13,1.65124,50.8404,0.14,0.95,99.86,1.65
Jh 7d 2h,9c7c,1.000,54.37,1.66952,51.177,0.14,0.96,99.86,1.67
Jh 7d 2h,9c8c,1.000,28.04,1.08864,64.7041,0.18,0.54,99.82,1.09
Jh 7d 2h,Tc7c,1.000,54.63,1.58614,48.3889,0.13,0.80,99.87,1.59
Jh 7d 2h,Tc8c,1.000,27.08,0.9151,56.3208,0.16,0.31,99.84,0.92
Jh 7d 2h,Tc9c,1.000,28.65,0.94641,55.0558,0.19,0.41,99.81,0.95
Jh 7d 2h,Jc8c,1.000,63.98,3.43137,89.3805,0.13,2.69,99.87,3.43
Jh 7d 2h,Jc9c,1.000,63.80,3.37439,88.1523,0.14,2.68,99.86,3.38
Jh 7d 2h,JcTc,1.000,64.47,3.35164,86.6407,0.14,2.66,99.86,3.35
Jh 7d 2h,JcTd,1.000,64.64,3.40444,87.7774,0.14,2.69,99.86,3.41
Jh 7d 2h,JcTh,1.000,67.13,4.01717,99.7342,0.17,3.42,99.83,4.02
Jh 7d 2h,JcTs,1.000,64.51,3.35288,86.6286,0.14,2.66,99.86,3.35
Jh 7d 2h,Qc6c,1.000,15.03,0.01113,1.23374,0.09,-1.08,99.91,0.01
Jh 7d 2h,Qc7c,1.000,54.12,1.75438,54.0255,0.14,1.03,99.86,1.76
Jh 7d 2h,Qc8c,1.000,16.46,0.01248,1.26368,0.09,-0.99,99.91,0.01
Jh 7d 2h,Qc9c,1.000,17.75,0.01392,1.30696,0.10,-0.95,99.90,0.01
Jh 7d 2h,QcTc,1.000,20.11,0.01506,1.24817,0.10,-0.91,99.90,0.02
Jh 7d 2h,QcJc,1.000,68.44,4.43743,108.067,0.20,3.94,99.80,4.44
Jh 7d 2h,QcTd,1.000,20.13,0.01575,1.30457,0.11,-0.86,99.89,0.02
Jh 7d 2h,QcJd,1.000,68.54,4.48478,109.06,0.20,3.99,99.80,4.49
Jh 7d 2h,QcTh,1.000,23.30,0.02198,1.57249,0.18,-0.51,99.82,0.02
Jh 7d 2h,QcTs,1.000,20.04,0.01509,1.25453,0.10,-0.92,99.90,0.02
Jh 7d 2h,QcJs,1.000,68.44,4.43748,108.068,0.20,3.94,99.80,4.44
Jh 7d 2h,Kc2c,1.000,45.05,0.96312,35.6321,0.17,0.35,99.83,0.96
Jh 7d 2h,Kc3c,1.000,17.08,0.00865,0.84387,0.08,-1.20,99.92,0.01
Jh 7d 2h,Kc4c,1.000,17.38,0.00887,0.85097,0.08,-1.18,99.92,0.01
Jh 7d 2h,Kc5c,1.000,17.67,0.00909,0.85702,0.08,-1.17,99.92,0.01
Jh 7d 2h,Kc6c,1.000,18.01,0.00947,0.87699,0.08,-1.14,99.92,0.01
Jh 7d 2h,Kc7c,1.000,54.22,1.71954,52.8558,0.12,0.93,99.88,1.72
Jh 7d 2h,Kc8c,1.000,19.51,0.01056,0.90274,0.09,-1.07,99.91,0.01
Jh 7d 2h,Kc9c,1.000,20.80,0.01147,0.91907,0.09,-1.06,99.91,0.01
Jh 7d 2h,KcTc,1.000,23.20,0.01335,0.95889,0.10,-0.96,99.90,0.01
Jh 7d 2h,KcJc,1.000,71.11,5.28995,123.985,0.23,4.87,99.77,5.29
Jh 7d 2h,KcQc,1.000,26.84,0.01843,1.14421,0.14,-0.66,99.86,0.02
Jh 7d 2h,Kc8d,1.000,19.56,0.0107,0.91138,0.09,-1.03,99.91,0.01
Jh 7d 2h,Kc9d,1.000,20.82,0.01169,0.93554,0.09,-1.01,99.91,0.01
Jh 7d 2h,KcTd,1.000,23.23,0.01383,0.99229,0.10,-0.91,99.90,0.01
Jh 7d 2h,KcJd,1.000,71.23,5.34067,124.969,0.23,4.93,99.77,5.34
Jh 7d 2h,KcQd,1.000,26.95,0.01757,1.08677,0.16,-0.61,99.84,0.02
Jh 7d 2h,Kc8h,1.000,22.50,0.01398,1.03551,0.11,-0.85,99.89,0.01
Jh 7d 2h,Kc9h,1.000,23.83,0.01568,1.09645,0.13,-0.74,99.87,0.02
Jh 7d 2h,KcTh,1.000,26.41,0.01994,1.25799,0.17,-0.57,99.83,0.02
Jh 7d 2h,KcQh,1.000,30.35,0.51059,28.0416,0.13,-0.22,99.87,0.51
Jh 7d 2h,Kc8s,1.000,19.51,0.01057,0.90281,0.09,-1.07,99.91,0.01
Jh 7d 2h,Kc9s,1.000,20.74,0.01148,0.92308,0.09,-1.07,99.91,0.01
Jh 7d 2h,KcTs,1.000,23.13,0.01336,0.96251,0.10,-0.98,99.90,0.01
Jh 7d 2h,KcJs,1.000,71.11,5.28995,123.985,0.23,4.87,99.77,5.29
Jh 7d 2h,KcQs,1.000,26.84,0.01861,1.15581,0.14,-0.66,99.86,0.02
Jh 7d 2h,Ac2c,1.000,45.42,0.76232,27.9704,0.14,0.02,99.86,0.76
Jh 7d 2h,Ac3c,1.000,25.43,0.0059,0.38677,0.07,-1.41,99.93,0.01
Jh 7d 2h,Ac4c,1.000,25.73,0.00611,0.39588,0.07,-1.39,99.93,0.01
Jh 7d 2h,Ac5c,1.000,26.27,0.00639,0.40545,0.07,-1.37,99.93,0.01
Jh 7d 2h,Ac6c,1.000,25.81,0.00595,0.38408,0.07,-1.42,99.93,0.01
Jh 7d 2h,Ac7c,1.000,54.63,1.60832,49.0656,0.11,0.75,99.89,1.61
Jh 7d 2h,Ac8c,1.000,28.69,0.00744,0.43214,0.07,-1.32,99.93,0.01
Jh 7d 2h,Ac9c,1.000,30.85,0.00862,0.46577,0.07,-1.35,99.93,0.01
Jh 7d 2h,AcTc,1.000,35.62,0.01281,0.59915,0.08,-1.19,99.92,0.01
Jh 7d 2h,Ac2d,1.000,45.48,0.78227,28.6664,0.14,0.03,99.86,0.78
Jh 7d 2h,Ac3d,1.000,25.38,0.00598,0.3929,0.07,-1.39,99.93,0.01
Jh 7d 2h,Ac4d,1.000,25.69,0.0062,0.40205,0.07,-1.37,99.93,0.01
Jh 7d 2h,Ac5d,1.000,26.23,0.00647,0.41089,0.07,-1.36,99.93,0.01
Jh 7d 2h,Ac6d,1.000,25.77,0.00596,0.38535,0.06,-1.45,99.94,0.01
Jh 7d 2h,Ac8d,1.000,28.64,0.00747,0.43462,0.07,-1.32,99.93,0.01
Jh 7d 2h,Ac9d,1.000,30.95,0.00882,0.47481,0.07,-1.28,99.93,0.01
Jh 7d 2h,AcTd,1.000,35.74,0.01351,0.63,0.08,-1.13,99.92,0.01
Jh 7d 2h,AcJd,1.000,75.12,6.78477,150.524,0.51,6.59,99.49,6.79
Jh 7d 2h,Ac3h,1.000,27.79,0.0083,0.49754,0.08,-1.23,99.92,0.01
Jh 7d 2h,Ac4h,1.000,28.16,0.00859,0.50833,0.08,-1.22,99.92,0.01
Jh 7d 2h,Ac5h,1.000,28.75,0.00904,0.52392,0.08,-1.20,99.92,0.01
Jh 7d 2h,Ac6h,1.000,28.39,0.00872,0.5117,0.07,-1.24,99.93,0.01
Jh 7d 2h,Ac7h,1.000,56.86,2.13753,62.6539,0.14,1.42,99.86,2.14
Jh 7d 2h,Ac8h,1.000,31.39,0.01052,0.55826,0.08,-1.12,99.92,0.01
Jh 7d 2h,Ac9h,1.000,33.74,0.01231,0.60816,0.09,-1.02,99.91,0.01
Jh 7d 2h,AcTh,1.000,38.68,0.01856,0.79946,0.12,-0.78,99.88,0.02
Jh 7d 2h,Ac2s,1.000,45.40,0.74704,27.4222,0.14,-0.01,99.86,0.75
Jh 7d 2h,Ac3s,1.000,25.31,0.0059,0.38845,0.06,-1.44,99.94,0.01
Jh 7d 2h,Ac4s,1.000,25.62,0.00611,0.39756,0.07,-1.42,99.93,0.01
Jh 7d 2h,Ac5s,1.000,26.16,0.00638,0.40653,0.07,-1.41,99.93,0.01
Jh 7d 2h,Ac6s,1.000,25.70,0.0059,0.38235,0.06,-1.45,99.94,0.01
Jh 7d 2h,Ac7s,1.000,54.65,1.60365,48.9043,0.11,0.75,99.89,1.60
Jh 7d 2h,Ac8s,1.000,28.59,0.00734,0.42758,0.07,-1.36,99.93,0.01
Jh 7d 2h,Ac9s,1.000,30.85,0.00862,0.46566,0.07,-1.35,99.93,0.01
Jh 7d 2h,AcTs,1.000,35.62,0.0128,0.59911,0.08,-1.19,99.92,0.01
Jh 7d 2h,AcJs,1.000,74.98,6.73053,149.61,0.49,6.52,99.51,6.73
Jh 7d 2h,6d6c,1.000,46.63,0.4277,15.2881,0.18,-0.15,99.82,0.43
Jh 7d 2h,6d5d,1.000,20.03,0.01876,1.56122,0.12,-0.76,99.88,0.02
Jh 7d 2h,8d8c,1.000,51.45,0.94122,30.4897,0.14,0.22,99.86,0.94
Jh 7d 2h,9d9c,1.000,53.70,1.29907,40.3195,0.12,0.44,99.88,1.30
