Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 7d 2h,6c5c,1.000,16.35,-0.00211,-0.21551,0.09,-1.05,99.91,0.00
Jh 7d 2h,7c6c,1.000,52.33,1.50493,47.9297,0.16,0.86,99.84,1.51
Jh 7d 2h,8c7c,1.000,54.13,1.65116,50.8379,0.14,0.95,99.86,1.65
Jh 7d 2h,9c7c,1.000,54.37,1.66642,51.082,0.14,0.96,99.86,1.67
Jh 7d 2h,9c8c,1.000,28.04,1.08727,64.6224,0.18,0.54,99.82,1.09
Jh 7d 2h,Tc7c,1.000,54.63,1.58135,48.2427,0.13,0.80,99.87,1.58
Jh 7d 2h,Tc8c,1.000,27.08,0.90887,55.9371,0.16,0.31,99.84,0.91
Jh 7d 2h,Tc9c,1.000,28.65,0.94205,54.8024,0.19,0.41,99.81,0.94
Jh 7d 2h,Jc8c,1.000,63.98,3.4487,89.8319,0.13,2.69,99.87,3.45
Jh 7d 2h,Jc9c,1.000,63.80,3.39041,88.571,0.14,2.68,99.86,3.39
Jh 7d 2h,JcTc,1.000,64.47,3.36804,87.0645,0.14,2.66,99.86,3.37
Jh 7d 2h,JcTd,1.000,64.64,3.42219,88.2349,0.14,2.69,99.86,3.42
Jh 7d 2h,JcTh,1.000,67.13,4.04109,100.328,0.17,3.42,99.83,4.04
Jh 7d 2h,JcTs,1.000,64.51,3.36948,87.0573,0.14,2.66,99.86,3.37
Jh 7d 2h,Qc6c,1.000,15.03,-0.00216,-0.23986,0.09,-1.08,99.91,0.00
Jh 7d 2h,Qc7c,1.000,54.12,1.75351,53.9986,0.14,1.03,99.86,1.75
Jh 7d 2h,Qc8c,1.000,16.46,-0.00214,-0.21689,0.09,-0.99,99.91,0.00
Jh 7d 2h,Qc9c,1.000,17.75,-0.00212,-0.19873,0.10,-0.95,99.90,0.00
Jh 7d 2h,QcTc,1.000,20.11,-0.00212,-0.17567,0.10,-0.91,99.90,0.00
Jh 7d 2h,QcJc,1.000,68.44,4.4583,108.575,0.20,3.94,99.80,4.46
Jh 7d 2h,QcTd,1.000,20.13,-0.00213,-0.17661,0.11,-0.86,99.89,0.00
Jh 7d 2h,QcJd,1.000,68.54,4.50462,109.542,0.20,3.99,99.80,4.51
Jh 7d 2h,QcTh,1.000,23.30,0.00328,0.23439,0.18,-0.51,99.82,0.00
Jh 7d 2h,QcTs,1.000,20.04,-0.00213,-0.17684,0.10,-0.92,99.90,0.00
Jh 7d 2h,QcJs,1.000,68.44,4.45835,108.576,0.20,3.94,99.80,4.46
Jh 7d 2h,Kc2c,1.000,45.05,0.96641,35.7537,0.17,0.35,99.83,0.97
Jh 7d 2h,Kc3c,1.000,17.08,-0.00221,-0.21523,0.08,-1.20,99.92,0.00
Jh 7d 2h,Kc4c,1.000,17.38,-0.00221,-0.21151,0.08,-1.18,99.92,0.00
Jh 7d 2h,Kc5c,1.000,17.67,-0.00221,-0.20833,0.08,-1.17,99.92,0.00
Jh 7d 2h,Kc6c,1.000,18.01,-0.0022,-0.20354,0.08,-1.14,99.92,0.00
Jh 7d 2h,Kc7c,1.000,54.22,1.71817,52.8139,0.12,0.93,99.88,1.72
Jh 7d 2h,Kc8c,1.000,19.51,-0.00218,-0.18615,0.09,-1.07,99.91,0.00
Jh 7d 2h,Kc9c,1.000,20.80,-0.00216,-0.17304,0.09,-1.06,99.91,0.00
Jh 7d 2h,KcTc,1.000,23.20,-0.00214,-0.15409,0.10,-0.96,99.90,0.00
Jh 7d 2h,KcJc,1.000,71.11,5.31805,124.644,0.23,4.87,99.77,5.32
Jh 7d 2h,KcQc,1.000,26.84,0.00813,0.50468,0.14,-0.66,99.86,0.01
Jh 7d 2h,Kc8d,1.000,19.56,-0.00218,-0.18546,0.09,-1.03,99.91,0.00
Jh 7d 2h,Kc9d,1.000,20.82,-0.00215,-0.17238,0.09,-1.01,99.91,0.00
Jh 7d 2h,KcTd,1.000,23.23,-0.00214,-0.1538,0.10,-0.91,99.90,0.00
Jh 7d 2h,KcJd,1.000,71.23,5.36598,125.561,0.23,4.93,99.77,5.37
Jh 7d 2h,KcQd,1.000,26.95,0.00419,0.25881,0.16,-0.61,99.84,0.01
Jh 7d 2h,Kc8h,1.000,22.50,-0.00198,-0.14658,0.11,-0.85,99.89,0.00
Jh 7d 2h,Kc9h,1.000,23.83,-0.00163,-0.11405,0.13,-0.74,99.87,0.00
Jh 7d 2h,KcTh,1.000,26.41,0.00338,0.21334,0.17,-0.57,99.83,0.00
Jh 7d 2h,KcQh,1.000,30.35,0.51387,28.2217,0.13,-0.22,99.87,0.51
Jh 7d 2h,Kc8s,1.000,19.51,-0.00218,-0.18614,0.09,-1.07,99.91,0.00
Jh 7d 2h,Kc9s,1.000,20.74,-0.00216,-0.17395,0.09,-1.07,99.91,0.00
Jh 7d 2h,KcTs,1.000,23.13,-0.00215,-0.15512,0.10,-0.98,99.90,0.00
Jh 7d 2h,KcJs,1.000,71.11,5.31807,124.644,0.23,4.87,99.77,5.32
Jh 7d 2h,KcQs,1.000,26.84,0.00829,0.51501,0.14,-0.66,99.86,0.01
Jh 7d 2h,Ac2c,1.000,45.42,0.75603,27.7395,0.14,0.02,99.86,0.76
Jh 7d 2h,Ac3c,1.000,25.43,-0.00217,-0.14215,0.07,-1.41,99.93,0.00
Jh 7d 2h,Ac4c,1.000,25.73,-0.00217,-0.14044,0.07,-1.39,99.93,0.00
Jh 7d 2h,Ac5c,1.000,26.27,-0.00217,-0.1379,0.07,-1.37,99.93,0.00
Jh 7d 2h,Ac6c,1.000,25.81,-0.00219,-0.14151,0.07,-1.42,99.93,0.00
Jh 7d 2h,Ac7c,1.000,54.63,1.60433,48.9439,0.11,0.75,99.89,1.61
Jh 7d 2h,Ac8c,1.000,28.69,-0.00219,-0.12736,0.07,-1.32,99.93,0.00
Jh 7d 2h,Ac9c,1.000,30.85,-0.0022,-0.11866,0.07,-1.35,99.93,0.00
Jh 7d 2h,AcTc,1.000,35.62,-0.00219,-0.10244,0.08,-1.19,99.92,0.00
Jh 7d 2h,Ac2d,1.000,45.48,0.77754,28.4933,0.14,0.03,99.86,0.78
Jh 7d 2h,Ac3d,1.000,25.38,-0.00217,-0.14249,0.07,-1.39,99.93,0.00
Jh 7d 2h,Ac4d,1.000,25.69,-0.00217,-0.1408,0.07,-1.37,99.93,0.00
Jh 7d 2h,Ac5d,1.000,26.23,-0.00218,-0.13829,0.07,-1.36,99.93,0.00
Jh 7d 2h,Ac6d,1.000,25.77,-0.00219,-0.14166,0.06,-1.45,99.94,0.00
Jh 7d 2h,Ac8d,1.000,28.64,-0.00219,-0.12771,0.07,-1.32,99.93,0.00
Jh 7d 2h,Ac9d,1.000,30.95,-0.00219,-0.11782,0.07,-1.28,99.93,0.00
Jh 7d 2h,AcTd,1.000,35.74,-0.00216,-0.10072,0.08,-1.13,99.92,0.00
Jh 7d 2h,AcJd,1.000,75.12,6.82046,151.316,0.51,6.59,99.49,6.82
Jh 7d 2h,Ac3h,1.000,27.79,-0.00215,-0.12909,0.08,-1.23,99.92,0.00
Jh 7d 2h,Ac4h,1.000,28.16,-0.00216,-0.12764,0.08,-1.22,99.92,0.00
Jh 7d 2h,Ac5h,1.000,28.75,-0.00216,-0.12539,0.08,-1.20,99.92,0.00
Jh 7d 2h,Ac6h,1.000,28.39,-0.00217,-0.12727,0.07,-1.24,99.93,0.00
Jh 7d 2h,Ac7h,1.000,56.86,2.14308,62.8164,0.14,1.42,99.86,2.14
Jh 7d 2h,Ac8h,1.000,31.39,-0.00205,-0.10898,0.08,-1.12,99.92,0.00
Jh 7d 2h,Ac9h,1.000,33.74,-0.00188,-0.09301,0.09,-1.02,99.91,0.00
Jh 7d 2h,AcTh,1.000,38.68,0.0052,0.22411,0.12,-0.78,99.88,0.01
Jh 7d 2h,Ac2s,1.000,45.40,0.73651,27.0358,0.14,-0.01,99.86,0.74
Jh 7d 2h,Ac3s,1.000,25.31,-0.00217,-0.14307,0.06,-1.44,99.94,0.00
Jh 7d 2h,Ac4s,1.000,25.62,-0.00217,-0.14134,0.07,-1.42,99.93,0.00
Jh 7d 2h,Ac5s,1.000,26.16,-0.00218,-0.13881,0.07,-1.41,99.93,0.00
Jh 7d 2h,Ac6s,1.000,25.70,-0.0022,-0.14249,0.06,-1.45,99.94,0.00
Jh 7d 2h,Ac7s,1.000,54.65,1.59944,48.7759,0.11,0.75,99.89,1.60
Jh 7d 2h,Ac8s,1.000,28.59,-0.0022,-0.12826,0.07,-1.36,99.93,0.00
Jh 7d 2h,Ac9s,1.000,30.85,-0.0022,-0.11868,0.07,-1.35,99.93,0.00
Jh 7d 2h,AcTs,1.000,35.62,-0.00219,-0.10244,0.08,-1.19,99.92,0.00
Jh 7d 2h,AcJs,1.000,74.98,6.76657,150.411,0.49,6.52,99.51,6.77
Jh 7d 2h,6d6c,1.000,46.63,0.40593,14.5097,0.18,-0.15,99.82,0.41
Jh 7d 2h,6d5d,1.000,20.03,-0.00175,-0.14529,0.12,-0.76,99.88,0.00
Jh 7d 2h,8d8c,1.000,51.45,0.92544,29.9786,0.14,0.22,99.86,0.93
Jh 7d 2h,9d9c,1.000,53.70,1.28924,40.0143,0.12,0.44,99.88,1.29
Jh 7d 2h,9d8d,1.000,31.18,1.65728,88.5733,0.23,1.20,99.77,1.66
Jh 7d 2h,TdTc,1.000,57.30,1.88303,54.7672,0.10,0.95,99.90,1.88
Jh 7d 2h,Td8d,1.000,30.29,1.4531,79.9573,0.20,0.95,99.80,1.45
Jh 7d 2h,Td9d,1.000,31.78,1.5618,81.9171,0.24,1.12,99.76,1.56
Jh 7d 2h,JdTc,1.000,64.59,3.41627,88.1482,0.14,2.71,99.86,3.42
Jh 7d 2h,Jd8d,1.000,65.80,4.2394,107.387,0.20,3.71,99.80,4.24
Jh 7d 2h,Jd9d,1.000,65.57,4.17556,106.135,0.21,3.68,99.79,4.18
Jh 7d 2h,JdTd,1.000,66.22,4.16576,104.841,0.22,3.68,99.78,4.17
Jh 7d 2h,JdTh,1.000,67.22,4.08645,101.324,0.17,3.47,99.83,4.09
Jh 7d 2h,JdTs,1.000,64.59,3.41627,88.1482,0.14,2.71,99.86,3.42
Jh 7d 2h,QdTc,1.000,20.13,-0.00217,-0.17952,0.11,-0.87,99.89,0.00
Jh 7d 2h,QdJc,1.000,68.57,4.50947,109.606,0.18,3.95,99.82,4.51
Jh 7d 2h,Qd6d,1.000,19.01,-0.00189,-0.16579,0.12,-0.80,99.88,0.00
Jh 7d 2h,Qd8d,1.000,20.35,-0.00182,-0.14914,0.14,-0.66,99.86,0.00
Jh 7d 2h,Qd9d,1.000,21.57,-0.00126,-0.09743,0.16,-0.59,99.84,0.00
Jh 7d 2h,QdTd,1.000,23.81,0.00215,0.1508,0.18,-0.53,99.82,0.00
Jh 7d 2h,QdJd,1.000,70.01,5.18623,123.458,0.32,4.84,99.68,5.19
Jh 7d 2h,QdTh,1.000,23.39,0.00607,0.43262,0.21,-0.46,99.79,0.01
Jh 7d 2h,QdTs,1.000,20.13,-0.00217,-0.17952,0.11,-0.87,99.89,0.00
Jh 7d 2h,QdJs,1.000,68.57,4.50947,109.606,0.18,3.95,99.82,4.51
Jh 7d 2h,Kd8c,1.000,19.58,-0.00218,-0.18556,0.09,-1.01,99.91,0.00
Jh 7d 2h,Kd9c,1.000,20.81,-0.00217,-0.17368,0.09,-1.02,99.91,0.00
Jh 7d 2h,KdTc,1.000,23.23,-0.00218,-0.15634,0.10,-0.92,99.90,0.00
Jh 7d 2h,KdJc,1.000,71.24,5.3673,125.561,0.20,4.86,99.80,5.37
Jh 7d 2h,KdQc,1.000,26.95,0.00489,0.30242,0.16,-0.61,99.84,0.01
Jh 7d 2h,Kd2d,1.000,47.84,1.91354,66.659,0.22,1.43,99.78,1.91
Jh 7d 2h,Kd3d,1.000,20.96,-0.00201,-0.15965,0.11,-0.85,99.89,0.00
Jh 7d 2h,Kd4d,1.000,21.26,-0.002,-0.15712,0.11,-0.83,99.89,0.00
Jh 7d 2h,Kd5d,1.000,21.56,-0.00201,-0.15572,0.11,-0.82,99.89,0.00
Jh 7d 2h,Kd6d,1.000,21.89,-0.00195,-0.14851,0.11,-0.85,99.89,0.00
Jh 7d 2h,Kd8d,1.000,23.29,-0.00184,-0.13178,0.13,-0.72,99.87,0.00
Jh 7d 2h,Kd9d,1.000,24.52,-0.00139,-0.09478,0.14,-0.67,99.86,0.00
Jh 7d 2h,KdTd,1.000,26.80,0.00589,0.3662,0.17,-0.58,99.83,0.01
Jh 7d 2h,KdJd,1.000,72.59,6.03259,138.505,0.42,5.75,99.58,6.03
Jh 7d 2h,KdQd,1.000,30.41,0.52361,28.6967,0.13,-0.24,99.87,0.52
Jh 7d 2h,Kd8h,1.000,22.57,-0.00196,-0.14482,0.12,-0.80,99.88,0.00
Jh 7d 2h,Kd9h,1.000,23.91,-0.00158,-0.11035,0.14,-0.68,99.86,0.00
Jh 7d 2h,KdTh,1.000,26.50,0.00662,0.41661,0.19,-0.51,99.81,0.01
Jh 7d 2h,KdQh,1.000,30.46,0.51948,28.427,0.15,-0.16,99.85,0.52
Jh 7d 2h,Kd8s,1.000,19.58,-0.00218,-0.18556,0.09,-1.01,99.91,0.00
Jh 7d 2h,Kd9s,1.000,20.81,-0.00217,-0.17368,0.09,-1.02,99.91,0.00
Jh 7d 2h,KdTs,1.000,23.23,-0.00218,-0.15634,0.10,-0.92,99.90,0.00
Jh 7d 2h,KdJs,1.000,71.24,5.3673,125.561,0.20,4.86,99.80,5.37
Jh 7d 2h,KdQs,1.000,26.95,0.00489,0.30242,0.16,-0.61,99.84,0.01
Jh 7d 2h,Ad2c,1.000,45.46,0.78522,28.7883,0.14,0.03,99.86,0.79
Jh 7d 2h,Ad3c,1.000,25.32,-0.00217,-0.14277,0.07,-1.26,99.93,0.00
Jh 7d 2h,Ad4c,1.000,25.62,-0.00217,-0.14114,0.08,-1.24,99.92,0.00
Jh 7d 2h,Ad5c,1.000,26.16,-0.00218,-0.13858,0.08,-1.22,99.92,0.00
Jh 7d 2h,Ad6c,1.000,25.70,-0.0022,-0.14266,0.07,-1.26,99.93,0.00
Jh 7d 2h,Ad7c,1.000,54.87,1.67668,50.9296,0.11,0.79,99.89,1.68
Jh 7d 2h,Ad8c,1.000,28.68,-0.00218,-0.12664,0.08,-1.17,99.92,0.00
Jh 7d 2h,Ad9c,1.000,30.94,-0.00217,-0.11684,0.08,-1.17,99.92,0.00
Jh 7d 2h,AdTc,1.000,35.71,-0.00217,-0.10104,0.09,-1.04,99.91,0.00
Jh 7d 2h,AdJc,1.000,75.31,6.87978,152.245,0.36,6.57,99.64,6.88
Jh 7d 2h,Ad2d,1.000,48.16,1.79454,62.0983,0.20,1.27,99.80,1.80
Jh 7d 2h,Ad3d,1.000,28.87,-0.00172,-0.09904,0.11,-0.85,99.89,0.00
Jh 7d 2h,Ad4d,1.000,29.18,-0.00171,-0.09761,0.11,-0.84,99.89,0.00
Jh 7d 2h,Ad5d,1.000,29.70,-0.00169,-0.09502,0.11,-0.82,99.89,0.00
Jh 7d 2h,Ad6d,1.000,29.30,-0.00194,-0.11054,0.11,-0.89,99.89,0.00
Jh 7d 2h,Ad8d,1.000,32.06,-0.00168,-0.0871,0.12,-0.78,99.88,0.00
Jh 7d 2h,Ad9d,1.000,34.14,-0.0016,-0.07815,0.12,-0.77,99.88,0.00
Jh 7d 2h,AdTd,1.000,38.68,0.18034,7.77135,0.12,-0.61,99.88,0.18
Jh 7d 2h,Ad3h,1.000,27.80,-0.00214,-0.12854,0.09,-1.06,99.91,0.00
Jh 7d 2h,Ad4h,1.000,28.17,-0.00215,-0.12716,0.09,-1.05,99.91,0.00
Jh 7d 2h,Ad5h,1.000,28.76,-0.00215,-0.12467,0.09,-1.03,99.91,0.00
Jh 7d 2h,Ad6h,1.000,28.40,-0.00216,-0.1268,0.09,-1.07,99.91,0.00
Jh 7d 2h,Ad7h,1.000,57.08,2.23148,65.1591,0.12,1.45,99.88,2.23
Jh 7d 2h,Ad8h,1.000,31.48,-0.00197,-0.10442,0.10,-0.96,99.90,0.00
Jh 7d 2h,Ad9h,1.000,33.84,-0.00176,-0.08684,0.11,-0.88,99.89,0.00
Jh 7d 2h,AdTh,1.000,38.78,0.00304,0.13046,0.14,-0.66,99.86,0.00
Jh 7d 2h,Ad2s,1.000,45.46,0.78522,28.7883,0.14,0.03,99.86,0.79
Jh 7d 2h,Ad3s,1.000,25.32,-0.00217,-0.14277,0.07,-1.26,99.93,0.00
Jh 7d 2h,Ad4s,1.000,25.62,-0.00217,-0.14114,0.08,-1.24,99.92,0.00
Jh 7d 2h,Ad5s,1.000,26.16,-0.00218,-0.13858,0.08,-1.22,99.92,0.00
