Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 7d 2h,6c5c,0.999,16.35,-0.0012,-0.12211,0.12,-0.75,0.04,-0.90,99.85,0.00
Jh 7d 2h,7c6c,0.998,52.33,1.50595,47.962,23.11,1.53,76.79,1.50,0.10,0.00
Jh 7d 2h,8c7c,0.999,54.13,1.65216,50.8689,1.02,1.68,98.89,1.65,0.10,0.00
Jh 7d 2h,9c7c,0.999,54.37,1.66741,51.1124,0.02,1.68,99.88,1.67,0.10,0.00
Jh 7d 2h,9c8c,0.998,28.04,1.08827,64.682,17.06,1.13,82.80,1.08,0.15,0.00
Jh 7d 2h,Tc7c,0.999,54.63,1.58233,48.2727,0.02,1.45,99.88,1.58,0.10,0.00
Jh 7d 2h,Tc8c,0.998,27.08,0.90985,55.9975,10.34,0.95,89.48,0.91,0.18,0.00
Jh 7d 2h,Tc9c,0.998,28.65,0.94305,54.8603,13.70,0.98,86.13,0.94,0.17,0.00
Jh 7d 2h,Jc8c,0.999,63.98,3.4497,89.858,0.04,3.38,99.92,3.45,0.04,0.00
Jh 7d 2h,Jc9c,0.999,63.80,3.39143,88.5974,0.04,3.35,99.92,3.39,0.04,0.00
Jh 7d 2h,JcTc,0.999,64.47,3.36905,87.0907,1.54,3.38,98.42,3.37,0.04,0.00
Jh 7d 2h,JcTd,0.999,64.64,3.4232,88.2609,0.04,3.39,99.91,3.42,0.04,0.00
Jh 7d 2h,JcTh,0.998,67.13,4.04212,100.354,7.80,4.06,92.17,4.04,0.04,0.00
Jh 7d 2h,JcTs,0.999,64.51,3.37049,87.0834,3.68,3.38,96.27,3.37,0.04,0.00
Jh 7d 2h,Qc6c,0.999,15.03,-0.00124,-0.13755,0.11,-0.88,0.03,-0.79,99.86,0.00
Jh 7d 2h,Qc7c,0.999,54.12,1.75449,54.0289,0.02,1.68,99.89,1.76,0.09,0.00
Jh 7d 2h,Qc8c,0.999,16.46,-0.00122,-0.12316,0.13,-0.70,0.04,-0.73,99.83,0.00
Jh 7d 2h,Qc9c,0.999,17.75,-0.00119,-0.11141,0.15,-0.60,0.05,-0.55,99.80,0.00
Jh 7d 2h,QcTc,0.999,20.11,-0.00119,-0.0984,0.17,-0.54,0.06,-0.42,99.77,0.00
Jh 7d 2h,QcJc,0.998,68.44,4.45933,108.6,4.94,4.49,95.03,4.46,0.03,0.00
Jh 7d 2h,QcTd,0.999,20.13,-0.0012,-0.09934,0.17,-0.54,0.06,-0.43,99.77,0.00
Jh 7d 2h,QcJd,0.998,68.54,4.50563,109.567,0.21,4.53,99.76,4.51,0.03,0.00
Jh 7d 2h,QcTh,0.998,23.30,0.00422,0.30227,3.86,0.05,10.40,0.02,85.74,0.00
Jh 7d 2h,QcTs,0.999,20.04,-0.00119,-0.09937,0.17,-0.57,0.06,-0.44,99.78,0.00
Jh 7d 2h,QcJs,0.998,68.44,4.45938,108.601,4.88,4.49,95.09,4.46,0.03,0.00
Jh 7d 2h,Kc2c,0.998,45.05,0.96744,35.7919,27.33,0.98,72.50,0.96,0.17,0.00
Jh 7d 2h,Kc3c,0.999,17.08,-0.00127,-0.12417,0.11,-0.94,0.03,-0.87,99.86,0.00
Jh 7d 2h,Kc4c,0.999,17.38,-0.00127,-0.12222,0.11,-0.94,0.03,-0.85,99.86,0.00
Jh 7d 2h,Kc5c,0.999,17.67,-0.00128,-0.12046,0.11,-0.93,0.03,-0.84,99.86,0.00
Jh 7d 2h,Kc6c,0.999,18.01,-0.00127,-0.11749,0.11,-0.90,0.03,-0.80,99.86,0.00
Jh 7d 2h,Kc7c,0.999,54.22,1.71914,52.8435,0.02,1.49,99.89,1.72,0.09,0.00
Jh 7d 2h,Kc8c,0.999,19.51,-0.00124,-0.10637,0.13,-0.74,0.04,-0.74,99.83,0.00
Jh 7d 2h,Kc9c,0.999,20.80,-0.00122,-0.09792,0.14,-0.66,0.05,-0.58,99.81,0.00
Jh 7d 2h,KcTc,0.999,23.20,-0.00121,-0.08677,0.17,-0.56,0.06,-0.44,99.77,0.00
Jh 7d 2h,KcJc,0.998,71.11,5.3191,124.669,9.42,5.35,90.56,5.32,0.02,0.00
Jh 7d 2h,KcQc,0.999,26.84,0.00909,0.56446,1.83,0.07,40.40,0.02,57.77,0.00
Jh 7d 2h,Kc8d,0.999,19.56,-0.00124,-0.106,0.13,-0.73,0.04,-0.72,99.83,0.00
Jh 7d 2h,Kc9d,0.999,20.82,-0.00122,-0.09741,0.15,-0.65,0.05,-0.55,99.80,0.00
Jh 7d 2h,KcTd,0.999,23.23,-0.0012,-0.08639,0.17,-0.54,0.06,-0.45,99.77,0.00
Jh 7d 2h,KcJd,0.998,71.23,5.36702,125.585,1.18,5.39,98.80,5.37,0.02,0.00
Jh 7d 2h,KcQd,0.998,26.95,0.00514,0.318,1.20,0.03,27.84,0.02,70.96,0.00
Jh 7d 2h,Kc8h,0.999,22.50,-0.00104,-0.07681,0.24,-0.31,0.08,-0.39,99.69,0.00
Jh 7d 2h,Kc9h,0.999,23.83,-0.00069,-0.04803,0.41,-0.10,0.14,-0.18,99.44,0.00
Jh 7d 2h,KcTh,0.998,26.41,0.00434,0.27402,3.77,0.05,12.68,0.02,83.56,0.00
Jh 7d 2h,KcQh,0.999,30.35,0.51486,28.2764,8.61,0.55,91.04,0.51,0.35,0.00
Jh 7d 2h,Kc8s,0.999,19.51,-0.00124,-0.10637,0.13,-0.74,0.04,-0.74,99.83,0.00
Jh 7d 2h,Kc9s,0.999,20.74,-0.00123,-0.09862,0.14,-0.68,0.05,-0.59,99.81,0.00
Jh 7d 2h,KcTs,0.999,23.13,-0.00122,-0.08754,0.16,-0.59,0.06,-0.45,99.78,0.00
Jh 7d 2h,KcJs,0.998,71.11,5.31912,124.669,9.48,5.35,90.50,5.32,0.02,0.00
Jh 7d 2h,KcQs,0.999,26.84,0.00926,0.5748,1.81,0.07,40.06,0.02,58.13,0.00
Jh 7d 2h,Ac2c,0.999,45.42,0.75705,27.777,11.68,0.78,88.10,0.76,0.23,0.00
Jh 7d 2h,Ac3c,0.999,25.43,-0.00123,-0.08091,0.10,-0.87,0.04,-0.89,99.86,0.00
Jh 7d 2h,Ac4c,0.999,25.73,-0.00124,-0.08006,0.10,-0.87,0.04,-0.87,99.86,0.00
Jh 7d 2h,Ac5c,0.999,26.27,-0.00124,-0.07873,0.10,-0.86,0.04,-0.86,99.86,0.00
Jh 7d 2h,Ac6c,0.999,25.81,-0.00126,-0.08167,0.09,-1.05,0.03,-0.88,99.87,0.00
Jh 7d 2h,Ac7c,0.999,54.63,1.60529,48.9732,0.02,1.28,99.89,1.61,0.10,0.00
Jh 7d 2h,Ac8c,0.999,28.69,-0.00126,-0.07333,0.11,-0.89,0.04,-0.79,99.85,0.00
Jh 7d 2h,Ac9c,0.999,30.85,-0.00127,-0.06838,0.10,-0.92,0.04,-0.71,99.85,0.00
Jh 7d 2h,AcTc,0.999,35.62,-0.00126,-0.05894,0.12,-0.84,0.06,-0.44,99.82,0.00
Jh 7d 2h,Ac2d,0.999,45.48,0.77857,28.5308,13.34,0.80,86.45,0.78,0.22,0.00
Jh 7d 2h,Ac3d,0.999,25.38,-0.00124,-0.08153,0.10,-0.91,0.04,-0.90,99.86,0.00
