Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 7d 2h,6c5c,1.000,17.50,1.15991,110.457,58.13,1.16,41.87,1.16
Jh 7d 2h,7c5c,1.000,59.09,3.53767,99.7784,66.60,3.54,33.40,3.54
Jh 7d 2h,7c6c,1.000,58.84,3.50014,99.1356,68.97,3.50,31.03,3.50
Jh 7d 2h,8c6c,1.000,18.40,1.17056,106.021,35.31,1.17,64.69,1.17
Jh 7d 2h,8c7c,1.000,61.35,3.63322,98.7098,37.45,3.63,62.55,3.63
Jh 7d 2h,9c6c,1.000,17.17,1.05737,102.607,13.45,1.05,86.55,1.06
Jh 7d 2h,9c7c,1.000,61.59,3.68594,99.75,60.38,3.69,39.62,3.69
Jh 7d 2h,9c8c,1.000,30.52,2.59168,141.532,78.18,2.59,21.82,2.59
Jh 7d 2h,9c8d,1.000,30.54,2.62547,143.303,68.46,2.63,31.54,2.63
Jh 7d 2h,9c8h,1.000,33.29,2.9865,149.539,92.06,2.99,7.94,2.99
Jh 7d 2h,9c8s,1.000,30.45,2.59601,142.073,76.55,2.60,23.45,2.60
Jh 7d 2h,Tc7c,1.000,62.00,3.63242,97.6443,11.88,3.63,88.12,3.63
Jh 7d 2h,Tc8c,1.000,29.75,2.39787,134.334,61.94,2.40,38.06,2.40
Jh 7d 2h,Tc9c,1.000,31.90,2.5966,135.648,74.19,2.60,25.81,2.60
Jh 7d 2h,Tc8d,1.000,29.77,2.43346,136.228,70.16,2.43,29.84,2.43
Jh 7d 2h,Tc9d,1.000,31.94,2.63484,137.503,69.73,2.63,30.27,2.64
Jh 7d 2h,Tc8h,1.000,32.64,2.78335,142.107,90.74,2.78,9.26,2.78
Jh 7d 2h,Tc9h,1.000,34.76,2.99633,143.656,88.42,3.00,11.58,3.00
Jh 7d 2h,Tc8s,1.000,29.68,2.40425,135.01,72.14,2.40,27.86,2.40
Jh 7d 2h,Tc9s,1.000,31.84,2.5989,136.033,74.83,2.60,25.17,2.60
Jh 7d 2h,Jc7c,1.000,87.95,10.6288,201.429,99.81,10.63,0.19,10.24
Jh 7d 2h,Jc8c,1.000,72.31,5.2987,122.13,19.19,5.30,80.81,5.30
Jh 7d 2h,Jc9c,1.000,72.79,5.39784,123.587,36.98,5.40,63.02,5.40
Jh 7d 2h,JcTc,1.000,73.91,5.62125,126.757,68.31,5.62,31.69,5.62
Jh 7d 2h,Jc8d,1.000,72.59,5.3509,122.865,11.67,5.34,88.33,5.35
Jh 7d 2h,Jc9d,1.000,73.01,5.43011,123.965,19.21,5.43,80.79,5.43
Jh 7d 2h,JcTd,1.000,74.05,5.63849,126.914,45.81,5.64,54.19,5.64
Jh 7d 2h,Jc8h,1.000,74.66,5.67041,126.587,47.92,5.67,52.08,5.67
Jh 7d 2h,Jc9h,1.000,75.07,5.7751,128.218,44.76,5.78,55.24,5.78
Jh 7d 2h,JcTh,1.000,76.32,5.99966,131.017,49.97,6.00,50.03,6.00
Jh 7d 2h,Jc8s,1.000,72.39,5.30658,122.182,19.82,5.31,80.18,5.31
Jh 7d 2h,Jc9s,1.000,72.87,5.40647,123.652,37.98,5.41,62.02,5.41
Jh 7d 2h,JcTs,1.000,73.91,5.62114,126.754,69.04,5.62,30.96,5.62
Jh 7d 2h,Qc7c,1.000,61.07,3.65702,99.8079,44.00,3.66,56.00,3.66
Jh 7d 2h,Qc8c,1.000,20.39,1.30257,106.481,59.63,1.30,40.37,1.30
Jh 7d 2h,Qc9c,1.000,22.53,1.48337,109.71,81.68,1.49,18.32,1.48
Jh 7d 2h,QcTc,1.000,25.07,1.69157,112.445,64.85,1.69,35.15,1.69
Jh 7d 2h,QcJc,1.000,76.73,6.42338,139.531,71.97,6.42,28.03,6.42
Jh 7d 2h,Qc8d,1.000,20.37,1.31749,107.822,43.96,1.32,56.04,1.32
Jh 7d 2h,Qc9d,1.000,22.54,1.51176,111.793,70.51,1.51,29.49,1.51
Jh 7d 2h,QcTd,1.000,25.17,1.74893,115.798,84.94,1.75,15.06,1.75
Jh 7d 2h,QcJd,1.000,76.84,6.46122,140.149,62.62,6.46,37.38,6.46
Jh 7d 2h,Qc8h,1.000,23.54,1.63968,116.104,88.51,1.64,11.49,1.64
Jh 7d 2h,Qc9h,1.000,25.67,1.83198,118.954,88.72,1.83,11.28,1.83
Jh 7d 2h,QcTh,1.000,28.41,2.12516,124.689,82.78,2.13,17.22,2.13
