Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 7d 2h,6c5c,1.000,17.50,1.40514,133.825,58.99,1.58,41.01,1.16
Jh 7d 2h,7c5c,1.000,59.08,3.46899,97.8531,66.28,3.43,33.72,3.54
Jh 7d 2h,7c6c,1.000,58.84,3.40328,96.4022,68.97,3.36,31.03,3.50
Jh 7d 2h,8c6c,1.000,18.40,1.3425,121.608,35.76,1.65,64.24,1.17
Jh 7d 2h,8c7c,1.000,61.34,3.61994,98.3611,38.19,3.60,61.81,3.63
Jh 7d 2h,9c6c,1.000,17.17,1.12535,109.219,12.71,1.59,87.29,1.06
Jh 7d 2h,9c7c,1.000,61.58,3.67178,99.3777,60.52,3.66,39.48,3.69
Jh 7d 2h,9c8c,1.000,30.52,2.74903,150.138,78.64,2.79,21.36,2.59
Jh 7d 2h,9c8d,1.000,30.53,2.83026,154.496,68.33,2.93,31.67,2.62
Jh 7d 2h,9c8h,1.000,33.28,3.05479,152.973,92.17,3.06,7.83,2.99
Jh 7d 2h,9c8s,1.000,30.45,2.81738,154.202,76.25,2.89,23.75,2.60
Jh 7d 2h,Tc7c,1.000,61.99,3.62948,97.5761,11.13,3.61,88.87,3.63
Jh 7d 2h,Tc8c,1.000,29.75,2.60117,145.737,61.61,2.73,38.39,2.40
Jh 7d 2h,Tc9c,1.000,31.90,2.73993,143.146,74.45,2.79,25.55,2.59
Jh 7d 2h,Tc8d,1.000,29.77,2.70227,151.289,69.99,2.82,30.01,2.43
Jh 7d 2h,Tc9d,1.000,31.93,2.87367,149.976,69.48,2.98,30.52,2.63
Jh 7d 2h,Tc8h,1.000,32.64,2.94862,150.556,90.53,2.97,9.47,2.78
Jh 7d 2h,Tc9h,1.000,34.76,3.14889,150.981,88.16,3.17,11.84,3.00
Jh 7d 2h,Tc8s,1.000,29.68,2.70833,152.1,72.32,2.83,27.68,2.40
Jh 7d 2h,Tc9s,1.000,31.84,2.8581,149.612,74.78,2.95,25.22,2.60
Jh 7d 2h,Jc7c,1.000,87.94,10.1356,192.088,99.84,10.14,0.16,10.24
Jh 7d 2h,Jc8c,1.000,72.30,5.27259,121.545,18.99,5.17,81.01,5.30
Jh 7d 2h,Jc9c,1.000,72.79,5.34725,122.444,37.38,5.27,62.62,5.40
Jh 7d 2h,JcTc,1.000,73.90,5.59069,126.085,67.99,5.58,32.01,5.62
Jh 7d 2h,Jc8d,1.000,72.58,5.3345,122.504,10.70,5.21,89.30,5.35
Jh 7d 2h,Jc9d,1.000,73.00,5.40549,123.418,18.12,5.30,81.88,5.43
Jh 7d 2h,JcTd,1.000,74.04,5.63278,126.801,45.64,5.63,54.36,5.64
Jh 7d 2h,Jc8h,1.000,74.65,5.52638,123.387,48.25,5.37,51.75,5.67
Jh 7d 2h,Jc9h,1.000,75.06,5.63904,125.212,44.89,5.47,55.11,5.77
Jh 7d 2h,JcTh,1.000,76.31,5.92596,129.428,49.51,5.85,50.49,6.00
Jh 7d 2h,Jc8s,1.000,72.38,5.28111,121.612,19.72,5.19,80.28,5.30
Jh 7d 2h,Jc9s,1.000,72.86,5.3562,122.518,38.41,5.28,61.59,5.40
Jh 7d 2h,JcTs,1.000,73.90,5.58963,126.062,68.99,5.58,31.01,5.62
Jh 7d 2h,Qc7c,1.000,61.06,3.63466,99.2082,44.35,3.61,55.65,3.66
Jh 7d 2h,Qc8c,1.000,20.39,1.66259,135.919,61.45,1.89,38.55,1.30
Jh 7d 2h,Qc9c,1.000,22.53,1.94707,144.015,83.46,2.04,16.54,1.47
Jh 7d 2h,QcTc,1.000,25.07,1.99907,132.888,64.55,2.17,35.45,1.69
Jh 7d 2h,QcJc,1.000,76.72,6.17271,134.103,72.03,6.08,27.97,6.42
Jh 7d 2h,Qc8d,1.000,20.36,1.55961,127.648,43.08,1.88,56.92,1.32
Jh 7d 2h,Qc9d,1.000,22.54,1.88649,139.513,69.77,2.05,30.23,1.51
Jh 7d 2h,QcTd,1.000,25.17,2.13735,141.526,85.37,2.20,14.63,1.75
Jh 7d 2h,QcJd,1.000,76.83,6.26251,135.852,62.48,6.14,37.52,6.46
Jh 7d 2h,Qc8h,1.000,23.53,2.11295,149.632,88.08,2.18,11.92,1.64
Jh 7d 2h,Qc9h,1.000,25.67,2.29084,148.757,88.62,2.35,11.38,1.83
Jh 7d 2h,QcTh,1.000,28.41,2.47752,145.366,82.16,2.55,17.84,2.12
Jh 7d 2h,Qc8s,1.000,20.29,1.47261,120.984,30.79,1.88,69.21,1.29
