Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 7d 2h,6c5c,1.000,17.50,-0.02995,-2.85238,58.99,-0.86,41.01,1.16
Jh 7d 2h,7c5c,1.000,59.08,4.68265,132.088,66.28,5.27,33.72,3.54
Jh 7d 2h,7c6c,1.000,58.84,4.82821,136.765,68.97,5.43,31.03,3.50
Jh 7d 2h,8c6c,1.000,18.40,0.36889,33.4152,35.76,-1.07,64.24,1.17
Jh 7d 2h,8c7c,1.000,61.34,4.44309,120.728,38.19,5.75,61.81,3.63
Jh 7d 2h,9c6c,1.000,17.17,0.76349,74.0999,12.71,-1.25,87.29,1.06
Jh 7d 2h,9c7c,1.000,61.58,4.86978,131.802,60.52,5.64,39.48,3.69
Jh 7d 2h,9c8c,1.000,30.52,2.70774,147.882,78.64,2.74,21.36,2.59
Jh 7d 2h,9c8d,1.000,30.53,2.11835,115.635,68.33,1.88,31.67,2.62
Jh 7d 2h,9c8h,1.000,33.28,3.62834,181.694,92.17,3.68,7.83,2.99
Jh 7d 2h,9c8s,1.000,30.45,2.38615,130.6,76.25,2.32,23.75,2.60
Jh 7d 2h,Tc7c,1.000,61.99,3.78715,101.815,11.13,5.02,88.87,3.63
Jh 7d 2h,Tc8c,1.000,29.75,1.47283,82.5187,61.61,0.90,38.39,2.40
Jh 7d 2h,Tc9c,1.000,31.90,2.82062,147.362,74.45,2.90,25.55,2.59
Jh 7d 2h,Tc8d,1.000,29.77,1.07489,60.1784,69.99,0.49,30.01,2.43
Jh 7d 2h,Tc9d,1.000,31.93,1.69166,88.2877,69.48,1.28,30.52,2.63
Jh 7d 2h,Tc8h,1.000,32.64,2.7013,137.928,90.53,2.69,9.47,2.78
Jh 7d 2h,Tc9h,1.000,34.76,3.30097,158.273,88.16,3.34,11.84,3.00
Jh 7d 2h,Tc8s,1.000,29.68,1.10263,61.9235,72.32,0.60,27.68,2.40
Jh 7d 2h,Tc9s,1.000,31.84,2.07209,108.467,74.78,1.89,25.22,2.60
Jh 7d 2h,Jc7c,1.000,87.94,13.687,259.395,99.84,13.69,0.16,10.24
Jh 7d 2h,Jc8c,1.000,72.30,5.86679,135.242,18.99,8.30,81.01,5.30
Jh 7d 2h,Jc9c,1.000,72.79,6.52143,149.331,37.38,8.41,62.62,5.40
Jh 7d 2h,JcTc,1.000,73.90,7.3612,166.015,67.99,8.18,32.01,5.62
Jh 7d 2h,Jc8d,1.000,72.58,5.64346,129.599,10.70,8.09,89.30,5.35
Jh 7d 2h,Jc9d,1.000,73.00,5.88954,134.47,18.12,7.97,81.88,5.43
Jh 7d 2h,JcTd,1.000,74.04,6.68142,150.408,45.64,7.93,54.36,5.64
Jh 7d 2h,Jc8h,1.000,74.65,7.47304,166.85,48.25,9.41,51.75,5.67
Jh 7d 2h,Jc9h,1.000,75.06,7.51161,166.791,44.89,9.65,55.11,5.77
Jh 7d 2h,JcTh,1.000,76.31,7.62317,166.496,49.51,9.28,50.49,6.00
Jh 7d 2h,Jc8s,1.000,72.38,5.88939,135.619,19.72,8.27,80.28,5.30
Jh 7d 2h,Jc9s,1.000,72.86,6.55371,149.91,38.41,8.40,61.59,5.40
Jh 7d 2h,JcTs,1.000,73.90,7.38535,166.56,68.99,8.18,31.01,5.62
Jh 7d 2h,Qc7c,1.000,61.06,3.86708,105.552,44.35,4.13,55.65,3.66
Jh 7d 2h,Qc8c,1.000,20.39,-0.10604,-8.66927,61.45,-0.99,38.55,1.30
Jh 7d 2h,Qc9c,1.000,22.53,-0.30171,-22.3158,83.46,-0.65,16.54,1.47
Jh 7d 2h,QcTc,1.000,25.07,0.26731,17.7691,64.55,-0.51,35.45,1.69
Jh 7d 2h,QcJc,1.000,76.72,8.47073,184.027,72.03,9.27,27.97,6.42
Jh 7d 2h,Qc8d,1.000,20.36,0.33936,27.7751,43.08,-0.95,56.92,1.32
Jh 7d 2h,Qc9d,1.000,22.54,-0.05971,-4.41558,69.77,-0.74,30.23,1.51
Jh 7d 2h,QcTd,1.000,25.17,-0.2634,-17.4412,85.37,-0.61,14.63,1.75
Jh 7d 2h,QcJd,1.000,76.83,8.11874,176.119,62.48,9.12,37.52,6.46
