Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 7d 2h,2c,6c5c,0.581,6.08,0.52836,72.4389,0.62,0.36,0.26,0.16,99.12,0.53
Jh 7d 2h,2c,7c5c,0.666,45.97,4.47035,81.035,0.09,3.13,0.09,3.65,99.82,4.47
Jh 7d 2h,2c,7c6c,0.690,45.24,4.38267,80.7384,0.09,3.00,0.09,3.45,99.83,4.38
Jh 7d 2h,2c,8c6c,0.353,6.59,0.51709,65.416,0.30,0.05,0.17,0.11,99.53,0.52
Jh 7d 2h,2c,8c7c,0.374,47.24,4.6913,82.7563,0.08,3.13,0.08,3.84,99.83,4.69
Jh 7d 2h,2c,9c6c,0.135,7.14,0.56985,66.5471,0.31,0.12,0.19,0.21,99.50,0.57
Jh 7d 2h,2c,9c7c,0.604,47.56,4.73973,83.0552,0.08,3.13,0.08,3.90,99.84,4.74
Jh 7d 2h,2c,9c8c,0.782,15.69,2.26613,120.361,89.52,2.27,0.52,1.96,9.96,2.24
Jh 7d 2h,2c,9c8d,0.685,15.49,2.23852,120.415,3.98,2.20,0.41,1.86,95.61,2.24
Jh 7d 2h,2c,9c8h,0.921,15.86,2.29645,120.663,27.74,2.30,0.99,2.10,71.27,2.30
Jh 7d 2h,2c,9c8s,0.765,15.48,2.2441,120.828,3.53,2.21,0.47,1.90,96.00,2.25
Jh 7d 2h,2c,Tc7c,0.119,48.02,4.84132,84.0076,0.08,3.13,0.08,3.93,99.85,4.84
Jh 7d 2h,2c,Tc8c,0.619,17.16,2.33904,113.609,94.39,2.34,0.38,2.06,5.23,2.28
Jh 7d 2h,2c,Tc9c,0.742,17.99,2.44203,113.097,94.51,2.45,0.37,2.18,5.12,2.39
Jh 7d 2h,2c,Tc8d,0.702,16.99,2.27878,111.79,13.04,2.27,0.58,1.96,86.38,2.28
Jh 7d 2h,2c,Tc9d,0.697,17.87,2.37362,110.669,21.82,2.37,0.57,2.05,77.62,2.38
Jh 7d 2h,2c,Tc8h,0.907,17.64,2.34151,110.615,66.60,2.34,0.95,2.17,32.44,2.34
Jh 7d 2h,2c,Tc9h,0.884,18.50,2.44019,109.929,58.23,2.44,0.83,2.22,40.94,2.44
Jh 7d 2h,2c,Tc8s,0.721,16.94,2.28208,112.23,32.30,2.28,0.70,2.00,67.00,2.29
Jh 7d 2h,2c,Tc9s,0.748,17.79,2.38411,111.647,45.31,2.38,0.70,2.12,53.98,2.39
Jh 7d 2h,2c,Jc7c,0.998,85.53,14.9401,145.561,99.04,14.94,0.49,14.86,0.47,14.54
Jh 7d 2h,2c,Jc8c,0.192,71.30,9.65395,112.833,0.29,9.42,1.28,9.52,98.43,9.66
Jh 7d 2h,2c,Jc9c,0.370,71.98,9.81198,113.599,0.30,9.66,1.86,9.69,97.84,9.81
Jh 7d 2h,2c,JcTc,0.683,73.40,10.1162,114.853,0.36,9.96,2.71,10.05,96.93,10.12
Jh 7d 2h,2c,Jc8d,0.117,71.45,9.67536,112.839,0.29,9.45,1.75,9.57,97.96,9.68
Jh 7d 2h,2c,Jc9d,0.192,71.94,9.79557,113.471,0.33,9.63,1.99,9.69,97.68,9.80
Jh 7d 2h,2c,JcTd,0.458,73.15,10.0573,114.567,0.43,9.94,3.66,10.00,95.91,10.06
Jh 7d 2h,2c,Jc8h,0.479,71.65,9.76418,113.559,0.44,9.45,1.11,9.71,98.45,9.77
Jh 7d 2h,2c,Jc9h,0.448,72.16,9.89123,114.23,0.47,9.63,1.61,9.85,97.92,9.89
Jh 7d 2h,2c,JcTh,0.500,73.45,10.1419,115.069,0.51,9.95,2.87,10.11,96.62,10.14
Jh 7d 2h,2c,Jc8s,0.198,71.44,9.67697,112.886,0.28,9.44,1.34,9.54,98.38,9.68
Jh 7d 2h,2c,Jc9s,0.380,72.12,9.83682,113.669,0.30,9.68,1.94,9.72,97.77,9.84
Jh 7d 2h,2c,JcTs,0.690,73.40,10.1161,114.852,0.36,9.96,2.72,10.05,96.92,10.12
Jh 7d 2h,2c,Qc7c,0.440,49.40,5.23026,88.2312,0.10,3.97,0.10,4.56,99.80,5.23
Jh 7d 2h,2c,Qc8c,0.596,13.17,1.0476,66.2719,16.57,1.04,0.92,0.82,82.51,1.05
Jh 7d 2h,2c,Qc9c,0.817,13.59,1.10587,67.8087,29.15,1.11,1.28,0.94,69.57,1.11
Jh 7d 2h,2c,QcTc,0.648,14.17,1.0851,63.8345,13.66,1.08,1.45,0.95,84.88,1.09
Jh 7d 2h,2c,QcJc,0.720,77.78,11.3119,121.199,0.41,11.11,1.02,11.17,98.57,11.31
Jh 7d 2h,2c,Qc8d,0.440,13.22,1.049,66.1052,13.61,1.05,0.84,0.80,85.56,1.05
Jh 7d 2h,2c,Qc9d,0.705,13.74,1.10243,66.8796,8.01,1.08,0.79,0.87,91.20,1.11
Jh 7d 2h,2c,QcTd,0.849,14.11,1.08476,64.0515,1.57,1.04,0.78,0.87,97.65,1.09
Jh 7d 2h,2c,QcJd,0.626,77.80,11.3228,121.276,0.46,11.16,1.15,11.19,98.39,11.33
Jh 7d 2h,2c,Qc8h,0.885,13.92,1.1123,66.593,2.25,1.07,0.66,0.92,97.09,1.11
Jh 7d 2h,2c,Qc9h,0.887,14.37,1.16745,67.6817,1.58,1.07,0.50,0.96,97.92,1.17
Jh 7d 2h,2c,QcTh,0.828,14.98,1.14647,63.7961,1.24,1.07,0.56,0.93,98.20,1.15
Jh 7d 2h,2c,Qc8s,0.325,13.17,1.04732,66.2547,15.40,1.04,0.92,0.82,83.68,1.05
Jh 7d 2h,2c,Qc9s,0.517,13.59,1.10607,67.8212,29.08,1.11,1.28,0.94,69.64,1.11
Jh 7d 2h,2c,QcTs,0.649,14.17,1.08492,63.824,13.37,1.08,1.46,0.95,85.18,1.09
Jh 7d 2h,2c,QcJs,0.726,77.78,11.3118,121.197,0.41,11.11,1.02,11.17,98.57,11.31
Jh 7d 2h,2c,Kc3c,0.161,16.25,1.32837,68.1244,97.56,1.33,0.28,1.08,2.15,1.18
Jh 7d 2h,2c,Kc4c,0.167,16.23,1.31819,67.6758,97.48,1.32,0.29,1.07,2.22,1.17
Jh 7d 2h,2c,Kc5c,0.107,16.25,1.31516,67.4292,97.55,1.32,0.28,1.07,2.17,1.16
Jh 7d 2h,2c,Kc6c,0.109,16.54,1.09467,55.1547,2.50,1.08,1.02,0.92,96.49,1.10
Jh 7d 2h,2c,Kc7c,0.395,49.92,5.29409,88.3785,0.11,4.16,0.11,4.71,99.77,5.30
Jh 7d 2h,2c,Kc8c,0.628,16.94,1.13027,55.6157,5.85,1.12,1.42,0.98,92.73,1.13
Jh 7d 2h,2c,Kc9c,0.824,17.41,1.19248,57.0696,22.21,1.19,2.26,1.10,75.53,1.19
Jh 7d 2h,2c,KcTc,0.643,18.41,1.22252,55.3338,2.56,1.19,1.40,1.11,96.04,1.23
Jh 7d 2h,2c,KcJc,0.898,81.48,12.5399,128.248,1.62,12.54,1.62,12.41,96.76,12.54
Jh 7d 2h,2c,KcQc,0.849,23.94,2.07301,72.1504,62.80,2.07,1.10,1.87,36.09,2.08
Jh 7d 2h,2c,Kc8d,0.544,16.98,1.13015,55.457,5.61,1.13,0.95,0.95,93.44,1.13
Jh 7d 2h,2c,Kc9d,0.839,17.49,1.18764,56.5943,5.14,1.18,1.20,1.03,93.66,1.19
Jh 7d 2h,2c,KcTd,0.843,17.92,1.20564,56.0561,1.81,1.17,0.89,1.05,97.30,1.21
Jh 7d 2h,2c,KcJd,0.900,81.53,12.61,128.885,6.00,12.61,1.78,12.48,92.22,12.61
Jh 7d 2h,2c,KcQd,0.819,23.72,2.05067,72.0373,71.62,2.05,1.03,1.84,27.36,2.05
Jh 7d 2h,2c,Kc7h,0.820,49.82,5.2491,87.801,0.11,4.07,0.11,4.67,99.78,5.25
Jh 7d 2h,2c,Kc8h,0.926,17.47,1.1865,56.5891,9.25,1.19,1.83,1.11,88.92,1.19
Jh 7d 2h,2c,Kc9h,0.931,17.98,1.2482,57.8659,9.61,1.25,1.68,1.14,88.71,1.25
Jh 7d 2h,2c,KcTh,0.860,18.33,1.26465,57.4944,9.63,1.25,1.14,1.11,89.23,1.27
Jh 7d 2h,2c,KcQh,0.941,23.02,2.11592,76.6052,10.29,2.10,1.26,1.95,88.45,2.12
Jh 7d 2h,2c,Kc7s,0.365,49.92,5.2891,88.2961,0.11,4.13,0.11,4.70,99.77,5.29
Jh 7d 2h,2c,Kc8s,0.378,16.94,1.13054,55.6294,3.83,1.12,1.40,0.98,94.77,1.13
Jh 7d 2h,2c,Kc9s,0.616,17.41,1.19246,57.0689,17.10,1.19,2.25,1.10,80.66,1.19
Jh 7d 2h,2c,KcTs,0.640,18.41,1.22261,55.3379,2.56,1.19,1.39,1.11,96.04,1.23
