Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 7d 2h,2c,6c5c,0.581,4.82,0.17164,29.6466,0.62,-1.42,0.26,-1.59,99.12,0.19
Jh 7d 2h,2c,7c5c,0.666,39.83,3.00786,62.9255,0.09,1.74,0.09,2.34,99.82,3.01
Jh 7d 2h,2c,7c6c,0.690,38.99,2.89222,61.8134,0.09,1.58,0.09,2.10,99.83,2.89
Jh 7d 2h,2c,8c6c,0.353,5.51,0.03224,4.87961,0.30,-1.79,0.17,-1.54,99.53,0.04
Jh 7d 2h,2c,8c7c,0.374,41.05,3.77997,76.7438,0.08,1.72,0.08,2.50,99.83,3.78
Jh 7d 2h,2c,9c6c,0.135,5.72,0.10765,15.6819,0.31,-1.84,0.19,-1.57,99.50,0.12
Jh 7d 2h,2c,9c7c,0.604,41.00,3.70629,75.3258,0.08,1.61,0.08,2.48,99.84,3.71
Jh 7d 2h,2c,9c8c,0.782,14.13,0.70895,41.818,89.52,0.58,0.52,0.35,9.96,1.85
Jh 7d 2h,2c,9c8d,0.685,14.13,1.87306,110.463,3.98,0.60,0.41,0.31,95.61,1.93
Jh 7d 2h,2c,9c8h,0.921,14.32,1.57527,91.6835,27.74,0.56,0.99,0.53,71.27,1.98
Jh 7d 2h,2c,9c8s,0.765,14.13,1.82008,107.36,3.53,0.58,0.47,0.35,96.00,1.87
Jh 7d 2h,2c,Tc7c,0.119,41.73,3.86529,77.1901,0.08,1.76,0.08,2.66,99.85,3.87
Jh 7d 2h,2c,Tc8c,0.619,14.89,0.89832,50.2674,94.39,0.84,0.38,0.63,5.23,2.03
Jh 7d 2h,2c,Tc9c,0.742,15.26,0.9077,49.5806,94.51,0.84,0.37,0.65,5.12,2.13
Jh 7d 2h,2c,Tc8d,0.702,14.89,1.95864,109.597,13.04,0.85,0.58,0.60,86.38,2.14
Jh 7d 2h,2c,Tc9d,0.697,15.25,1.92429,105.146,21.82,0.90,0.57,0.66,77.62,2.22
Jh 7d 2h,2c,Tc8h,0.907,14.87,1.23484,69.2206,66.60,0.79,0.95,0.76,32.44,2.16
Jh 7d 2h,2c,Tc9h,0.884,15.25,1.48768,81.3095,58.23,0.94,0.83,0.86,40.94,2.28
Jh 7d 2h,2c,Tc8s,0.721,14.89,1.66036,92.9086,32.30,0.84,0.70,0.63,67.00,2.07
Jh 7d 2h,2c,Tc9s,0.748,15.26,1.56951,85.7304,45.31,0.84,0.70,0.65,53.98,2.19
Jh 7d 2h,2c,Jc7c,0.998,85.02,15.4469,151.4,99.04,15.45,0.49,15.30,0.47,14.37
Jh 7d 2h,2c,Jc8c,0.192,68.37,8.67207,105.705,0.29,8.98,1.28,9.09,98.43,8.67
Jh 7d 2h,2c,Jc9c,0.370,68.89,8.78681,106.283,0.30,9.24,1.86,9.25,97.84,8.78
Jh 7d 2h,2c,JcTc,0.683,70.94,9.21129,108.202,0.36,9.63,2.71,9.70,96.93,9.20
Jh 7d 2h,2c,Jc8d,0.117,68.58,8.64268,105.012,0.29,9.02,1.75,9.17,97.96,8.63
Jh 7d 2h,2c,Jc9d,0.192,69.00,8.74077,105.57,0.33,9.22,1.99,9.27,97.68,8.73
Jh 7d 2h,2c,JcTd,0.458,70.89,9.23172,108.528,0.43,9.63,3.66,9.66,95.91,9.21
Jh 7d 2h,2c,Jc8h,0.479,68.52,8.58602,104.419,0.44,8.99,1.11,9.31,98.45,8.58
Jh 7d 2h,2c,Jc9h,0.448,69.20,8.73587,105.195,0.47,9.21,1.61,9.48,97.92,8.72
Jh 7d 2h,2c,JcTh,0.500,71.31,9.21247,107.657,0.51,9.65,2.87,9.85,96.62,9.19
Jh 7d 2h,2c,Jc8s,0.198,68.50,8.6921,105.737,0.28,9.01,1.34,9.13,98.38,8.69
Jh 7d 2h,2c,Jc9s,0.380,69.03,8.80896,106.335,0.30,9.27,1.94,9.29,97.77,8.80
Jh 7d 2h,2c,JcTs,0.690,70.94,9.21124,108.2,0.36,9.63,2.72,9.70,96.92,9.20
Jh 7d 2h,2c,Qc7c,0.440,44.16,4.39897,83.0181,0.10,2.91,0.10,3.51,99.80,4.40
Jh 7d 2h,2c,Qc8c,0.596,9.90,0.79169,66.6436,16.57,-0.34,0.92,-0.50,82.51,1.03
Jh 7d 2h,2c,Qc9c,0.817,10.26,0.66207,53.7911,29.15,-0.39,1.28,-0.48,69.57,1.13
Jh 7d 2h,2c,QcTc,0.648,10.74,0.95295,73.9281,13.66,-0.23,1.45,-0.30,84.88,1.16
Jh 7d 2h,2c,QcJc,0.720,75.61,10.3893,114.503,0.41,10.98,1.02,10.99,98.57,10.38
Jh 7d 2h,2c,Qc8d,0.440,9.89,0.85962,72.4309,13.61,-0.31,0.84,-0.49,85.56,1.06
Jh 7d 2h,2c,Qc9d,0.705,10.26,0.98172,79.7598,8.01,-0.34,0.79,-0.49,91.20,1.11
Jh 7d 2h,2c,QcTd,0.849,10.74,1.171,90.8907,1.57,-0.16,0.78,-0.27,97.65,1.20
Jh 7d 2h,2c,QcJd,0.626,75.65,10.4037,114.608,0.46,11.05,1.15,11.01,98.39,10.39
Jh 7d 2h,2c,Qc8h,0.885,9.62,0.97965,84.839,2.25,-0.44,0.66,-0.44,97.09,1.02
Jh 7d 2h,2c,Qc9h,0.887,9.99,1.1112,92.7153,1.58,-0.40,0.50,-0.35,97.92,1.14
Jh 7d 2h,2c,QcTh,0.828,10.49,1.21524,96.5836,1.24,-0.15,0.56,-0.23,98.20,1.24
Jh 7d 2h,2c,Qc8s,0.325,9.90,0.80797,68.0135,15.40,-0.34,0.92,-0.50,83.68,1.03
Jh 7d 2h,2c,Qc9s,0.517,10.26,0.6638,53.9319,29.08,-0.39,1.28,-0.48,69.64,1.13
Jh 7d 2h,2c,QcTs,0.649,10.74,0.95655,74.2074,13.37,-0.23,1.46,-0.30,85.18,1.16
Jh 7d 2h,2c,QcJs,0.726,75.61,10.3889,114.497,0.41,10.98,1.02,10.99,98.57,10.38
Jh 7d 2h,2c,Kc3c,0.161,10.40,0.06017,4.82129,97.56,0.04,0.28,-0.19,2.15,0.98
Jh 7d 2h,2c,Kc4c,0.167,10.40,0.06127,4.90974,97.48,0.04,0.29,-0.19,2.22,0.96
Jh 7d 2h,2c,Kc5c,0.107,10.40,0.01355,1.08532,97.55,-0.01,0.28,-0.24,2.17,0.96
Jh 7d 2h,2c,Kc6c,0.109,10.54,0.75237,59.5047,2.50,-0.28,1.02,-0.36,96.49,0.79
Jh 7d 2h,2c,Kc7c,0.395,44.79,4.41294,82.1054,0.11,3.15,0.11,3.71,99.77,4.42
Jh 7d 2h,2c,Kc8c,0.628,11.35,0.99156,72.7826,5.85,-0.23,1.42,-0.26,92.73,1.09
Jh 7d 2h,2c,Kc9c,0.824,11.75,0.87064,61.7273,22.21,-0.27,2.26,-0.24,75.53,1.24
Jh 7d 2h,2c,KcTc,0.643,12.33,1.17104,79.1472,2.56,-0.09,1.40,-0.01,96.04,1.22
Jh 7d 2h,2c,KcJc,0.898,79.78,11.8374,123.651,1.62,12.62,1.62,12.40,96.76,11.81
Jh 7d 2h,2c,KcQc,0.849,15.06,1.01422,56.1354,62.80,1.04,1.10,0.86,36.09,0.97
Jh 7d 2h,2c,Kc8d,0.544,11.34,1.00817,74.0936,5.61,-0.20,0.95,-0.29,93.44,1.09
Jh 7d 2h,2c,Kc9d,0.839,11.75,1.09596,77.6994,5.14,-0.21,1.20,-0.23,93.66,1.18
Jh 7d 2h,2c,KcTd,0.843,12.32,1.18117,79.8823,1.81,0.00,0.89,0.04,97.30,1.21
Jh 7d 2h,2c,KcJd,0.900,79.84,11.9625,124.857,6.00,12.70,1.78,12.48,92.22,11.90
Jh 7d 2h,2c,KcQd,0.819,15.05,1.06641,59.0607,71.62,1.05,1.03,0.85,27.36,1.13
Jh 7d 2h,2c,Kc7h,0.820,44.70,4.34768,81.0606,0.11,3.05,0.11,3.65,99.78,4.35
Jh 7d 2h,2c,Kc8h,0.926,10.81,0.84418,65.0616,9.25,-0.28,1.83,-0.22,88.92,0.98
Jh 7d 2h,2c,Kc9h,0.931,11.18,0.94836,70.6888,9.61,-0.17,1.68,-0.12,88.71,1.09
Jh 7d 2h,2c,KcTh,0.860,11.76,1.11435,78.9593,9.63,0.06,1.14,0.04,89.23,1.24
Jh 7d 2h,2c,KcQh,0.941,14.38,1.69755,98.3843,10.29,1.08,1.26,0.97,88.45,1.78
Jh 7d 2h,2c,Kc7s,0.365,44.75,4.40088,81.9489,0.11,3.11,0.11,3.69,99.77,4.40
Jh 7d 2h,2c,Kc8s,0.378,11.35,1.02589,75.3022,3.83,-0.23,1.40,-0.26,94.77,1.10
Jh 7d 2h,2c,Kc9s,0.616,11.75,0.94836,67.2373,17.10,-0.27,2.25,-0.24,80.66,1.24
Jh 7d 2h,2c,KcTs,0.640,12.33,1.17085,79.1338,2.56,-0.09,1.39,-0.01,96.04,1.22
Jh 7d 2h,2c,KcJs,0.909,79.77,11.8368,123.65,1.79,12.61,1.62,12.40,96.59,11.81
Jh 7d 2h,2c,KcQs,0.848,15.06,1.01542,56.202,62.56,1.04,1.10,0.86,36.34,0.98
Jh 7d 2h,2c,Ac3c,0.556,16.88,0.21016,10.3763,56.20,0.24,0.38,-0.41,43.42,0.18
Jh 7d 2h,2c,Ac4c,0.529,16.88,0.19476,9.61492,32.57,0.24,0.38,-0.40,67.05,0.18
Jh 7d 2h,2c,Ac5c,0.261,16.77,0.16232,8.06695,27.46,0.20,0.37,-0.45,72.17,0.15
Jh 7d 2h,2c,Ac6c,0.018,17.22,0.16181,7.83116,0.39,-0.09,0.22,-0.42,99.39,0.16
Jh 7d 2h,2c,Ac7c,0.771,46.10,3.98037,71.9468,0.24,3.64,0.24,3.94,99.52,3.98
Jh 7d 2h,2c,Ac8c,0.038,19.19,0.72012,31.2654,0.22,0.04,0.15,-0.27,99.62,0.72
Jh 7d 2h,2c,Ac9c,0.062,22.28,0.99022,37.0293,0.17,0.04,0.13,-0.14,99.70,0.99
Jh 7d 2h,2c,AcTc,0.147,27.37,1.77615,54.0731,0.09,0.27,0.11,0.26,99.79,1.78
Jh 7d 2h,2c,AcJc,0.995,85.86,14.8948,144.572,74.63,15.06,4.79,14.90,20.58,14.31
Jh 7d 2h,2c,AcQc,0.298,35.06,3.13771,74.5883,0.10,1.66,0.10,1.40,99.80,3.14
Jh 7d 2h,2c,AcKc,0.082,35.25,2.89534,68.4441,0.10,1.81,0.11,1.49,99.79,2.90
Jh 7d 2h,2c,Ac2d,0.736,93.57,23.9151,212.99,99.60,23.92,0.35,23.31,0.05,20.38
Jh 7d 2h,2c,Ac3d,0.536,16.88,0.18424,9.09619,8.93,0.24,0.34,-0.41,90.74,0.18
Jh 7d 2h,2c,Ac4d,0.567,16.88,0.18235,9.00199,4.49,0.24,0.31,-0.40,95.19,0.18
Jh 7d 2h,2c,Ac5d,0.275,16.92,0.18315,9.01892,2.23,0.25,0.29,-0.39,97.48,0.18
Jh 7d 2h,2c,Ac6d,0.014,17.15,0.16331,7.93474,0.45,-0.01,0.24,-0.45,99.32,0.17
Jh 7d 2h,2c,Ac8d,0.045,18.95,0.70866,31.161,0.23,0.07,0.15,-0.30,99.62,0.71
Jh 7d 2h,2c,Ac9d,0.138,22.26,1.08348,40.5669,0.17,0.10,0.13,-0.15,99.70,1.09
Jh 7d 2h,2c,AcTd,0.470,27.34,2.48229,75.67,0.09,0.35,0.11,0.26,99.79,2.49
Jh 7d 2h,2c,AcJd,0.995,85.68,15.2328,148.151,94.67,15.26,2.89,15.11,2.44,14.45
Jh 7d 2h,2c,AcQd,0.184,35.02,3.15061,74.9699,0.10,1.67,0.10,1.40,99.81,3.15
Jh 7d 2h,2c,AcKd,0.036,35.28,2.98033,70.3917,0.12,1.85,0.11,1.61,99.77,2.98
Jh 7d 2h,2c,Ac3h,0.880,16.71,0.2797,13.9485,69.02,0.19,0.41,-0.41,30.57,0.50
Jh 7d 2h,2c,Ac4h,0.847,16.70,0.30681,15.3131,61.83,0.18,0.41,-0.41,37.76,0.52
Jh 7d 2h,2c,Ac5h,0.780,16.37,0.95984,48.8608,2.85,0.14,0.35,-0.48,96.80,0.99
Jh 7d 2h,2c,Ac6h,0.230,16.66,0.79929,39.9712,0.50,-0.08,0.27,-0.43,99.23,0.81
Jh 7d 2h,2c,Ac7h,0.974,46.60,4.05813,72.5737,0.26,3.78,0.26,4.05,99.47,4.06
