Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 7d 2h,2c,6c5c,0.581,7.35,0.87731,99.4238,0.62,2.67,0.26,1.69,99.12,0.86
Jh 7d 2h,2c,7c5c,0.666,55.54,6.28412,94.2836,0.09,4.99,0.09,4.44,99.82,6.29
Jh 7d 2h,2c,7c6c,0.690,55.06,6.20366,93.895,0.09,4.90,0.09,4.35,99.83,6.21
Jh 7d 2h,2c,8c6c,0.353,8.11,0.93573,96.1826,0.30,2.55,0.17,1.71,99.53,0.93
Jh 7d 2h,2c,8c7c,0.374,57.15,6.46622,94.2914,0.08,5.09,0.08,4.40,99.83,6.47
Jh 7d 2h,2c,9c6c,0.135,8.36,0.95948,95.6953,0.31,2.52,0.19,1.70,99.50,0.95
Jh 7d 2h,2c,9c7c,0.604,57.24,6.49859,94.6114,0.08,5.03,0.08,4.41,99.84,6.50
Jh 7d 2h,2c,9c8c,0.782,17.11,4.09858,199.646,89.52,4.30,0.52,3.30,9.96,2.35
Jh 7d 2h,2c,9c8d,0.685,17.02,2.48482,121.646,3.98,4.28,0.41,3.27,95.61,2.41
Jh 7d 2h,2c,9c8h,0.921,17.26,2.99408,144.546,27.74,4.40,0.99,3.27,71.27,2.44
Jh 7d 2h,2c,9c8s,0.765,17.03,2.4259,118.732,3.53,4.28,0.47,3.25,96.00,2.35
Jh 7d 2h,2c,Tc7c,0.119,57.76,6.54583,94.4386,0.08,5.07,0.08,4.49,99.85,6.55
Jh 7d 2h,2c,Tc8c,0.619,17.88,4.28124,199.565,94.39,4.39,0.38,3.21,5.23,2.40
Jh 7d 2h,2c,Tc9c,0.742,18.32,4.3035,195.788,94.51,4.40,0.37,3.35,5.12,2.53
Jh 7d 2h,2c,Tc8d,0.702,17.79,2.73038,127.895,13.04,4.37,0.58,3.18,86.38,2.48
Jh 7d 2h,2c,Tc9d,0.697,18.23,2.96708,135.602,21.82,4.42,0.57,3.27,77.62,2.56
Jh 7d 2h,2c,Tc8h,0.907,18.07,3.8285,176.531,66.60,4.47,0.95,3.53,32.44,2.52
Jh 7d 2h,2c,Tc9h,0.884,18.50,3.76257,169.498,58.23,4.56,0.83,3.56,40.94,2.64
Jh 7d 2h,2c,Tc8s,0.721,17.80,3.04064,142.385,32.30,4.37,0.70,3.17,67.00,2.40
Jh 7d 2h,2c,Tc9s,0.748,18.24,3.36225,153.641,45.31,4.38,0.70,3.28,53.98,2.51
Jh 7d 2h,2c,Jc7c,0.998,87.61,14.257,135.613,99.04,14.25,0.49,15.22,0.47,15.06
Jh 7d 2h,2c,Jc8c,0.192,76.59,10.9834,119.502,0.29,10.01,1.28,9.19,98.43,11.01
Jh 7d 2h,2c,Jc9c,0.370,76.96,11.1517,120.75,0.30,10.18,1.86,9.37,97.84,11.19
Jh 7d 2h,2c,JcTc,0.683,78.16,11.2565,120.019,0.36,10.42,2.71,9.67,96.93,11.30
Jh 7d 2h,2c,Jc8d,0.117,76.76,10.9447,118.823,0.29,10.04,1.75,9.20,97.96,10.98
Jh 7d 2h,2c,Jc9d,0.192,77.07,11.1135,120.167,0.33,10.17,1.99,9.35,97.68,11.15
Jh 7d 2h,2c,JcTd,0.458,78.11,11.2515,120.041,0.43,10.41,3.66,9.61,95.91,11.32
Jh 7d 2h,2c,Jc8h,0.479,77.02,10.9177,118.132,0.44,10.05,1.11,9.22,98.45,10.94
Jh 7d 2h,2c,Jc9h,0.448,77.42,11.1864,120.41,0.47,10.19,1.61,9.33,97.92,11.22
Jh 7d 2h,2c,JcTh,0.500,78.63,11.3912,120.727,0.51,10.46,2.87,9.53,96.62,11.45
Jh 7d 2h,2c,Jc8s,0.198,76.72,11.0122,119.611,0.28,10.03,1.34,9.19,98.38,11.04
Jh 7d 2h,2c,Jc9s,0.380,77.09,11.1747,120.793,0.30,10.20,1.94,9.38,97.77,11.21
Jh 7d 2h,2c,JcTs,0.690,78.16,11.2572,120.026,0.36,10.42,2.72,9.67,96.92,11.30
Jh 7d 2h,2c,Qc7c,0.440,58.84,6.63394,93.9494,0.10,5.75,0.10,5.24,99.80,6.64
Jh 7d 2h,2c,Qc8c,0.596,13.17,1.63874,103.665,16.57,3.46,0.92,2.28,82.51,1.27
Jh 7d 2h,2c,Qc9c,0.817,13.61,1.97529,120.971,29.15,3.43,1.28,2.30,69.57,1.36
Jh 7d 2h,2c,QcTc,0.648,14.31,1.60783,93.6056,13.66,3.46,1.45,2.32,84.88,1.30
Jh 7d 2h,2c,QcJc,0.720,81.55,12.3393,126.089,0.41,11.31,1.02,10.59,98.57,12.36
Jh 7d 2h,2c,Qc8d,0.440,13.07,1.62914,103.867,13.61,3.45,0.84,2.26,85.56,1.33
Jh 7d 2h,2c,Qc9d,0.705,13.52,1.56751,96.6183,8.01,3.45,0.79,2.27,91.20,1.40
Jh 7d 2h,2c,QcTd,0.849,14.31,1.36636,79.575,1.57,3.50,0.78,2.34,97.65,1.32
Jh 7d 2h,2c,QcJd,0.626,81.56,12.2778,125.441,0.46,11.35,1.15,10.49,98.39,12.30
Jh 7d 2h,2c,Qc8h,0.885,13.37,1.46856,91.5549,2.25,3.51,0.66,2.40,97.09,1.41
Jh 7d 2h,2c,Qc9h,0.887,13.78,1.48974,90.1041,1.58,3.52,0.50,2.45,97.92,1.45
Jh 7d 2h,2c,QcTh,0.828,14.60,1.46109,83.4017,1.24,3.64,0.56,2.49,98.20,1.43
Jh 7d 2h,2c,Qc8s,0.325,13.08,1.60952,102.522,15.40,3.44,0.92,2.26,83.68,1.27
Jh 7d 2h,2c,Qc9s,0.517,13.52,1.96734,121.283,29.08,3.41,1.28,2.28,69.64,1.36
Jh 7d 2h,2c,QcTs,0.649,14.31,1.60089,93.2015,13.37,3.45,1.46,2.32,85.18,1.30
Jh 7d 2h,2c,QcJs,0.726,81.55,12.338,126.075,0.41,11.31,1.02,10.59,98.57,12.36
Jh 7d 2h,2c,Kc3c,0.161,17.97,3.46252,160.546,97.56,3.51,0.28,2.38,2.15,1.50
Jh 7d 2h,2c,Kc4c,0.167,17.97,3.46117,160.483,97.48,3.51,0.29,2.39,2.22,1.49
Jh 7d 2h,2c,Kc5c,0.107,17.87,3.43546,160.201,97.55,3.49,0.28,2.36,2.17,1.33
Jh 7d 2h,2c,Kc6c,0.109,18.08,1.38049,63.6378,2.50,3.33,1.02,2.29,96.49,1.32
Jh 7d 2h,2c,Kc7c,0.395,59.06,6.77885,95.6511,0.11,5.85,0.11,5.31,99.77,6.78
Jh 7d 2h,2c,Kc8c,0.628,19.04,1.43285,62.7044,5.85,3.47,1.42,2.35,92.73,1.29
Jh 7d 2h,2c,Kc9c,0.824,19.61,1.84002,78.178,22.21,3.44,2.26,2.36,75.53,1.35
Jh 7d 2h,2c,KcTc,0.643,20.38,1.49107,60.9674,2.56,3.48,1.40,2.39,96.04,1.42
Jh 7d 2h,2c,KcJc,0.898,84.44,13.3743,131.992,1.62,12.42,1.62,11.46,96.76,13.42
Jh 7d 2h,2c,KcQc,0.849,24.37,3.49851,119.638,62.80,4.17,1.10,2.98,36.09,2.35
Jh 7d 2h,2c,Kc8d,0.544,18.94,1.4103,62.048,5.61,3.46,0.95,2.31,93.44,1.28
Jh 7d 2h,2c,Kc9d,0.839,19.54,1.45126,61.8871,5.14,3.46,1.20,2.34,93.66,1.33
Jh 7d 2h,2c,KcTd,0.843,20.37,1.44829,59.2447,1.81,3.54,0.89,2.42,97.30,1.40
Jh 7d 2h,2c,KcJd,0.900,84.47,13.3662,131.861,6.00,12.47,1.78,11.49,92.22,13.46
Jh 7d 2h,2c,KcQd,0.819,24.36,3.65061,124.89,71.62,4.17,1.03,2.98,27.36,2.32
Jh 7d 2h,2c,Kc7h,0.820,58.96,6.71278,94.8783,0.11,5.78,0.11,5.35,99.78,6.72
Jh 7d 2h,2c,Kc8h,0.926,19.30,1.58036,68.2461,9.25,3.55,1.83,2.48,88.92,1.36
Jh 7d 2h,2c,Kc9h,0.931,19.78,1.61644,68.0887,9.61,3.61,1.68,2.52,88.71,1.38
