Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 7d 2h,2c,6c5c,0.419,9.70,0.98607,169.359,0.38,0.67,42.74,0.99,56.88,0.99
Jh 7d 2h,2c,7c5c,0.334,74.22,4.77223,107.171,0.08,4.08,0.59,4.64,99.33,4.77
Jh 7d 2h,2c,7c6c,0.310,73.92,4.70853,106.159,0.09,3.97,0.56,4.59,99.35,4.71
Jh 7d 2h,2c,8c6c,0.647,10.48,1.05728,168.1,0.41,0.78,99.02,1.06,0.57,1.05
Jh 7d 2h,2c,8c7c,0.626,75.39,4.89988,108.317,0.08,4.17,0.51,4.76,99.41,4.90
Jh 7d 2h,2c,9c6c,0.865,10.75,1.10705,171.648,0.39,0.81,98.78,1.11,0.84,1.09
Jh 7d 2h,2c,9c7c,0.396,75.43,4.91325,108.558,0.08,4.20,0.50,4.77,99.42,4.91
Jh 7d 2h,2c,9c8c,0.218,19.94,1.92266,160.693,0.34,1.54,51.55,1.92,48.11,1.92
Jh 7d 2h,2c,9c8d,0.315,19.89,1.95876,164.144,0.34,1.57,56.95,1.96,42.72,1.96
Jh 7d 2h,2c,9c8h,0.079,20.05,2.0771,172.684,0.46,1.81,94.41,2.08,5.13,2.07
Jh 7d 2h,2c,9c8s,0.235,19.91,1.92696,161.29,0.34,1.56,82.02,1.93,17.64,1.93
Jh 7d 2h,2c,Tc7c,0.881,75.47,4.94534,109.209,0.07,4.16,0.41,4.76,99.52,4.95
Jh 7d 2h,2c,Tc8c,0.381,20.05,1.82402,151.621,0.46,1.55,57.43,1.82,42.11,1.83
Jh 7d 2h,2c,Tc9c,0.258,20.21,1.87219,154.386,0.48,1.59,63.13,1.87,36.40,1.87
Jh 7d 2h,2c,Tc8d,0.298,20.02,1.85957,154.818,0.44,1.56,43.62,1.86,55.95,1.86
Jh 7d 2h,2c,Tc9d,0.303,20.20,1.88158,155.248,0.57,1.64,64.50,1.88,34.92,1.88
Jh 7d 2h,2c,Tc8h,0.093,20.13,1.98069,163.985,0.65,1.80,98.29,1.98,1.06,1.98
Jh 7d 2h,2c,Tc9h,0.116,20.30,1.97274,161.984,0.69,1.81,97.01,1.97,2.29,1.97
Jh 7d 2h,2c,Tc8s,0.279,20.05,1.82476,151.692,0.46,1.55,56.32,1.83,43.22,1.83
Jh 7d 2h,2c,Tc9s,0.252,20.21,1.87304,154.451,0.48,1.59,59.42,1.87,40.10,1.88
Jh 7d 2h,2c,Jc7c,0.002,87.81,8.86652,168.296,20.30,8.86,79.64,8.87,0.06,7.61
Jh 7d 2h,2c,Jc8c,0.808,82.28,6.04586,122.465,0.34,5.66,96.39,6.05,3.27,6.04
Jh 7d 2h,2c,Jc9c,0.630,82.42,6.05672,122.481,0.35,5.69,79.57,6.06,20.08,6.06
Jh 7d 2h,2c,JcTc,0.317,82.35,6.10884,123.64,0.26,5.62,99.43,6.11,0.31,6.09
Jh 7d 2h,2c,Jc8d,0.883,82.35,6.03612,122.168,0.37,5.69,83.23,6.04,16.40,6.04
Jh 7d 2h,2c,Jc9d,0.808,82.42,6.04314,122.197,0.30,5.64,75.53,6.04,24.17,6.04
Jh 7d 2h,2c,JcTd,0.542,82.37,6.08671,123.152,0.26,5.59,99.03,6.09,0.71,6.08
Jh 7d 2h,2c,Jc8h,0.521,82.70,6.05583,122.039,0.30,5.61,87.00,6.06,12.71,6.05
Jh 7d 2h,2c,Jc9h,0.552,82.68,6.06136,122.191,0.29,5.60,83.72,6.06,15.99,6.06
Jh 7d 2h,2c,JcTh,0.500,82.69,6.11882,123.336,0.27,5.68,99.40,6.12,0.33,6.09
Jh 7d 2h,2c,Jc8s,0.802,82.29,6.04721,122.483,0.34,5.66,96.12,6.05,3.53,6.04
Jh 7d 2h,2c,Jc9s,0.620,82.42,6.05678,122.478,0.35,5.69,79.32,6.06,20.34,6.06
Jh 7d 2h,2c,JcTs,0.310,82.35,6.10796,123.625,0.26,5.62,99.43,6.11,0.31,6.08
Jh 7d 2h,2c,Qc7c,0.560,76.38,5.11006,111.506,0.22,4.58,59.74,5.11,40.04,5.11
Jh 7d 2h,2c,Qc8c,0.404,13.05,1.23771,158.043,0.55,1.02,97.63,1.24,1.83,1.23
Jh 7d 2h,2c,Qc9c,0.183,13.34,1.28882,161.051,0.56,1.05,95.49,1.29,3.94,1.29
Jh 7d 2h,2c,QcTc,0.352,13.58,1.23549,151.606,0.67,1.05,47.40,1.24,51.93,1.24
Jh 7d 2h,2c,QcJc,0.280,83.28,6.40946,128.264,0.23,5.95,99.61,6.41,0.16,6.29
Jh 7d 2h,2c,Qc8d,0.560,12.94,1.26579,163.016,0.52,1.02,94.57,1.27,4.91,1.27
Jh 7d 2h,2c,Qc9d,0.295,13.31,1.30613,163.597,0.71,1.10,86.12,1.31,13.17,1.30
Jh 7d 2h,2c,QcTd,0.151,13.63,1.26718,154.985,0.70,1.10,58.97,1.27,40.33,1.27
Jh 7d 2h,2c,QcJd,0.374,83.42,6.44905,128.85,0.24,6.00,99.61,6.45,0.16,6.32
Jh 7d 2h,2c,Qc8h,0.115,13.10,1.40509,178.792,0.76,1.28,98.67,1.41,0.57,1.37
Jh 7d 2h,2c,Qc9h,0.113,13.40,1.41546,176.01,0.80,1.29,98.40,1.42,0.79,1.38
Jh 7d 2h,2c,QcTh,0.172,13.81,1.3916,167.904,0.64,1.19,96.06,1.39,3.29,1.38
Jh 7d 2h,2c,Qc8s,0.675,12.96,1.22952,158.079,0.56,1.01,70.22,1.23,29.23,1.23
Jh 7d 2h,2c,Qc9s,0.483,13.30,1.28665,161.231,0.56,1.05,70.56,1.29,28.88,1.29
Jh 7d 2h,2c,QcTs,0.351,13.58,1.23537,151.607,0.67,1.05,47.30,1.24,52.03,1.24
Jh 7d 2h,2c,QcJs,0.274,83.28,6.40965,128.268,0.23,5.95,99.61,6.41,0.16,6.29
Jh 7d 2h,2c,Kc3c,0.839,17.24,1.04463,100.989,0.44,0.77,57.88,1.05,41.68,1.05
Jh 7d 2h,2c,Kc4c,0.833,17.24,1.04992,101.486,0.43,0.77,54.15,1.05,45.42,1.05
Jh 7d 2h,2c,Kc5c,0.893,16.92,1.02211,100.66,0.42,0.73,33.46,1.02,66.13,1.02
Jh 7d 2h,2c,Kc6c,0.891,17.15,1.03512,100.617,0.48,0.81,5.92,1.03,93.59,1.04
Jh 7d 2h,2c,Kc7c,0.605,76.77,5.17132,112.265,0.22,4.62,69.62,5.17,30.16,5.17
Jh 7d 2h,2c,Kc8c,0.372,18.42,1.1317,102.401,0.42,0.85,99.01,1.13,0.57,1.12
Jh 7d 2h,2c,Kc9c,0.176,19.07,1.18053,103.153,0.38,0.88,98.36,1.18,1.26,1.16
Jh 7d 2h,2c,KcTc,0.357,19.34,1.12563,97.0276,0.50,0.90,14.73,1.12,84.77,1.13
Jh 7d 2h,2c,KcJc,0.102,84.26,6.85872,135.663,0.22,6.35,99.71,6.86,0.07,6.58
Jh 7d 2h,2c,KcQc,0.151,22.73,1.3994,102.597,0.37,1.12,0.84,1.35,98.79,1.40
Jh 7d 2h,2c,Kc8d,0.456,18.23,1.15252,105.394,0.36,0.83,98.89,1.15,0.75,1.13
Jh 7d 2h,2c,Kc9d,0.161,19.07,1.18594,103.64,0.47,0.92,97.78,1.19,1.75,1.17
Jh 7d 2h,2c,KcTd,0.157,19.53,1.15518,98.5897,0.51,0.93,27.17,1.15,72.32,1.16
Jh 7d 2h,2c,KcJd,0.100,84.32,6.8678,135.746,0.22,6.36,99.71,6.87,0.07,6.58
Jh 7d 2h,2c,KcQd,0.181,22.98,1.41527,102.648,0.35,1.14,1.40,1.37,98.25,1.42
Jh 7d 2h,2c,Kc7h,0.180,77.19,5.23411,113.018,0.23,4.74,34.31,5.23,65.46,5.24
Jh 7d 2h,2c,Kc8h,0.074,18.61,1.28773,115.296,0.49,1.09,99.04,1.29,0.47,1.23
Jh 7d 2h,2c,Kc9h,0.069,19.19,1.29428,112.401,0.49,1.10,98.70,1.30,0.80,1.24
Jh 7d 2h,2c,KcTh,0.140,20.18,1.25618,103.747,0.49,0.99,97.19,1.26,2.32,1.25
Jh 7d 2h,2c,KcQh,0.059,23.69,1.46869,103.349,0.62,1.29,15.14,1.46,84.24,1.47
Jh 7d 2h,2c,Kc7s,0.635,76.90,5.18056,112.279,0.21,4.63,69.12,5.18,30.66,5.18
Jh 7d 2h,2c,Kc8s,0.622,18.26,1.10907,101.207,0.42,0.83,98.81,1.11,0.77,1.11
Jh 7d 2h,2c,Kc9s,0.384,18.99,1.16858,102.549,0.39,0.87,98.03,1.17,1.58,1.16
Jh 7d 2h,2c,KcTs,0.360,19.33,1.12565,97.059,0.50,0.90,14.61,1.12,84.89,1.13
Jh 7d 2h,2c,KcJs,0.091,84.26,6.85909,135.671,0.22,6.35,99.71,6.86,0.07,6.58
Jh 7d 2h,2c,KcQs,0.152,22.70,1.39763,102.596,0.37,1.12,0.84,1.35,98.79,1.40
Jh 7d 2h,2c,Ac3c,0.444,43.54,2.15063,82.3322,0.12,1.24,0.29,2.08,99.59,2.15
Jh 7d 2h,2c,Ac4c,0.471,43.54,2.15235,82.3809,0.12,1.23,0.29,2.08,99.59,2.15
Jh 7d 2h,2c,Ac5c,0.739,43.36,2.15206,82.717,0.11,1.19,0.25,2.05,99.64,2.15
Jh 7d 2h,2c,Ac6c,0.982,44.30,2.24192,84.3454,0.12,1.36,0.31,2.14,99.58,2.24
Jh 7d 2h,2c,Ac7c,0.229,79.74,5.37785,112.4,0.43,5.10,96.48,5.38,3.09,5.37
Jh 7d 2h,2c,Ac8c,0.962,49.43,2.55252,86.0659,0.09,1.47,0.20,2.39,99.71,2.55
Jh 7d 2h,2c,Ac9c,0.938,53.35,2.78494,87.0104,0.10,1.74,0.23,2.72,99.67,2.79
Jh 7d 2h,2c,AcTc,0.853,57.62,3.0611,88.545,0.13,2.16,14.49,3.06,85.38,3.06
Jh 7d 2h,2c,AcJc,0.005,89.18,8.08634,151.118,1.06,7.94,98.92,8.09,0.02,7.29
Jh 7d 2h,2c,AcQc,0.702,66.08,3.79718,95.7734,0.14,2.95,42.71,3.80,57.15,3.80
Jh 7d 2h,2c,AcKc,0.918,66.22,3.81472,96.017,0.12,2.87,9.19,3.81,90.68,3.82
Jh 7d 2h,2c,Ac2d,0.264,95.68,11.6273,202.531,3.21,11.60,96.76,11.63,0.02,9.53
Jh 7d 2h,2c,Ac3d,0.464,43.55,2.15236,82.3683,0.12,1.27,0.30,2.08,99.58,2.15
Jh 7d 2h,2c,Ac4d,0.433,43.57,2.15503,82.4341,0.12,1.27,0.30,2.09,99.58,2.16
Jh 7d 2h,2c,Ac5d,0.725,43.37,2.149,82.5934,0.11,1.21,0.26,2.07,99.63,2.15
Jh 7d 2h,2c,Ac6d,0.986,44.08,2.21778,83.8609,0.11,1.32,0.30,2.12,99.59,2.22
Jh 7d 2h,2c,Ac8d,0.955,49.21,2.53164,85.7359,0.09,1.45,0.20,2.38,99.71,2.53
Jh 7d 2h,2c,Ac9d,0.862,53.43,2.79111,87.0685,0.10,1.76,0.24,2.72,99.66,2.79
Jh 7d 2h,2c,AcTd,0.530,57.69,3.06599,88.5781,0.13,2.16,19.87,3.07,80.00,3.07
Jh 7d 2h,2c,AcJd,0.005,88.94,8.02604,150.408,1.14,7.89,98.84,8.03,0.02,7.25
Jh 7d 2h,2c,AcQd,0.816,66.16,3.80527,95.8636,0.14,2.96,48.12,3.81,51.74,3.81
Jh 7d 2h,2c,AcKd,0.964,66.26,3.80913,95.8197,0.13,2.91,21.82,3.81,78.05,3.81
Jh 7d 2h,2c,Ac3h,0.120,43.98,2.18565,82.8235,0.12,1.35,1.93,2.17,97.95,2.19
Jh 7d 2h,2c,Ac4h,0.153,43.97,2.18497,82.8221,0.13,1.34,2.38,2.18,97.49,2.19
Jh 7d 2h,2c,Ac5h,0.220,44.10,2.19862,83.0959,0.13,1.35,0.83,2.18,99.03,2.20
Jh 7d 2h,2c,Ac6h,0.770,45.01,2.30511,85.3579,0.13,1.56,5.72,2.29,94.16,2.31
Jh 7d 2h,2c,Ac7h,0.026,80.08,5.43941,113.214,0.45,5.22,96.50,5.44,3.06,5.42
Jh 7d 2h,2c,Ac8h,0.705,50.03,2.60216,86.6848,0.11,1.65,0.25,2.51,99.64,2.60
Jh 7d 2h,2c,Ac9h,0.800,53.80,2.82381,87.4757,0.12,1.88,0.30,2.81,99.57,2.83
Jh 7d 2h,2c,AcTh,0.785,58.44,3.13956,89.5366,0.13,2.26,80.12,3.14,19.75,3.14
Jh 7d 2h,2c,AcQh,0.315,66.69,3.88885,97.1799,0.12,3.08,94.38,3.89,5.50,3.89
Jh 7d 2h,2c,AcKh,0.238,67.42,3.96466,98.0035,0.14,3.13,56.38,3.97,43.48,3.97
Jh 7d 2h,2c,Ac2s,0.161,95.68,11.6196,202.41,3.65,11.60,96.33,11.62,0.02,9.53
Jh 7d 2h,2c,Ac3s,0.444,43.55,2.15177,82.3569,0.12,1.23,0.29,2.08,99.59,2.15
Jh 7d 2h,2c,Ac4s,0.471,43.57,2.15441,82.4182,0.12,1.23,0.29,2.08,99.59,2.16
Jh 7d 2h,2c,Ac5s,0.739,43.38,2.15397,82.7514,0.11,1.19,0.25,2.05,99.64,2.16
Jh 7d 2h,2c,Ac6s,0.982,44.30,2.2421,84.3485,0.12,1.36,0.31,2.14,99.57,2.24
Jh 7d 2h,2c,Ac7s,0.231,79.75,5.37954,112.422,0.44,5.10,96.46,5.38,3.10,5.37
Jh 7d 2h,2c,Ac8s,0.962,49.44,2.55354,86.079,0.09,1.48,0.20,2.39,99.71,2.55
Jh 7d 2h,2c,Ac9s,0.938,53.36,2.78606,87.024,0.10,1.74,0.23,2.72,99.67,2.79
Jh 7d 2h,2c,AcTs,0.853,57.62,3.06115,88.5492,0.13,2.16,15.78,3.06,84.09,3.06
Jh 7d 2h,2c,AcJs,0.005,88.93,8.05384,150.934,1.08,7.91,98.89,8.06,0.02,7.26
Jh 7d 2h,2c,AcQs,0.702,66.08,3.79674,95.768,0.14,2.95,43.91,3.80,55.95,3.80
Jh 7d 2h,2c,AcKs,0.918,66.46,3.83447,96.1626,0.14,2.92,26.67,3.83,73.20,3.84
Jh 7d 2h,2c,3d3c,0.242,65.85,3.87568,98.087,0.14,3.07,18.49,3.88,81.37,3.88
Jh 7d 2h,2c,4d4c,0.387,66.56,3.94271,98.7273,0.12,3.07,2.21,3.93,97.67,3.94
Jh 7d 2h,2c,5d5c,0.759,67.05,4.00238,99.4862,0.09,3.00,0.75,3.98,99.16,4.00
Jh 7d 2h,2c,6d6c,0.956,70.11,4.2843,101.854,0.08,3.30,0.43,4.17,99.49,4.29
Jh 7d 2h,2c,6d5d,0.298,9.65,0.99891,172.465,0.28,0.64,8.09,1.00,91.63,1.00
Jh 7d 2h,2c,8d8c,0.828,77.02,5.17309,111.949,0.25,4.69,35.44,5.17,64.31,5.17
Jh 7d 2h,2c,8d6d,0.643,10.41,1.0791,172.757,0.36,0.74,98.89,1.08,0.74,1.07
Jh 7d 2h,2c,9d8c,0.313,19.91,1.93898,162.34,0.39,1.60,57.88,1.94,41.73,1.94
Jh 7d 2h,2c,9d9c,0.703,78.52,5.39968,114.618,0.23,4.91,60.26,5.40,39.51,5.40
Jh 7d 2h,2c,9d6d,0.608,10.72,1.10968,172.464,0.45,0.83,96.93,1.11,2.62,1.09
Jh 7d 2h,2c,9d8d,0.014,19.92,1.97267,165.089,0.36,1.61,11.44,1.97,88.20,1.97
Jh 7d 2h,2c,9d8h,0.108,20.04,2.09128,173.909,0.55,1.85,86.50,2.09,12.95,2.09
Jh 7d 2h,2c,9d8s,0.313,19.91,1.93946,162.379,0.39,1.60,58.06,1.94,41.55,1.94
Jh 7d 2h,2c,Td8c,0.270,20.03,1.85096,154.044,0.46,1.58,40.88,1.85,58.66,1.85
Jh 7d 2h,2c,Td9c,0.322,20.19,1.89775,156.683,0.48,1.62,52.22,1.90,47.29,1.90
Jh 7d 2h,2c,TdTc,0.872,79.55,5.63026,117.959,0.20,5.02,53.12,5.63,46.69,5.63
Jh 7d 2h,2c,Td8d,0.015,20.00,1.88582,157.132,0.44,1.59,21.10,1.89,78.45,1.89
Jh 7d 2h,2c,Td9d,0.012,20.18,1.90839,157.599,0.58,1.67,54.89,1.91,44.52,1.91
Jh 7d 2h,2c,Td8h,0.189,20.11,2.00794,166.411,0.66,1.83,98.34,2.01,1.00,2.00
Jh 7d 2h,2c,Td9h,0.107,20.28,2.00075,164.463,0.72,1.84,98.23,2.00,1.05,1.99
Jh 7d 2h,2c,Td8s,0.270,20.03,1.85152,154.073,0.46,1.58,38.14,1.85,61.39,1.85
Jh 7d 2h,2c,Td9s,0.322,20.19,1.89869,156.736,0.49,1.63,51.53,1.90,47.99,1.90
Jh 7d 2h,2c,Jd8c,0.891,82.42,6.08715,123.088,0.35,5.71,97.71,6.09,1.94,6.08
Jh 7d 2h,2c,Jd9c,0.792,82.56,6.09724,123.09,0.35,5.73,84.13,6.10,15.52,6.10
Jh 7d 2h,2c,JdTc,0.452,82.49,6.15042,124.27,0.26,5.67,99.42,6.15,0.31,6.13
Jh 7d 2h,2c,JdJc,0.002,99.87,18.472,308.254,99.91,18.47,0.09,17.29,0.00,13.19
Jh 7d 2h,2c,Jd8d,0.152,82.49,6.0777,122.802,0.38,5.73,87.00,6.08,12.61,6.08
Jh 7d 2h,2c,Jd9d,0.092,82.56,6.08358,122.809,0.31,5.68,80.44,6.09,19.25,6.08
Jh 7d 2h,2c,JdTd,0.035,82.51,6.13019,123.822,0.27,5.64,99.42,6.13,0.32,6.12
Jh 7d 2h,2c,Jd8h,0.775,82.85,6.0946,122.609,0.30,5.65,86.29,6.10,13.41,6.09
Jh 7d 2h,2c,Jd9h,0.772,82.82,6.10091,122.779,0.29,5.64,83.28,6.10,16.43,6.10
Jh 7d 2h,2c,JdTh,0.580,82.82,6.15943,123.946,0.27,5.72,99.40,6.16,0.33,6.13
Jh 7d 2h,2c,Jd8s,0.891,82.43,6.08845,123.108,0.35,5.71,97.63,6.09,2.02,6.08
Jh 7d 2h,2c,Jd9s,0.792,82.56,6.09726,123.088,0.35,5.73,83.81,6.10,15.84,6.10
Jh 7d 2h,2c,JdTs,0.452,82.49,6.14953,124.255,0.26,5.67,99.42,6.15,0.31,6.12
Jh 7d 2h,2c,Qd8c,0.519,13.03,1.24324,159.077,0.58,1.02,92.22,1.24,7.20,1.25
Jh 7d 2h,2c,Qd9c,0.427,13.37,1.30005,162.116,0.58,1.06,92.16,1.30,7.26,1.30
Jh 7d 2h,2c,QdTc,0.236,13.69,1.24709,151.866,0.70,1.06,49.92,1.25,49.37,1.25
