Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 7d 2h,6c5c,0.992,17.49,0.00249,0.23696,0.15,1.65,0.02,0.03,99.83,0.00
Jh 7d 2h,7c5c,0.559,59.05,3.08984,87.2126,26.92,3.89,72.98,2.80,0.10,0.00
Jh 7d 2h,7c6c,0.783,58.80,3.16254,89.6383,30.44,3.89,69.47,2.85,0.10,0.00
Jh 7d 2h,8c6c,0.993,18.39,0.00239,0.21624,0.15,1.55,0.02,0.13,99.83,0.00
Jh 7d 2h,8c7c,0.862,61.30,3.06708,83.3913,14.85,3.62,85.06,2.97,0.09,0.00
Jh 7d 2h,9c6c,0.995,17.16,0.00157,0.15265,0.13,1.23,0.01,-0.04,99.86,0.00
Jh 7d 2h,9c7c,0.632,61.54,3.30499,89.5078,30.41,3.86,69.50,3.07,0.09,0.00
Jh 7d 2h,9c8c,0.537,30.50,2.91439,159.249,48.43,3.82,51.41,2.07,0.15,0.00
Jh 7d 2h,9c8d,0.360,30.52,2.04552,111.715,2.08,3.48,97.78,2.02,0.14,0.00
Jh 7d 2h,9c8h,0.442,33.27,3.54625,177.662,82.44,3.71,17.46,2.82,0.11,0.00
Jh 7d 2h,9c8s,0.520,30.44,2.4513,134.234,32.51,3.49,67.33,1.96,0.16,0.00
Jh 7d 2h,Tc7c,0.876,61.95,2.91921,78.5315,0.16,3.71,99.75,2.92,0.09,0.00
Jh 7d 2h,Tc8c,0.446,29.73,1.64984,92.4824,1.06,3.22,98.72,1.64,0.22,0.00
Jh 7d 2h,Tc9c,0.500,31.89,2.76366,144.45,48.95,3.63,50.88,1.94,0.17,0.00
Jh 7d 2h,Tc8d,0.149,29.75,1.77082,99.1926,0.54,2.98,99.26,1.77,0.20,0.00
Jh 7d 2h,Tc9d,0.272,31.92,2.12539,110.974,7.92,3.39,91.91,2.02,0.17,0.00
Jh 7d 2h,Tc8h,0.514,32.63,3.02992,154.782,98.79,3.04,1.08,2.22,0.13,0.00
Jh 7d 2h,Tc9h,0.510,34.75,3.35365,160.869,93.93,3.42,5.95,2.44,0.12,0.00
Jh 7d 2h,Tc8s,0.389,29.66,1.62979,91.5745,0.56,3.05,99.23,1.63,0.22,0.00
Jh 7d 2h,Tc9s,0.465,31.82,2.07872,108.863,13.77,3.36,86.05,1.88,0.18,0.00
Jh 7d 2h,Jc7c,0.472,87.92,12.5191,237.325,99.93,12.52,0.06,13.13,0.01,0.00
Jh 7d 2h,Jc8c,0.592,72.25,5.73336,132.26,0.37,5.91,99.59,5.73,0.03,0.00
Jh 7d 2h,Jc9c,0.673,72.73,5.90715,135.36,0.43,6.08,99.54,5.91,0.04,0.00
Jh 7d 2h,JcTc,0.573,73.85,6.22424,140.472,16.15,6.39,83.81,6.20,0.03,0.00
Jh 7d 2h,Jc8d,0.801,72.52,5.76891,132.576,0.39,5.92,99.57,5.77,0.04,0.00
Jh 7d 2h,Jc9d,0.773,72.94,5.96109,136.201,2.50,6.08,97.46,5.96,0.04,0.00
Jh 7d 2h,JcTd,0.611,73.99,6.23595,140.477,7.37,6.38,92.60,6.23,0.03,0.00
Jh 7d 2h,Jc8h,0.772,74.60,6.4639,144.415,3.62,6.66,96.35,6.46,0.03,0.00
Jh 7d 2h,Jc9h,0.633,75.01,6.65141,147.788,5.73,6.95,94.24,6.64,0.03,0.00
Jh 7d 2h,JcTh,0.614,76.26,7.01939,153.408,33.40,7.20,66.57,6.93,0.03,0.00
Jh 7d 2h,Jc8s,0.586,72.32,5.74237,132.328,0.37,5.91,99.59,5.74,0.03,0.00
Jh 7d 2h,Jc9s,0.667,72.81,5.91217,135.331,0.91,6.09,99.06,5.91,0.04,0.00
Jh 7d 2h,JcTs,0.568,73.85,6.22449,140.478,17.48,6.39,82.49,6.19,0.03,0.00
Jh 7d 2h,Qc7c,0.860,61.02,2.88294,78.7381,0.15,3.76,99.77,2.88,0.08,0.00
