Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 7d 2h,6c5c,1.000,17.54,0.46685,44.3645,0.35,1.09,99.65,0.46
Jh 7d 2h,7c6c,1.000,57.42,2.46768,71.6278,1.03,2.28,98.97,2.47
Jh 7d 2h,8c7c,1.000,59.83,2.67377,74.4835,0.37,2.88,99.63,2.67
Jh 7d 2h,9c8c,1.000,30.05,1.68288,93.3478,1.95,1.80,98.05,1.68
Jh 7d 2h,Tc8c,1.000,30.76,1.71899,93.1422,1.27,1.90,98.73,1.72
Jh 7d 2h,Tc9c,1.000,33.63,1.83461,90.9124,1.58,1.98,98.42,1.83
Jh 7d 2h,Jc8c,1.000,70.96,4.62941,108.739,0.70,4.16,99.30,4.63
Jh 7d 2h,Jc9c,1.000,72.09,4.86527,112.474,0.90,4.61,99.10,4.87
Jh 7d 2h,JcTc,1.000,73.33,5.07635,115.377,0.97,4.89,99.03,5.08
Jh 7d 2h,JcTd,1.000,73.46,5.1181,116.127,0.85,4.86,99.15,5.12
Jh 7d 2h,JcTh,1.000,75.70,5.60913,123.495,1.34,5.22,98.66,5.61
Jh 7d 2h,JcTs,1.000,73.33,5.07633,115.376,0.97,4.89,99.03,5.08
Jh 7d 2h,Qc8c,1.000,23.09,0.53901,38.9022,0.38,1.35,99.62,0.54
Jh 7d 2h,Qc9c,1.000,26.03,0.61735,39.5322,0.53,1.39,99.47,0.61
Jh 7d 2h,QcTc,1.000,28.91,0.64638,37.2703,0.54,1.41,99.46,0.64
Jh 7d 2h,QcJc,1.000,75.56,5.75964,127.051,1.48,5.17,98.52,5.77
Jh 7d 2h,QcTd,1.000,28.95,0.6679,38.4544,0.58,1.45,99.42,0.66
Jh 7d 2h,QcJd,1.000,75.51,5.77307,127.426,1.19,5.31,98.81,5.78
Jh 7d 2h,QcTh,1.000,32.08,0.8512,44.2173,2.70,1.70,97.30,0.83
Jh 7d 2h,QcTs,1.000,28.91,0.64636,37.2693,0.54,1.41,99.46,0.64
Jh 7d 2h,QcJs,1.000,75.56,5.75953,127.048,1.48,5.17,98.52,5.77
Jh 7d 2h,Kc2c,1.000,51.01,1.9025,62.1551,0.82,1.94,99.18,1.90
Jh 7d 2h,Kc3c,1.000,25.64,0.41029,26.6696,0.28,1.10,99.72,0.41
Jh 7d 2h,Kc4c,1.000,25.81,0.41647,26.8919,0.29,1.12,99.71,0.41
Jh 7d 2h,Kc5c,1.000,26.09,0.41747,26.6666,0.29,1.12,99.71,0.42
Jh 7d 2h,Kc6c,1.000,26.45,0.42499,26.7841,0.28,1.10,99.72,0.42
Jh 7d 2h,Kc7c,1.000,60.80,2.97977,81.6887,0.42,2.89,99.58,2.98
Jh 7d 2h,Kc8c,1.000,29.55,0.4886,27.556,0.35,1.32,99.65,0.49
Jh 7d 2h,Kc9c,1.000,32.52,0.56669,29.0454,0.49,1.35,99.51,0.56
Jh 7d 2h,KcTc,1.000,35.42,0.62328,29.3313,0.55,1.45,99.45,0.62
Jh 7d 2h,KcJc,1.000,77.21,6.28855,135.751,2.04,5.65,97.96,6.30
Jh 7d 2h,KcQc,1.000,37.59,0.7687,34.0793,0.96,1.13,99.04,0.77
Jh 7d 2h,KcTd,1.000,35.45,0.63801,29.9948,0.63,1.48,99.37,0.63
Jh 7d 2h,KcJd,1.000,77.16,6.29952,136.062,1.63,5.76,98.37,6.31
Jh 7d 2h,KcQd,1.000,37.64,0.78643,34.8252,1.11,1.30,98.89,0.78
Jh 7d 2h,KcTh,1.000,38.49,0.84725,36.6885,1.80,1.64,98.20,0.83
Jh 7d 2h,KcQh,1.000,40.95,1.27656,51.9618,1.37,1.38,98.63,1.28
Jh 7d 2h,KcTs,1.000,35.42,0.62329,29.3321,0.55,1.45,99.45,0.62
Jh 7d 2h,KcJs,1.000,77.21,6.28872,135.755,2.03,5.65,97.97,6.30
Jh 7d 2h,KcQs,1.000,37.59,0.76892,34.0892,0.96,1.12,99.04,0.77
Jh 7d 2h,Ac2c,1.000,52.06,1.73639,55.5907,0.74,1.93,99.26,1.73
Jh 7d 2h,Ac3c,1.000,36.66,0.38616,17.5551,0.26,0.94,99.74,0.38
Jh 7d 2h,Ac4c,1.000,36.83,0.39821,18.0191,0.27,0.95,99.73,0.40
Jh 7d 2h,Ac5c,1.000,37.51,0.41269,18.3389,0.27,0.99,99.73,0.41
Jh 7d 2h,Ac6c,1.000,37.54,0.39618,17.5882,0.20,1.04,99.80,0.39
Jh 7d 2h,Ac7c,1.000,62.29,3.00775,80.4777,0.63,2.71,99.37,3.01
Jh 7d 2h,Ac8c,1.000,42.69,0.52805,20.6175,0.25,1.32,99.75,0.53
Jh 7d 2h,Ac9c,1.000,44.67,0.6334,23.6348,0.27,1.37,99.73,0.63
Jh 7d 2h,AcTc,1.000,47.59,0.80438,28.1734,0.36,1.57,99.64,0.80
Jh 7d 2h,Ac2d,1.000,52.12,1.7623,56.3507,0.74,1.82,99.26,1.76
Jh 7d 2h,Ac3d,1.000,36.73,0.3904,17.7173,0.27,1.00,99.73,0.39
Jh 7d 2h,Ac4d,1.000,36.90,0.40275,18.1933,0.27,1.03,99.73,0.40
Jh 7d 2h,Ac5d,1.000,37.53,0.41667,18.5055,0.27,1.10,99.73,0.41
Jh 7d 2h,Ac6d,1.000,37.58,0.40205,17.8334,0.21,1.12,99.79,0.40
Jh 7d 2h,Ac8d,1.000,42.72,0.54065,21.095,0.26,1.33,99.74,0.54
Jh 7d 2h,Ac9d,1.000,44.69,0.65873,24.5671,0.28,1.41,99.72,0.66
Jh 7d 2h,AcTd,1.000,47.60,0.81703,28.6087,0.39,1.62,99.61,0.81
Jh 7d 2h,AcJd,1.000,79.34,6.97808,146.579,3.76,6.42,96.24,7.00
Jh 7d 2h,Ac3h,1.000,38.89,0.46494,19.9273,0.35,1.12,99.65,0.46
Jh 7d 2h,Ac4h,1.000,39.10,0.48062,20.4867,0.36,1.15,99.64,0.48
Jh 7d 2h,Ac5h,1.000,39.88,0.50987,21.3091,0.41,1.18,99.59,0.51
Jh 7d 2h,Ac6h,1.000,40.10,0.50188,20.8579,0.32,1.21,99.68,0.50
Jh 7d 2h,Ac7h,1.000,64.49,3.47211,89.7272,1.26,3.02,98.74,3.48
Jh 7d 2h,Ac8h,1.000,45.40,0.7032,25.8171,0.48,1.26,99.52,0.70
Jh 7d 2h,Ac9h,1.000,47.50,0.90682,31.8206,0.41,1.47,99.59,0.90
Jh 7d 2h,AcTh,1.000,50.44,1.22147,40.3598,0.31,1.86,99.69,1.22
Jh 7d 2h,Ac2s,1.000,52.06,1.73638,55.5906,0.74,1.93,99.26,1.73
Jh 7d 2h,Ac3s,1.000,36.66,0.38616,17.555,0.26,0.94,99.74,0.38
Jh 7d 2h,Ac4s,1.000,36.83,0.39821,18.0191,0.27,0.95,99.73,0.40
Jh 7d 2h,Ac5s,1.000,37.51,0.41269,18.3389,0.27,0.99,99.73,0.41
Jh 7d 2h,Ac6s,1.000,37.54,0.39617,17.5878,0.20,1.04,99.80,0.39
Jh 7d 2h,Ac7s,1.000,62.29,3.00765,80.4749,0.63,2.71,99.37,3.01
Jh 7d 2h,Ac8s,1.000,42.69,0.52806,20.6179,0.25,1.33,99.75,0.53
Jh 7d 2h,Ac9s,1.000,44.67,0.6334,23.6349,0.27,1.38,99.73,0.63
Jh 7d 2h,AcTs,1.000,47.59,0.80439,28.1735,0.36,1.57,99.64,0.80
Jh 7d 2h,AcJs,1.000,79.38,6.98196,146.587,3.96,6.40,96.04,7.01
Jh 7d 2h,6d6c,1.000,51.20,1.48366,48.294,0.74,2.34,99.26,1.48
Jh 7d 2h,6d5d,1.000,21.26,0.65309,51.1931,0.90,1.36,99.10,0.65
Jh 7d 2h,8d8c,1.000,60.56,2.7039,74.4114,0.48,3.21,99.52,2.70
Jh 7d 2h,9d9c,1.000,63.34,3.18117,83.7054,0.38,3.44,99.62,3.18
Jh 7d 2h,9d8d,1.000,33.23,2.1539,108.018,3.02,2.30,96.98,2.15
Jh 7d 2h,TdTc,1.000,66.14,3.61102,90.9933,0.36,3.65,99.64,3.61
Jh 7d 2h,Td8d,1.000,33.92,2.1605,106.157,2.09,2.39,97.91,2.16
Jh 7d 2h,Td9d,1.000,36.63,2.30431,104.833,2.72,2.50,97.28,2.30
Jh 7d 2h,JdTc,1.000,73.29,5.08748,115.701,0.85,4.92,99.15,5.09
Jh 7d 2h,Jd8d,1.000,72.27,5.14287,118.595,1.19,4.80,98.81,5.15
Jh 7d 2h,Jd9d,1.000,73.35,5.3706,122.033,1.58,5.21,98.42,5.37
Jh 7d 2h,JdTd,1.000,74.52,5.57178,124.621,2.34,5.42,97.66,5.58
Jh 7d 2h,JdTh,1.000,75.66,5.62111,123.828,1.14,5.29,98.86,5.62
Jh 7d 2h,JdTs,1.000,73.29,5.08748,115.701,0.85,4.92,99.15,5.09
Jh 7d 2h,QdTc,1.000,28.96,0.66593,38.3247,0.58,1.49,99.42,0.66
Jh 7d 2h,QdJc,1.000,75.68,5.80845,127.909,1.03,5.25,98.97,5.81
Jh 7d 2h,Qd8d,1.000,26.78,0.74849,46.5855,1.28,1.62,98.72,0.74
Jh 7d 2h,Qd9d,1.000,29.55,0.85898,48.4422,2.48,1.70,97.52,0.84
Jh 7d 2h,QdTd,1.000,32.28,0.94223,48.6527,2.77,1.76,97.23,0.92
Jh 7d 2h,QdJd,1.000,76.67,6.2382,135.613,3.38,5.82,96.62,6.25
Jh 7d 2h,QdTh,1.000,32.14,0.88164,45.7171,3.77,1.75,96.23,0.85
Jh 7d 2h,QdTs,1.000,28.96,0.66593,38.3247,0.58,1.49,99.42,0.66
Jh 7d 2h,QdJs,1.000,75.68,5.80845,127.909,1.03,5.25,98.97,5.81
Jh 7d 2h,KdTc,1.000,35.53,0.65313,30.6413,0.61,1.52,99.39,0.65
Jh 7d 2h,KdJc,1.000,77.34,6.34758,136.785,1.13,5.71,98.87,6.35
Jh 7d 2h,KdQc,1.000,37.71,0.79432,35.1036,1.09,1.30,98.91,0.79
Jh 7d 2h,Kd2d,1.000,53.58,2.62075,81.5181,1.14,2.64,98.86,2.62
Jh 7d 2h,Kd3d,1.000,29.25,0.61518,35.0489,0.70,1.36,99.30,0.61
Jh 7d 2h,Kd4d,1.000,29.42,0.62209,35.2372,0.73,1.37,99.27,0.62
Jh 7d 2h,Kd5d,1.000,29.67,0.6235,35.0226,0.73,1.41,99.27,0.62
Jh 7d 2h,Kd6d,1.000,30.02,0.62843,34.8849,0.68,1.40,99.32,0.62
Jh 7d 2h,Kd8d,1.000,32.98,0.71577,36.1733,1.36,1.64,98.64,0.70
Jh 7d 2h,Kd9d,1.000,35.79,0.83136,38.7176,2.16,1.73,97.84,0.81
Jh 7d 2h,KdTd,1.000,38.53,1.00133,43.309,1.18,1.80,98.82,0.99
Jh 7d 2h,KdJd,1.000,78.26,6.76914,144.166,4.02,6.18,95.98,6.79
Jh 7d 2h,KdQd,1.000,40.74,1.3739,56.2084,1.87,1.61,98.13,1.37
Jh 7d 2h,KdTh,1.000,38.60,0.86918,37.5313,2.99,1.72,97.01,0.84
Jh 7d 2h,KdQh,1.000,41.06,1.30404,52.9261,1.53,1.42,98.47,1.30
Jh 7d 2h,KdTs,1.000,35.53,0.65313,30.6413,0.61,1.52,99.39,0.65
Jh 7d 2h,KdJs,1.000,77.34,6.34758,136.785,1.13,5.71,98.87,6.35
Jh 7d 2h,KdQs,1.000,37.71,0.79432,35.1036,1.09,1.30,98.91,0.79
Jh 7d 2h,Ad2c,1.000,52.18,1.7507,55.9134,0.72,1.91,99.28,1.75
Jh 7d 2h,Ad3c,1.000,36.74,0.4073,18.4777,0.29,1.04,99.71,0.41
Jh 7d 2h,Ad4c,1.000,36.91,0.41952,18.9439,0.29,1.05,99.71,0.42
Jh 7d 2h,Ad5c,1.000,37.59,0.43492,19.286,0.30,1.06,99.70,0.43
Jh 7d 2h,Ad6c,1.000,37.62,0.41922,18.5707,0.22,1.10,99.78,0.42
Jh 7d 2h,Ad7c,1.000,62.43,3.02251,80.6931,0.62,2.76,99.38,3.02
Jh 7d 2h,Ad8c,1.000,42.78,0.56384,21.9645,0.25,1.34,99.75,0.56
Jh 7d 2h,Ad9c,1.000,44.77,0.6707,24.9679,0.28,1.39,99.72,0.67
Jh 7d 2h,AdTc,1.000,47.70,0.82767,28.9204,0.38,1.62,99.62,0.82
Jh 7d 2h,AdJc,1.000,79.52,7.01579,147.036,3.46,6.50,96.54,7.03
Jh 7d 2h,Ad2d,1.000,54.64,2.51131,76.5994,1.74,2.60,98.26,2.51
Jh 7d 2h,Ad3d,1.000,39.76,0.65982,27.6552,1.17,1.34,98.83,0.65
Jh 7d 2h,Ad4d,1.000,39.93,0.68163,28.4482,1.10,1.36,98.90,0.67
Jh 7d 2h,Ad5d,1.000,40.53,0.72369,29.7574,0.84,1.43,99.16,0.72
Jh 7d 2h,Ad6d,1.000,40.59,0.63374,26.0226,0.66,1.41,99.34,0.63
Jh 7d 2h,Ad8d,1.000,45.47,1.01706,37.2766,0.31,1.74,99.69,1.01
Jh 7d 2h,Ad9d,1.000,47.35,1.18656,41.7625,0.27,1.78,99.73,1.18
Jh 7d 2h,AdTd,1.000,50.12,1.48001,49.213,0.28,1.83,99.72,1.48
Jh 7d 2h,Ad3h,1.000,38.96,0.48893,20.914,0.38,1.20,99.62,0.49
Jh 7d 2h,Ad4h,1.000,39.18,0.50451,21.463,0.40,1.22,99.60,0.50
Jh 7d 2h,Ad5h,1.000,39.96,0.53587,22.3513,0.46,1.26,99.54,0.53
Jh 7d 2h,Ad6h,1.000,40.18,0.52734,21.8715,0.35,1.29,99.65,0.52
Jh 7d 2h,Ad7h,1.000,64.63,3.49085,90.0185,1.10,2.99,98.90,3.50
Jh 7d 2h,Ad8h,1.000,45.49,0.72328,26.4972,0.53,1.31,99.47,0.72
Jh 7d 2h,Ad9h,1.000,47.60,0.9223,32.2922,0.44,1.54,99.56,0.92
Jh 7d 2h,AdTh,1.000,50.55,1.24568,41.0679,0.33,1.91,99.67,1.24
