Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 7d 2h,6c5c,1.000,17.54,0.45758,43.4838,0.35,-1.59,99.65,0.46
Jh 7d 2h,7c6c,1.000,57.42,2.48603,72.1603,1.03,4.06,98.97,2.47
Jh 7d 2h,8c7c,1.000,59.83,2.67272,74.4542,0.37,2.60,99.63,2.67
Jh 7d 2h,9c8c,1.000,30.05,1.66409,92.3057,1.95,0.83,98.05,1.68
Jh 7d 2h,Tc8c,1.000,30.76,1.7022,92.2326,1.27,0.58,98.73,1.72
Jh 7d 2h,Tc9c,1.000,33.63,1.81976,90.1765,1.58,1.04,98.42,1.83
Jh 7d 2h,Jc8c,1.000,70.96,4.64494,109.103,0.70,6.38,99.30,4.63
Jh 7d 2h,Jc9c,1.000,72.09,4.88023,112.82,0.90,6.27,99.10,4.87
Jh 7d 2h,JcTc,1.000,73.33,5.0956,115.814,0.97,6.87,99.03,5.08
Jh 7d 2h,JcTd,1.000,73.46,5.14147,116.658,0.85,7.60,99.15,5.12
Jh 7d 2h,JcTh,1.000,75.70,5.64543,124.294,1.34,7.93,98.66,5.61
Jh 7d 2h,JcTs,1.000,73.33,5.09555,115.813,0.97,6.86,99.03,5.08
Jh 7d 2h,Qc8c,1.000,23.09,0.52726,38.0539,0.38,-1.71,99.62,0.54
Jh 7d 2h,Qc9c,1.000,26.03,0.60164,38.5261,0.53,-1.55,99.47,0.61
Jh 7d 2h,QcTc,1.000,28.91,0.62986,36.3176,0.54,-1.64,99.46,0.64
Jh 7d 2h,QcJc,1.000,75.56,5.80648,128.084,1.48,8.35,98.52,5.77
Jh 7d 2h,QcTd,1.000,28.95,0.64985,37.4148,0.58,-1.65,99.42,0.66
Jh 7d 2h,QcJd,1.000,75.51,5.80008,128.022,1.19,7.59,98.81,5.78
Jh 7d 2h,QcTh,1.000,32.08,0.77039,40.0192,2.70,-1.30,97.30,0.83
Jh 7d 2h,QcTs,1.000,28.91,0.62984,36.3165,0.54,-1.64,99.46,0.64
Jh 7d 2h,QcJs,1.000,75.56,5.8064,128.082,1.48,8.35,98.52,5.77
Jh 7d 2h,Kc2c,1.000,51.01,1.9067,62.2924,0.82,2.46,99.18,1.90
Jh 7d 2h,Kc3c,1.000,25.64,0.40193,26.1268,0.28,-1.89,99.72,0.41
Jh 7d 2h,Kc4c,1.000,25.81,0.40792,26.3393,0.29,-1.88,99.71,0.41
Jh 7d 2h,Kc5c,1.000,26.09,0.40886,26.1171,0.29,-1.86,99.71,0.42
Jh 7d 2h,Kc6c,1.000,26.45,0.4169,26.2743,0.28,-1.83,99.72,0.42
Jh 7d 2h,Kc7c,1.000,60.80,2.97653,81.5998,0.42,2.12,99.58,2.98
Jh 7d 2h,Kc8c,1.000,29.55,0.47777,26.9457,0.35,-1.74,99.65,0.49
Jh 7d 2h,Kc9c,1.000,32.52,0.55232,28.309,0.49,-1.57,99.51,0.56
Jh 7d 2h,KcTc,1.000,35.42,0.60619,28.5269,0.55,-1.63,99.45,0.62
Jh 7d 2h,KcJc,1.000,77.21,6.35238,137.129,2.04,8.79,97.96,6.30
Jh 7d 2h,KcQc,1.000,37.59,0.74962,33.2334,0.96,-0.86,99.04,0.77
Jh 7d 2h,KcTd,1.000,35.45,0.61839,29.0727,0.63,-1.65,99.37,0.63
Jh 7d 2h,KcJd,1.000,77.16,6.33773,136.888,1.63,8.10,98.37,6.31
Jh 7d 2h,KcQd,1.000,37.64,0.75992,33.6512,1.11,-1.09,98.89,0.78
Jh 7d 2h,KcTh,1.000,38.49,0.79609,34.4729,1.80,-1.19,98.20,0.83
Jh 7d 2h,KcQh,1.000,40.95,1.26628,51.5432,1.37,0.63,98.63,1.28
Jh 7d 2h,KcTs,1.000,35.42,0.6062,28.5276,0.55,-1.63,99.45,0.62
Jh 7d 2h,KcJs,1.000,77.21,6.35245,137.131,2.03,8.79,97.97,6.30
Jh 7d 2h,KcQs,1.000,37.59,0.74993,33.2471,0.96,-0.86,99.04,0.77
Jh 7d 2h,Ac2c,1.000,52.06,1.7275,55.3062,0.74,0.72,99.26,1.73
Jh 7d 2h,Ac3c,1.000,36.66,0.37906,17.2323,0.26,-1.75,99.74,0.38
Jh 7d 2h,Ac4c,1.000,36.83,0.39103,17.6939,0.27,-1.74,99.73,0.40
Jh 7d 2h,Ac5c,1.000,37.51,0.40543,18.0164,0.27,-1.71,99.73,0.41
Jh 7d 2h,Ac6c,1.000,37.54,0.39014,17.3199,0.20,-1.92,99.80,0.39
Jh 7d 2h,Ac7c,1.000,62.29,3.01522,80.6776,0.63,3.89,99.37,3.01
Jh 7d 2h,Ac8c,1.000,42.69,0.5205,20.3229,0.25,-1.75,99.75,0.53
Jh 7d 2h,Ac9c,1.000,44.67,0.62532,23.3335,0.27,-1.58,99.73,0.63
Jh 7d 2h,AcTc,1.000,47.59,0.79405,27.8114,0.36,-1.33,99.64,0.80
Jh 7d 2h,Ac2d,1.000,52.12,1.75987,56.273,0.74,1.49,99.26,1.76
Jh 7d 2h,Ac3d,1.000,36.73,0.38291,17.3771,0.27,-1.81,99.73,0.39
Jh 7d 2h,Ac4d,1.000,36.90,0.39511,17.8479,0.27,-1.79,99.73,0.40
